Id del anuncio,Título,Tipo de inmueble,Descripción,Teléfono,Dirección,Precio,Habitaciones
38471966,Casa independiente en Profesor Pimentel 822,Chalet,"Engel & Völkers Gijón tiene el placer de presentar este impecable palacete histórico en la mejor localización de Somió. Una casa de estilo burgués ecléctico con base neoclásica y elementos de barroco italiano tiene una superficie de 1800m2 repartidos en cuatro plantas. En la planta principal se encuentra el hall de entrada que da acceso al impresionante comedor para hasta 30 comensales a la biblioteca y al salón noble así como a la sala de estar. Los techos de más de 4 metros de altura profusamente decorados y las paredes finamente paneladas compiten por el foco de atención. Las imponentes puertas acompañan a los suelos de olmo y nogal en el comedor y de roble y ébano en el salón.  No menos impresionante es la amplísima escalera principal con pasamanos en nogal. Coronando el hueco una claraboya que ilumina las paredes decoradas con balconcillos y molduras afrancesadas. En las dos plantas superiores hay ocho amplios dormitorios con baños el principal con saloncillo y vestidor.  Se completan estas plantas con dos salas de estar y una acogedora sala de billar. Así mismo hay una segunda escalera también de generosas dimensiones que comunica todas las plantas. En el sótano enterrado a media altura y con ventanas de iluminación encontramos una sala de lavandería una amplia habitación de plancha y armarios y el apartamento del servicio (salita dos dormitorios y baño). Vinculado desde su construcción con la más alta burguesía y nobleza industrial Asturiana Villa María es una propiedad irrepetible. Encargada en 1890 al arquitecto De la Calzada por el empresario Tomas Zarracina sufrió una ampliación (supervisada por el arquitecto Del Busto) bajo propiedad de los condes del Real Agrado.  La colonia de Somió pertenece al término municipal de Gijón y es la zona residencial más exclusiva de la ciudad próxima a la playa de San Lorenzo. Al estar protegida del norte por una colina tiene un microclima que favorece las altas temperaturas para poder disfrutar de todas las playas de la zona. Además de ser una zona residencial dispone de múltiples parques donde pasear o practicar deporte. Tiene diversas instalaciones deportivas entre las que destaca el Real Club de Tenis de Gijón y 3 campos de golf a menos de 5 kilómetros.  Asturias es el Paraíso Natural de España donde destaca la naturaleza con diversas rutas y más de setenta espacios protegidos la costa con más de 200 playas y 18 pueblos marineros la cultura con diversos monumentos Patrimonio de la Humanidad y el Camino de Santiago y por supuesto su gastronomía única y singular. Conozca esta y otras propiedades en nuestra página web.  Si lo desea puede contactar con nosotros en el teléfono a través del correo electrónico o visitar nuestra tienda en C/ Menéndez Valdés 19 Gijón.",984260755,Profesor Pimentel 822,6900000,8
100968374,Casa independiente en Cangas del Narcea s/n,Chalet,"Complejo turístico explotación maderera y agropecuaria en Cangas del Narcea. Finca privada de 100 hectáreas. Un coqueto hotel de 4 estrellas conformado por cinco casas en el que se mezcla lo rural con lo moderno constituyen el complejo turístico hotelero Las Montañas de Pumar. Con un total de 24 habitaciones dobles y 5 triples los edificios que lo forman ocupa la totalidad del pueblo Pumar de las Montañas. Dentro del recinto totalmente privado disponemos de una gran variedad de servicios a su disposición: restaurante y centro con sauna y spa salón social tienda terraza solarium paseos guiados a caballo alquiler de bicicletas o baño al aire libre son algunos de ellos. Explotación maderera en uso y con reciente reforestación. Bosques naturales de robles castaños (100 Ha. ) y pinos (250 Ha). Plantación y explotación maderera de pinos (150 Ha. ). Más de 150 km. de caminos internos. Otras posibilidades son la instalación de aerogeneradores paneles fotovoltaicos con caminos y cortafuegos preparados de 38 m. de ancho. Plantación y desarrollo de Viticultura dentro de la Denominación de Origen Vino de Cangas. Rio de montaña con nacimiento en la propia finca. Panales de abejas y fauna salvaje. Antigua mina de oro romana. Complexu turísticu esplotación maderera y agropecuaria en Cangas. Finca privada de 100 hectárees. Un coqueto hotel de 4 estrelles conformáu por cinco cases nel que s'entemez lo rural colo moderno constitúin el complexu turísticu hoteleru Los Montes de Pumar. Con un total de 24 habitaciones dobles y 5 triples los edificios que lu formen ocupa la totalidá del pueblu Pumar de los Montes. Dientro de la cortil totalmente priváu disponemos d'una gran variedá de servicios a la so disposición: restorán y centru con sauna y spa salón social tienda terraza solarium paseos empuestos a caballu arriendu de bicicletes o bañu al campu son dalgunos d'ellos. Esplotación maderera n'usu y con recién reforestación. Montes naturales de carbayos castañales (100 Hai. ) y pinos (250 Hai). Plantíu y esplotación maderera de pinos (150 Hai. ). Más de 150 km. de caminos internos. Otres posibilidaes son la instalación de aerogeneradores paneles fotovoltaicos con caminos y cortafueos preparaos de 38 m. d'anchu. Plantíu y desenvolvimientu de Viticultura dientro de la Denominación d'Orixe Vieno de Cangas. Rio de monte con nacencia na mesma finca. Setos d'abeyes y fauna selvaxe. Antigua mina d'oru romano.",984260099,Cangas del Narcea s/n,6000000,29
101867402,Palacio en diseminado s/n,Casa Rural,"SINGULAR CONJUNTO PALACIAL EN EXCELENTE ESTADO DE CONSERVACION. Dispone de un terreno de 100 ha. y está situado a 18 km. de Oviedo en el concejo de Grado. El conjunto está formado por varias construcciones agrupadas en una finca de cinco hectáreas con zonas ajardinadas y piscina rodeadas a su vez de otras noventa hectáreas de terreno de prados y bosques autóctonos. Destaca la torre medieval rodeada por un foso construida en mampostería de 4 alturas y estilo gótico que según los historiadores data de los siglos XII-XIV. Junto a la torre se encuentra el palacio la capilla adosada y otras dependencias auxiliares además de una gran panera de 100 m² reformada en el 2015 y otras dependencias agrícolas.  A finales del siglo XIX se realizó una amplia reforma del palacio que se ha ido actualizando a lo largo del tiempo para adaptarla a las necesidades actuales. La última rehabilitación se acometió en el 2017 para sanear toda su cubierta. El palacio también de mampostería cuenta con 3 alturas y es un hermoso edificio que forma un bloque con la capilla adosada. Dispone de 930 m² construidos y en sus fachadas destacan 5 arcos con columnas y galería superior acristalada y un patio cerrado con muro almenado escudo y una hermosa escalinata en su fachada oeste. La primera planta el palacio con 520 m² de superficie alberga un salón la gran cocina tradicional con llar sala de estar sala de juegos despacho dos dormitorios y un cuarto de baño. La planta superior cuenta con las mismas dimensiones y en ella se distribuyen las dependencias principales de la vivienda: cinco dormitorios (el principal con baño zona de estar y chimenea) y 4 cuartos de baños cocina comedor de servicio salón principal comedor con estufa de leña salita con chimenea galería y trastero. La 3º planta de 190 m² y techos abuhardillados es un espacio diáfano. El palacio cuenta con calefacción con caldera de gasóleo en todas sus dependencias energía eléctrica y conexión telefónica. Este impresionante conjunto palacial está enclavado en el Concejo de Grado un lugar de verdes praderas y bosques de robles a sólo 18 km. de Oviedo y a 40 km. de Gijón y la costa asturiana.",919386962,diseminado s/n,4000000,7
101206345,Casa independiente en Salas,Chalet,"Autentica casa palacio histórica | vistas a la montaña. Con su torre del siglo XIV y casa histórica con gran patio del siglo XVI es una oportunidad única. Siempre ha sido una residencia familiar desde su construcción original. Ello ha permitido que aún se conserve sustancialmente en condiciones auténticas. Con cinco plantas en total la primera de más de 500 metros cuadrados alberga muchas de las estancias principales para vivir en este entorno histórico. En total el palacio tiene 1.892 metros cuadrados construidos sin contar el gran patio y 3.136 metros cuadrados si se incluye el patio. El gran edificio auxiliar (para reforma integral por dentro) La Casina cuenta con 266 metros cuadrados en dos plantas y es obra del prestigioso arquitecto Luis Bellido. Más de 78.000 metros cuadrados de terrenos lo circundan. Los extensos terrenos que acompañan a la propiedad no son actualmente edificables. Sin embargo a propiedades similares se les ha permitido alguna construcción nueva siempre dentro de los terrenos existentes para fomentar el turismo en el caso de que se convirtiera en hotel. Ya existe un edificio adyacente - mencionado anteriormente y separado de la casa principal y dentro del terreno que podría convertirse en alojamiento adicional. El palacio se beneficiaría de algunas renovaciones sensibles. Se estudió convertirlo en un hotel de lujo que tendría 42 habitaciones. Historia Esta casa palacio que fue del prestigioso economista y escritor asturiano Valentín Andrés Álvarez ha permanecido desde 1883 hasta hoy en manos de la misma familia. De aquí era Garcí Fernández de la Doriga quien en 1378 representó a Salas en la Junta General de conceyos asturianos. Testigo de múltiples linajes son los diversos escudos: García de Doriga Valdés Tineo Queipo de Llano Quirós o Miranda. Fue el suegro de D. Valentín Andrés y yerno de Fernández Bao D. Indalecio Corugedo Fernández quien llevó a cabo una reforma integral del complejo en los años finales del siglo XIX y los primeros del XX según el gusto de la época. Fruto de aquel momento es el parque de estilo francés el comedor modernista o el grandioso baño traído de la Exposición Universal de París el año 1.900. En época más cercana Valentín Andrés Álvarez discípulo de D. José Ortega y Gasset recibiría innumerables amigos para amenas tertulias regadas con sidra elaborada en la propiedad como Federico García Lorca. ‘En el interior de su alto torreón jugábamos una partida de billar’ escribiría Benjamín Jarnés. Clara muestra de edificación señorial medieval el palacio de Doriga cuenta con una torre cuadrada construida a finales del Siglo XIV (fue una de las pocas torres que los Reyes Católicos no ordenaron tirar abajo para prevenir rebeliones nobiliarias) y un palacio del Siglo XVI que se estructura alrededor de un patio con grandes columnas toscanas que sostienen el entablamento del corredor abierto del piso principal en el que se desarrolla fundamentalmente la vida diaria. Rodeado de un parque cerrado por un muro almenado y con una señorial portada también del siglo XVI acoge en su recinto una edificación anexa que se debe al prestigioso arquitecto Luis Bellido autor entre otras obras del Matadero de Madrid actual centro cultural. Nos encontramos en definitiva con un interesante conjunto mantenido desde siglos como vivienda en manos particulares lo que ha permitido que podamos admirar todavía en buen estado de conservación artesonados suelos de madera y mobiliario originales del siglo XVI o intervenciones cualificadas con manifestaciones artísticas posteriores. El paso de los siglos y las continuas guerras no han supuesto ningún obstáculo para su pervivencia.",984260960,Salas,3450000,9
101767808,Chalet pareado en Calle Pérez de la Sala 19,Chalet,"Nueva oportunidad Inmojet. Tel:  Las visitas a la propiedad serán agendadas exclusivamente previa presentación de Certificado de Solvencia económica y financiara. No interesa alquiler con opción a compra gracias. Palacio a la venta en Oviedo. Palacete Masaveu. Se trata de una de las propiedades más emblemáticas de la capital de Asturias. Ubicada en la calle semipeatonal Pérez de Sala 17-19 frente al auditorio y palacio de congresos Príncipe Felipe.  En una de las zonas nobles de la ciudad el palacete fue construido en 1.902 y reformado en 1.966 encontrándose en la actualidad en estado de uso. Propiedad con un gran potencial gracias a sus diversos posibles usos. Protección legal normas generales de protección y condiciones generales de uso: - BIC: No - Catalogación: Si - Grado de protección: Parcial 1. - Obras admisibles: Conservación y reparación. Restauración. Rehabilitación y reforma. Restauración parcial. - Altura: La existente - Ordenanzas aplicables: Residencial cerrada - Uso: Residencial.  - Usos compatibles: Residencia comunitaria oficinas y hotelero siempre en régimen de edificio exclusivo.  - Ref. Catastro: 9247023TP6094N0001HE Descripción: - En parcela cerrada de 2.066 m2 se compone de dos edificios. Vivienda en edificio principal y casa de guardeses en edificio posterior. Dispone de una amplia zona de aparcamiento en superficie y jardín con palmeras. Lindando con la medianera del edificio colindante a norte y muro de piedra al fondo. Descripción del edificio principal de cuatro plantas de 910 m2 construidos: - Planta Baja: El hall de entrada da acceso al despacho biblioteca salón con dos ambientes amplio comedor cocina despensa salita y aseo. Escalera con vidriera lucernario y ascensor.  - Planta Primera: Distribuidor cinco habitaciones capilla sacristía dos baños aseso y dos terrazas. - Planta Bajocubierta: Distribuidor dos habitaciones dos baños aseo trastero y cuarto de ascensor.  - Planta Semisótano: Sala de juegos dos habitaciones lavandería cuarto de plancha baño aseo taller cuarto de calderas bodega trastero y soportal.  Descripción casa de guardeses de dos plantas y 165 m2. - Planta baja zona de garaje. - Planta superior: Acceso mediante escalera exterior a vivienda. - Año de construcción: 1.904 - Parcela: 2.066 m2 - Dimensiones de los inmuebles: 1.075 m2 construidos - IBI: 2.500 €/año 10 % de Impuesto de Transmisiones Patrimoniales notaría y registro no incluidos en el PVP. Reserve esta excelente oportunidad en Inmojet C/ Capua 9 Gijón. Tel: Estaremos encantados de atenderle. + info: inmojet.es.",984260464,Calle Pérez de la Sala 19,3300000,10
99388058,Casa independiente en Calle Ricardo Cangas,Chalet,"Chalet de estilo contemporáneo en primera línea de playa Ribadesella. En una de las mejores y más exclusivas zonas de la costa asturiana disponemos de este chalet de lujo de 650m2 construido sobre una parcela de 1.500m2 cuidado al detalle con unas palmeras espectaculares que lucen sobre la vivienda. Exclusiva propiedad de alto standing situada en el corazón de la playa de Santa Marina con acceso directo al paseo marítimo compartiendo ubicación con las mejores casas de indianos y los chalets mas bonitos de la Villa Riosellana. Situado también a escasos minutos del centro urbano colegio y todos los servicios.    La vivienda distribuye 650 m2 aproximadamente. Tres plantas mas sótano. Se han empleado los mejores materiales de calidad maderas nobles mármoles y además dispone de ascensor en todas las plantas. En la planta sótano distribuye un amplio garaje zona de juegos trasteros sala de maquinas dormitorios para el servicio y un apartamento para invitados. (Salón-comedor cocina baño y dormitorio). En la planta baja o principal se aloja un amplio hall de entrada varios salones con acceso a los porches que dan paso al jardín un comedor despacho con sala de espera. Amplia cocina luminosa con despensa y lavadero. Baño y un dormitorio. En la segunda planta se aloja el dormitorio principal con su vestidor y baño dispone de varios dormitorios y un espectacular salón con unas impresionantes vistas al mar.    Si desea más información no dude en ponerse en contacto con nosotros en el teléfono 985401515 o visítenos en nuestra oficina de Gran Vía de Agustín Argüelles 57 - Ribadesella.",984260103,Calle Ricardo Cangas,2900000,7
101940256,Casa independiente en puertas de vidiago s/n,Chalet,"ESPECTACULAR PROPIEDAD EN UN JARDÍN BOTÁNICO Pocas propiedades podemos encontrar así nos hallamos con algo absolutamente único una maravilla creada hace siglos por un indiano que supo ver la belleza del entorno para crear esta maravillosa obra de arte. Y no hablamos solo de un palacio indiano si no de otra preciosa construcción que era el hogar de las personas que trabajaban en la finca. Pero además lo englobamos en una parcela que no tiene precio…es imposible conseguir esos hermosos centenarios árboles con alturas increíbles. Te sientes en un jardín botánico. Todo cercado con un gran muro que le da una privacidad increíble. Es sinceramente un escenario difícil de adjetivar te sientes en algo parecido al paraíso una sensación increíble mágica. La atmósfera que se respira con ese bosque dividiendo las dos antiguas construcciones no les dejará indiferentes sin duda estamos ante algo muy muy especial único. Además su situación es privilegiada. Situada en el hermoso y pequeño pueblo de Puertas de Vidiago tenemos al alcance todas las preciosas playas de Llanes y Ribadesella y podremos llegar a la costa y sus soberbios acantilados en un corto paseo a pie. Si usted está buscando esa sensación de poseer una propiedad de otro tiempo algo extraordinario e irrepetible ésta es su oportunidad. Si busca invertir en un negocio no lo piense actualmente se está gestionando como hotel un edificio y como Casa de Aldea el otro. Además dispone de un amplio comedor cubierto frente a las dos casonas.",984260119,puertas de vidiago s/n,2890000,15
101390184,Casa independiente en Lugar Toranda s/n,Chalet,"Engel & Völkers tiene el placer de presentar este exclusivo chalet con impresionantes vistas al mar. Esta propiedad reúne todos los estándares de calidad así como amplios y luminosos espacios piscina climatizada y gimnasio. Un precioso jardín completa este oasis de paz totalmente cerrado por un muro de piedra. La casa tiene 650 m² y la finca un total de 3.500 m². La planta baja nos da la bienvenida con un amplio recibidor abierto que da paso al salón-comedor con su chimenea y preciosa biblioteca. Las cristaleras nos ofrecen vistas panorámicas a la playa de Toranda y dan salida al jardín. Una cocina totalmente equipada aseo de cortesía habitación con baño en suite lavadero y un garaje para dos coches completan la planta principal. Un espectacular tragaluz nos permite disfrutar de la luz natural y da una increíble amplitud y luminosidad a la casa.  En la primera planta encontramos de frente una gran cristalera que da paso a un espacioso despacho con terraza y vistas al mar. Esta planta cuenta con 5 dormitorios. Distribuidos en dormitorio principal con chimenea y baño en suite dos dormitorios con baño a compartir y dos dormitorios más uno de ellos con vestidor y un baño. La planta semisótano dispone de dos amplios espacios con muchas posibilidades de uso dependiendo de las necesidades de cada uno así como la zona de mantenimiento calefacción etc A través del jardín principal con piscina climatizada y zona de estar accedemos a un segundo nivel que da paso al gimnasio y zona de invitados. En definitiva una propiedad perfecta para disfrutarla todo el año.  Esta magnífica propiedad está situada en Niembro un encantador pueblo altamente demandado del concejo de Llanes en el oriente de Asturias.  A 80 km de Gijón y 100 km de Santander Niembro está a 10 minutos en coche de la villa de Llanes. A tan solo 400 metros de la playa de Toranda y 600 de la playa de Torimbia es el destino ideal para los amantes del mar.  Toranda es la playa de Niembro a la que se accede por una pista tras cruzar el pueblo situado hacia el interior. Está enclavada en una zona de costa de acantilados y rodeada de verdes praderas. Hacia el oriente desemboca la ría de Niembro formando un estuario de gran interés biológico. Dispone de un amplio aparcamiento de servicio de restauración y equipamientos. En sus inmediaciones existe un mirador con unas espectaculares vistas. La playa de Torimbia situada al oeste de Toranda está resguardada por unos bellos acantilados verticales. Se trata de un extenso arenal de acceso peatonal forma de concha y arena dorada que no ha perdido atractivo con el paso de los años. Su privilegiada situación a 45 minutos de los Picos de Europa y de Covadonga permite al propietario poder disfrutar del mar y de la playa de la alta montaña o de la tranquilidad y el sosiego del campo.",984260064,Lugar Toranda s/n,2850000,6
84630533,Casa independiente en Carretera de la Providencia,Chalet,"Exclusiva y unica propiedad en gijon compuesta de dos chalets unifamiliares,uno de 413 metros y otro de 341metros. El conjunto por su ubicacion excepcional memoria de calidades,desarrollo de la urbanizacion (ajadinamientos piscina parkinketc le confieren una cualidades inmejorables para familias amplias con deseo de disfrutar de maxima exigencia. Concepto arquitectonico moderno con un estilo elegante y a la vez comodo: grandes evntanales en busca de luminosidad terrazas para disfrute de vistas,ajardinamiento elegante etc. Memoria de calidadeschalet nº 1 portones horman -fachada piedra capri apomazada,carpinteria exterior shucocerramiento muros de la casa en hormigón siporex,hormigón celular con máxima capacidad de aislamiento,grandes ventanales suelo radiante circuito de agua,caldera de gas,suelo de cuarcita en piel de serpiente 60por 60,aspiracion centralizada hilo musical,maderas de roble,simil madetra dumik sin mantenimiento,toldos electricos con cofre,cocina totalmente acondicionada con primeras calidades y electrodomesticos alta gama,ascensor,amplia zona asfaltasda delante de la casa garaje para seis coches(160metros se aparaca sin maniobrar ) piscina con cubierta movil electrica y calefactada. Distribuccion planta baja garaje 51m²,cuarto instalaciones baño,dormitorio vestibulo baño de cortesia,bodega sala de juegos 40m² despacho 40m² primera planta dos dormitorios de 10 y 11 m² uno con baño,1 aseo distribuidos hall entrada,salon de 67m² con grandes cristaleras a terraza de 67m² rodeada de piscina cocina con office 18m². Segunda planta habitacion suite habitacion 15m² con biblioteca10,50m² baño 11 m² vestidor espectacular 22m²y terraza de 8m². Parcela urbanizada con muros de contención de hormigon en zona de entrada gran aparcamiento de asfalto para varios coches y giro con comodidad. En ella se tiene una piscina climatizada y con cubierta electrica memoria calidades chalet nº 2 portones horman -fachada piedra capri apomazada carpintería exterior shuco grandes ventanales,caldera bomba de calor suelo radiante circuito de agua suelo de cuarcita en piel de serpiente 60por 60 aspiración centralizada hilo musical símil madera dumik sin mantenimiento toldos eléctricos con cofre cocina totalmente acondicionada con primeras calidades y electrodomésticos alta gama ascensor amplia zona asfaltada delante de la casa garaje para seis coches(160metros se aparca sin maniobrar ). Distribucion planta baja garaje 162m² primera planta un dormitorios de 15m²,vestidor 9,5m² y un con baño 9,5m² aseo 3,3m² salón de 59m² con grandes cristaleras a terraza de 67m² (que se puede cerrar) cocina 11 5m². Segunda plantados dormitorios simétricos de 11,7m² con acceso a terraza ambos,un baño 4,7m² terraza de 49m². Parcelaurbanizada con muros de contención de hormigón en zona de entrada gran aparcamiento de asfalto para varios coches y giro con comodidad,ajardinada con mucho gusto terraza exterior muy cómoda. Situacion- en ladera providencia orientada al sur oeste soleada todo el día y protegida de vientos del norte. Cercana al parque del rinconín apenas 200 metros con gran cercanía a playa 600 metros y centro urbano de gijón. Parada de autobús casi a la puerta 30 metros vistas a todo gijón universidad molinón etc. Arquitectura elegante con trazado moderno buscando espacios de confort y dotando al diseño de una gran luminosidad por sus cristaleras y orientación. Singular y exclusiva atractiva en su presencia dota al conjunto de una exquisita comodidad. Inmogestion gestión inmobiliaria inteligente gestión inmobiliaria inteligente encuentra más en.",984260810,Carretera de la Providencia,2800000,7
100468939,Casa independiente,Chalet,"Venta de exclusiva propiedad a pocos km del centro de Villaviciosa y con vistas espectaculares a la ría. Esta propiedad tan exclusiva cuenta con una extensión de terreno de 70 hectáreas( 700.000 m2 ) de las cuales unas 40 hectáreas( 400.000 m2 ) están plantadas de eucaliptos. La finca cuenta con agua propia acceso rodado y bosque. Dentro de la finca tenemos las ruinas de una antigua casona de unos 300 m2 las cuadras y una capilla.",984260489,Villaviciosa,2700000,5
