"provincia","tipo/lugar","link","precio","caracteristicas","info","otros"
"Bacerlona","Ático en calle de Ferrán Agulló, Sant Gervasi - Galvany, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101883624/","2,800,000 €","6 hab. 376 m² Planta 6ª exterior con ascensor","Increíble y amplio ático dúplex con 4 terrazas enfrente de Turó Park. Este espectacular ático se encuentra en una de las zonas más prestigiosas y demandadas de Barcelona: el Turó Park. Se trata de un","Lujo"
"Bacerlona","Piso en paseo de Sant Joan, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/98491349/","2,950,000 €","7 hab. 275 m² Planta 1ª exterior con ascensor","Excepcional y precioso inmueble modernista con terraza en el Paseo Sant Joan. Esta espectacular propiedad se encuentra en uno de los mejores edificios modernistas de Barcelona, en el Paseo Sant Joan y","Lujo"
"Bacerlona","Piso en ronda Sant Pere, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101523546/","1,100,000 €","3 hab. 219 m² Planta 10ª exterior con ascensor","Gran piso reformado en venta Eixample Dreta, Barcelona Magnífico piso de casi 200 m² según catastro idealmente ubicado en una calle muy tranquila ya que recientemente se ha convertido en calle peatona","Lujo"
"Bacerlona","Dúplex en paseo de Gracia, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101836568/","830,000 €","2 hab. 85 m² Planta 4ª exterior con ascensor","Piso a la venta en Paseo de Gracia, Barcelona Piso totalmente reformado en venta en Paseo de Gracia. En una finca regía catalogada y totalmente rehabilitada en 1999, ubicada en Paseo de Gracia, en ple","Lujo"
"Bacerlona","Piso en calle de El Escorial, Vila de Gràcia, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/100964927/","510,000 €","3 hab. 91 m² Planta 2ª exterior con ascensor","RENTABILIDAD POTENCIAL DEL 5%. Este piso se ubica en la parte alta de Gracia, una de las zonas con más encanto de Barcelona. Los alrededores disponen de una amplia variedad de comercios y servicios pa","Lujo"
"Bacerlona","Piso en calle del Rosselló, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101755832/","1,025,000 €","3 hab. 140 m² Planta 4ª exterior con ascensor","Piso Reformado en Eixample Dret de Barcelona Piso muy luminoso a la venta ubicado en una 4ª planta de un edificio muy singular en la calle Rosselló a escasos pocos metros de la Avinguda Diagonal y de","Lujo"
"Bacerlona","Piso en calle de Girona, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101689754/","1,595,000 €","4 hab. 199 m² Planta 1ª exterior con ascensor","Imponente piso de lujo reformado con terraza en finca regia. Este magnífico piso de lujo reformado con la más alta calidad se encuentra al principio de la calle Girona, que se está transformando en pe","Lujo"
"Bacerlona","Ático en paseo de Manuel Girona, Sarrià, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101822273/","1,650,000 €","4 hab. 250 m² Planta 7ª exterior con ascensor","Ático en venta en Sarriá, Barcelona Ático en venta en Sarriá con 250 m² construidas incluyendo terraza, ubicado en el prestigioso barrio de Sarrià-Sant Gervasi. Sus 250 m² se distribuyen en 150 m² de","Lujo"
"Bacerlona","Ático en calle del Consell de Cent, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101380211/","990,000 €","2 hab. 108 m² Planta 7ª exterior con ascensor","Ático con terraza en venta en Eixample Dreta, Barcelona Mágnifico ático con preciosas vistas a toda la ciudad idealmente ubicado en una de los barrios más cotizados de la ciudad de Barcelona, en el ma","Lujo"
"Bacerlona","Piso en calle de Bailèn, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/99172111/","849,000 €","3 hab. 146 m² Planta 1ª exterior con ascensor","Espectacular piso reformado con elementos originales en el Quadrat d'Or. Este piso reformado recientemente está en perfecto estado de conservación, por lo que está prácticamente a estrenar. Se encuent","Lujo"
