Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones
101564057;Ático en Calle Francisco Sansón Moreno;Ático;"De particular a particular. Sin comisión al comprador. Llámanos y visita esta vivienda. Amplio ático-dúplex de 149 m² en Badajoz. Esta vivienda, por su amplitud, satisface las necesidades de una familia con niños.  Se encuentra en un 7º piso con ascensor y se distribuye en amplio y luminoso salón con chimenea, cocina amueblada, completamente independiente del resto de estancias y equipada con electrodomésticos, tres dormitorios, dos cuartos de baño completos y un funcional aseo. Además, el ático cuenta con balcón de 8 m², que aporta gran luminosidad a toda la estancia, terraza de 35 m², para que disfrutes del buen tiempo y armarios empotrados, para optimizar tu espacio de almacenaje. El inmueble es todo exterior y se encuentra situado en una vía de fácil acceso, tiene plaza de garaje, para que puedas aparcar con comodidad y trastero de 9 m², para que puedas aprovechar todo el espacio de la vivienda.  Por su orientación sur-oeste, es una casa muy soleada en las horas centrales del día. La vivienda se vende sin amueblar y en buen estado, lista para entrar a vivir. En cuanto a las calidades, este ático cuenta con calefacción de gas, aire acondicionado por planta, carpintería exterior de aluminio con cristales climalit, puerta blindada y suelos de tarima, que da mucha calidez a la vivienda.  Esta casa está situada en una zona tranquila y bien comunicada, muy cerca de la parada de autobús. Para mayor comodidad, la vivienda se encuentra muy cerca de un colegio y todos los servicios necesarios.  h1o3u7s4e3l6l.";919389411;Calle Francisco Sansón Moreno;249000;3
102022756;Chalet en Calle Ramón y Cajal;Chalet;"De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. Espectacular casa solariega del siglo XIX de 460 m² de superficie, en Fuente del Maestre, provincia de Badajoz. La vivienda, por espacio y distribución, es ideal para una familia con hijos.  Está casa se distribuye en dos plantas de unos 200 m² cada una, con un amplio y luminoso salón, cocina amueblada, totalmente independiente del resto de estancias y equipada con electrodomésticos, ocho dormitorios, dos cuartos de baño completos y azotea. Además, el chalet cuenta con terraza para que descanses al aire libre, un patio interior con microclima, para que puedas desayunar al aire libre y armarios empotrados para aumentar la capacidad de almacenaje de tu hogar. El inmueble es todo exterior, con jardín privado arbolado, en el que aprovecharás el buen tiempo y piscina privada para que disfrutes de los días de calor. Está casa se encuentra situado en una vía de fácil acceso, tiene garaje para mayor seguridad y trastero, para que guardes todo aquello que necesites.  Por su orientación oeste-este, en esta casa disfrutarás del sol todo el día. La vivienda se vende amueblada casi en su totalidad y en perfecto estado, lista para entrar a vivir. En cuanto a las calidades, está casa cuenta anchos muros de un metro de espesor, lo que hace que tenga gran aislamiento térmico y acústico, forja artesanal, azulejos sevillanos pintados a mano, bóvedas, carpintería exterior de aluminio con cristales climalit, suelos de gres y mármol, de fácil mantenimiento y para que te sientas más seguro en tu hogar, la puerta principal está reforzada. Ubicada en una zona tranquila, para mayor comodidad, la vivienda se encuentra muy cerca de un centro médico, un colegio y todos los servicios necesarios.  h1o3u7s9e1l6l.";919389411;Calle Ramón y Cajal;460000;8
101165600;Piso en Jacinta García Hernández;Piso;"De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. Amplio piso de 112 m² en Badajoz, provincia de Badajoz. La amplitud de esta vivienda proporciona a una familia con niños todo el espacio que necesita.  Se encuentra en un 5º piso con ascensor, está separada en zona de día y de noche, con un amplio y luminoso salón, cocina amueblada, completamente independiente del resto de estancias y equipada con electrodomésticos, cuatro dormitorios, cuarto de baño completo y un funcional aseo de cortesía. Además, el piso cuenta con terraza para que descanses al aire libre y armarios empotrados, para aumentar la capacidad de almacenaje de tu hogar. El inmueble es todo exterior, por su orientación sur, es una casa muy soleada en las horas centrales del día.  La vivienda, se vende amueblada y en buen estado para que puedas instalarte cuanto antes. En cuanto a las calidades, este piso dispone de aire acondicionado con bomba de calor, carpintería exterior de aluminio, suelos de gres y mármol, de fácil mantenimiento y gran resistencia. Esta casa está situada en una zona tranquila y bien comunicada, muy cerca de la parada de autobús. Para mayor comodidad, la vivienda se encuentra muy cerca de un centro médico, un colegio y todos los servicios necesarios.  Edificio accesible para personas con movilidad reducida.  h1o3u6s9e4l3l.";919389411;Jacinta García Hernández;179800;4
102041347;Chalet en Calle el Potreque;Chalet;"De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. Gran casa de 211 m² de superficie, en Talavera la Real, provincia de Badajoz. Esta vivienda, por su amplitud, satisface las necesidades de una familia con niños.  Está casa se distribuye en amplio y luminoso salón, cocina amueblada y totalmente independiente del resto de estancias, cinco dormitorios y tres cuartos de baño completos. Además, el chalet cuenta con balcón, que aporta gran luminosidad a toda la estancia, terraza, para que disfrutes del buen tiempo y armarios empotrados, para aumentar la capacidad de almacenaje de tu hogar. El inmueble es todo exterior y se encuentra situado en una vía de fácil acceso, tiene garaje, para que puedas aparcar con comodidad y trastero, para que guardes todo aquello que necesites. Por su orientación este, en esta casa disfrutarás del sol por las mañanas. La vivienda se vende sin amueblar y en perfecto estado, lista para entrar a vivir. En cuanto a las calidades, este chalet cuenta con calefacción de gasoil, aire acondicionado y suelos de gres, de fácil mantenimiento y gran resistencia.  Esta casa está situada en una zona tranquila y bien comunicada, muy cerca de la parada de autobús. Para mayor comodidad, la vivienda se encuentra muy cerca de un colegio, institutos, polideportivo, supermercados y todos los servicios necesarios.  h1o3u8s0e6l2l.";919389411;Calle el Potreque;159900;5
101609863;Chalet en Calle Río Záncara;Chalet;"De particular a particular y sin comisiones. Llámanos y visita esta vivienda. Espacioso chalet de 133 m² en Santos de Maimona (Los), Badajoz. La amplitud de esta vivienda proporciona a una familia con niños todo el espacio que necesita.  Situado en la comarca de Zafra, este chalet tiene dos plantas de altura y cuenta con salón, cuatro habitaciones, dos baños completos con ducha y cocina amueblada, absolutamente independiente del resto de estancias y equipada con electrodomésticos. Además, el chalet cuenta con un patio con muchas posibilidades y despensa y armarios empotrados para optimizar tu espacio de almacenaje. El inmueble es todo exterior. También cuenta con trastero para que puedas guardar todo aquello que necesites. Este chalet, situado en una vía de fácil acceso, tiene una plaza de garaje muy amplia para que puedas aparcar con comodidad. Además, por su orientación sur, es una casa en la que disfrutarás de luz natural prácticamente durante todo el día.  La vivienda se vende amueblada y en buen estado, lista para entrar a vivir, reformada hace tan sólo unos años. En cuanto a las calidades, este chalet cuenta con carpintería de aluminio, ventanas tipo inglés con palillería y climalit, y suelo de tarima de vinilo que da mucha calidez a la vivienda. Tiene gas butano y gas ciudad. Esta casa está situada en una zona tranquila y bien comunicada, muy cerca de la parada de autobús y la estación de tren. Para mayor comodidad, la vivienda se encuentra muy cerca de un hospital y de un colegio.  De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. h1o3u7s4e8l4l.";919389411;Calle Río Záncara;143000;4
98186493;Piso en Travesía Pizarro;Piso;"Amplio piso de 115 m² en Mérida, provincia de Badajoz. La amplitud de esta vivienda proporciona a una familia con niños todo el espacio que necesita.  Se encuentra en un primer piso sin ascensor y se distribuye en salón, cocina amueblada, completamente independiente del resto de estancias y equipada con electrodomésticos y despensa, lavadero, cuatro habitaciones, una de ellas con vestidor y dos baños completos. Además, el piso cuenta con balcón, que aporta gran luminosidad a toda la estancia, una práctica galería para aumentar el espacio y armarios empotrados que optimizarán el almacenaje. El inmueble es todo exterior.  La vivienda se vende sin amueblar y en buen estado, lista para comenzar la mudanza. En cuanto a las calidades, este piso cuenta con aire acondicionado con bomba de calor, gas ciudad, puerta blindada, carpintería de pvc, ventanas oscilobatientes y suelo de tarima, que da mucha calidez a la vivienda.  Para mayor comodidad, la vivienda se encuentra muy cerca de un colegio, de farmacia, bancos, supermercado, tiendas, etc. De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. h1o3u0s6e7l9l.";919389411;Travesía Pizarro;124900;4
101011294;Chalet en Diseminado Diseminados;Chalet;"De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. Amplio casa de 150 m² de superficie y 2800 m² de parcela, en la que podrás disfrutar de tiempo al aire libre, en Jerez de los Caballeros, provincia de Badajoz. La amplitud de esta vivienda proporciona a una familia con niños todo el espacio que necesita y es ideal para inversores, actualmente funcionando como casa rural con licencia***. Está casa se distribuye en amplio salón, dos cocinas amuebladas, una completamente independiente del resto de estancias y equipada con electrodomésticos y otra exterior con barbacoa, tres dormitorios y cuarto de baño completo. Además, el chalet cuenta con balcón, el cual aportará gran luminosidad a toda la estancia, terraza, para que disfrutes del buen tiempo, un patio para que puedas desayunar al aire libre y armarios empotrados, para aumentar la capacidad de almacenaje de tu hogar. El inmueble es todo exterior, con jardín privado arbolado con pozo propio, en el que aprovecharás el buen tiempo y piscina compartida con un solo vecino, para que disfrutes de los días de calor. Este chalet se encuentra situado en una vía de fácil acceso, tiene garaje para mayor seguridad y trastero, para que guardes todo aquello que necesites. Además, por su orientación sur, es una casa muy soleada en las horas centrales del día. La vivienda, se vende amueblada y en buen estado, lista para comenzar la mudanza. En cuanto a las calidades, este chalet dispone de placas solares con dos baterías, (con apoyo de luz eléctrica de red), aire acondicionado con bomba de calor, carpintería exterior de aluminio, suelos de cerámica y mármol, muy resistentes y fácil de limpiar. Esta casa está situada en una zona tranquila y bien comunicada, muy cerca de la parada de autobús. Para mayor comodidad, la vivienda se encuentra muy cerca de un colegio y todos los servicios necesarios. h1o3u6s7e8l2l.";919389411;Diseminado Diseminados;195000;3
100686596;Chalet en Calle Don Miguel Arias;Chalet;"De particular a particular. Sin comisión al comprador. Llámanos y visita esta vivienda. Espaciosa casa de 140 m² en Don Benito, provincia de Badajoz. La amplitud de esta vivienda proporciona a una familia con niños todo el espacio que necesita.  Está casa se distribuye en amplio salón, cocina amueblada, absolutamente independiente del resto de estancias y equipada con electrodomésticos, cuatro dormitorios, dos cuartos de baño completos y un funcional aseo. Además, el chalet cuenta con terraza de 14 m², para que disfrutes del buen tiempo y armarios empotrados, para optimizar tu espacio de almacenaje. El inmueble es todo exterior.  La vivienda, se vende amueblada y en perfecto estado, lista para entrar a vivir. En cuanto a las calidades, este chalet cuenta con calefacción de gas, aire acondicionado, carpintería exterior de aluminio y suelos de gres, de fácil mantenimiento y gran resistencia.  Esta casa está situada en una zona tranquila y bien comunicada, muy cerca de la parada de autobús. Para mayor comodidad, la vivienda se encuentra muy cerca de un centro médico, un colegio y todos los servicios necesarios.  h1o2u9s9e7l3l.";919389411;Calle Don Miguel Arias;109000;4
101347742;Piso;Piso;"JUAN PEREDA PILA. ¡Atención inversores y buscadores de hogares con encanto! Les presentamos este magnífico y original piso en última planta, que ha sido renovado con un toque alegre y moderno. Imagínese viviendo en un espacio de 95 m2 útiles, distribuido de manera inteligente y con una ubicación envidiable. Al entrar, será recibido por un elegante hall de entrada con una puerta de seguridad que le brinda tranquilidad y privacidad. La cocina, completamente equipada, cuenta con acceso a un práctico lavadero-aseo, ambos con vistas al patio comunitario. El salón-comedor es independiente y es perfecto para amueblarlo dividido en dos ambientes, creando un espacio acogedor para compartir momentos inolvidables con sus seres queridos. Además, gracias a sus amplias ventanas, podrá deleitarse con vistas panorámicas al vibrante centro de la ciudad, que le sorprenderán día y noche. Con un total de 4 dormitorios, dos de ellos dobles y con armarios empotrados, tendrá suficiente espacio para toda su familia o invitados. El baño completo, con un moderno plato de ducha y una ventana que da a la avenida, le proporcionará un espacio de relajación para desconectar del estrés diario. La propiedad ha sido cuidadosamente reformada para garantizar su comodidad y bienestar. La instalación eléctrica y de fontanería ha sido actualizada, mientras que los suelos de tarima flotante y la portería de madera maciza acabada en sapelly aportan un toque de elegancia. Y eso no es todo. En invierno, podrá disfrutar de una cálida y acogedora atmósfera gracias a la calefacción individualizada por contadores en cada radiador. Además, la cuota de comunidad es económica e incluye el consumo de agua, lo que supone un ahorro significativo en sus gastos mensuales. Recientemente, el portal ha sido renovado con una gran rampa que facilita la movilidad reducida, brindando accesibilidad a todos. Asimismo, dispone de dos ascensores, lo que le asegura un acceso cómodo y seguro a su hogar. ¿Y qué tal si le decimos que aún puede personalizar esta joya al estilo de las fotografías simuladas que le mostramos? Con nuestra exclusiva Hipoteca Suma, podemos ofrecerle financiamiento tanto para la compra como para llevar a cabo la reforma que siempre soñó. ¡La oportunidad de inversión perfecta! No pierda esta ocasión única de adquirir un inmueble con todas estas ventajas y en una ubicación privilegiada. ¡Infórmese ahora mismo y haga realidad su sueño de vivir en un lugar lleno de alegría y confort! ¡Contacte con nosotros y estaremos encantados de mostrarle su futuro hogar! ( El PVP indicado no incluye impuestos ni gastos de Escritura ).  PARA PROPIETARIOS:  ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa. ¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías. ¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes. ¿Herencias?, ¿Divorcios?, te ayudamos y coordinamos todo. Infórmate:.";924267989;Santa Marina - La Paz;139000;4
101517284;Piso;Piso;"AV. SANTA MARINA: Piso en última planta totalmente exterior y en excelente ubicación. Tiene unos 85 m² útiles distribuidos en hall de entrada amplio, con armario empotrado de 4 puertas, salón-comedor en dos ambientes, con librería de mampostería y acceso a una alegre terraza con vistas a la avenida principal. Cocina totalmente equipada, con muebles y electrodomésticos, y con acceso a un lavadero que le proporciona desahogo. Consta así mismo de 3 dormitorios, con armarios a medida, 2 de los dormitorios son dobles, y desde uno se accede a una 2ª terraza con orientación oeste, y 2 baños, el principal muy amplio, reformado, con un gran plato de ducha en cabina, y el secundario, cómodo y práctico, con plato de ducha. Suelos en terrazo muy cuidado, portería lacada en blanco, ventanas en aluminio también lacadas blanco y calefacción por radiadores mediante gas ciudad. No deje de visitar esta vivienda tan céntrica, rodeada de toda clase de comercios y servicios. La venta se enfoca a inversores que planteen alquilarla, puesto que ya tiene inquilino serio, formal y solvente. Llámenos y le informamos! ( El PVP indicado no incluye impuestos ni gastos de Escritura ).  PARA PROPIETARIOS:  ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa. ¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías. ¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes. ¿Herencias? , ¿Divorcios? , te ayudamos y coordinamos todo. Infórmate:.";924267989;Santa Marina - La Paz;165000;3
