Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones
96240165;Piso en Calle Urbieta, 2;Piso;"San Sebastián. Pleno centro. A 20 metros de la playa de la concha.  Avenida de La Libertad.  PISO IMPONENTE con TERRAZA, en Avenida de la Libertad, con vistas al mar y a la bahía de la Concha, a la Avenida. de la Libertad y a los jardines de Alderdi Eder.  Excelente EDIFICIO DE HORMIGÓN, sin obras pendientes, y con fachada y cubierta renovados hace 10 años y portal hace 3 años.  Piso 2º, con ascensor a cota 0, y con ascensor doble, para 8 personas, y portal renovado con puerta automática y con mando a distancia. 165,15 m2 construidos de superficie exacta.  144,10 m2 útiles de superficie exacta, tal como se refiere en el plano de este anuncio.  Se aporta plano levantado por arquitecto, con medidas exactas y distribución actual. 3 habitaciones, salón, comedor, amplio hall de entrada, cocina, 3 habitaciones, 3 baños y TERRAZA de 5 m2, con vistas al mar. ES UNA VIVIENDA QUE DADO SU TAMAÑO QUEDARÍA IDEAL con un salón doble con cocina americana, 4 dormitorios y 3 baños. 3 ventanales al exterior y terraza  Salón doble, comedor y dormitorio principal con vista frontal al mar,  Cocina y 2 dormitorios dobles a patio interior. Requiere reforma, piso excelente con posibilidad de hacer 3 o 4 habitaciones, gran salón con cocina americana y 3 baños.  Posibilidad ofrecerle planos con diferentes posibilidades de reforma, presupuestos de reforma, etc. Es un piso que debido a su amplio tamaño, podría distribuirse en una vivienda de tres, cuatro o cinco dormitorios. Actualmente tiene 3 dormitorios dobles, salón doble, comedor, amplio hall, cocina y 3 cuartos de baño.  Calefacción y agua caliente por Gas Natural. Armarios empotrados en todos los dormitorios.  Excelente edificio sin obras pendientes. (Posibilidad de comprar plaza de garaje de concesión administrativa en el parking de la Concha. También parking al lado en el mercado San Martín a 10 metros de la vivienda. ) Vivienda con terraza y vistas espectaculares al mar.  UN LUJO.  ESPECTACULAR.  1.870. 000 Euros. PRECIO NEGOCIABLE.  Disponemos de llaves. Vivienda recomendada.  Posibilidad visitas de lunes a sábado.";843750829;Calle Urbieta, 2;1870000;3
98778977;Ático en Kolon Pasealekua s/n;Ático;"En la zona de la playa de la Zurriola, vendo ático con preciosas vistas al mar y 2 estupendas terrazas (la principal al Norte al mar, la segunda, al Sur al Pª de Colón).    La zona cuenta con buenos accesos y comercio de diario.    La vivienda: 143,47 m2 útiles interiores (169 m2 útiles contando el 50% de terrazas) / 217 m2 construidos y dispone de 2 terrazas ( al mar, hacia la Zurriola de 21 m2 y al Sur hacia el Pº de Colón de 30 m2).     Se distribuye:    *hacia el Norte con vistas al mar y salida a terraza de 21 m2, el salón con doble ventanal, el dormitorio principal y un segundo dormitorio.    *hacia el Sur, amplia terraza de 30 m2, donde hay un pequeño trastero.    * hacia los patios de luces: cocina-comedor y 3er dormitorio. 2 baños completos    El piso necesita reforma de actualización.    Cuota de IBI: 950. -€    El inmueble: de construcción de 1947, es de estructura de hormigón.    Cuenta con una pequeña rampa salva escaleras, ascensor de 4 personas.    El edificio cuenta con obra de aislamiento en fachada y balcones. Nada aprobado a corto plazo.    Gastos de comunidad de 170. -€ mes de media anual.    En la zona hay diferentes opciones de aparcamiento.";843750128;Kolon Pasealekua s/n;1950000;3
100844852;Ático en Paseo Riberas s/n;Ático;"Riberas de Loiola, junto a la pasarela del rÍo, ático de 109 m2 útiles (sin computar solarium) / 190 m2 construidos, totalmente exterior y orientado al Sur-Este, con 2 amplias terrazas, una en la misma planta de 26 m2 y otra en la cubierta de 66 m2 (solarium).    Destaca por su gran luminosidad en todos sus espacios y sus grandes ventanales al exterior, además de por sus amplias terrazas. Una vivienda muy completa.    Totalmente exterior y con salida a la terraza tenemos el salón-comedor y 3 dormitorios dobles de gran tamaño (15m2 el principal con vestidor y baño, 10m2 los otros 2 dormitorios).    A patio de manzana abierto son exteriores la cocina-comedor y un segundo baño.    La vivienda se encuentra en buen estado de conservación. Cuenta con ventanas de aluminio de doble cristal climalit, carpintería de roble en suelos, puertas y armarios y calefacción y agua caliente por caldera de gas central con contador individual.    El edificio es de construcción reciente (2007), cuenta con un portal sin barreras, ascensor amplio y acceso para minusválidos.    En la zona hay gran oferta de garaje y trasteros en venta, si bien esta vivienda no cuenta con garaje. Opciones cercanas de garajes (raya de garaje sobre los 20.000€, garaje cerrado sobre los 40.000€).    Zona muy cómoda y bien comunicada. Andando al centro a través del parque de Cristina Enea en 15 minutos y con varias líneas de autobús.";843750128;Paseo Riberas s/n;825000;3
97433308;Piso en Calle Iztueta, 1;Piso;"En la primera zona de Gros, en la calle Iztueta, a 5 minutos del centro, estación de Renfe, bus, zona deportiva, etc.. . y junto a la playa de La Zurriola.    Zona recién urbanizada con el nuevo viaducto, con nuevas zonas verdes.    Vivienda situada en planta sexta, orientada al Sur, con vista muy despejada, en edificio de estructura de hormigón.    La vivienda: tiene 107,80 m2 útiles / 123 m2 construidos, y se distribuye:    *exterior al Sur: salón-comedor con salida a una pequeña terraza.    *exterior al patio de manzana, al Norte: 2 dormitorios dobles de 11,8 m2 y 10,9 m2 (los dos con armario empotrado y uno de ellos con balcón).    *a patio de luces: 2 dormitorios (uno doble y otro individual) y cocina-comedor.    *interior: baño y aseo.     La vivienda tiene doble entrada. Se encuentra a reformar.    La calefacción es central con contador individual. Agua caliente central con contador individual.    Los gastos de comunidad son de 200. -€ mes (incluido mantenimiento mínimo, agua caliente). Cuota del IBI de 500. -€ aprox.    El inmueble: Antigüedad 1971, estructura de hormigón, cuenta con ascensor de 4 personas, con un elevador para librar escaleras del portal.    No hay derramas importantes previstas. Se acaban de pintar escaleras y portal.";843750128;Calle Iztueta, 1;630000;4
96257265;Piso en Calle Urbieta, 2;Piso;"San Sebastián. Playa de la Concha. Avenida de la Libertad. Centro. Vivienda con TERRAZA en la Avenida, junto a la playa y con VISTAS ESPECTACULARES a la Bahía de la Concha, la Avenida de la Libertad y los jardines de Alderdi Eder.    Se trata de un edificio que cuenta con accesibilidad total. Por un lado, la puerta de entrada en automática, además tiene el ascensor accesible a cota 0 con una cabina muy amplia con espacio para sillas de ruedas.    Esta vivienda está ubicada en la planta segunda y cuenta con tres grandes ventanales con vistas a la Bahía, uno de los ventanales dispone de una salida a una pequeña terraza.    El edificio no tiene obras pendientes ni a la vista (la fachada y el tejado están hechos hace 10 años, el ascensor cambiado y adaptado hace 3 años).    La vivienda se encuentra completamente a reformar y en nuestra web podrás ver la visita virtual en 3D hecha por Areizaga Inmobiliaria.    Para visualizar las posibilidades del inmueble una vez esté reformado no dudes en contactarnos.    Contáctanos para más información o agendar una visita.";843750128;Calle Urbieta, 2;1870000;3
101350661;Piso en Calle Andia s/n;Piso;"Ubicado en un edificio señorial, de fachada clásica de arenisca y techos muy altos, con el ayuntamiento de frente, en la conocida calle Andia Donostiarra. A un paso de la playa de la Concha y de todo el comercio del centro. Un entorno muy cómodo y agradable.    Edificio con ascensor a Cota 0 y acceso para personas con movilidad reducida.    Vivienda ubicada en planta alta y con vistas despejada y muy agradable.     Se trata de un piso exterior a dos fachadas: Norte (con vistas hacia la bahía de la Concha y Alderdi Eder), Sur (exterior a un amplio patio de manzana, muy luminoso y que cuenta con vegetación que lo hace más agradable)    A la fachada Norte, actualmente se ubica un amplio salón-comedor y la habitación principal. A la fachada Sur tenemos 3 habitaciones dobles.    Requiere reforma integral: Nuestro equipo de arquitectura le podrá asesorar con propuestas de distribución y presupuestos de obra. Pregúntenos sin compromiso, estaremos encantados de ayudarle y asesorarle!    Edificio de estructura mixta.    Servicios individuales de calefacción y agua caliente por caldera de gas individual.";843750128;Calle Andia s/n;1750000;5
100140001;Piso en Calle Loiola s/n;Piso;"Centro, calle Loiola, frente al mercado de San Martín. Vivienda para actualizar con muchas posibilidades    Se trata de una tercera planta con tres huecos exteriores con balcones a calle Loiola. Orientación sur-oeste muy soleado.    Vivienda de 106,11 m2 útiles para actualizar. Al tratarse de una vivienda exterior y muy cuadrada, ofrece innumerables opciones de distribución.    Actualmente se distribuye en 4 habitaciones (dos exteriores y dos a patio de casa) + salón + comedor (el comedor podría ser la 5ª habitación pero sería tipo alcoba) + cocina + 2 baños.    Gracias a nuestro equipo de arquitectura podemos plantear diferentes distribuciones a gusto de cada cliente. Cuéntenos sus necesidades y elaboraremos un proyecto a su gusto, con su presupuesto correspondiente, para que le ayude a tomar la decisión.    Cuenta con calefacción y agua caliente por caldera mixta de gas natural individual.    ITE pasada (2018) y sin obras ni derramas próximas. Edificio en buen estado de conservación    Ascensor a cota 0 en el portal pero para llegar a la vivienda tenemos que bajar 9 escaleras ya que el ascensor para a medias plantas. No hay previsión de obra para dar accesibilidad total.";843750128;Calle Loiola s/n;725000;5
101111464;Piso en Mirakontxa Pasealekua s/n;Piso;"En Miraconcha, junto al Palacio de Miramar.    Esta exclusiva vivienda ocupa toda la planta del edificio (sin vecinos) y accedemos a ella a través de un ascensor privado con llave.    La vivienda es completamente exterior con grandes ventanales en todas sus estancias, ya que al ocupar toda la planta del edifico, cuenta con tres fachadas. Todo con vistas despejadas y sol (exterior al Oeste, Norte y Este).    Cuenta con una agradable terraza que rodea toda la vivienda y nos permite acceder a ella desde todas las estancias.     Sus vistas son inmejorables y totalmente despejadas. Se puede apreciar los 180º de vista panorámica, con la Isla de Santa Clara en medio, Igeldo a la izquierda y Urgull a la derecha. La mejor postal de San Sebastián.    Actualmente esta propiedad requiere reforma integral, por ello incorporamos planos de su estado actual e infografías y plano de una propuesta de reforma preparada por nuestro equipo de arquitectura. Se trata de una propiedad muy fácil de redistribuir y con unas dimensiones perfectas (147 m2 útiles). Opción de 3 o 4 habitaciones.    Ubicado en un edificio de estructura de hormigón, con ascensor a cota 0.    Opcional: Garaje para coche mediano en la misma casa (55.000€)    Opciones de garajes para coches de mayor tamaño en la misma calle desde 65.000€ (Miraconcha 20).";843750128;Mirakontxa Pasealekua s/n;1995000;4
101624561;Piso en Calle Prim s/n;Piso;"Venta de vivienda de 59 m2 útiles para reformar en Calle Prim. Totalmente exterior y con buena altura.    Requiere reforma integral. Orientado al Este y con 4 huecos exteriores (3 ventanas con salida a balcón y un mirador). Muy agradable    Ubicada en la prestigiosa calle Prim de Donosti. En esta calle se ubicaban las mejores edificaciones de la ciudad, palacetes históricos con techos altos y preciosas vidrieras y detalles ornamentales de la más bella factura.     Una vivienda única con muchísimo potencial para realizar una reforma integral y construir la vivienda de sus sueños.    Nuestro equipo de arquitectura le puede asesorar con propuestas de distribución y presupuestos de obra. Incorporamos al anuncio, plano de estado actual, un ejemplo de propuesta de distribución tras obra con 2 habitaciones y su correspondiente presupuesto. En caso de querer otra distribución no dude en consultarnos y pondremos a nuestro arquitecto a su disposición.    Edificio señorial de 1903 con estructura de madera. Suministros de gas ciudad. ITE recién pasada (se va a realizar obra de renovación de fachada, esta obra quedará abonada por la parte vendedora, entregando así un inmueble sin gastos a la vista ni derramas pendientes). Ascensor sin barreras, con una pequeña rampa para llegar a él.     Calefacción y agua caliente por caldera de gas individual. Ventanas doble cristal climalit en toda la vivienda.";843750128;Calle Prim s/n;520000;3
100409582;Piso en Calle Zubieta s/n;Piso;"En la mejor zona de San Sebastián y en uno de los mejores edificios, ofrecemos esta magnifica vivienda a 2 fachadas ( al N-Oeste con vistas a la bahía y al S-Este a la plaza de Zaragoza).    El precio incluye un trastero y una buena plaza de garaje en el mismo edificio. Hay una segunda plaza opcional en el mismo edificio en 110.000. -€.    La Vivienda: de 154 m2 útiles / 170 m2 construidos, tiene 2 entradas de acceso y se distribuye:    Hall con armario empotrado, pasillo con armarios empotrados, trastero-ropero, baño en el pasillo    * con vistas a la bahía: salón-comedor de 36,5 m2 y dormitorio ppal de 19 m2 con vestidor y baño incorporado. Ambas piezas con salida a terraza hacia la bahía.    * con vistas a la plaza de Zaragoza: 3 dormitorios dobles de 14-12 y 9 m2, con buenos armarios. Las 3 habitaciones con acceso a terrazas de 6,9 y 5,6 m2.    * a patio de luces: cocina comedor, dormitorio de servicio y aseo.    El piso se encuentra en buen estado de conservación, si bien necesita alguna actualización.    Se incluyen en el precio la cocina con electrodomésticos y baños equipados. Resto de muebles y enseres no están incluidos en el precio.    El Inmueble: conocido como "El Continental" por que en este solar estuvo este hotel de lujo, es un edificio que ocupa toda una manzana muy céntrica, a 5 minutos del mercado, Catedral del Buen Pastor y en primera línea del paseo de Alderdi-Eder y la playa.    Edificio de construcción del año 1976. De estructura de hormigón. Cuenta con un portal totalmente accesible y cuenta con 2 ascensores, uno a cota 0.     Disponen de calefacción y agua caliente por caldera central con contadores individuales.    El edificio cuenta con conserje para varios portales y garaje en su sótano.    Últimamente se ha arreglado la fachada y la comunidad tiene el edificio en muy buen estado de conservación en general.    Una vivienda impresionante. Llámenos para visitarla.";843750128;Calle Zubieta s/n;2650000;5
