Id del anuncio,Título,Tipo de inmueble,Descripción,Teléfono,Dirección,Precio,Habitaciones
102450082,Ático en Calle de Barcelona 98,Ático,"ATICO UNICO EN SALOU. Espectacular ático de 5 habitaciones dobles (1 tipo suite) salón comedor con salida a terraza 2 baños completos equipados con bañera y un aseo. Cocina office con salida a la zona de lavado que da acceso mediante unas cómodas escaleras a la espectacular terraza solárium de mas de 100m² con barbacoa cocina de verano y zona chillout. La vivienda dispone de calefacción y aire acondicionado en las habitaciones. La zona comunitaria tiene piscina asi como zona infantil Plaza de parking y trastero OPCIONAL en el mismo edificio. *Mobiliario electrodomésticos y decoración a consultar. *El precio de venta no incluye los impuestos ni gastos de notaria ni registro. *Los datos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. *El precio de venta no incluye los impuestos ni los gastos de notario y registro. *Los datos expuestos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. Si deseas más información sobre el inmueble no dudes en contactar con uno de nuestros asesores quienes te guiarán y acompañarán durante todo el proceso de compra de tu nuevo hogar. Además si resides fuera de España te ayudamos con el trámite para obtener toda la documentación necesaria para adquirir tu vivienda. Grupo Saloumar presente en el sector inmobiliario desde 1998. Nos ubicamos en Salou en la calle Barcelona 45. Precios válidos salvo error involuntario. Consultar mobiliario y decoración. Al precio publicado se deben sumar los siguientes gastos no incluidos: Impuesto de transmisiones patrimoniales: generalmente equivale al 10% del precio de adquisición. Sin embargo los compradores menores de 32 años con ingresos anuales inferiores a 36.000€ que adquieran su primera vivienda y la conviertan en su residencia habitual pueden beneficiarse de un tipo reducido del 5%. Si solo uno de los compradores cumple con los requisitos se aplicará proporcionalmente la reducción en función del porcentaje de propiedad correspondiente. Esta bonificación también se aplica a familias numerosas y familias monoparentales. Gastos de notaría y registro: oscilan entre 750 y 1.000€ según el número de páginas que ocupe la escritura y el precio de adquisición. Si realizas la compra mediante crédito hipotecario deberás sumar los gastos correspondientes que dependerán de cada entidad bancaria y sus condiciones particulares.",877260946,Calle de Barcelona 98,365000,5
101210186,Piso en Plaza de Venus 2,Piso,"Te presentamos este piso exclusivo de Apialia Costa Daurada a solo 50 metros de la playa de Ponent ideal para aquellos que buscan una propiedad cerca del mar. Este piso cuenta con tres habitaciones dos dobles y una individual un baño con plato de ducha y un aseo cocina independiente y salón comedor con salida a una terraza con impresionantes vistas al mar perfecta para relajarse y disfrutar de la brisa marina. La finca dispone de ascensor lo que hace que sea fácil acceder a la vivienda. Este piso es una oportunidad única para aquellos que buscan una propiedad para reformar y personalizarla a su gusto. Además su excelente ubicación lo hace ideal como primera o segunda residencia o como inversión para alquiler turístico. No pierdas la oportunidad de ser el dueño de este piso exclusivo a solo 50 metros de la playa de Ponent. ¡Contáctanos hoy mismo para programar una visita y comenzar a disfrutar de la vida junto al mar! *El precio de venta no incluye los impuestos ni los gastos de notario y registro. *Los datos expuestos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. Si deseas más información sobre el inmueble no dudes en contactar con uno de nuestros asesores quienes te guiarán y acompañarán durante todo el proceso de compra de tu nuevo hogar. Además si resides fuera de España te ayudamos con el trámite para obtener toda la documentación necesaria para adquirir tu vivienda. Grupo Saloumar presente en el sector inmobiliario desde 1998. Nos ubicamos en Salou en la calle Barcelona 45. Precios válidos salvo error involuntario. Consultar mobiliario y decoración. Al precio publicado se deben sumar los siguientes gastos no incluidos: Impuesto de transmisiones patrimoniales: generalmente equivale al 10% del precio de adquisición. Sin embargo los compradores menores de 32 años con ingresos anuales inferiores a 36.000€ que adquieran su primera vivienda y la conviertan en su residencia habitual pueden beneficiarse de un tipo reducido del 5%. Si solo uno de los compradores cumple con los requisitos se aplicará proporcionalmente la reducción en función del porcentaje de propiedad correspondiente. Esta bonificación también se aplica a familias numerosas y familias monoparentales. Gastos de notaría y registro: oscilan entre 750 y 1.000€ según el número de páginas que ocupe la escritura y el precio de adquisición. Si realizas la compra mediante crédito hipotecario deberás sumar los gastos correspondientes que dependerán de cada entidad bancaria y sus condiciones particulares.",877260946,Plaza de Venus 2,165000,3
102448318,Piso en Calle de la Muntanya 5,Piso,"Apartamento reformado en segunda linea de la Platja de Ponent de 59 m2. Dispone de 2 habitaciones dobles con armarios empotrados salón comedor con salida a terraza de 12 m² Cocina independiente con salida a la terraza baño equipado con plato de ducha. La vivienda dispone de aire acondicionado y bomba de calor. Dada su ubicación (cerca del centro con supermercados y restaurantes cercanos) es Ideal para vivir todo el año para alquiler turístico o como segunda residencia. *Mobiliario electrodomésticos y decoración a consultar. *El precio de venta no incluye los impuestos ni gastos de notaria ni registro. *Los datos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. *El precio de venta no incluye los impuestos ni los gastos de notario y registro. *Los datos expuestos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. Si deseas más información sobre el inmueble no dudes en contactar con uno de nuestros asesores quienes te guiarán y acompañarán durante todo el proceso de compra de tu nuevo hogar. Además si resides fuera de España te ayudamos con el trámite para obtener toda la documentación necesaria para adquirir tu vivienda. Grupo Saloumar presente en el sector inmobiliario desde 1998. Nos ubicamos en Salou en la calle Barcelona 45. Precios válidos salvo error involuntario. Consultar mobiliario y decoración. Al precio publicado se deben sumar los siguientes gastos no incluidos: Impuesto de transmisiones patrimoniales: generalmente equivale al 10% del precio de adquisición. Sin embargo los compradores menores de 32 años con ingresos anuales inferiores a 36.000€ que adquieran su primera vivienda y la conviertan en su residencia habitual pueden beneficiarse de un tipo reducido del 5%. Si solo uno de los compradores cumple con los requisitos se aplicará proporcionalmente la reducción en función del porcentaje de propiedad correspondiente. Esta bonificación también se aplica a familias numerosas y familias monoparentales. Gastos de notaría y registro: oscilan entre 750 y 1.000€ según el número de páginas que ocupe la escritura y el precio de adquisición. Si realizas la compra mediante crédito hipotecario deberás sumar los gastos correspondientes que dependerán de cada entidad bancaria y sus condiciones particulares.",877260946,Calle de la Muntanya 5,147000,2
102308088,Piso en Calle de Cambrils 22,Piso,"EXCLUSIVA APIALIA COSTA DAURADA: Planta baja en Salou a 300 metros de la playa de Ponent. Dispone de tres habitaciones (dos dobles y una individual) baño completo equipado con bañera cocina independiente con salida a galería y salón comedor con salida a la terraza y al jardín con vistas a la piscina comunitaria. En el precio también incluye una plaza de parking y un trastero. Además su ubicación lo hace ideal como primera o segunda residencia o como inversión para alquiler turístico. El precio de venta no incluye impuestos ni gastos de Notario ni Registro. *Los datos expuestos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. *El precio de venta no incluye los impuestos ni los gastos de notario y registro. *Los datos expuestos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. Si deseas más información sobre el inmueble no dudes en contactar con uno de nuestros asesores quienes te guiarán y acompañarán durante todo el proceso de compra de tu nuevo hogar. Además si resides fuera de España te ayudamos con el trámite para obtener toda la documentación necesaria para adquirir tu vivienda. Grupo Saloumar presente en el sector inmobiliario desde 1998. Nos ubicamos en Salou en la calle Barcelona 45. Precios válidos salvo error involuntario. Consultar mobiliario y decoración. Al precio publicado se deben sumar los siguientes gastos no incluidos: Impuesto de transmisiones patrimoniales: generalmente equivale al 10% del precio de adquisición. Sin embargo los compradores menores de 32 años con ingresos anuales inferiores a 36.000€ que adquieran su primera vivienda y la conviertan en su residencia habitual pueden beneficiarse de un tipo reducido del 5%. Si solo uno de los compradores cumple con los requisitos se aplicará proporcionalmente la reducción en función del porcentaje de propiedad correspondiente. Esta bonificación también se aplica a familias numerosas y familias monoparentales. Gastos de notaría y registro: oscilan entre 750 y 1.000€ según el número de páginas que ocupe la escritura y el precio de adquisición. Si realizas la compra mediante crédito hipotecario deberás sumar los gastos correspondientes que dependerán de cada entidad bancaria y sus condiciones particulares.",877260946,Calle de Cambrils 22,199000,3
102175386,Piso en Paseo de Miramar 10,Piso,"Te presentamos este piso ideal para aquellos que buscan una propiedad cerca del mar. Este piso cuenta con dos habitaciones un baño con plato de ducha cocina independiente y salón comedor con salida a una terraza con impresionantes vistas al mar perfecta para relajarse. La finca dispone de ascensor lo que hace que sea fácil acceder a la vivienda. Este piso es una oportunidad única para aquellos que buscan una propiedad para actualizar y personalizarla a su gusto. Además su excelente ubicación lo hace ideal como primera o segunda residencia o como inversión para alquiler turístico. *El precio de venta no incluye los impuestos ni los gastos de notario y registro. *Los datos expuestos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. Si deseas más información sobre el inmueble no dudes en contactar con uno de nuestros asesores quienes te guiarán y acompañarán durante todo el proceso de compra de tu nuevo hogar. Además si resides fuera de España te ayudamos con el trámite para obtener toda la documentación necesaria para adquirir tu vivienda. Grupo Saloumar presente en el sector inmobiliario desde 1998. Nos ubicamos en Salou en la calle Barcelona 45. Precios válidos salvo error involuntario. Consultar mobiliario y decoración. Al precio publicado se deben sumar los siguientes gastos no incluidos: Impuesto de transmisiones patrimoniales: generalmente equivale al 10% del precio de adquisición. Sin embargo los compradores menores de 32 años con ingresos anuales inferiores a 36.000€ que adquieran su primera vivienda y la conviertan en su residencia habitual pueden beneficiarse de un tipo reducido del 5%. Si solo uno de los compradores cumple con los requisitos se aplicará proporcionalmente la reducción en función del porcentaje de propiedad correspondiente. Esta bonificación también se aplica a familias numerosas y familias monoparentales. Gastos de notaría y registro: oscilan entre 750 y 1.000€ según el número de páginas que ocupe la escritura y el precio de adquisición. Si realizas la compra mediante crédito hipotecario deberás sumar los gastos correspondientes que dependerán de cada entidad bancaria y sus condiciones particulares.",877260946,Paseo de Miramar 10,229000,2
101846180,Ático en Calle de Tarragona,Ático,"Ático en planta con espectacular terraza de 123m2 con vistas despejadas al parque en el centro de Salou. Se trata de una vivienda de 137m2 que consta de 4 dormitorios dos de ellos individuales y dos dobles dos baños. Habitación de matrimonio en suite con armarios empotrados y acceso directo a la terraza. Muy amplia cocina independiente con salida al lavadero-galería. Gran salón comedor muy luminoso y con salida a la amplia terraza donde puedes disfrutar de reuniones con amigos y familia hacer bbq o simplemente contemplar las espectaculares vistas. Plaza de parking incluida en el precio. La zona comunitaria tiene zonas verdes piscina comunitaria. Es una pieza única que no se te puede escapar. Si quieres más información no dudes en contactar con nosotros. Si desea más información o concertar una visita no dude en contactar en Grupo Domuum estaremos encantados de atenderle. ******************* * El mobiliario los electrodomésticos y la decoración por defecto no están incluidos en el precio de venta. A consultar. ** El precio de venta de publicación no incluye impuestos de transmisiones (10%) ni los gastos de Notaria ni Registro (1.200€ aprox). Incluye los honorarios de la agencia que son a cargo de la parte vendedora. *** Los datos expuestos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. La vivienda se venderá siempre a cuerpo cierto. **** Si hay discrepancias de datos en el anuncio los que prevalecen son los descritos en la descripción de la propiedad. *******************.",877260300,Calle de Tarragona,390000,4
102281171,Piso en Paseo de Jaume I 35,Piso,"Bonito piso de dos dormitorios en pleno Paseo Jaume I de Salou con vistas a la fuente luminosa y a la playa de Llevant. Consta de dos dormitorios un baño cocina independiente y salón comedor con chimenea y salida a la terraza soleada con orientacion sur/sur-oeste con vistas al Paseo Jaume I. El dormitorio principal tiene acceso a la terraza. Orientación Sur La vivienda tiene aire acondicionado (tres splits frio calor uno en cada estancia) es muy luminoso y está listo para entrar a vivir o para invertir como alquiler turistico pues la comunidad permite el alquiler vacacional. La finca dispone de ascensor. Hay posibilidad de adquirir una plaza de parking en otro edificio no incluida en el precio. (La plaza de garaje esta en la calle Murillo a 800m de la vivienda) Es perfecto para sus vacaciones de verano tan solo tiene que cruzar el paseo para llegar a la bonita playa de Salou. Si desea más información o concertar una visita no dude en contactar en Grupo Domuum estaremos encantados de atenderle. ******************* * El mobiliario los electrodomésticos y la decoración por defecto no están incluidos en el precio de venta. A consultar. ** El precio de venta de publicación no incluye impuestos de transmisiones (10%) ni los gastos de Notaria ni Registro (1.200€ aprox). Incluye los honorarios de la agencia que son a cargo de la parte vendedora. *** Los datos expuestos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. La vivienda se venderá siempre a cuerpo cierto. **** Si hay discrepancias de datos en el anuncio los que prevalecen son los descritos en la descripción de la propiedad. *******************.",877260300,Paseo de Jaume I 35,240000,2
100536922,Casa independiente en Foixarda s/n,Chalet,"Cuando accedemos a la propiedad por la calle Foixarda y observamos la fachada norte de obra vista percibimos que no se trata de una casa más. Construida en 2006 cuidando cada detalle tanto del interior como del exterior de la villa. La combinación de mármol travertino acero inoxidable madera cristal y ladrillo manual conforman un conjunto armónico en medio del bosque y frente al mar. Se puede acceder a la propiedad por dos calles la entrada peatonal por calle Foixarda y la de los vehículos por Passatge Lliri de Mar. Mediante la puerta principal de madera accedemos a un amplio hall des del cual divisamos la doble altura del salón y los grandes ventanales abiertos al jardín. En esta misma planta disponemos de una habitación suite con acceso directo a la terraza exterior aseo de cortesía y a continuación del salón encontramos el comedor que da paso a la cocina office y lavadero. Des del hall podemos subir a través de unas escaleras de madera y acero a la planta superior donde se sitúan tres habitaciones dobles una de ellas tipo suite un baño y una zona diáfana que puede utilizarse como biblioteca o despacho (todas las estancias se conectan por el exterior a través de una terraza con el piso de madera. La fachada sur de la primera planta está protegida por lamas de madera practicables eléctricamente que confieren a cada estancia la luz adecuada para cada hora del día. En la planta del garaje con capacidad para 4 coches encontramos también otra habitación un baño completo bodega trastero extenso vestidor con muchos armarios y una sala polivalente. Esta villa es realmente la casa de lujo perfecta para disfrutar de la vida al aire libre con una piscina infinita amplias terrazas y un elegante toldo con bar y barbacoa. Pídanos más información ya que no hay propiedades de diseño como ésta a la venta frente al mar en la Costa Dorada. La urbanización La Mora es un lugar tranquilo y privilegiado situado junto a una gran pineda frente al mar. Además de sus excepcionales valores biológicos presenta un gran interés paisajístico y cultural en un entorno lleno de historia y de belleza donde destaca el cercano Castillo de Tamarit. Todo ello se encuentra en la subcomarca conocida como Baix Gaià en la zona norte del Tarragonès. La antigua villa de Tamarit está ubicada junto a la desembocadura del río Gaià. Sus alrededores están incluídos en el Plan de Espacios de Interés Natural de gran interés por la riqueza de su flora y fauna. Lugar muy bien comunicado mediante la autovia de Tarragona la capital de provincia situada a tan solo 11 km. que dispone de todos los servicios y comodidades de una ciudad moderna y hace gala también de su historia pues la antigua Tarraco fundada por los romanos fue declarada patrimonio Mundial por la UNESCO en el año 2000.",877260560,Foixarda s/n,1680000,4
102044645,Dúplex en Calle Ebre,Duplex,"Finques Teixidó: Hoy te presentamos éste maravilloso ático-dúplex de 3 habitaciones situado en la zona Esquirols de Cambrils a escasos metros de la playa. Está distribuido en 2 plantas de la siguiente manera: en la planta principal encontramos amplio y luminoso salón-comedor con acceso a una gran terraza cocina independiente equipada con galería con cuarto lavadero un baño completo con plato de ducha y recibidor. Bajando una planta llegamos a 3 dormitorios dobles (uno tipo suite con baño completo con bañera) todos con armarios empotrados uno de ellos con acceso a otra terraza además de otro baño con plato de ducha. El inmueble también dispone de una fantástica terraza tipo solarium de 65 m2 con vistas panorámicas. Además el precio incluye una plaza de aparcamiento en el parking subterráneo en el mismo edificio. La vivienda se encuentra en una finca con bonita zona comunitaria ascensor 2 piscinas (una interna y otra externa) gimnasio y sala para organizar fiestas. Es ideal para familias. Solicita ya tu visita con nosotros!",936172702,Calle Ebre,340000,3
102169961,Piso en Calle Major 23,Piso,"Vivienda de tres dormitorios en segunda línea del Mar en la zona de Jaume I. A tan solo 100m de la playa. Ubicada en una finca SIN ASCENSOR. Consta de salón comedor con salida a la terraza 3 dormitorios dos de ellos dobles y uno individual un baño completo cocina independiente con despensa y salida a un balcón. Dispone de licencia turística y es perfecto para invertir y sacarle rentabilidad. Si desea más información o concertar una visita no dude en contactar en Grupo Domuum estaremos encantados de atenderle. ******************* * El mobiliario los electrodomésticos y la decoración por defecto no están incluidos en el precio de venta. A consultar. ** El precio de venta de publicación no incluye impuestos de transmisiones (10%) ni los gastos de Notaria ni Registro (1.200€ aprox). Incluye los honorarios de la agencia que son a cargo de la parte vendedora. *** Los datos expuestos son orientativos y pueden estar sujetos a errores u omisiones involuntarias. La vivienda se venderá siempre a cuerpo cierto. **** Si hay discrepancias de datos en el anuncio los que prevalecen son los descritos en la descripción de la propiedad. *******************.",877260300,Calle Major 23,160000,3
