Provincia,descrip,Precio,Habitaciones,m²
Asturias,Piso,244000,2,62
Asturias,Chalet,670000,4,324
Asturias,Piso,588000,3,165
Asturias,Chalet,309000,4,395
Asturias,Piso,259000,2,55
Asturias,Piso,535000,6,103
Asturias,Piso,168900,3,77
Asturias,Piso,152000,2,61
Asturias,Piso,249000,2,61
Asturias,Piso,108000,3,229
Asturias,Piso,150000,2,271
Asturias,Piso,229000,3,317
Asturias,Piso,185000,3,64
Asturias,Piso,172500,3,98
Asturias,Piso,480000,5,66
Asturias,Piso,450000,2,68
Asturias,Piso,450000,3,65
Asturias,Chalet,395000,3,287
Asturias,Duplex,179000,2,162
Asturias,Piso,178000,3,201
Asturias,Chalet,500000,7,269
Asturias,Duplex,225000,3,319
Asturias,Chalet,990000,3,499
Asturias,Piso,125000,3,251
Asturias,Piso,260000,3,210
Asturias,Piso,154000,3,168
Asturias,Piso,380000,4,382
Asturias,Piso,420000,4,216
Asturias,Ático,399000,3,284
Asturias,Piso,298000,3,358
Asturias,Piso,239000,4,75
Asturias,Piso,90000,1,85
Asturias,Piso,180000,3,73
Asturias,Chalet,680000,5,87
Asturias,Piso,104900,3,93
Asturias,Piso,113000,3,60
Asturias,Piso,270000,3,81
Asturias,Chalet,690000,4,100
Asturias,Piso,123000,3,94
Asturias,Piso,109000,3,68
Asturias,Piso,209000,2,109
Asturias,Chalet,800000,7,166
Asturias,Piso,259000,3,216
Asturias,Piso,226000,2,250
Asturias,Chalet,449900,5,324
Asturias,Piso,105000,2,464
Asturias,Piso,149000,2,111
Asturias,Piso,166000,2,72
Asturias,Piso,179000,6,107
Asturias,Piso,105000,2,65
Asturias,Chalet,295000,3,235
Asturias,Duplex,575000,4,253
Asturias,Piso,115000,1,384
Asturias,Chalet,725000,5,85
Asturias,Piso,360000,4,100
Asturias,Piso,269950,3,69
Asturias,Ático,238000,2,68
Asturias,Chalet,590000,5,61
Asturias,Piso,340000,3,104
Asturias,Piso,179000,2,196
Asturias,Duplex,210000,5,236
Asturias,Piso,179000,2,279
Asturias,Piso,119000,2,376
Asturias,Ático,245000,3,482
Asturias,Piso,239900,3,55
Asturias,Piso,73999,2,102
Asturias,Piso,135000,3,97
Asturias,Piso,230000,3,119
Asturias,Piso,378000,3,239
Asturias,Chalet,174900,3,174
Asturias,Piso,160000,4,246
Asturias,Piso,103900,2,293
Asturias,Piso,159000,4,254
Asturias,Piso,158000,2,90
Asturias,Piso,170000,3,77
Asturias,Chalet,400000,3,93
Asturias,Piso,129000,3,56
Asturias,Piso,219000,3,189
Asturias,Piso,230000,2,211
Asturias,Piso,129900,3,253
Asturias,Duplex,599000,4,354
Asturias,Chalet,455000,5,481
Asturias,Duplex,449900,4,64
Asturias,Chalet,495000,4,96
Asturias,Chalet,259000,4,89
Asturias,Chalet,399000,6,109
Asturias,Piso,164000,2,211
Asturias,Piso,320000,3,258
Asturias,Chalet,375000,4,313
Asturias,Piso,280000,5,86
Asturias,Piso,249900,4,69
Asturias,Piso,238000,3,97
Asturias,Piso,240000,4,65
Asturias,Chalet,995000,7,83
Asturias,Piso,210000,6,100
Asturias,Piso,140000,2,86
Asturias,Piso,178500,3,96
Asturias,Piso,149500,2,74
Asturias,Piso,250000,3,86
Asturias,Piso,379000,5,50
Asturias,Piso,349000,3,150
Asturias,Chalet,189500,3,246
Asturias,Piso,115000,1,258
Asturias,Piso,128000,2,371
Asturias,Piso,125000,2,404
Asturias,Casa Rural,82000,3,95
Asturias,Piso,175000,3,50
Asturias,Piso,136000,3,69
Asturias,Piso,149900,3,69
Asturias,Piso,118000,3,240
Asturias,Chalet,560000,4,297
Asturias,Piso,150000,3,363
Asturias,Duplex,210000,3,95
Asturias,Chalet,390000,4,88
Asturias,Piso,190000,3,83
Asturias,Piso,209000,3,63
Asturias,Piso,400000,5,92
Asturias,Piso,153900,2,70
Asturias,Piso,329900,4,183
Asturias,Piso,190000,3,247
Asturias,Piso,125000,2,285
Asturias,Piso,183000,2,362
Asturias,Piso,118000,1,473
Asturias,Chalet,264500,3,47
Asturias,Piso,365000,3,64
Asturias,Chalet,2000000,6,105
Asturias,Piso,144900,2,48
Asturias,Piso,89000,2,233
Asturias,Piso,314900,2,289
Asturias,Chalet,325000,1,320
Asturias,Duplex,145900,3,60
Asturias,Piso,205000,2,100
Asturias,Ático,445000,5,91
Asturias,Piso,65000,3,62
Asturias,Piso,155000,3,97
Asturias,Piso,312000,3,101
Asturias,Piso,195000,2,176
Asturias,Duplex,340000,4,209
Asturias,Chalet,680000,4,293
Asturias,Piso,85000,1,360
Asturias,Chalet,998000,6,415
Asturias,Piso,495000,4,85
Asturias,Piso,460000,6,82
Asturias,Piso,123000,2,99
Asturias,Piso,157000,2,88
Asturias,Piso,210000,2,213
Asturias,Piso,106000,3,267
Asturias,Piso,175000,3,302
Asturias,Ático,274000,5,87
Asturias,Piso,185000,3,99
Asturias,Piso,79000,1,81
Asturias,Piso,250000,3,96
Asturias,Duplex,164000,3,94
Asturias,Piso,170000,2,60
Asturias,Ático,1100000,5,82
Asturias,Piso,165000,3,95
Asturias,Piso,115000,3,69
Asturias,Piso,288000,3,96
Asturias,Piso,310000,3,86
Asturias,Piso,335000,4,199
Asturias,Piso,292000,5,236
Asturias,Chalet,299900,4,260
Asturias,Piso,330000,4,323
Asturias,Piso,290000,5,485
Asturias,Piso,125000,3,84
Asturias,Piso,130000,3,87
Asturias,Piso,1200000,7,99
Asturias,Piso,100000,3,48
Asturias,Piso,97000,4,227
Asturias,Piso,220000,3,296
Asturias,Piso,160000,3,359
Asturias,Chalet,520000,4,91
Asturias,Piso,90000,3,90
Asturias,Piso,115000,2,94
Asturias,Piso,140000,3,63
Asturias,Chalet,485000,3,94
Asturias,Ático,134990,2,55
Asturias,Piso,200000,3,131
Asturias,Piso,139000,3,213
Asturias,Duplex,220000,3,285
Asturias,Duplex,265000,4,382
Asturias,Piso,169000,3,477
Asturias,Piso,570000,5,108
Asturias,Chalet,1095000,4,251
Asturias,Piso,185000,1,99
Asturias,Piso,275000,4,58
Asturias,Piso,430000,5,236
Asturias,Piso,89000,3,86
Asturias,Piso,435000,5,246
Asturias,Chalet,660000,5,292
Asturias,Piso,375000,4,257
Asturias,Piso,125000,3,94
Asturias,Piso,109000,2,89
Asturias,Piso,120000,3,82
Asturias,Piso,229000,2,62
Asturias,Piso,199000,3,170
Asturias,Piso,90000,2,205
Asturias,Piso,199000,3,252
Asturias,Piso,259900,3,339
Asturias,Piso,450000,5,491
Asturias,Piso,177000,2,86
Asturias,Piso,465000,5,114
Asturias,Piso,79000,2,73
Asturias,Piso,245000,3,109
Asturias,Piso,162000,3,222
Asturias,Chalet,480000,4,251
Asturias,Chalet,350000,3,394
Asturias,Piso,249000,2,78
Asturias,Piso,350000,4,94
Asturias,Chalet,267000,6,91
Asturias,Piso,230000,3,91
Asturias,Piso,410000,4,78
Asturias,Duplex,340000,4,90
Asturias,Piso,185000,3,63
Asturias,Piso,160000,3,83
Asturias,Chalet,65000,1,60
Asturias,Piso,135000,3,64
Asturias,Piso,106000,3,77
Asturias,Piso,190000,4,161
Asturias,Piso,180000,3,219
Asturias,Piso,92000,2,289
Asturias,Piso,435000,3,313
Asturias,Piso,95000,1,437
Asturias,Piso,150000,4,94
Asturias,Piso,860000,7,70
Asturias,Duplex,365000,4,107
Asturias,Piso,400000,4,67
Asturias,Piso,416000,4,247
Asturias,Piso,167000,3,274
Asturias,Duplex,154000,3,341
Asturias,Chalet,399000,7,67
Asturias,Piso,250000,5,92
Asturias,Chalet,125000,2,99
Asturias,Piso,595000,3,68
Asturias,Piso,180000,2,61
Asturias,Piso,108000,3,78
Asturias,Piso,138000,2,136
Asturias,Piso,199000,3,224
Asturias,Piso,158000,2,262
Asturias,Duplex,395000,3,379
Asturias,Piso,206000,4,470
Asturias,Piso,220000,3,98
Asturias,Piso,126900,3,182
Asturias,Piso,115000,3,117
Asturias,Piso,280000,5,67
Asturias,Piso,90000,1,250
Asturias,Duplex,130000,3,269
Asturias,Piso,105000,3,361
Asturias,Piso,156900,3,97
Asturias,Piso,85000,3,67
Asturias,Piso,260000,2,96
Asturias,Piso,650000,5,73
Asturias,Piso,148000,3,90
Asturias,Piso,159000,3,66
Asturias,Piso,105000,2,191
Asturias,Piso,225000,4,233
Asturias,Chalet,375000,3,300
Asturias,Piso,195000,4,348
Asturias,Piso,220000,3,468
Asturias,Chalet,374000,3,50
Asturias,Ático,240000,3,90
Asturias,Piso,139000,3,56
Asturias,Chalet,410000,2,58
Asturias,Piso,110000,2,237
Asturias,Ático,525000,4,263
Asturias,Piso,295000,3,326
Asturias,Piso,165000,2,88
Asturias,Chalet,425000,7,83
Asturias,Piso,135000,3,75
Asturias,Chalet,370000,3,174
Asturias,Piso,247000,3,63
Asturias,Piso,139000,2,74
Asturias,Piso,240000,3,95
Asturias,Piso,149999,3,96
Asturias,Piso,79900,2,84
Asturias,Piso,94900,3,85
Asturias,Piso,149900,3,76
Asturias,Piso,260000,4,129
Asturias,Piso,179000,3,216
Asturias,Piso,320000,3,287
Asturias,Piso,150000,3,306
Asturias,Piso,100000,2,488
Asturias,Piso,420000,3,118
Asturias,Piso,70000,1,86
Asturias,Piso,675000,10,55
Asturias,Piso,990000,6,96
Asturias,Piso,340000,3,247
Asturias,Piso,75000,2,291
Asturias,Piso,180000,2,358
Asturias,Piso,129000,1,91
Asturias,Piso,120000,2,98
Asturias,Duplex,164000,3,86
Asturias,Piso,169900,3,75
Asturias,Piso,155000,2,88
Asturias,Piso,250000,3,85
Asturias,Ático,165000,1,199
Asturias,Piso,165000,3,227
Asturias,Chalet,990000,4,258
Asturias,Piso,140000,3,313
Asturias,Piso,133000,3,414
Asturias,Piso,89000,3,48
Asturias,Piso,375000,4,60
Asturias,Piso,130000,2,78
Asturias,Piso,134000,2,50
Asturias,Chalet,3300000,10,206
Asturias,Piso,190000,1,63
Asturias,Piso,139000,2,228
Asturias,Chalet,990000,5,298
Asturias,Piso,119000,2,290
Asturias,Piso,132000,2,89
Asturias,Piso,140000,1,76
Asturias,Chalet,725000,5,89
Asturias,Piso,143000,3,63
Asturias,Ático,370000,3,143
Asturias,Chalet,1150000,5,228
Asturias,Duplex,114900,2,300
Asturias,Piso,380000,4,328
Asturias,Piso,88600,3,420
Asturias,Piso,390000,5,60
Asturias,Chalet,570000,5,102
Asturias,Piso,180000,4,65
Asturias,Piso,192000,2,54
Asturias,Ático,225000,3,240
Asturias,Piso,157000,2,295
Asturias,Chalet,400000,4,330
Asturias,Piso,130000,2,86
Asturias,Piso,225000,3,62
Asturias,Piso,170000,2,69
Asturias,Piso,120000,3,189
Asturias,Piso,155000,2,81
Asturias,Piso,225000,2,69
Asturias,Chalet,320000,3,99
Asturias,Piso,198000,3,68
Asturias,Piso,128000,2,84
Asturias,Chalet,399000,4,99
Asturias,Piso,169000,2,46
Asturias,Piso,135000,2,197
Asturias,Piso,134000,2,225
Asturias,Piso,179900,3,297
Asturias,Piso,135900,3,322
Asturias,Piso,168900,3,452
Asturias,Piso,149000,3,104
Asturias,Piso,155000,3,45
Asturias,Piso,550000,4,83
Asturias,Piso,418000,6,87
Asturias,Piso,109000,1,239
Asturias,Piso,118800,1,299
Asturias,Piso,148000,1,370
Asturias,Piso,135000,2,71
Asturias,Ático,450000,3,98
Asturias,Piso,187000,3,64
Asturias,Piso,149000,3,96
Asturias,Piso,249000,2,90
Asturias,Piso,149000,3,93
Asturias,Piso,190000,3,141
Asturias,Piso,149000,3,232
Asturias,Duplex,229000,3,282
Asturias,Piso,71900,1,307
Asturias,Estudio,95500,0,404
Asturias,Piso,183000,2,70
Asturias,Ático,725000,3,71
Asturias,Piso,250000,2,70
Asturias,Piso,180000,1,79
Asturias,Piso,250000,2,225
Asturias,Chalet,1349000,4,287
Asturias,Piso,190000,2,68
Asturias,Chalet,2100000,3,182
Asturias,Piso,335000,4,95
Asturias,Piso,199995,5,78
Asturias,Piso,219999,2,66
Asturias,Piso,118000,3,85
Asturias,Piso,84990,1,114
Asturias,Piso,139900,2,197
Asturias,Piso,288000,3,211
Asturias,Piso,99000,3,252
Asturias,Piso,120000,3,387
Asturias,Piso,109000,2,437
