com. autonoma,provincia,descripción,precio,habitaciones,m²
Cantabria,Cantabria,Piso,259000,3,110
Cantabria,Cantabria,Chalet,395000,7,425
Cantabria,Cantabria,Dúplex,109000,2,72
Cantabria,Cantabria,Chalet,280000,6,186
Cantabria,Cantabria,Dúplex,125000,2,65
Cantabria,Cantabria,Chalet,250000,4,135
Cantabria,Cantabria,Chalet,268000,4,210
Cantabria,Cantabria,Piso,280000,6,240
Cantabria,Cantabria,Chalet,319000,4,175
Cantabria,Cantabria,Piso,365400,2,95
Cantabria,Cantabria,Chalet,65000,5,414
Cantabria,Cantabria,Dúplex,164000,3,115
Cantabria,Cantabria,Chalet,370000,5,230
Cantabria,Cantabria,Chalet,580000,5,463
Cantabria,Cantabria,Ático,249000,2,84
Cantabria,Cantabria,Chalet,350000,5,250
Cantabria,Cantabria,Chalet,60000,3,278
Cantabria,Cantabria,Ático,280000,2,96
Cantabria,Cantabria,Chalet,269000,4,185
Cantabria,Cantabria,Piso,175000,3,108
Cantabria,Cantabria,Chalet,272000,4,225
Cantabria,Cantabria,Piso,95000,3,84
Cantabria,Cantabria,Chalet,223000,4,220
Cantabria,Cantabria,Chalet,750000,5,500
Cantabria,Cantabria,Chalet,248000,3,130
Cantabria,Cantabria,Piso,175000,2,70
Cantabria,Cantabria,Chalet,249000,4,210
Cantabria,Cantabria,Finca,179000,3,106
Cantabria,Cantabria,Chalet,99900,3,152
Cantabria,Cantabria,Piso,89000,2,80
Cantabria,Cantabria,Chalet,800000,12,736
Cantabria,Cantabria,Piso,286000,2,110
Cantabria,Cantabria,Piso,112800,2,60
Cantabria,Cantabria,Caserón,787000,10,700
Cantabria,Cantabria,Piso,995000,3,152
Cantabria,Cantabria,Piso,135000,2,60
Cantabria,Cantabria,Ático,105000,3,94
Cantabria,Cantabria,Piso,129000,2,79
Cantabria,Cantabria,Caserón,1150000,11,41
Cantabria,Cantabria,Piso,240000,3,104
Cantabria,Cantabria,Chalet,110000,3,128
Cantabria,Cantabria,Chalet,490000,4,260
Cantabria,Cantabria,Piso,119000,2,113
Cantabria,Cantabria,Chalet,280000,7,265
Cantabria,Cantabria,Chalet,1400000,5,700
Cantabria,Cantabria,Piso,165000,2,69
Cantabria,Cantabria,Piso,160000,2,94
Cantabria,Cantabria,Piso,176000,2,65
Cantabria,Cantabria,Chalet,335000,3,188
Cantabria,Cantabria,Chalet,159000,3,130
Cantabria,Cantabria,Piso,258000,2,88
Cantabria,Cantabria,Piso,99900,2,80
Cantabria,Cantabria,Piso,225000,3,95
Cantabria,Cantabria,Chalet,275000,3,200
Cantabria,Cantabria,Piso,103000,3,83
Cantabria,Cantabria,Piso,124000,3,65
Cantabria,Cantabria,Dúplex,300000,3,118
Cantabria,Cantabria,Chalet,365000,4,180
Cantabria,Cantabria,Piso,89900,3,93
Cantabria,Cantabria,Piso,240000,4,466
Cantabria,Cantabria,Piso,89900,1,60
Cantabria,Cantabria,Piso,130000,1,56
Cantabria,Cantabria,Piso,175000,3,82
Cantabria,Cantabria,Chalet,299000,3,187
Cantabria,Cantabria,Piso,229000,2,151
Cantabria,Cantabria,Chalet,324990,3,230
Cantabria,Cantabria,Piso,270000,6,114
Cantabria,Cantabria,Chalet,325000,3,200
Cantabria,Cantabria,Piso,156000,3,105
Cantabria,Cantabria,Piso,129900,2,75
Cantabria,Cantabria,Piso,195000,3,76
Cantabria,Cantabria,Chalet,280000,7,331
Cantabria,Cantabria,Piso,200000,5,132
Cantabria,Cantabria,Piso,800000,3,860
Cantabria,Cantabria,Chalet,620000,7,550
Cantabria,Cantabria,Chalet,440000,4,181
Cantabria,Cantabria,Piso,525000,4,150
Cantabria,Cantabria,Chalet,190000,3,95
Cantabria,Cantabria,Piso,159000,1,57
Cantabria,Cantabria,Piso,257500,2,75
Cantabria,Cantabria,Piso,76000,2,55
Cantabria,Cantabria,Chalet,410000,4,250
Cantabria,Cantabria,Piso,275000,1,55
Cantabria,Cantabria,Chalet,54000,2,80
Cantabria,Cantabria,Piso,152000,3,70
Cantabria,Cantabria,Piso,206000,3,95
Cantabria,Cantabria,Chalet,370000,5,250
Cantabria,Cantabria,Chalet,320000,4,220
Cantabria,Cantabria,Piso,185000,3,97
Cantabria,Cantabria,Chalet,695000,6,360
Cantabria,Cantabria,Piso,76000,2,72
Cantabria,Cantabria,Piso,125000,4,105
Cantabria,Cantabria,Chalet,325000,3,350
Cantabria,Cantabria,Chalet,275000,5,192
Cantabria,Cantabria,Chalet,265000,3,270
Cantabria,Cantabria,Chalet,980000,6,350
Cantabria,Cantabria,Chalet,449000,6,383
Cantabria,Cantabria,Piso,199900,2,67
Cantabria,Cantabria,Piso,145000,3,107
Cantabria,Cantabria,Chalet,299000,4,265
Cantabria,Cantabria,Piso,135000,3,80
Cantabria,Cantabria,Piso,184900,2,74
Cantabria,Cantabria,Piso,89000,3,80
Cantabria,Cantabria,Dúplex,154000,3,66
Cantabria,Cantabria,Piso,235000,4,115
Cantabria,Cantabria,Chalet,339000,5,250
Cantabria,Cantabria,Piso,395000,3,121
Cantabria,Cantabria,Piso,170000,2,69
Cantabria,Cantabria,Estudio,250000,0,200
Cantabria,Cantabria,Piso,370000,3,140
Cantabria,Cantabria,Piso,300000,4,140
Cantabria,Cantabria,Piso,345000,3,111
Cantabria,Cantabria,Piso,210000,3,105
Cantabria,Cantabria,Chalet,265000,5,280
Cantabria,Cantabria,Chalet,624000,3,800
Cantabria,Cantabria,Chalet,780000,9,326
Cantabria,Cantabria,Piso,625000,4,202
Cantabria,Cantabria,Chalet,1175000,5,473
Cantabria,Cantabria,Piso,225000,3,98
Cantabria,Cantabria,Piso,89000,3,90
