com. autonoma,provincia,descripción,precio,habitaciones,m²
Andalucía,Córdoba,Chalet,245000,4,200
Andalucía,Córdoba,Chalet,450000,4,277
Andalucía,Córdoba,Chalet,794000,6,777
Andalucía,Córdoba,Piso,120000,4,107
Andalucía,Córdoba,Piso,118500,3,69
Andalucía,Córdoba,Piso,59900,3,82
Andalucía,Córdoba,Piso,115500,3,107
Andalucía,Córdoba,Piso,189900,3,113
Andalucía,Córdoba,Piso,124000,3,88
Andalucía,Córdoba,Piso,169000,3,95
Andalucía,Córdoba,Piso,103000,3,89
Andalucía,Córdoba,Dúplex,149900,3,82
Andalucía,Córdoba,Piso,159000,2,74
Andalucía,Córdoba,Dúplex,374900,5,142
Andalucía,Córdoba,Chalet,225000,3,93
Andalucía,Córdoba,Piso,130000,2,67
Andalucía,Córdoba,Piso,89000,3,64
Andalucía,Córdoba,Piso,129000,4,100
Andalucía,Córdoba,Piso,105000,1,73
Andalucía,Córdoba,Piso,168500,3,91
Andalucía,Córdoba,Chalet,244900,4,249
Andalucía,Córdoba,Piso,100000,2,57
Andalucía,Córdoba,Piso,135000,3,77
Andalucía,Córdoba,Piso,195000,3,92
Andalucía,Córdoba,Piso,75000,1,83
Andalucía,Córdoba,Piso,119900,2,73
Andalucía,Córdoba,Piso,305000,2,112
Andalucía,Córdoba,Dúplex,130000,3,106
Andalucía,Córdoba,Ático,184900,3,85
Andalucía,Córdoba,Chalet,225000,5,147
Andalucía,Córdoba,Piso,75000,2,51
Andalucía,Córdoba,Piso,109000,2,72
Andalucía,Córdoba,Piso,95000,3,89
Andalucía,Córdoba,Piso,209600,3,109
Andalucía,Córdoba,Piso,212300,3,110
Andalucía,Córdoba,Piso,184950,2,95
Andalucía,Córdoba,Dúplex,299900,3,144
Andalucía,Córdoba,Piso,216000,3,105
Andalucía,Córdoba,Piso,236640,3,138
Andalucía,Córdoba,Piso,244000,3,111
Andalucía,Córdoba,Piso,347000,3,185
Andalucía,Córdoba,Chalet,185000,3,134
Andalucía,Córdoba,Piso,179500,3,112
Andalucía,Córdoba,Chalet,75000,3,90
Andalucía,Córdoba,Piso,134900,3,77
Andalucía,Córdoba,Piso,119000,3,91
Andalucía,Córdoba,Piso,149000,3,101
Andalucía,Córdoba,Piso,87000,3,83
Andalucía,Córdoba,Piso,72000,3,84
Andalucía,Córdoba,Piso,190000,3,129
Andalucía,Córdoba,Piso,86900,3,60
Andalucía,Córdoba,Piso,86000,2,76
Andalucía,Córdoba,Piso,78900,3,87
Andalucía,Córdoba,Piso,115000,4,109
Andalucía,Córdoba,Piso,109000,2,54
Andalucía,Córdoba,Piso,195000,3,119
Andalucía,Córdoba,Piso,199500,3,86
Andalucía,Córdoba,Piso,69000,3,61
Andalucía,Córdoba,Piso,139000,2,80
Andalucía,Córdoba,Estudio,86000,0,49
Andalucía,Córdoba,Chalet,178000,4,104
Andalucía,Córdoba,Piso,148000,3,85
Andalucía,Córdoba,Chalet,395000,5,332
Andalucía,Córdoba,Piso,240000,4,169
Andalucía,Córdoba,Piso,165000,2,80
Andalucía,Córdoba,Piso,266000,4,179
Andalucía,Córdoba,Chalet,179900,2,121
Andalucía,Córdoba,Chalet,460000,3,300
Andalucía,Córdoba,Chalet,192000,4,137
Andalucía,Córdoba,Chalet,240000,5,136
Andalucía,Córdoba,Piso,88000,3,89
Andalucía,Córdoba,Chalet,250000,5,302
Andalucía,Córdoba,Piso,164000,2,70
Andalucía,Córdoba,Piso,165000,3,141
Andalucía,Córdoba,Piso,129990,3,85
Andalucía,Córdoba,Chalet,143000,3,180
Andalucía,Córdoba,Chalet,625000,7,423
Andalucía,Córdoba,Chalet,360000,8,295
Andalucía,Córdoba,Piso,235000,3,137
Andalucía,Córdoba,Chalet,154000,4,244
Andalucía,Córdoba,Piso,86000,2,65
Andalucía,Córdoba,Piso,116000,3,90
Andalucía,Córdoba,Piso,220000,5,180
Andalucía,Córdoba,Piso,123000,3,70
Andalucía,Córdoba,Piso,192000,3,115
Andalucía,Córdoba,Piso,188000,3,97
Andalucía,Córdoba,Piso,85000,3,80
Andalucía,Córdoba,Piso,79990,3,70
Andalucía,Córdoba,Piso,90000,3,107
Andalucía,Córdoba,Chalet,160000,3,120
Andalucía,Córdoba,Piso,130000,3,82
Andalucía,Córdoba,Piso,77900,3,127
Andalucía,Córdoba,Piso,222750,3,172
Andalucía,Córdoba,Piso,95000,3,90
Andalucía,Córdoba,Piso,140000,1,51
Andalucía,Córdoba,Piso,143900,3,98
Andalucía,Córdoba,Chalet,315000,6,400
Andalucía,Córdoba,Piso,99000,3,85
Andalucía,Córdoba,Chalet,36900,3,126
Andalucía,Córdoba,Chalet,20000,2,151
Andalucía,Córdoba,Piso,95000,3,99
Andalucía,Córdoba,Piso,220000,4,157
Andalucía,Córdoba,Piso,82000,3,74
Andalucía,Córdoba,Piso,395000,4,205
Andalucía,Córdoba,Cortijo,945000,4,602
Andalucía,Córdoba,Piso,159900,3,119
Andalucía,Córdoba,Piso,199900,4,138
Andalucía,Córdoba,Piso,139999,2,74
Andalucía,Córdoba,Chalet,75000,2,93
Andalucía,Córdoba,Chalet,75000,5,197
Andalucía,Córdoba,Estudio,79000,0,50
Andalucía,Córdoba,Piso,198100,3,114
Andalucía,Córdoba,Piso,182200,2,96
Andalucía,Córdoba,Piso,270000,4,130
Andalucía,Córdoba,Piso,169000,2,75
Andalucía,Córdoba,Piso,352000,4,216
Andalucía,Córdoba,Piso,172500,2,85
Andalucía,Córdoba,Piso,194500,3,108
Andalucía,Córdoba,Chalet,496500,3,240
Andalucía,Córdoba,Chalet,520000,4,290
Andalucía,Córdoba,Dúplex,180000,3,137
Andalucía,Córdoba,Dúplex,175000,3,139
Andalucía,Córdoba,Chalet,517000,3,240
Andalucía,Córdoba,Chalet,89000,3,169
Andalucía,Córdoba,Casa,325000,3,130
