com. autonoma,provincia,descripción,precio,habitaciones,m²
Islas Baleares,Islas Baleares,Piso,290000,2,61
Islas Baleares,Islas Baleares,Chalet,2985000,5,403
Islas Baleares,Islas Baleares,Ático,1395000,3,113
Islas Baleares,Islas Baleares,Piso,380000,4,71
Islas Baleares,Islas Baleares,Piso,290000,3,278
Islas Baleares,Islas Baleares,Chalet,165000,2,48
Islas Baleares,Islas Baleares,Piso,220000,2,75
Islas Baleares,Islas Baleares,Duplex,1250000,4,64
Islas Baleares,Islas Baleares,Ático,475000,3,120
Islas Baleares,Islas Baleares,Casa Rural,8975000,12,278
Islas Baleares,Islas Baleares,Piso,409000,2,77
Islas Baleares,Islas Baleares,Piso,276000,2,101
Islas Baleares,Islas Baleares,Chalet,790000,5,67
Islas Baleares,Islas Baleares,Casa Rural,450000,3,100
Islas Baleares,Islas Baleares,Casa Rural,3250000,2,86
Islas Baleares,Islas Baleares,Piso,385000,2,86
Islas Baleares,Islas Baleares,Casa Rural,570000,2,255
Islas Baleares,Islas Baleares,Piso,1600000,2,203
Islas Baleares,Islas Baleares,Piso,3000000,3,97
Islas Baleares,Islas Baleares,Piso,340000,3,471
Islas Baleares,Islas Baleares,Casa Rural,6000000,7,207
Islas Baleares,Islas Baleares,Piso,225000,2,275
Islas Baleares,Islas Baleares,Piso,335000,3,86
Islas Baleares,Islas Baleares,Piso,780000,3,81
Islas Baleares,Islas Baleares,Chalet,565000,4,294
Islas Baleares,Islas Baleares,Casa Rural,2450000,5,77
Islas Baleares,Islas Baleares,Piso,3600000,4,206
Islas Baleares,Islas Baleares,Piso,795000,3,180
Islas Baleares,Islas Baleares,Piso,260000,4,271
Islas Baleares,Islas Baleares,Chalet,450000,2,76
Islas Baleares,Islas Baleares,Chalet,1800000,4,64
Islas Baleares,Islas Baleares,Piso,399000,3,96
Islas Baleares,Islas Baleares,Chalet,1800000,4,66
Islas Baleares,Islas Baleares,Piso,650000,4,454
Islas Baleares,Islas Baleares,Ático,399000,2,475
Islas Baleares,Islas Baleares,Ático,825000,3,254
Islas Baleares,Islas Baleares,Chalet,1395000,3,207
Islas Baleares,Islas Baleares,Piso,395000,3,81
Islas Baleares,Islas Baleares,Casa Rural,795000,3,78
Islas Baleares,Islas Baleares,Piso,272000,2,56
Islas Baleares,Islas Baleares,Chalet,595000,3,322
Islas Baleares,Islas Baleares,Chalet,295000,4,82
Islas Baleares,Islas Baleares,Piso,440000,2,92
Islas Baleares,Islas Baleares,Chalet,3500000,8,79
Islas Baleares,Islas Baleares,Piso,390000,2,85
Islas Baleares,Islas Baleares,Chalet,380000,2,336
Islas Baleares,Islas Baleares,Piso,340000,2,306
Islas Baleares,Islas Baleares,Chalet,1220000,5,89
Islas Baleares,Islas Baleares,Piso,699000,5,312
Islas Baleares,Islas Baleares,Casa Rural,990000,3,246
Islas Baleares,Islas Baleares,Casa Rural,3800000,4,105
Islas Baleares,Islas Baleares,Piso,525000,3,67
Islas Baleares,Islas Baleares,Chalet,3900000,5,391
Islas Baleares,Islas Baleares,Chalet,219000,2,74
Islas Baleares,Islas Baleares,Ático,462000,4,72
Islas Baleares,Islas Baleares,Chalet,380000,2,72
Islas Baleares,Islas Baleares,Piso,330000,2,73
Islas Baleares,Islas Baleares,Casa Rural,2600000,4,248
Islas Baleares,Islas Baleares,Chalet,2850000,4,86
Islas Baleares,Islas Baleares,Casa Rural,1700000,3,69
Islas Baleares,Islas Baleares,Piso,785000,4,104
Islas Baleares,Islas Baleares,Chalet,1300000,6,189
Islas Baleares,Islas Baleares,Chalet,1295000,5,137
Islas Baleares,Islas Baleares,Ático,540000,4,294
Islas Baleares,Islas Baleares,Casa Rural,1890000,3,50
Islas Baleares,Islas Baleares,Chalet,805000,6,64
Islas Baleares,Islas Baleares,Chalet,510000,2,76
Islas Baleares,Islas Baleares,Piso,230000,2,97
Islas Baleares,Islas Baleares,Chalet,990000,4,91
Islas Baleares,Islas Baleares,Chalet,2950000,8,63
Islas Baleares,Islas Baleares,Piso,750000,3,95
Islas Baleares,Islas Baleares,Piso,545000,3,338
Islas Baleares,Islas Baleares,Chalet,245000,6,120
Islas Baleares,Islas Baleares,Piso,425000,2,92
Islas Baleares,Islas Baleares,Chalet,3200000,5,210
Islas Baleares,Islas Baleares,Piso,380000,3,73
Islas Baleares,Islas Baleares,Chalet,1975000,4,69
Islas Baleares,Islas Baleares,Chalet,770000,4,83
Islas Baleares,Islas Baleares,Piso,1000000,2,345
Islas Baleares,Islas Baleares,Piso,1900000,3,386
Islas Baleares,Islas Baleares,Chalet,3400000,10,446
Islas Baleares,Islas Baleares,Piso,269000,2,439
Islas Baleares,Islas Baleares,Piso,450000,3,62
Islas Baleares,Islas Baleares,Chalet,3690000,4,469
Islas Baleares,Islas Baleares,Piso,585000,3,182
Islas Baleares,Islas Baleares,Ático,1850000,5,359
Islas Baleares,Islas Baleares,Chalet,860000,4,82
Islas Baleares,Islas Baleares,Chalet,1650000,4,90
Islas Baleares,Islas Baleares,Ático,1100000,3,368
Islas Baleares,Islas Baleares,Chalet,1400000,6,303
Islas Baleares,Islas Baleares,Chalet,3650000,4,95
Islas Baleares,Islas Baleares,Chalet,890000,4,96
Islas Baleares,Islas Baleares,Piso,1195000,2,257
Islas Baleares,Islas Baleares,Piso,348000,3,190
Islas Baleares,Islas Baleares,Chalet,1790000,5,138
Islas Baleares,Islas Baleares,Duplex,295000,3,83
Islas Baleares,Islas Baleares,Piso,1155000,3,60
Islas Baleares,Islas Baleares,Piso,2150000,2,74
Islas Baleares,Islas Baleares,Chalet,280000,4,116
Islas Baleares,Islas Baleares,Casa Rural,750000,3,236
Islas Baleares,Islas Baleares,Piso,595000,2,236
Islas Baleares,Islas Baleares,Casa Rural,450000,6,91
Islas Baleares,Islas Baleares,Chalet,545000,3,354
Islas Baleares,Islas Baleares,Chalet,750000,3,376
Islas Baleares,Islas Baleares,Casa Rural,1900000,5,302
Islas Baleares,Islas Baleares,Chalet,1100000,3,213
Islas Baleares,Islas Baleares,Chalet,342000,4,183
Islas Baleares,Islas Baleares,Piso,610000,4,259
Islas Baleares,Islas Baleares,Duplex,1475000,4,94
Islas Baleares,Islas Baleares,Chalet,790000,7,98
Islas Baleares,Islas Baleares,Casa Rural,850000,4,111
Islas Baleares,Islas Baleares,Chalet,530000,3,182
Islas Baleares,Islas Baleares,Chalet,645000,3,90
Islas Baleares,Islas Baleares,Chalet,219000,2,83
Islas Baleares,Islas Baleares,Chalet,615000,4,67
Islas Baleares,Islas Baleares,Chalet,1350000,4,82
Islas Baleares,Islas Baleares,Ático,665000,4,68
Islas Baleares,Islas Baleares,Casa Rural,750000,3,84
Islas Baleares,Islas Baleares,Chalet,3550000,7,387
Islas Baleares,Islas Baleares,Piso,785000,4,254
Islas Baleares,Islas Baleares,Casa Rural,3500000,12,67
Islas Baleares,Islas Baleares,Piso,443000,3,189
Islas Baleares,Islas Baleares,Piso,367000,3,487
Islas Baleares,Islas Baleares,Chalet,1995000,8,266
Islas Baleares,Islas Baleares,Chalet,3200000,7,481
Islas Baleares,Islas Baleares,Ático,375000,3,106
Islas Baleares,Islas Baleares,Chalet,1200000,7,498
Islas Baleares,Islas Baleares,Chalet,750000,4,72
Islas Baleares,Islas Baleares,Chalet,635000,3,352
Islas Baleares,Islas Baleares,Chalet,2150000,6,222
Islas Baleares,Islas Baleares,Duplex,320000,4,193
Islas Baleares,Islas Baleares,Casa Rural,1750000,5,89
Islas Baleares,Islas Baleares,Piso,280000,3,471
Islas Baleares,Islas Baleares,Piso,234000,2,88
Islas Baleares,Islas Baleares,Chalet,680000,4,90
Islas Baleares,Islas Baleares,Piso,2000000,8,66
