com. autonoma,provincia,descripción,precio,habitaciones,m²
La Rioja,La Rioja,Piso,44000,2,73
La Rioja,La Rioja,Piso,325000,4,83
La Rioja,La Rioja,Piso,210000,3,46
La Rioja,La Rioja,Estudio,105000,0,91
La Rioja,La Rioja,Piso,70000,3,60
La Rioja,La Rioja,Piso,192200,2,76
La Rioja,La Rioja,Piso,138000,2,85
La Rioja,La Rioja,Chalet,450000,4,226
La Rioja,La Rioja,Chalet,79500,2,82
La Rioja,La Rioja,Piso,140000,2,100
La Rioja,La Rioja,Piso,290000,2,63
La Rioja,La Rioja,Duplex,190000,3,207
La Rioja,La Rioja,Chalet,566000,3,436
La Rioja,La Rioja,Piso,115000,2,370
La Rioja,La Rioja,Chalet,320000,12,56
La Rioja,La Rioja,Piso,129000,2,48
La Rioja,La Rioja,Piso,115000,2,100
La Rioja,La Rioja,Chalet,650000,5,77
La Rioja,La Rioja,Chalet,199000,6,136
La Rioja,La Rioja,Piso,250000,3,64
La Rioja,La Rioja,Estudio,150000,0,73
La Rioja,La Rioja,Piso,180000,3,226
La Rioja,La Rioja,Chalet,109000,5,160
La Rioja,La Rioja,Piso,275000,5,282
La Rioja,La Rioja,Piso,109000,3,359
La Rioja,La Rioja,Piso,125000,2,354
La Rioja,La Rioja,Piso,94900,3,82
La Rioja,La Rioja,Piso,392000,2,98
La Rioja,La Rioja,Chalet,365000,4,327
La Rioja,La Rioja,Piso,130000,2,305
La Rioja,La Rioja,Piso,249000,5,369
La Rioja,La Rioja,Piso,207000,3,214
La Rioja,La Rioja,Duplex,420000,3,105
La Rioja,La Rioja,Ático,459000,4,60
La Rioja,La Rioja,Piso,180000,3,84
La Rioja,La Rioja,Piso,299000,4,284
La Rioja,La Rioja,Piso,175000,3,58
La Rioja,La Rioja,Piso,98000,3,62
La Rioja,La Rioja,Piso,89000,3,230
La Rioja,La Rioja,Piso,185000,4,274
La Rioja,La Rioja,Piso,262000,2,107
La Rioja,La Rioja,Piso,220000,3,362
La Rioja,La Rioja,Piso,90000,2,299
La Rioja,La Rioja,Piso,285000,3,405
La Rioja,La Rioja,Chalet,150000,2,202
La Rioja,La Rioja,Piso,76500,1,94
La Rioja,La Rioja,Piso,160000,4,88
La Rioja,La Rioja,Chalet,650000,4,98
La Rioja,La Rioja,Piso,68000,3,49
La Rioja,La Rioja,Piso,226000,3,91
La Rioja,La Rioja,Piso,460000,3,434
La Rioja,La Rioja,Piso,214000,3,83
La Rioja,La Rioja,Piso,56000,3,62
La Rioja,La Rioja,Piso,229000,6,248
La Rioja,La Rioja,Piso,90000,2,71
La Rioja,La Rioja,Piso,93000,3,240
La Rioja,La Rioja,Piso,98000,3,73
La Rioja,La Rioja,Piso,579000,4,67
La Rioja,La Rioja,Piso,185000,3,264
La Rioja,La Rioja,Piso,230000,3,189
La Rioja,La Rioja,Estudio,123800,0,93
La Rioja,La Rioja,Piso,275000,2,86
La Rioja,La Rioja,Piso,235000,2,369
La Rioja,La Rioja,Duplex,78000,3,318
La Rioja,La Rioja,Piso,330000,3,45
La Rioja,La Rioja,Piso,135000,3,69
La Rioja,La Rioja,Duplex,80000,4,75
La Rioja,La Rioja,Piso,485000,3,66
La Rioja,La Rioja,Piso,155000,3,300
La Rioja,La Rioja,Piso,249000,3,406
La Rioja,La Rioja,Piso,125000,2,285
La Rioja,La Rioja,Piso,349000,4,86
La Rioja,La Rioja,Chalet,595000,6,294
La Rioja,La Rioja,Piso,199000,2,352
La Rioja,La Rioja,Piso,45000,2,226
La Rioja,La Rioja,Piso,315000,3,100
La Rioja,La Rioja,Piso,130000,3,263
La Rioja,La Rioja,Piso,95000,3,76
La Rioja,La Rioja,Casa Rural,600000,5,96
La Rioja,La Rioja,Piso,130000,3,71
La Rioja,La Rioja,Chalet,220000,3,68
La Rioja,La Rioja,Piso,155000,4,95
La Rioja,La Rioja,Piso,165000,4,386
La Rioja,La Rioja,Piso,162900,3,66
La Rioja,La Rioja,Piso,73000,2,351
La Rioja,La Rioja,Chalet,180000,5,197
La Rioja,La Rioja,Piso,68500,3,204
La Rioja,La Rioja,Piso,178000,3,63
La Rioja,La Rioja,Piso,154000,3,61
La Rioja,La Rioja,Piso,295000,3,73
La Rioja,La Rioja,Casa Rural,17000,6,116
La Rioja,La Rioja,Chalet,85000,2,79
La Rioja,La Rioja,Piso,230000,5,143
La Rioja,La Rioja,Piso,135000,3,104
La Rioja,La Rioja,Piso,625000,4,71
La Rioja,La Rioja,Piso,56000,3,203
La Rioja,La Rioja,Piso,249500,3,77
La Rioja,La Rioja,Duplex,350000,3,66
La Rioja,La Rioja,Piso,210000,2,262
La Rioja,La Rioja,Chalet,65000,4,89
La Rioja,La Rioja,Piso,185000,3,70
La Rioja,La Rioja,Piso,169000,3,187
La Rioja,La Rioja,Piso,133000,1,264
La Rioja,La Rioja,Piso,74900,3,92
La Rioja,La Rioja,Piso,239000,3,80
La Rioja,La Rioja,Piso,149000,2,491
La Rioja,La Rioja,Chalet,135000,3,65
La Rioja,La Rioja,Piso,105000,2,118
La Rioja,La Rioja,Piso,225000,3,294
La Rioja,La Rioja,Piso,83000,2,75
La Rioja,La Rioja,Duplex,225000,3,87
La Rioja,La Rioja,Piso,145000,4,250
La Rioja,La Rioja,Piso,155000,3,259
La Rioja,La Rioja,Piso,109000,2,222
La Rioja,La Rioja,Piso,159500,3,165
La Rioja,La Rioja,Piso,225000,4,236
La Rioja,La Rioja,Piso,99000,3,87
La Rioja,La Rioja,Piso,43000,3,349
La Rioja,La Rioja,Piso,120000,3,60
La Rioja,La Rioja,Piso,130000,3,333
La Rioja,La Rioja,Piso,120000,2,240
La Rioja,La Rioja,Piso,139990,4,212
La Rioja,La Rioja,Piso,310000,4,127
La Rioja,La Rioja,Piso,299000,3,287
La Rioja,La Rioja,Chalet,175000,3,72
La Rioja,La Rioja,Chalet,130000,3,226
La Rioja,La Rioja,Piso,150000,3,91
La Rioja,La Rioja,Chalet,357000,4,161
La Rioja,La Rioja,Piso,53000,2,185
La Rioja,La Rioja,Piso,140000,3,81
La Rioja,La Rioja,Piso,290000,3,239
La Rioja,La Rioja,Piso,155000,4,55
La Rioja,La Rioja,Piso,71000,3,182
La Rioja,La Rioja,Piso,193000,3,358
La Rioja,La Rioja,Piso,105000,1,344
La Rioja,La Rioja,Chalet,185000,8,67
La Rioja,La Rioja,Chalet,159000,3,317
La Rioja,La Rioja,Piso,145000,2,230
La Rioja,La Rioja,Chalet,320000,4,265
La Rioja,La Rioja,Chalet,600000,5,74
La Rioja,La Rioja,Piso,135000,3,66
La Rioja,La Rioja,Piso,60000,2,72
La Rioja,La Rioja,Piso,115000,1,92
La Rioja,La Rioja,Piso,75000,3,288
La Rioja,La Rioja,Duplex,266000,3,235
La Rioja,La Rioja,Piso,180000,3,93
La Rioja,La Rioja,Piso,185000,2,286
La Rioja,La Rioja,Chalet,69000,2,93
La Rioja,La Rioja,Piso,210000,2,99
La Rioja,La Rioja,Piso,135000,3,441
La Rioja,La Rioja,Piso,53000,2,65
La Rioja,La Rioja,Chalet,38000,1,74
La Rioja,La Rioja,Piso,99500,2,96
La Rioja,La Rioja,Piso,160000,6,289
La Rioja,La Rioja,Chalet,189000,5,376
La Rioja,La Rioja,Piso,110000,3,93
La Rioja,La Rioja,Piso,25000,1,211
La Rioja,La Rioja,Piso,130000,2,109
La Rioja,La Rioja,Piso,41000,2,443
La Rioja,La Rioja,Chalet,165000,3,174
La Rioja,La Rioja,Piso,400000,4,111
La Rioja,La Rioja,Piso,52000,2,393
La Rioja,La Rioja,Piso,142000,3,440
La Rioja,La Rioja,Piso,255000,4,91
La Rioja,La Rioja,Piso,180000,2,77
La Rioja,La Rioja,Piso,119500,3,71
La Rioja,La Rioja,Piso,155000,3,86
La Rioja,La Rioja,Piso,460000,3,221
La Rioja,La Rioja,Ático,237000,2,97
La Rioja,La Rioja,Ático,85000,2,100
La Rioja,La Rioja,Ático,239000,3,163
La Rioja,La Rioja,Piso,390000,5,92
La Rioja,La Rioja,Piso,135000,2,102
La Rioja,La Rioja,Piso,89000,3,351
La Rioja,La Rioja,Casa Rural,53000,4,232
La Rioja,La Rioja,Piso,245000,3,56
La Rioja,La Rioja,Piso,340000,3,73
La Rioja,La Rioja,Piso,125000,3,58
La Rioja,La Rioja,Piso,160000,4,262
La Rioja,La Rioja,Chalet,557000,7,65
La Rioja,La Rioja,Duplex,76463,2,447
La Rioja,La Rioja,Piso,75000,3,83
La Rioja,La Rioja,Chalet,135000,11,246
La Rioja,La Rioja,Piso,210000,3,67
La Rioja,La Rioja,Piso,100000,2,100
La Rioja,La Rioja,Piso,94000,3,99
La Rioja,La Rioja,Piso,44000,2,82
La Rioja,La Rioja,Piso,184900,4,81
La Rioja,La Rioja,Chalet,90000,5,62
La Rioja,La Rioja,Piso,250000,4,66
La Rioja,La Rioja,Chalet,215000,3,97
La Rioja,La Rioja,Piso,120000,2,87
La Rioja,La Rioja,Piso,105000,1,240
La Rioja,La Rioja,Piso,399000,4,73
La Rioja,La Rioja,Piso,85000,2,60
La Rioja,La Rioja,Piso,260000,3,440
La Rioja,La Rioja,Piso,389000,4,79
La Rioja,La Rioja,Piso,80000,8,256
La Rioja,La Rioja,Piso,360000,4,83
La Rioja,La Rioja,Piso,263000,3,52
La Rioja,La Rioja,Piso,140000,2,61
La Rioja,La Rioja,Piso,310000,3,61
La Rioja,La Rioja,Chalet,563000,3,92
La Rioja,La Rioja,Casa Rural,140000,1,97
La Rioja,La Rioja,Piso,399000,4,76
La Rioja,La Rioja,Piso,88000,2,72
La Rioja,La Rioja,Piso,365000,3,67
La Rioja,La Rioja,Duplex,154000,3,264
La Rioja,La Rioja,Piso,239000,4,46
La Rioja,La Rioja,Piso,75000,3,257
La Rioja,La Rioja,Piso,70000,3,116
La Rioja,La Rioja,Piso,80000,4,64
La Rioja,La Rioja,Piso,112000,4,87
La Rioja,La Rioja,Piso,93000,3,120
La Rioja,La Rioja,Piso,263000,4,313
La Rioja,La Rioja,Chalet,198000,5,186
La Rioja,La Rioja,Piso,194000,4,92
La Rioja,La Rioja,Piso,56000,3,98
La Rioja,La Rioja,Piso,110000,2,100
La Rioja,La Rioja,Piso,175000,2,94
La Rioja,La Rioja,Piso,260000,2,102
La Rioja,La Rioja,Chalet,279000,5,101
La Rioja,La Rioja,Casa Rural,618000,4,400
La Rioja,La Rioja,Piso,258000,3,62
La Rioja,La Rioja,Chalet,349000,3,377
La Rioja,La Rioja,Piso,89000,3,228
La Rioja,La Rioja,Piso,144000,3,254
La Rioja,La Rioja,Piso,215000,3,400
La Rioja,La Rioja,Ático,230000,2,107
La Rioja,La Rioja,Piso,226000,3,382
La Rioja,La Rioja,Casa Rural,480000,4,111
La Rioja,La Rioja,Piso,85000,3,70
