com. autonoma,provincia,descripción,precio,habitaciones,m²
Galicia,Ourense,Piso,160000,3,360
Galicia,Ourense,Piso,82000,2,292
Galicia,Ourense,Piso,285000,4,137
Galicia,Ourense,Piso,320000,5,468
Galicia,Ourense,Piso,110000,3,67
Galicia,Ourense,Piso,138000,5,253
Galicia,Ourense,Casa Rural,70000,4,149
Galicia,Ourense,Piso,550000,4,92
Galicia,Ourense,Chalet,35000,4,78
Galicia,Ourense,Piso,248000,4,300
Galicia,Ourense,Piso,349000,4,72
Galicia,Ourense,Piso,680000,3,82
Galicia,Ourense,Piso,85000,3,390
Galicia,Ourense,Duplex,45000,2,60
Galicia,Ourense,Piso,480000,3,76
Galicia,Ourense,Chalet,258000,5,109
Galicia,Ourense,Chalet,198000,4,71
Galicia,Ourense,Chalet,460000,6,284
Galicia,Ourense,Chalet,100000,3,282
Galicia,Ourense,Piso,475000,4,66
Galicia,Ourense,Piso,160000,3,243
Galicia,Ourense,Piso,200000,4,66
Galicia,Ourense,Piso,134500,3,149
Galicia,Ourense,Duplex,249000,5,300
Galicia,Ourense,Piso,350000,3,320
Galicia,Ourense,Piso,100000,2,83
Galicia,Ourense,Chalet,80000,5,244
Galicia,Ourense,Piso,149000,3,304
Galicia,Ourense,Piso,148000,3,47
Galicia,Ourense,Piso,245000,3,131
Galicia,Ourense,Piso,65000,4,118
Galicia,Ourense,Chalet,100000,4,70
Galicia,Ourense,Chalet,350000,4,142
Galicia,Ourense,Piso,99000,3,295
Galicia,Ourense,Piso,65000,4,84
Galicia,Ourense,Chalet,498000,4,67
Galicia,Ourense,Piso,190000,3,276
Galicia,Ourense,Chalet,59000,2,110
Galicia,Ourense,Chalet,140000,5,62
Galicia,Ourense,Chalet,146000,6,271
Galicia,Ourense,Chalet,580000,5,241
Galicia,Ourense,Piso,51030,4,86
Galicia,Ourense,Piso,320000,4,490
Galicia,Ourense,Chalet,32300,4,224
Galicia,Ourense,Chalet,325000,4,291
Galicia,Ourense,Chalet,450000,5,132
Galicia,Ourense,Duplex,200300,4,264
Galicia,Ourense,Piso,115000,2,259
Galicia,Ourense,Chalet,69000,4,93
Galicia,Ourense,Chalet,164000,1,69
Galicia,Ourense,Chalet,335000,3,97
Galicia,Ourense,Piso,130000,3,53
Galicia,Ourense,Chalet,550000,6,161
Galicia,Ourense,Piso,187000,2,259
Galicia,Ourense,Piso,590000,4,50
Galicia,Ourense,Piso,195000,4,104
Galicia,Ourense,Chalet,269000,5,298
Galicia,Ourense,Piso,275000,4,87
Galicia,Ourense,Duplex,249000,6,201
Galicia,Ourense,Chalet,375000,4,63
Galicia,Ourense,Duplex,210000,4,262
Galicia,Ourense,Piso,155000,2,88
Galicia,Ourense,Piso,62700,3,57
Galicia,Ourense,Duplex,210000,3,155
Galicia,Ourense,Piso,150000,3,200
Galicia,Ourense,Chalet,100000,7,94
Galicia,Ourense,Chalet,260000,4,90
Galicia,Ourense,Piso,125000,3,469
Galicia,Ourense,Chalet,37000,2,446
Galicia,Ourense,Piso,159000,3,97
Galicia,Ourense,Piso,85000,1,61
Galicia,Ourense,Chalet,135000,6,107
Galicia,Ourense,Chalet,28000,3,78
Galicia,Ourense,Piso,174000,2,46
Galicia,Ourense,Piso,130000,3,51
Galicia,Ourense,Chalet,59000,4,277
Galicia,Ourense,Estudio,125000,0,86
Galicia,Ourense,Piso,139500,4,186
Galicia,Ourense,Chalet,78500,4,93
Galicia,Ourense,Piso,142000,2,265
Galicia,Ourense,Piso,90000,3,48
Galicia,Ourense,Piso,340000,3,84
Galicia,Ourense,Piso,100000,2,62
Galicia,Ourense,Chalet,400000,5,160
Galicia,Ourense,Casa Rural,39000,4,99
Galicia,Ourense,Chalet,20000,2,69
Galicia,Ourense,Casa Rural,29000,4,110
Galicia,Ourense,Chalet,120000,2,459
Galicia,Ourense,Chalet,83000,4,87
Galicia,Ourense,Piso,160000,2,66
Galicia,Ourense,Chalet,200000,4,222
Galicia,Ourense,Piso,187000,2,90
Galicia,Ourense,Piso,155000,3,393
Galicia,Ourense,Chalet,157000,3,318
Galicia,Ourense,Duplex,225000,3,71
Galicia,Ourense,Chalet,590000,5,396
Galicia,Ourense,Ático,225000,2,70
Galicia,Ourense,Duplex,540000,4,202
Galicia,Ourense,Piso,90000,2,134
Galicia,Ourense,Chalet,129900,3,376
Galicia,Ourense,Piso,140000,2,81
Galicia,Ourense,Casa Rural,1000000,5,86
Galicia,Ourense,Piso,152000,2,71
Galicia,Ourense,Chalet,190000,4,91
Galicia,Ourense,Chalet,120000,3,397
Galicia,Ourense,Chalet,27617,3,116
Galicia,Ourense,Piso,99000,7,88
Galicia,Ourense,Chalet,240000,3,297
Galicia,Ourense,Piso,165000,4,63
Galicia,Ourense,Piso,275000,4,67
Galicia,Ourense,Chalet,450000,6,118
Galicia,Ourense,Duplex,189000,4,49
Galicia,Ourense,Chalet,218000,8,78
Galicia,Ourense,Chalet,170000,6,244
Galicia,Ourense,Chalet,140000,5,116
Galicia,Ourense,Casa Rural,155000,3,90
Galicia,Ourense,Piso,130000,3,66
Galicia,Ourense,Chalet,120000,3,182
Galicia,Ourense,Chalet,68000,3,235
Galicia,Ourense,Piso,533000,3,317
Galicia,Ourense,Piso,69000,3,242
Galicia,Ourense,Chalet,410000,4,324
Galicia,Ourense,Piso,145000,4,80
Galicia,Ourense,Casa Rural,39840,2,90
Galicia,Ourense,Chalet,80000,3,232
Galicia,Ourense,Piso,158000,2,62
Galicia,Ourense,Piso,130000,2,317
Galicia,Ourense,Piso,129000,2,81
Galicia,Ourense,Piso,143000,4,58
Galicia,Ourense,Chalet,95000,6,73
Galicia,Ourense,Chalet,490000,5,300
Galicia,Ourense,Piso,70000,3,295
Galicia,Ourense,Chalet,94000,5,84
Galicia,Ourense,Chalet,240000,3,91
Galicia,Ourense,Chalet,240000,4,71
Galicia,Ourense,Chalet,288000,3,46
Galicia,Ourense,Chalet,400000,3,49
Galicia,Ourense,Duplex,377400,2,74
Galicia,Ourense,Chalet,67600,2,267
Galicia,Ourense,Chalet,160000,3,94
Galicia,Ourense,Piso,115000,4,443
Galicia,Ourense,Casa Rural,15000,0,63
Galicia,Ourense,Chalet,70000,3,77
Galicia,Ourense,Casa Rural,125000,3,189
Galicia,Ourense,Piso,80000,4,295
Galicia,Ourense,Chalet,95000,0,279
Galicia,Ourense,Casa Rural,65000,4,268
Galicia,Ourense,Piso,160000,4,96
Galicia,Ourense,Piso,93000,4,227
Galicia,Ourense,Piso,125000,4,277
Galicia,Ourense,Piso,52000,3,82
Galicia,Ourense,Casa Rural,48000,3,83
Galicia,Ourense,Piso,186000,3,83
Galicia,Ourense,Chalet,250000,4,93
Galicia,Ourense,Piso,74000,3,90
Galicia,Ourense,Casa Rural,70000,4,110
Galicia,Ourense,Chalet,138000,4,154
Galicia,Ourense,Chalet,36000,1,79
Galicia,Ourense,Chalet,98000,3,95
Galicia,Ourense,Duplex,185000,3,274
Galicia,Ourense,Chalet,45000,4,275
Galicia,Ourense,Piso,134000,2,86
Galicia,Ourense,Piso,126000,2,95
Galicia,Ourense,Piso,120000,3,66
Galicia,Ourense,Piso,120000,4,106
Galicia,Ourense,Chalet,230000,5,74
Galicia,Ourense,Chalet,48000,4,70
Galicia,Ourense,Chalet,340000,3,93
Galicia,Ourense,Chalet,55000,3,72
Galicia,Ourense,Piso,325000,4,61
Galicia,Ourense,Chalet,150000,3,239
Galicia,Ourense,Piso,89990,3,78
Galicia,Ourense,Piso,265000,2,376
Galicia,Ourense,Casa Rural,210000,5,61
Galicia,Ourense,Piso,270000,3,396
Galicia,Ourense,Piso,130000,2,288
Galicia,Ourense,Piso,210000,3,59
Galicia,Ourense,Piso,179598,4,76
Galicia,Ourense,Chalet,620000,5,294
Galicia,Ourense,Piso,156000,4,65
Galicia,Ourense,Chalet,140000,2,259
Galicia,Ourense,Piso,155000,3,73
Galicia,Ourense,Chalet,210000,4,142
Galicia,Ourense,Chalet,30000,3,208
Galicia,Ourense,Piso,188000,4,85
Galicia,Ourense,Piso,125000,4,97
Galicia,Ourense,Casa Rural,79000,4,277
Galicia,Ourense,Duplex,92000,3,177
Galicia,Ourense,Chalet,229000,7,61
Galicia,Ourense,Chalet,18000,5,93
Galicia,Ourense,Piso,349000,5,72
Galicia,Ourense,Chalet,92500,4,93
Galicia,Ourense,Chalet,80000,3,201
Galicia,Ourense,Casa Rural,45000,3,59
Galicia,Ourense,Piso,95000,2,266
Galicia,Ourense,Chalet,139900,4,91
Galicia,Ourense,Chalet,198000,4,97
Galicia,Ourense,Piso,75000,2,90
Galicia,Ourense,Chalet,130000,2,45
Galicia,Ourense,Piso,225000,4,424
Galicia,Ourense,Piso,680000,3,196
Galicia,Ourense,Chalet,48000,3,60
Galicia,Ourense,Piso,169000,3,210
Galicia,Ourense,Chalet,288000,3,247
Galicia,Ourense,Chalet,299000,5,79
Galicia,Ourense,Chalet,445000,6,85
Galicia,Ourense,Duplex,156000,4,75
Galicia,Ourense,Piso,46600,1,351
Galicia,Ourense,Piso,95000,4,87
Galicia,Ourense,Chalet,100000,3,182
Galicia,Ourense,Chalet,155900,4,291
Galicia,Ourense,Chalet,120000,4,68
Galicia,Ourense,Piso,349000,4,200
Galicia,Ourense,Piso,93000,3,350
Galicia,Ourense,Chalet,315000,3,92
Galicia,Ourense,Piso,23500,3,311
Galicia,Ourense,Chalet,30000,4,95
Galicia,Ourense,Casa Rural,120000,4,75
Galicia,Ourense,Piso,190000,3,70
Galicia,Ourense,Chalet,65000,3,192
Galicia,Ourense,Chalet,94600,3,76
Galicia,Ourense,Piso,195000,4,355
Galicia,Ourense,Chalet,155000,3,82
Galicia,Ourense,Chalet,999000,7,470
Galicia,Ourense,Piso,260000,3,105
Galicia,Ourense,Piso,280000,3,87
Galicia,Ourense,Casa Rural,650000,7,79
Galicia,Ourense,Duplex,210000,4,278
Galicia,Ourense,Chalet,37000,4,75
Galicia,Ourense,Piso,100000,3,120
Galicia,Ourense,Chalet,180000,4,219
Galicia,Ourense,Piso,59000,3,111
Galicia,Ourense,Piso,85000,4,262
Galicia,Ourense,Piso,52000,3,92
Galicia,Ourense,Chalet,350000,6,72
Galicia,Ourense,Piso,450000,5,119
Galicia,Ourense,Piso,225000,3,233
Galicia,Ourense,Chalet,99000,5,97
Galicia,Ourense,Piso,85000,4,47
