com. autonoma,provincia,descripción,precio,habitaciones,m²
Galicia,Pontevedra,Piso,450000,5,203
Galicia,Pontevedra,Casa Rural,750000,15,195
Galicia,Pontevedra,Chalet,1380000,8,394
Galicia,Pontevedra,Piso,348000,3,253
Galicia,Pontevedra,Piso,295000,4,203
Galicia,Pontevedra,Chalet,360000,5,64
Galicia,Pontevedra,Chalet,650000,4,249
Galicia,Pontevedra,Piso,480000,4,61
Galicia,Pontevedra,Piso,350000,4,83
Galicia,Pontevedra,Piso,385000,4,65
Galicia,Pontevedra,Piso,320000,3,65
Galicia,Pontevedra,Ático,950000,3,365
Galicia,Pontevedra,Chalet,325000,2,53
Galicia,Pontevedra,Chalet,210000,4,98
Galicia,Pontevedra,Chalet,350000,4,58
Galicia,Pontevedra,Piso,159000,2,344
Galicia,Pontevedra,Piso,255000,2,94
Galicia,Pontevedra,Chalet,270000,4,285
Galicia,Pontevedra,Chalet,760000,7,73
Galicia,Pontevedra,Piso,230000,4,298
Galicia,Pontevedra,Chalet,350000,4,461
Galicia,Pontevedra,Chalet,195000,4,87
Galicia,Pontevedra,Piso,137000,1,109
Galicia,Pontevedra,Piso,260000,3,168
Galicia,Pontevedra,Piso,240000,2,434
Galicia,Pontevedra,Piso,126000,2,84
Galicia,Pontevedra,Chalet,85000,3,61
Galicia,Pontevedra,Chalet,690000,4,79
Galicia,Pontevedra,Piso,190000,4,63
Galicia,Pontevedra,Chalet,950000,5,86
Galicia,Pontevedra,Chalet,1800000,4,49
Galicia,Pontevedra,Chalet,189000,6,90
Galicia,Pontevedra,Chalet,69000,3,73
Galicia,Pontevedra,Piso,185000,2,70
Galicia,Pontevedra,Chalet,609000,4,254
Galicia,Pontevedra,Chalet,199000,3,48
Galicia,Pontevedra,Chalet,225000,3,93
Galicia,Pontevedra,Chalet,420000,7,62
Galicia,Pontevedra,Piso,73000,2,88
Galicia,Pontevedra,Piso,105000,3,71
Galicia,Pontevedra,Chalet,120000,3,382
Galicia,Pontevedra,Chalet,139000,3,93
Galicia,Pontevedra,Piso,405000,4,488
Galicia,Pontevedra,Chalet,875000,5,96
Galicia,Pontevedra,Piso,255000,4,92
Galicia,Pontevedra,Chalet,180000,0,78
Galicia,Pontevedra,Chalet,210000,1,319
Galicia,Pontevedra,Chalet,185000,3,65
Galicia,Pontevedra,Piso,310000,2,75
Galicia,Pontevedra,Piso,295000,2,318
Galicia,Pontevedra,Chalet,220000,2,356
Galicia,Pontevedra,Chalet,329900,5,65
Galicia,Pontevedra,Chalet,549000,5,84
Galicia,Pontevedra,Chalet,275000,4,205
Galicia,Pontevedra,Piso,210000,1,271
Galicia,Pontevedra,Chalet,385000,4,277
Galicia,Pontevedra,Chalet,250000,3,64
Galicia,Pontevedra,Piso,355000,5,276
Galicia,Pontevedra,Ático,265000,4,215
Galicia,Pontevedra,Piso,300000,4,82
Galicia,Pontevedra,Chalet,950000,7,82
Galicia,Pontevedra,Piso,270000,3,99
Galicia,Pontevedra,Piso,149000,2,60
Galicia,Pontevedra,Piso,182000,2,46
Galicia,Pontevedra,Piso,175000,1,71
Galicia,Pontevedra,Piso,137700,3,106
Galicia,Pontevedra,Piso,282000,3,202
Galicia,Pontevedra,Chalet,1175000,4,109
Galicia,Pontevedra,Chalet,300000,7,70
Galicia,Pontevedra,Chalet,325000,3,73
Galicia,Pontevedra,Chalet,380000,6,284
Galicia,Pontevedra,Piso,165000,3,99
Galicia,Pontevedra,Chalet,495000,4,72
Galicia,Pontevedra,Estudio,128000,0,75
Galicia,Pontevedra,Chalet,150000,2,340
Galicia,Pontevedra,Piso,250000,3,67
Galicia,Pontevedra,Piso,139000,1,47
Galicia,Pontevedra,Chalet,1300000,7,88
Galicia,Pontevedra,Chalet,271000,5,79
Galicia,Pontevedra,Chalet,360000,3,410
Galicia,Pontevedra,Ático,285000,3,241
Galicia,Pontevedra,Ático,180000,2,98
Galicia,Pontevedra,Piso,155000,3,81
Galicia,Pontevedra,Piso,150000,1,343
Galicia,Pontevedra,Ático,108000,2,77
Galicia,Pontevedra,Ático,125000,2,68
Galicia,Pontevedra,Piso,750000,4,69
Galicia,Pontevedra,Chalet,320000,5,269
Galicia,Pontevedra,Piso,250000,3,116
Galicia,Pontevedra,Piso,121400,1,80
Galicia,Pontevedra,Ático,235000,3,332
