com. autonoma,provincia,descripción,precio,habitaciones,m²
Andalucía,Sevilla,Piso,205000,2,76
Andalucía,Sevilla,Chalet,1095000,5,519
Andalucía,Sevilla,Dúplex,370000,2,103
Andalucía,Sevilla,Chalet,295000,7,270
Andalucía,Sevilla,Piso,480000,3,138
Andalucía,Sevilla,Chalet,292000,4,190
Andalucía,Sevilla,Piso,325000,3,82
Andalucía,Sevilla,Piso,360000,2,86
Andalucía,Sevilla,Piso,385000,2,102
Andalucía,Sevilla,Piso,390000,3,121
Andalucía,Sevilla,Piso,269000,3,78
Andalucía,Sevilla,Piso,364000,3,113
Andalucía,Sevilla,Piso,145000,3,80
Andalucía,Sevilla,Piso,315000,3,103
Andalucía,Sevilla,Piso,460000,4,162
Andalucía,Sevilla,Piso,120000,2,61
Andalucía,Sevilla,Chalet,217000,4,152
Andalucía,Sevilla,Piso,348000,3,103
Andalucía,Sevilla,Piso,329360,2,90
Andalucía,Sevilla,Chalet,94900,2,72
Andalucía,Sevilla,Chalet,865000,3,189
Andalucía,Sevilla,Chalet,3500000,5,583
Andalucía,Sevilla,Piso,299000,3,125
Andalucía,Sevilla,Chalet,1300000,7,526
Andalucía,Sevilla,Chalet,230000,4,218
Andalucía,Sevilla,Piso,650000,3,159
Andalucía,Sevilla,Chalet,775000,8,317
Andalucía,Sevilla,Piso,248000,3,84
Andalucía,Sevilla,Piso,520000,4,187
Andalucía,Sevilla,Piso,800000,5,242
Andalucía,Sevilla,Chalet,269000,4,185
Andalucía,Sevilla,Chalet,237000,3,197
Andalucía,Sevilla,Piso,115000,3,81
Andalucía,Sevilla,Chalet,235000,4,114
Andalucía,Sevilla,Piso,225000,4,136
Andalucía,Sevilla,Dúplex,195000,2,65
Andalucía,Sevilla,Chalet,650000,6,555
Andalucía,Sevilla,Piso,229000,2,114
Andalucía,Sevilla,Chalet,468000,4,153
Andalucía,Sevilla,Chalet,650000,6,174
Andalucía,Sevilla,Chalet,700000,5,391
Andalucía,Sevilla,Chalet,234900,4,143
Andalucía,Sevilla,Chalet,234900,4,211
Andalucía,Sevilla,Chalet,300000,7,216
Andalucía,Sevilla,Piso,400000,4,155
Andalucía,Sevilla,Piso,260000,3,78
Andalucía,Sevilla,Piso,280000,3,165
Andalucía,Sevilla,Piso,800000,2,348
Andalucía,Sevilla,Piso,280000,3,80
Andalucía,Sevilla,Piso,220000,2,71
Andalucía,Sevilla,Piso,299000,3,102
Andalucía,Sevilla,Piso,600000,4,144
Andalucía,Sevilla,Piso,220000,3,84
Andalucía,Sevilla,Piso,190000,2,73
Andalucía,Sevilla,Piso,285000,3,91
Andalucía,Sevilla,Piso,310000,3,95
Andalucía,Sevilla,Piso,700000,4,140
Andalucía,Sevilla,Piso,156000,2,65
Andalucía,Sevilla,Chalet,178500,4,118
Andalucía,Sevilla,Chalet,136500,6,217
Andalucía,Sevilla,Piso,350000,2,98
Andalucía,Sevilla,Chalet,260000,6,196
Andalucía,Sevilla,Piso,290000,3,85
Andalucía,Sevilla,Chalet,166000,4,126
Andalucía,Sevilla,Piso,140000,3,93
Andalucía,Sevilla,Chalet,141750,4,217
Andalucía,Sevilla,Piso,230000,2,64
Andalucía,Sevilla,Piso,168000,3,121
Andalucía,Sevilla,Chalet,425000,5,175
Andalucía,Sevilla,Piso,290000,4,121
Andalucía,Sevilla,Piso,339500,4,281
Andalucía,Sevilla,Piso,342240,2,99
Andalucía,Sevilla,Piso,299280,2,92
Andalucía,Sevilla,Piso,465000,5,189
Andalucía,Sevilla,Piso,240000,2,75
Andalucía,Sevilla,Piso,199000,3,93
Andalucía,Sevilla,Piso,137260,3,81
Andalucía,Sevilla,Ático,300000,3,116
Andalucía,Sevilla,Piso,315000,2,89
Andalucía,Sevilla,Ático,348000,2,83
Andalucía,Sevilla,Piso,370000,3,143
Andalucía,Sevilla,Chalet,1750000,5,360
Andalucía,Sevilla,Piso,325000,4,125
Andalucía,Sevilla,Piso,410000,4,169
Andalucía,Sevilla,Chalet,215000,3,133
Andalucía,Sevilla,Piso,240000,3,105
Andalucía,Sevilla,Piso,475000,5,171
Andalucía,Sevilla,Piso,300000,3,100
Andalucía,Sevilla,Piso,250000,3,77
Andalucía,Sevilla,Ático,320000,2,70
Andalucía,Sevilla,Chalet,1195000,5,346
Andalucía,Sevilla,Chalet,450000,3,200
Andalucía,Sevilla,Piso,740000,5,249
Andalucía,Sevilla,Chalet,136500,4,89
Andalucía,Sevilla,Piso,267000,2,168
Andalucía,Sevilla,Piso,296000,4,161
Andalucía,Sevilla,Piso,165000,3,85
Andalucía,Sevilla,Dúplex,260000,4,117
Andalucía,Sevilla,Ático,240000,2,86
Andalucía,Sevilla,Piso,159000,3,75
Andalucía,Sevilla,Piso,246000,2,73
Andalucía,Sevilla,Chalet,310000,4,145
Andalucía,Sevilla,Piso,370000,2,101
Andalucía,Sevilla,Piso,430000,3,161
Andalucía,Sevilla,Chalet,330000,4,180
Andalucía,Sevilla,Piso,265000,1,52
Andalucía,Sevilla,Piso,190000,3,77
Andalucía,Sevilla,Dúplex,138000,1,54
Andalucía,Sevilla,Piso,348000,2,107
Andalucía,Sevilla,Piso,139800,3,90
Andalucía,Sevilla,Piso,380000,2,120
Andalucía,Sevilla,Ático,277000,3,116
Andalucía,Sevilla,Piso,239000,2,80
Andalucía,Sevilla,Piso,319000,3,110
Andalucía,Sevilla,Piso,263000,2,79
Andalucía,Sevilla,Chalet,360000,4,256
Andalucía,Sevilla,Piso,205000,2,61
Andalucía,Sevilla,Piso,649000,5,241
Andalucía,Sevilla,Piso,191800,2,102
Andalucía,Sevilla,Piso,205000,3,108
Andalucía,Sevilla,Piso,229000,2,79
Andalucía,Sevilla,Chalet,195000,3,98
Andalucía,Sevilla,Chalet,395400,4,173
Andalucía,Sevilla,Chalet,245900,3,160
Andalucía,Sevilla,Chalet,372000,4,249
Andalucía,Sevilla,Piso,276700,3,108
Andalucía,Sevilla,Chalet,253900,3,160
Andalucía,Sevilla,Piso,205000,3,103
Andalucía,Sevilla,Piso,268400,4,140
Andalucía,Sevilla,Piso,206900,3,117
Andalucía,Sevilla,Piso,155000,3,95
Andalucía,Sevilla,Piso,127500,3,93
Andalucía,Sevilla,Chalet,408900,4,252
Andalucía,Sevilla,Chalet,330000,4,121
Andalucía,Sevilla,Piso,170000,2,62
Andalucía,Sevilla,Piso,250000,4,103
Andalucía,Sevilla,Piso,299999,3,101
Andalucía,Sevilla,Piso,154800,2,76
Andalucía,Sevilla,Piso,242000,4,128
Andalucía,Sevilla,Piso,530000,4,149
Andalucía,Sevilla,Dúplex,143000,2,79
Andalucía,Sevilla,Piso,330000,3,108
Andalucía,Sevilla,Piso,340000,2,69
Andalucía,Sevilla,Piso,154000,3,67
Andalucía,Sevilla,Piso,150000,3,86
Andalucía,Sevilla,Piso,484000,4,167
Andalucía,Sevilla,Piso,141000,3,76
Andalucía,Sevilla,Piso,259000,3,80
Andalucía,Sevilla,Piso,180000,2,58
Andalucía,Sevilla,Piso,285500,4,186
Andalucía,Sevilla,Piso,160700,4,92
Andalucía,Sevilla,Piso,287000,4,96
Andalucía,Sevilla,Piso,228500,2,118
Andalucía,Sevilla,Dúplex,370000,3,106
Andalucía,Sevilla,Piso,173000,3,97
Andalucía,Sevilla,Piso,227000,2,117
Andalucía,Sevilla,Piso,215000,3,101
Andalucía,Sevilla,Piso,329500,3,110
Andalucía,Sevilla,Piso,127000,3,85
Andalucía,Sevilla,Chalet,138000,4,140
Andalucía,Sevilla,Chalet,198500,4,186
Andalucía,Sevilla,Chalet,715000,8,480
Andalucía,Sevilla,Piso,360000,5,163
Andalucía,Sevilla,Chalet,600000,4,197
Andalucía,Sevilla,Chalet,460000,4,347
Andalucía,Sevilla,Piso,162000,3,97
Andalucía,Sevilla,Piso,107000,2,56
