com. autonoma,provincia,descripción,precio,habitaciones,m²
Comunidad Valenciana,Valencia,Piso,125000,3,90
Comunidad Valenciana,Valencia,Chalet,260000,3,254
Comunidad Valenciana,Valencia,Piso,137000,4,48
Comunidad Valenciana,Valencia,Piso,265000,3,231
Comunidad Valenciana,Valencia,Piso,800000,5,308
Comunidad Valenciana,Valencia,Chalet,135000,4,87
Comunidad Valenciana,Valencia,Piso,600000,4,82
Comunidad Valenciana,Valencia,Chalet,950000,6,472
Comunidad Valenciana,Valencia,Piso,1100000,5,117
Comunidad Valenciana,Valencia,Piso,210000,4,63
Comunidad Valenciana,Valencia,Chalet,299405,4,90
Comunidad Valenciana,Valencia,Chalet,659900,4,81
Comunidad Valenciana,Valencia,Piso,135000,3,312
Comunidad Valenciana,Valencia,Piso,875000,5,149
Comunidad Valenciana,Valencia,Piso,180000,3,48
Comunidad Valenciana,Valencia,Chalet,430000,3,267
Comunidad Valenciana,Valencia,Piso,110000,4,109
Comunidad Valenciana,Valencia,Piso,249000,3,84
Comunidad Valenciana,Valencia,Chalet,1100000,5,88
Comunidad Valenciana,Valencia,Piso,379000,5,216
Comunidad Valenciana,Valencia,Chalet,348000,5,303
Comunidad Valenciana,Valencia,Piso,199000,3,408
Comunidad Valenciana,Valencia,Chalet,224000,4,108
Comunidad Valenciana,Valencia,Chalet,625000,5,61
Comunidad Valenciana,Valencia,Piso,190000,4,367
Comunidad Valenciana,Valencia,Chalet,799000,3,431
Comunidad Valenciana,Valencia,Casa Rural,175000,3,204
Comunidad Valenciana,Valencia,Chalet,392000,3,67
Comunidad Valenciana,Valencia,Piso,79000,3,59
Comunidad Valenciana,Valencia,Piso,149400,4,65
Comunidad Valenciana,Valencia,Chalet,1675000,8,292
Comunidad Valenciana,Valencia,Piso,747000,2,74
Comunidad Valenciana,Valencia,Chalet,330000,5,255
Comunidad Valenciana,Valencia,Piso,144900,2,202
Comunidad Valenciana,Valencia,Piso,159000,2,67
Comunidad Valenciana,Valencia,Chalet,480000,5,381
Comunidad Valenciana,Valencia,Piso,440000,3,192
Comunidad Valenciana,Valencia,Chalet,260000,4,248
Comunidad Valenciana,Valencia,Casa Rural,126000,2,70
Comunidad Valenciana,Valencia,Piso,165000,4,185
Comunidad Valenciana,Valencia,Piso,450000,4,445
Comunidad Valenciana,Valencia,Piso,94000,3,77
Comunidad Valenciana,Valencia,Piso,270000,4,84
Comunidad Valenciana,Valencia,Chalet,90000,2,261
Comunidad Valenciana,Valencia,Piso,105007,4,251
Comunidad Valenciana,Valencia,Piso,178000,9,75
Comunidad Valenciana,Valencia,Chalet,575000,5,157
Comunidad Valenciana,Valencia,Piso,240000,2,372
Comunidad Valenciana,Valencia,Chalet,110000,3,282
Comunidad Valenciana,Valencia,Piso,795000,6,238
Comunidad Valenciana,Valencia,Piso,395000,3,68
Comunidad Valenciana,Valencia,Chalet,392000,3,49
Comunidad Valenciana,Valencia,Casa Rural,310000,4,100
Comunidad Valenciana,Valencia,Chalet,480000,5,168
Comunidad Valenciana,Valencia,Chalet,950000,4,262
Comunidad Valenciana,Valencia,Chalet,268000,4,64
Comunidad Valenciana,Valencia,Ático,950000,2,399
Comunidad Valenciana,Valencia,Ático,875000,5,422
Comunidad Valenciana,Valencia,Chalet,380000,4,85
Comunidad Valenciana,Valencia,Chalet,900000,4,372
Comunidad Valenciana,Valencia,Piso,300000,1,296
Comunidad Valenciana,Valencia,Piso,250000,3,98
Comunidad Valenciana,Valencia,Chalet,495000,6,250
Comunidad Valenciana,Valencia,Piso,685000,3,112
Comunidad Valenciana,Valencia,Piso,350000,2,251
Comunidad Valenciana,Valencia,Piso,115000,2,118
Comunidad Valenciana,Valencia,Chalet,1950000,5,84
Comunidad Valenciana,Valencia,Duplex,260000,3,225
Comunidad Valenciana,Valencia,Piso,145000,4,105
Comunidad Valenciana,Valencia,Piso,245000,4,93
Comunidad Valenciana,Valencia,Chalet,645000,4,97
Comunidad Valenciana,Valencia,Piso,315000,4,276
Comunidad Valenciana,Valencia,Piso,950000,4,92
Comunidad Valenciana,Valencia,Piso,1100000,5,91
Comunidad Valenciana,Valencia,Chalet,640000,4,256
Comunidad Valenciana,Valencia,Piso,481000,4,159
Comunidad Valenciana,Valencia,Chalet,550000,4,89
Comunidad Valenciana,Valencia,Piso,438000,4,438
Comunidad Valenciana,Valencia,Ático,1390000,4,117
Comunidad Valenciana,Valencia,Piso,650000,4,70
Comunidad Valenciana,Valencia,Chalet,280000,4,234
Comunidad Valenciana,Valencia,Piso,198000,3,212
Comunidad Valenciana,Valencia,Piso,319000,5,89
Comunidad Valenciana,Valencia,Piso,390000,4,362
Comunidad Valenciana,Valencia,Piso,385000,2,99
Comunidad Valenciana,Valencia,Piso,870000,4,63
Comunidad Valenciana,Valencia,Piso,230000,2,61
Comunidad Valenciana,Valencia,Piso,146900,4,91
Comunidad Valenciana,Valencia,Chalet,610000,3,303
Comunidad Valenciana,Valencia,Piso,375000,4,90
Comunidad Valenciana,Valencia,Duplex,180000,2,92
Comunidad Valenciana,Valencia,Piso,169000,1,321
Comunidad Valenciana,Valencia,Piso,186000,3,456
Comunidad Valenciana,Valencia,Piso,165000,2,75
Comunidad Valenciana,Valencia,Piso,73000,3,497
Comunidad Valenciana,Valencia,Piso,245000,3,87
Comunidad Valenciana,Valencia,Piso,765000,7,242
Comunidad Valenciana,Valencia,Chalet,247000,6,64
Comunidad Valenciana,Valencia,Piso,2150000,3,310
Comunidad Valenciana,Valencia,Chalet,3200000,10,313
Comunidad Valenciana,Valencia,Chalet,1150000,4,87
Comunidad Valenciana,Valencia,Chalet,1588000,8,240
