C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Galicia,La Coruna,Piso,Calle Novoa Santos,100.0,3,255000
Galicia,La Coruna,Piso,Avenida FINISTERRE,112.0,3,379000
Galicia,La Coruna,Atico,RAMON CABANILLAS,60.0,2,265000
Galicia,La Coruna,Piso,Rosalia de Castro,155.0,4,225000
Galicia,La Coruna,Piso,Calle Jose Echegaray 1,75.0,2,152360
Galicia,La Coruna,Chalet,Calle MALLOU DE ABAIXO,1000.0,5,365000
Galicia,La Coruna,Duplex,Calle PUENTE,98.0,3,379900
Galicia,La Coruna,Piso,ALFREDO BRANAS,166.0,5,339000
Galicia,La Coruna,Piso,Calle azucenas,96.0,3,165000
Galicia,La Coruna,Piso,novoa santos,75.0,2,180000
Galicia,La Coruna,Piso,Plaza DE ESPANA,106.0,3,370000
Galicia,La Coruna,Piso,Avenida de Vilagarcia,62.0,2,179000
Galicia,La Coruna,Piso,Calle Eugenio Fernandez Granell,80.0,2,219000
Galicia,La Coruna,Piso,Calle Posse,21.0,3,379900
Galicia,La Coruna,Chalet,Ensanche - Sar,240.0,4,649000
Galicia,La Coruna,Piso,Calle San Nicolas,30.0,3,495000
Galicia,La Coruna,Piso,Avenida Novo Mesoiro,151.0,4,199393
Galicia,La Coruna,Atico,Calle de Ramon Cabanillas,78.0,2,265000
Galicia,La Coruna,Piso,San Pedro de Mezonzo,71.0,3,140000
Galicia,La Coruna,Piso,Avenida de Rosalia de Castro 47,137.0,4,225000
Galicia,La Coruna,Chalet,Rio Mandeo 12,60.0,4,330000
Galicia,La Coruna,Chalet,Lopez Ferreiro,230.0,4,649000
Galicia,La Coruna,Piso,MANUEL GUTIERREZ MELLADO,20.0,3,375000
Galicia,La Coruna,Piso,Calle Mauricio Farto Parra,114.0,3,150000
Galicia,La Coruna,Piso,Carretera de Mesoiro,61.0,2,129000
Galicia,La Coruna,Piso,Avenida Peruleiro,144.0,4,314000
Galicia,La Coruna,Piso,Avenida MONTSERRAT,25.0,3,270000
Galicia,La Coruna,Piso,Cuesta Palloza,129.0,4,380000
Galicia,La Coruna,Piso,Avenida de Oza,120.0,4,180000
Galicia,La Coruna,Piso,Calle da Republica de El Salvador 3,212.0,6,600000
Galicia,La Coruna,Piso,Calle de Montero Rios,60.0,2,225000
Galicia,La Coruna,Piso,Frente al Corte Ingles 2,90.0,3,330000
Galicia,La Coruna,Piso,Calle de Montero Rios 39,157.0,4,350000
Galicia,La Coruna,Chalet,Calle SD de Compostela 53,187.0,5,399000
Galicia,La Coruna,Piso,Avenida de la Libertad,60.0,2,370000
Galicia,La Coruna,Piso,Calle Manuel Monasterio Lopez,76.0,2,160000
Galicia,La Coruna,Chalet,Calle Bolivia,240.0,4,355000
Galicia,La Coruna,Piso,Calle Blanco White 18,67.0,2,156090
Galicia,La Coruna,Piso,Zona Ensanche,95.0,3,335000
Galicia,La Coruna,Chalet,Avenida Pedralonga,186.0,3,160000
Galicia,La Coruna,Chalet,Avenida Pedralonga,186.0,3,160000
Galicia,La Coruna,Chalet,Calle Xulio Dans Garcia 7,104.0,3,399000
Galicia,La Coruna,Duplex,Calle Merced 32,150.0,4,280000
Galicia,La Coruna,Piso,Avenida DE OZA 188,68.0,2,175000
Galicia,La Coruna,Estudio,Calle Caballeros 47,70.0,0,120000
Galicia,La Coruna,Chalet,Calle Campo do Cruceiro do Gaio 9,191.0,3,590000
Galicia,La Coruna,Piso,Calle Ramon Cabanillas,83.0,3,123000
Galicia,La Coruna,Piso,Calle Baldaio 7,117.0,3,199000
Galicia,La Coruna,Chalet,Calle da Grade 2,1.627,5,480000
Galicia,La Coruna,Piso,Transito Gramaticos,118.0,2,370000
Galicia,La Coruna,Chalet,Calle Sorolla 6,399.0,5,490000
Galicia,La Coruna,Chalet,Pracina da Algalia de Arriba,160.0,4,335000
Galicia,La Coruna,Piso,FRAY ROSENDO SALVADO,104.0,3,259000
Galicia,La Coruna,Duplex,Calle Francisco Comesana,119.0,3,250000
Galicia,La Coruna,Piso,Avenida de Ferrol,133.0,4,290000
Galicia,La Coruna,Piso,San Pedro de Mezonzo,70.0,2,145000
Galicia,La Coruna,Piso,San Pedro de Mezonzo,140.0,4,385000
Galicia,La Coruna,Piso,Plaza Angel Ron,203.0,4,875000
Galicia,La Coruna,Piso,Calle Riazor,146.0,4,469000
Galicia,La Coruna,Chalet,Calle Curros Enriquez,170.0,3,316000
