Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Piso,Calle Océano Pacífico,354000,2,75,Álava,País Vasco
Piso,Calle Raimundo Olabide,225000,3,89,Álava,País Vasco
Piso,Calle Portal de Zuazo de Vitoria,390000,3,97,Álava,País Vasco
Piso,Calle Loreto de Arriola,245000,3,100,Álava,País Vasco
Piso,Calle Arriagako Atea,170000,3,88,Álava,País Vasco
Piso,Calle Landaberde,195000,2,65,Álava,País Vasco
Piso,Calle Voluntaria Entrega,190000,2,62,Álava,País Vasco
Piso,Calle Portal de Foronda,295000,3,97,Álava,País Vasco
Piso,Calle Domingo Beltran de Otazu,180000,3,106,Álava,País Vasco
Piso,Camino de Mendiola,250000,4,100,Álava,País Vasco
Piso,Calle de los Herrán,185000,2,60,Álava,País Vasco
Piso,Postas 2,495000,3,104,Álava,País Vasco
Chalet,Zuazo de Vitoria Entitatea s/n,695000,4,54,Álava,País Vasco
Piso,Prado 5,660000,3,87,Álava,País Vasco
Chalet,Avenida Nuestra Señora de Estíbaliz 28,710000,4,270,Álava,País Vasco
Piso,Calle de Postas,495000,4,121,Álava,País Vasco
Piso,Calle de Lubiana,193000,3,90,Álava,País Vasco
Piso,Calle Florida,455000,3,44,Álava,País Vasco
Piso,Calle Jacinto Benavente,250000,3,86,Álava,País Vasco
Piso,Avenida de Los Huetos,235000,3,90,Álava,País Vasco
Piso,Plaza de Amárica,649000,3,109,Álava,País Vasco
Piso,Calle Jacinto Benavente,203000,3,79,Álava,País Vasco
Piso,Pasaje las Antillas,230000,3,85,Álava,País Vasco
Piso,Calle Larrea,495000,3,120,Álava,País Vasco
Piso,Paseo de la Cruz Roja,195000,3,84,Álava,País Vasco
Piso,Calle Francisco Javier de Landaburu 24,242000,4,100,Álava,País Vasco
Piso,Avenida de Zabalgana,270000,2,10,Álava,País Vasco
Piso,Calle Jacinto Benavente 38,225000,3,100,Álava,País Vasco
Piso,Calle Valladolid,200000,3,104,Álava,País Vasco
Piso,Avenida de Praga 22,286000,2,71,Álava,País Vasco
Chalet,Avenida San Prudencio s/n,1600000,4,137,Álava,País Vasco
Piso,Calle Sierra de Urbasa,230000,3,91,Álava,País Vasco
Piso,Zabalgana - Ariznabarra,215000,3,111,Álava,País Vasco
Piso,Calle Antonio Machado 35,187000,1,56,Álava,País Vasco
Chalet,Calle Jacinto Quincoces s/n,1295000,4,1295,Álava,País Vasco
Piso,Calle Nieves Cano,570000,3,119,Álava,País Vasco
Piso,Calle Reyes Católicos,155000,3,74,Álava,País Vasco
Piso,Calle Florida,395000,4,193,Álava,País Vasco
Piso,Iruña Veleia,204000,3,90,Álava,País Vasco
Chalet,Zuazo entitatea,795000,4,154,Álava,País Vasco
Piso,Calle Loreto de Arriola,240000,3,74,Álava,País Vasco
Piso,Calle Heraclio Alfaro,244000,2,68,Álava,País Vasco
Piso,Calle Juntas Generales,231800,3,78,Álava,País Vasco
Piso,Calle Baranda,298000,3,89,Álava,País Vasco
Piso,Calle Manuel Iradier,390000,2,74,Álava,País Vasco
Piso,Salburua,197000,3,90,Álava,País Vasco
Piso,Calle Isaac Albeniz,374000,3,101,Álava,País Vasco
Piso,Calle Victoria Kent,163000,2,64,Álava,País Vasco
Piso,Calle Jose Atxotegi,304000,4,120,Álava,País Vasco
Piso,Calle Florida,228000,3,90,Álava,País Vasco
