C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Castilla-La Mancha,Albacete,Piso,Calle Octavio Cuartero,195,5,350000
Castilla-La Mancha,Albacete,Piso,Medicina,74,2,206000
Castilla-La Mancha,Albacete,Chalet,Hermanos Falco - Sepulcro Bolera,131,4,350000
Castilla-La Mancha,Albacete,Piso,Fatima,125,4,120000
Castilla-La Mancha,Albacete,Atico,Avenida Jose Prat,170,3,365000
Castilla-La Mancha,Albacete,Piso,Calle Rosario,136,4,260000
Castilla-La Mancha,Albacete,Chalet,Barrios perifericos - Pedanias,137,4,620000
Castilla-La Mancha,Albacete,Piso,El Pilar,90,3,120000
Castilla-La Mancha,Albacete,Piso,Franciscanos,84,3,130000
Castilla-La Mancha,Albacete,Piso,Franciscanos,111,3,118000
Castilla-La Mancha,Albacete,Piso,Los Llanos,74,2,185000
Castilla-La Mancha,Albacete,Piso,Paseo Circunvalacion 74,15,2,140000
Castilla-La Mancha,Albacete,Piso,Calle Nuestra Senora de la Victoria,43,1,139000
Castilla-La Mancha,Albacete,Piso,Avenida de Espana 20,210,4,330000
Castilla-La Mancha,Albacete,Piso,Calle Batalla del Salado 9,45,3,233000
Castilla-La Mancha,Albacete,Piso,Medicina,90,3,169900
Castilla-La Mancha,Albacete,Piso,Fatima,149,4,197000
Castilla-La Mancha,Albacete,Chalet,Medicina,30,4,360000
Castilla-La Mancha,Albacete,Piso,Villacerrada - Centro,184,5,230000
Castilla-La Mancha,Albacete,Piso,Hospital,111,3,95000
Castilla-La Mancha,Albacete,Piso,Calle Tesifonte Gallego,189,5,255000
Castilla-La Mancha,Albacete,Piso,Franciscanos,140,4,165000
Castilla-La Mancha,Albacete,Piso,Calle Churruca,65,2,79000
Castilla-La Mancha,Albacete,Chalet,La Roda,157,4,110000
Castilla-La Mancha,Albacete,Piso,San Antonio Abad - Poligono San Anton,69,2,198000
Castilla-La Mancha,Albacete,Chalet,Avenida Castilla la Mancha 9,189,5,182000
Castilla-La Mancha,Albacete,Atico,Carretas - Huerta de Marzo,2,4,210000
Castilla-La Mancha,Albacete,Piso,Calle Mayor 45,124,4,398000
Castilla-La Mancha,Albacete,Piso,Calle Mayor 45,127,4,395000
Castilla-La Mancha,Albacete,Piso,Calle Mayor 45,132,4,394000
Castilla-La Mancha,Albacete,Atico,Calle Francisco Pizarro 27 - 29,60,2,175000
Castilla-La Mancha,Albacete,Piso,Calle Francisco Pizarro 27 - 29,97,3,196000
Castilla-La Mancha,Albacete,Piso,Calle Francisco Pizarro 27 - 29,66,2,172000
Castilla-La Mancha,Albacete,Piso,Franciscanos,121,4,175000
Castilla-La Mancha,Albacete,Piso,Franciscanos,98,3,98000
Castilla-La Mancha,Albacete,Piso,Parque sur,50,3,190000
Castilla-La Mancha,Albacete,Piso,San Antonio Abad - Poligono San Anton,150,4,210000
Castilla-La Mancha,Albacete,Duplex,Puerta de Valencia,35,3,300000
Castilla-La Mancha,Albacete,Piso,Calle Rosario,95,3,115000
Castilla-La Mancha,Albacete,Piso,Franciscanos,152,4,140000
Castilla-La Mancha,Albacete,Piso,La Roda,108,3,89500
Castilla-La Mancha,Albacete,Piso,Villacerrada - Centro,98,3,149000
Castilla-La Mancha,Albacete,Atico,La Roda,82,3,119000
Castilla-La Mancha,Albacete,Piso,La Roda,17,3,100000
Castilla-La Mancha,Albacete,Piso,Franciscanos,149,4,179000
Castilla-La Mancha,Albacete,Piso,Hospital,68,2,69000
Castilla-La Mancha,Albacete,Piso,Fatima,80,3,85000
Castilla-La Mancha,Albacete,Chalet,Canicas - Canal de Maria Cristina ,170,3,340000
Castilla-La Mancha,Albacete,Piso,Canicas - Canal de Maria Cristina ,144,4,220000
Castilla-La Mancha,Albacete,Piso,Villacerrada - Centro,8,4,225000
Castilla-La Mancha,Albacete,Piso,Calle Corredera,156,4,140000
Castilla-La Mancha,Albacete,Chalet,Calle de Barrax,459,9,199000
Castilla-La Mancha,Albacete,Piso,Calle Virgen de Loreto,68,2,70000
Castilla-La Mancha,Albacete,Chalet,Calle Hermanos Quintero,60,3,55000
Castilla-La Mancha,Albacete,Piso,Calle Antonio Machado,83,3,106900
Castilla-La Mancha,Albacete,Piso,Hermanos Falco - Sepulcro Bolera,10,2,197000
Castilla-La Mancha,Albacete,Piso,La Pajarita,70,3,142000
Castilla-La Mancha,Albacete,Piso,Calle Doctor Garcia Reyes 8,114,3,195000
