C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Andalucia,Almeria,Piso,Calle troya s/n,113,3,210600
Andalucia,Almeria,Chalet,constantino el grande 1,160,5,217000
Andalucia,Almeria,Piso,Calle Valle de Aran,69,2,75000
Andalucia,Almeria,Piso,Calle Doctor Gregorio Maranon 32,139,3,295000
Andalucia,Almeria,Piso,Centro-Rambla,30,4,210000
Andalucia,Almeria,Piso,Calle San Jose Obrero 156,64,2,83000
Andalucia,Almeria,Chalet,Calle CERRO LARGO s/n,67,2,170000
Andalucia,Almeria,Piso,Paseo del Moro Manco 22,66,2,104900
Andalucia,Almeria,Piso,Paseo de Almeria 81,99,3,450000
Andalucia,Almeria,Atico,Calle Navarro Rodrigo 5,173,3,599900
Andalucia,Almeria,Atico,Arrayan,113,3,225000
Andalucia,Almeria,Piso,Avenida Maria Guerrero R,74,2,70000
Andalucia,Almeria,Piso,barrio Aguadulce norte,12,2,120000
Andalucia,Almeria,Piso,barrio Ejido centro,107,3,88950
Andalucia,Almeria,Piso,Altamira - Oliveros - Barrio Alto,10,4,298700
Andalucia,Almeria,Piso,Barrio San Luis - Los Molinos,117,3,130000
Andalucia,Almeria,Piso,Avenida Curro Romero,60,2,115000
Andalucia,Almeria,Piso,Centro-Rambla,76,2,115000
Andalucia,Almeria,Chalet,Calle Miguel Servet,220,4,209000
Andalucia,Almeria,Chalet,Calle Blasco Ibanez 5,500,3,850000
Andalucia,Almeria,Piso,Calle Joaquin Vazquez,0,3,229000
Andalucia,Almeria,Chalet,Calle de las Artesas 29,88,3,275000
Andalucia,Almeria,Piso,Calle de la Alegria 5,32,3,199000
Andalucia,Almeria,Piso,Calle Nisperos,63,2,229000
Andalucia,Almeria,Piso,Travesia san luis,109,3,119000
Andalucia,Almeria,Chalet,Calle del Palomar 2,61,3,650000
Andalucia,Almeria,Piso,Calle Mariana Pineda,91,3,147500
Andalucia,Almeria,Piso,Paseo Moro Manco s/n,10,2,110000
Andalucia,Almeria,Piso,Avenida Costa Levante 4,12,2,139000
Andalucia,Almeria,Piso,Avenida Costa Levante 4,15,3,200000
Andalucia,Almeria,Chalet,Calle Altos del Golf 19,600,6,720000
Andalucia,Almeria,Chalet,Calle Laurel 24,119,3,295000
Andalucia,Almeria,Atico,Avenida del Mar 11,20,2,149000
Andalucia,Almeria,Chalet,Calle de las Artesas 17,68,5,368000
Andalucia,Almeria,Piso,Carretera Ronda,105,3,189700
Andalucia,Almeria,Chalet,Retamar,72,3,225000
Andalucia,Almeria,Chalet,Calle Regimiento la Corona,54,1,79000
Andalucia,Almeria,Chalet,Calle Los Naranjos,168,5,795000
Andalucia,Almeria,Chalet,Del Rosal,1586,6,1290000
Andalucia,Almeria,Piso,Avenida del Mediterraneo s/n,69,2,150000
Andalucia,Almeria,Chalet,Calle Zeus s/n,151,4,259900
Andalucia,Almeria,Piso,Calle Chercos,152,4,89900
Andalucia,Almeria,Piso,Avenida del Mediterraneo s/n,65,2,145000
Andalucia,Almeria,Piso,Avenida del Mediterraneo s/n,64,2,150000
Andalucia,Almeria,Piso,Calle Juegos de Atenas y Languedor Rosellon s/n,81,3,150250
Andalucia,Almeria,Piso,Calle Juegos de Atenas y Languedor Rosellon s/n,60,2,151250
Andalucia,Almeria,Piso,Calle Juegos de Atenas y Languedor Rosellon s/n,95,3,156250
Andalucia,Almeria,Chalet,Avenida TORRECARDENAS 86,101,3,275000
Andalucia,Almeria,Piso,Avenida Mariano Hernandez s/n,115,3,190000
Andalucia,Almeria,Piso,Calle Estonia con Polonia s/n,35000,2,150000
Andalucia,Almeria,Piso,Avenida del Mar 101,81,3,301336
Andalucia,Almeria,Piso,Avenida Mariano Hernandez s/n,59,1,130000
Andalucia,Almeria,Piso,Avenida Nueva Musa s/n,35000,2,210000
Andalucia,Almeria,Piso,Avenida Nueva Musa s/n,35000,2,160000
Andalucia,Almeria,Piso,Avenida Mariano Hernandez s/n,80,2,160000
Andalucia,Almeria,Atico,Carrera del Mami,122,4,163000
Andalucia,Almeria,Piso,Calle Estonia con Polonia s/n,35000,2,165000
Andalucia,Almeria,Piso,Calle Estonia con Polonia s/n,35000,2,160000
Andalucia,Almeria,Piso,Avenida Nueva Musa s/n,35000,2,200000
Andalucia,Almeria,Piso,Calle Monaco R,67,2,159500
Andalucia,Almeria,Piso,Calle Garcia de Villarroel,35,3,237000
Andalucia,Almeria,Duplex,Almerimar,16,3,353000
Andalucia,Almeria,Duplex,Almerimar,69,2,188000
Andalucia,Almeria,Piso,barrio Pabellon-Estacion-Corte Ingles,69,2,134000
Andalucia,Almeria,Piso,Calle Quesada,71,2,135000
Andalucia,Almeria,Piso,Calle joaquin rodrigo 41,112,3,119900
Andalucia,Almeria,Piso,Calle Galan de Noche 13,20,3,215000
Andalucia,Almeria,Piso,Calle Real del Barrio Alto 109,97,3,120000
Andalucia,Almeria,Chalet,Calle Almedina,147,4,149900
Andalucia,Almeria,Piso,AV REINO DE ESPANA 174,76,2,129900
Andalucia,Almeria,Chalet,Calle Eduardo Fajardo,92,3,299000
Andalucia,Almeria,Piso,Calle Orquidea,85,3,110000
Andalucia,Almeria,Piso,Calle peru,93,3,66000
Andalucia,Almeria,Piso,Calle troya s/n,121,4,268700
Andalucia,Almeria,Piso,Calle troya s/n,76,2,132800
Andalucia,Almeria,Chalet,Villablanca - Torrecardenas,266,5,435000
Andalucia,Almeria,Atico,Villablanca - Torrecardenas,78,2,145000
Andalucia,Almeria,Piso,Avenida avd de la Cruz esquina calle Juna cuadrado Ruiz s/n,70,2,174250
