Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Ático,Calle de Ferrán Agulló,2800000,6,321
Piso,Paseo de Sant Joan,2950000,7,264
Duplex,Paseo de Gracia,830000,2,71
Piso,Ronda Sant Pere,1100000,3,104
Ático,Calle del Consell de Cent,990000,2,66
Ático,Paseo de Manuel Girona,1650000,4,137
Piso,Paseo de Gràcia,2800000,4,218
Piso,Calle del Rosselló,1025000,3,120
Piso,Rambla de Catalunya,1695000,4,158
Piso,Calle d' Ausias March,1190000,5,206
Piso,Calle de El Escorial,510000,3,88
Piso,Calle de la Diputació,1750000,3,234
Piso,Ronda Sant Pere,1295000,3,79
Piso,Calle d' Ausias March,2500000,4,258
Piso,Calle de Bailèn,849000,3,75
Piso,Calle de Girona,1595000,4,170
Piso,Paseo de Gràcia,830000,2,71
Piso,Calle de Ferran Agulló,1750000,3,84
Piso,barrio La Dreta de l'Eixample,1470000,5,191
Piso,barrio La Dreta de l'Eixample,2500000,5,165
Piso,barrio Pedralbes,2900000,4,58
Piso,barrio Sant Gervasi - Galvany,1870000,4,170
Chalet,barrio Sarrià,2900000,6,613
Ático,barrio L'Antiga Esquerra de l'Eixample,1216000,2,141
Piso,barrio L'Antiga Esquerra de l'Eixample,2600000,4,228
Ático,barrio El Poble Sec - Parc de Montjuïc,675000,4,30
Piso,barrio La Dreta de l'Eixample,2300000,3,351
Piso,barrio Pedralbes,1375000,3,91
Piso,Calle de Sepúlveda,915000,3,95
Piso,Calle de Ganduxer,1450000,3,11
Piso,Calle de Pau Claris,750000,2,67
Piso,Calle de la Fruita,650000,3,99
Piso,barrio La Dreta de l'Eixample,1090000,3,93
Ático,Gran Via de les Corts Catalanes,795000,3,108
Ático,MAJOR s/n,317000,3,83
Piso,Calle de Sepúlveda,915000,3,60
Ático,Gran Via de les Corts Catalanes,795000,3,150
Piso,Calle de la Palma de Sant Just,895000,3,161
Piso,Calle del Tenor Viñas,780000,3,118
Piso,Calle de Muntaner,990000,6,202
Piso,Calle de la Diputació,1750000,3,80
Piso,Calle de Roger de Llúria,1470000,4,155
Piso,Calle de Bailèn,1400000,3,200
Piso,Calle del Bruc,849000,3,138
Piso,Calle de Casp,3200000,4,130
Ático,Paseo de Manuel Girona,1650000,4,140
Piso,Calle de Provença,1290000,4,151
Piso,Rambla de Catalunya,1390000,5,200
Chalet,Calle de la Palma de Sant Genís,1290000,5,180
Ático,Calle de Vinyals,430000,4,88
Piso,Calle de Balmes,550000,3,110
Piso,Calle de Manila,1150000,4,150
Piso,Calle de Manila,895000,3,119
Piso,Calle de Sicília,1425000,4,195
Chalet,barrio Sarrià,3790000,5,193
Piso,Paseo de Gràcia,3150000,4,217
Piso,barrio Sant Gervasi - La Bonanova,1000000,4,122
Piso,barrio Pedralbes,1950000,4,143
