Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso,Calle Abad Maluenda,225000,3,96
Piso,Calle Sagrada Familia,159900,3,86
Piso,Calle de Santa Cruz,98000,3,4
Chalet,Calle Endrinal,220000,5,167
Piso,Calle Vitoria,89000,3,82
Piso,Calle Calera,375000,4,35
Piso,Calle San Zadornil,155000,3,4
Chalet,Carretera de Arcos,190000,6,80
Piso,Avenida Cantabria,169000,4,120
Duplex,Calle de Lain Calvo,480000,3,83
Chalet,Calle colombia,385000,3,111
Estudio,Paseo del Espolón,595000,0,20
Piso,Calle Bailen,255000,3,83
Piso,Paseo de la Isla,210000,3,99
Duplex,Calle Condesa Mencía,225000,4,120
Piso,Calle María Amigo,175000,3,113
Piso,Calle Vitoria,179000,3,114
Piso,Paseo de la Audiencia,255000,2,78
Piso,Paseo Espolón,520000,3,120
Piso,Paseo Espolón,390000,2,73
Chalet,Calle Isabel de Portugal,159900,4,177
Piso,Calle Alfonso VIII,320000,3,850
Piso,Calle Fundación Sonsoles Ballvé,185000,3,90
Chalet,Calle de Juan Albarellos,740000,7,256
Piso,Calle Sagrada Familia,129000,3,114
Piso,Calle Averroes,298000,4,139
Piso,Calle Marqués de Berlanga s/n,128000,2,71
Piso,Calle Emperador,79000,2,68
Piso,Calle San Bruno,160000,3,81
Piso,Avenida del Cid,224900,2,71
Piso,Calle del Morco,265000,3,117
Chalet,Calle Rey Don Pedro,390000,5,179
Duplex,Calle Haiti,179500,4,20
Chalet,Calle Padre Diego Luis San Vítores,820000,4,154
Piso,Calle Fuenteovejuna,169000,2,66
Piso,Calle Gonzalo de Berceo,213000,3,119
Piso,Calle Victoria Balfe,195000,4,128
Chalet,Calle Federico Salvador Puy,350000,4,160
Piso,Calle San Francisco,116000,3,101
Piso,Calle Aranda de Duero,398000,4,160
Piso,Calle Victoria Balfe,195000,3,81
Piso,Calle del Burgense,250000,6,237
Piso,Calle Oscar Romero,185000,3,90
Piso,Avenida Reyes Católicos,235000,4,142
Piso,Avenida de la Paz,380000,4,144
Piso,Avenida de la Constitución Española,149000,4,103
Piso,Plaza Roma,139900,3,109
Piso,Avenida de Valencia del Cid,115000,3,85
Piso,Avenida del Cid Campeador,298000,6,225
Piso,Calle Vitoria,325000,7,256
Piso,Calle Vitoria,360000,5,194
Piso,Calle Francisco Grandmontagne,89900,3,73
Duplex,Avenida de Castilla y León,199000,3,116
Piso,Calle Malaga,85000,3,75
Duplex,Calle de las Corazas,169500,2,66
Piso,Calle Santiago,169000,4,130
Piso,Calle Rey Don Pedro,175000,4,139
Piso,Plaza San Bruno,102000,3,90
Piso,Calle Fuenteovejuna,155000,2,62
Piso,Paseo Regino Sainz de la Maza,360000,5,199
Duplex,Calle María de Zayas 8,149900,3,94
Piso,Calle Francisco Grandmontagne,135000,3,77
Piso,Calle de Sevilla,103000,3,73
Piso,Calle de Calleja y Zurita,139900,3,78
Piso,Calle Aparicio y Ruiz,390000,5,186
Piso,Calle José María Codón,159000,2,76
Piso,Barriada Juan XXIII,70000,3,110
Piso,Universidad - Las Huelgas,216000,3,87
Piso,Calle Parque Juan Pablo II,146000,2,71
Piso,barrio Gamonal - San Bruno - G9,110000,3,86
Piso,Calle Antonio García Martín,139000,2,72
Piso,barrio Gamonal - San Bruno - G9,160000,3,117
Piso,Casco Antiguo,50000,1,42
Piso,barrio Juan XXIII - Las Torres - G2,75000,3,104
Piso,barrio Gamonal - San Bruno - G9,93500,3,85
Piso,Calle Severo Ochoa,118000,3,103
Piso,Calle San Pablo 12,118500,3,88
Piso,Avenida de la Paz,340000,3,89
Piso,Calle Luis Alberdi,103000,3,102
Chalet,Calle Hijos de Santiago Rodríguez,812000,4,138
Piso,barrio Los Vadillos - R Sanitaria - Pozanos,109900,3,97
Piso,barrio Los Vadillos - R Sanitaria - Pozanos,350000,5,30
Piso,barrio Los Vadillos - R Sanitaria - Pozanos,84000,3,102
Piso,Calle Madrid,89000,3,85
Piso,Calle Vitoria,95000,2,67
Piso,Avenida de los Derechos Humanos 09007,89000,3,91
Duplex,Avenida de Castilla y León,205000,3,15
Piso,Calle Calzadas,399000,5,170
Piso,Calle Vitoria,77500,1,42
Piso,Calle La Merced,250000,6,213
Piso,Calle de Nuestra Señora de Belén,173000,3,94
Duplex,Calle Diego Laínez,970000,5,199
Piso,Calle Vitoria,239900,4,148
Piso,Calle Santiago Apóstol,139900,2,70
Piso,Calle Alejandro Yagüe,125000,3,93
Piso,Camino Casa de la Vega,96000,3,116
Piso,Camino Casa de la Vega,69000,3,85
Chalet,Villimar - V1 - V2 - S3 - S4 - San Cristobal,335000,4,136
Piso,Calle María de Zayas 6,153000,3,90
Piso,Calle de Calleja y Zurita 4,135000,3,113
Piso,barrio Gamonal - San Bruno - G9,129000,3,110
Piso,Calle Teresa Jornet Santa Fundadora,139900,2,64
Piso,San Pedro de la Fuente,155000,3,89
Chalet,Calle Iglesia,46000,2,78
Piso,Plantío - Alcampo,123000,3,97
Chalet,Villarcayo de Merindad de Castilla la Vieja,395000,4,143
Chalet,Calle Vitoria,333000,5,400
Chalet,Calle Valmoral s/n,257000,3,83
Chalet,Avenida Urbanización Río Arlanzón M1,784000,6,56
Duplex,Calle Bernardino Obregón,390000,4,127
Chalet,Villatoro,299000,3,116
Piso,Casco Antiguo,659000,6,205
Piso,Calle Cervantes,119000,4,152
Chalet,Calle Valle del Arlanzón,295000,3,220
Chalet,Calle San Roman,199000,3,190
Piso,Calle Navarrete,184500,3,111
Chalet,Camino Real,299500,4,714
Piso,Calle Avila,97000,1,40
Piso,C Sagrada Familia 27,135000,3,91
Piso,Calle Guardia Civil,420000,3,160
Piso,Calle Martín Antolínez,180000,4,121
Piso,Calle Laín Calvo,220000,3,102
Piso,Calle Maese Calvo,129000,1,60
Piso,Palencia,180000,3,100
Piso,Calle Legión Española,128000,3,93
Piso,Calle Eduardo Martínez del Campo,185000,4,123
Piso,Calle Progreso,240000,3,87
Piso,Rosalía de Castro,182000,3,103
Piso,Calle Legión Española,99000,3,117
Chalet,Calle Virgen de las Aguas,199000,4,297
Piso,Calle Vitoria,155000,2,67
Piso,Avenida del Arlanzón,320000,4,152
Piso,Calle Francisco Salinas,115000,3,120
Chalet,Calle Cabestreros,179000,2,73
Piso,Calle Aparicio y Ruiz,338000,3,130
Piso,Calle de las Calzadas,134900,3,68
Casa Rural,Carretera Lezana 52 A,1900000,5,160
Piso,moratin 17  bis,135000,3,120
Piso,Avenida General Gutierrez 1,165000,4,131
Piso,Travesía san isidro 1,128000,2,69
Chalet,Calle Consistorial,175000,3,14
Piso,Calle Carrequemada 29,185000,3,80
