C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Andalucia,Cadiz,Piso,Avenida periodista beatriz cienfuegos,91.0,3,335000
Andalucia,Cadiz,Atico,Paseo Maritimo,177.0,6,995000
Andalucia,Cadiz,Chalet,Mar Caspio,201.0,6,1375000
Andalucia,Cadiz,Chalet,Plaza de san miguel,234.0,6,330000
Andalucia,Cadiz,Chalet,Calle Jose Castrillon 5,141.0,4,625000
Andalucia,Cadiz,Piso,La Caleta - La Vina,90.0,3,430000
Andalucia,Cadiz,Piso,virgen de los milagros,78.0,2,185000
Andalucia,Cadiz,Chalet,Centro del Puerto,330.0,2,350000
Andalucia,Cadiz,Chalet,Valdelagrana,241.0,4,575000
Andalucia,Cadiz,Piso,Avenida los Cortijos,99.0,3,710000
Andalucia,Cadiz,Chalet,Avenida de los Cortijos,192.0,5,1275000
Andalucia,Cadiz,Chalet,Calle Carmona,213.0,6,1775000
Andalucia,Cadiz,Duplex,barrio El Aguila,88.0,3,415000
Andalucia,Cadiz,Chalet,Calle Foro,143.0,4,995000
Andalucia,Cadiz,Chalet,Carretera de Guadiaro,60.0,14,3500000
Andalucia,Cadiz,Chalet,barrio Vistahermosa,540.0,5,905000
Andalucia,Cadiz,Chalet,Vejer de la Frontera,149.0,4,625000
Andalucia,Cadiz,Piso,Playa Sta Ma del Mar,78.0,2,395000
Andalucia,Cadiz,Chalet,Nucleo Urbano,276.0,4,450000
Andalucia,Cadiz,Chalet,Los Gallos - La Coquina,501.0,3,299000
Andalucia,Cadiz,Piso,barrio Vistahermosa,83.0,3,490000
Andalucia,Cadiz,Chalet,barrio Vistahermosa,166.0,5,1350000
Andalucia,Cadiz,Chalet,barrio Vistahermosa,120.0,4,1500000
Andalucia,Cadiz,Chalet,barrio El Aguila,133.0,4,600000
Andalucia,Cadiz,Chalet,barrio Vistahermosa,175.0,5,770000
Andalucia,Cadiz,Chalet,barrio Parque Avenida,278.0,4,780000
Andalucia,Cadiz,Chalet,Parque Europa,212.0,2,165000
Andalucia,Cadiz,Chalet,Cuatro Pinos-El Carmen,270.0,4,350000
Andalucia,Cadiz,Chalet,Soto de Vistahermosa,18.0,4,450000
Andalucia,Cadiz,Chalet,Vejer de la Frontera,100.0,4,659000
Andalucia,Cadiz,Chalet,CORRAL DE LA CUBA,98.0,5,300000
Andalucia,Cadiz,Piso,La Paz - Segunda Aguada - Loreto,56.0,2,135000
Andalucia,Cadiz,Piso,barrio El Manantial,119.0,3,310000
Andalucia,Cadiz,Piso,jesus de los milagros,78.0,2,118998
Andalucia,Cadiz,Chalet,barrio Pinar Alto,27.0,4,530000
Andalucia,Cadiz,Chalet,barrio Casco Historico - Zona Alta,125.0,4,650000
Andalucia,Cadiz,Piso,Playa Victoria - Paseo Maritimo,82.0,3,450000
Andalucia,Cadiz,Piso,Vejer de la Frontera,53.0,1,160000
Andalucia,Cadiz,Piso,Zona Laguna,80.0,3,315000
Andalucia,Cadiz,Chalet,barrio Crevillet,88.0,3,299000
Andalucia,Cadiz,Chalet,barrio Crevillet,93.0,3,299000
