C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Andalucia,Cordoba,Chalet,barrio Brillante,130.0,4,450000
Andalucia,Cordoba,Piso,Avenida de Carlos III 79,103.0,3,128900
Andalucia,Cordoba,Chalet,barrio El Higueron,3.065,4,245000
Andalucia,Cordoba,Piso,Calle Libertador Simon Bolivar,86.0,3,116000
Andalucia,Cordoba,Piso,Calle Escultor Freila Guevara,83.0,2,165000
Andalucia,Cordoba,Piso,barrio Sector sur - Santa Cruz,62.0,2,86000
Andalucia,Cordoba,Chalet,Avenida de San Jose de Calasanz 37,210.0,6,794000
Andalucia,Cordoba,Piso,barrio Levante,100.0,3,95000
Andalucia,Cordoba,Piso,barrio La Vinuela,107.0,4,120000
Andalucia,Cordoba,Piso,barrio Levante,101.0,3,118500
Andalucia,Cordoba,Piso,barrio Valdeolleros - Zumbacon - Camping,63.0,2,97000
Andalucia,Cordoba,Piso,Calle Doctor Jose Altolaguirre 7,92.0,3,139000
Andalucia,Cordoba,Piso,barrio Norena - Turrunuelos,98.0,3,235000
Andalucia,Cordoba,Piso,barrio Fuensanta - Arcangel - Santuario,97.0,3,160000
Andalucia,Cordoba,Chalet,Calle Lustre 1,82.0,3,225000
Andalucia,Cordoba,Piso,Calle Marfileros,90.0,3,115500
Andalucia,Cordoba,Piso,barrio Valdeolleros - Zumbacon - Camping,99.0,3,169000
Andalucia,Cordoba,Piso,Cuesta de la Polvora 6,119.0,3,89000
Andalucia,Cordoba,Duplex,Escriba Lubna 6,30.0,5,374900
Andalucia,Cordoba,Piso,Calle Alcala Zamora,85.0,3,189900
Andalucia,Cordoba,Duplex,Papa Juan Pablo II,24.0,3,126000
Andalucia,Cordoba,Piso,Calle Bailarina Anna Pavlova 6,76.0,2,280000
Andalucia,Cordoba,Piso,Calle Vazquez Aroca 2,128.0,4,183000
Andalucia,Cordoba,Piso,Calle Queso 4,60.0,2,125000
Andalucia,Cordoba,Piso,Pasaje Isla Salvora 8,97.0,3,179900
Andalucia,Cordoba,Piso,Plaza de Colon 4,98.0,3,259348
Andalucia,Cordoba,Chalet,Calle las Aguilas,249.0,4,244900
Andalucia,Cordoba,Piso,Calle Gutierrez de los Rios,153.0,4,129000
Andalucia,Cordoba,Piso,Calle Doctor Barraquer,77.0,2,148300
Andalucia,Cordoba,Piso,Calle Doctor Barraquer,74.0,2,148300
Andalucia,Cordoba,Piso,Calle Escritora Concha Espina,116.0,3,195000
Andalucia,Cordoba,Piso,Calle de la Virgen del Perpetuo Socorro 12,84.0,3,164900
Andalucia,Cordoba,Atico,Calle Maria la Judia,169.0,4,465000
Andalucia,Cordoba,Chalet,Avenida del Brezo 1 H,172.0,5,225000
Andalucia,Cordoba,Piso,Calle Baldomero Moreno Espina s/n,85.0,3,209600
Andalucia,Cordoba,Piso,Calle Baldomero Moreno Espina s/n,82.0,3,212300
Andalucia,Cordoba,Piso,Calle Baldomero Moreno Espina s/n,70.0,2,184950
Andalucia,Cordoba,Duplex,Calle Antonio Gaudi,15.0,3,299900
Andalucia,Cordoba,Piso,barrio Vistalegre - Parque Cruz - Universidades,111.0,3,139000
Andalucia,Cordoba,Piso,barrio Valdeolleros - Zumbacon - Camping,90.0,3,189900
Andalucia,Cordoba,Piso,barrio Valdeolleros - Zumbacon - Camping,82.0,3,189900
Andalucia,Cordoba,Chalet,barrio Paraiso Arenal - La Colina,158.0,4,329900
Andalucia,Cordoba,Piso,barrio Fatima - Campinuela,107.0,3,128900
Andalucia,Cordoba,Piso,barrio Fatima - Campinuela,85.0,3,128900
Andalucia,Cordoba,Piso,barrio Tablero,116.0,3,244000
Andalucia,Cordoba,Piso,barrio Ciudad Jardin,51.0,2,75000
Andalucia,Cordoba,Piso,Calle Goya 19,68.0,2,119900
Andalucia,Cordoba,Chalet,Calle Diego Mendez 6,85.0,3,185000
Andalucia,Cordoba,Piso,Calle de la Virgen del Perpetuo Socorro s/n,92.0,3,164900
Andalucia,Cordoba,Piso,Avenida de America,4.84,3,190000
Andalucia,Cordoba,Duplex,Calle Periodista Antonio Rodriguez Mesa,102.0,3,149900
