C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Castilla-La Mancha,Cuenca,Chalet,Calle Sierra Canales,122.0,4,94500
Castilla-La Mancha,Cuenca,Chalet,Talayuelas,368.0,4,355000
Castilla-La Mancha,Cuenca,Piso,DIEGO JIMENEZ,108.0,3,96000
Castilla-La Mancha,Cuenca,Chalet,Calle los Geranios,94.0,3,69900
Castilla-La Mancha,Cuenca,Piso,Calle Mercedes Escribano,89.0,3,187000
Castilla-La Mancha,Cuenca,Chalet,Calle Belmontejo,112.0,3,130000
Castilla-La Mancha,Cuenca,Casa Rural,Calle San Julian,152.0,4,240000
Castilla-La Mancha,Cuenca,Chalet,Calle Urbanizacion Canada Molina,108.0,3,190000
Castilla-La Mancha,Cuenca,Casa Rural,Calle Constitucion,3000.0,4,215000
Castilla-La Mancha,Cuenca,Chalet,Campillo de Altobuey,255.0,7,450000
Castilla-La Mancha,Cuenca,Piso,Calle Julio Larranaga,107.0,3,80000
Castilla-La Mancha,Cuenca,Piso,Fuensanta - Universidad,115.0,3,205000
Castilla-La Mancha,Cuenca,Chalet,Calle Martinez Anido 32,143.0,4,39500
Castilla-La Mancha,Cuenca,Chalet,Calle LIBERTAD 11,200.0,4,55000
Castilla-La Mancha,Cuenca,Chalet,Valverde de Jucar,75.0,6,1000000
Castilla-La Mancha,Cuenca,Chalet,Barajas de Melo,1100.0,4,136000
Castilla-La Mancha,Cuenca,Chalet,Calle vadillo 5,194.0,5,142000
Castilla-La Mancha,Cuenca,Casa Rural,Coheteras,320.0,4,115000
Castilla-La Mancha,Cuenca,Duplex,Tarancon,109.0,2,142233
Castilla-La Mancha,Cuenca,Piso,Avenida las Sabinas 29,79.0,2,160000
Castilla-La Mancha,Cuenca,Chalet,Calle del Alba,140.0,4,217000
Castilla-La Mancha,Cuenca,Chalet,Minglanilla,55.0,1,82500
Castilla-La Mancha,Cuenca,Chalet,Calle Nueva 10,186.0,5,80000
Castilla-La Mancha,Cuenca,Piso,federico garcia lorca,107.0,3,159000
Castilla-La Mancha,Cuenca,Chalet,Camino del Manzano,125.0,4,99750
Castilla-La Mancha,Cuenca,Casa Rural,San Pedro,3.0,3,170000
Castilla-La Mancha,Cuenca,Chalet,Motilla del Palancar,980.0,7,470000
Castilla-La Mancha,Cuenca,Piso,Calle de la Ciudad de L'Aquila,79.0,2,139000
Castilla-La Mancha,Cuenca,Piso,Calle Maldonado,148.0,4,119000
Castilla-La Mancha,Cuenca,Chalet,vinas 12,281.0,1,65000
Castilla-La Mancha,Cuenca,Chalet,Calle Salaudin 24,262.0,4,160000
Castilla-La Mancha,Cuenca,Chalet,Calle Juan Gavala,55.0,1,28500
Castilla-La Mancha,Cuenca,Chalet,Calle Romero,329.0,8,228000
Castilla-La Mancha,Cuenca,Chalet,Calle Romero,115.0,3,127999
Castilla-La Mancha,Cuenca,Chalet,Calle Tomillo 23,83.0,3,165500
Castilla-La Mancha,Cuenca,Piso,CARRETERIA,41.0,1,80000
Castilla-La Mancha,Cuenca,Chalet,Manzanos,176.0,3,82900
Castilla-La Mancha,Cuenca,Chalet,Casco Historico,279.0,7,1795000
Castilla-La Mancha,Cuenca,Piso,Calle de calderon de la barca,138.0,4,144000
Castilla-La Mancha,Cuenca,Piso,Calle Fermin Caballero,127.0,4,189000
Castilla-La Mancha,Cuenca,Piso,Calle de Angeles Gasset,114.0,3,194000
