Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet,Calle Roca Vila,1250000,5,171
Chalet,Urbanitzacions,598000,6,220
Chalet,Centre,1150000,3,115
Piso,Calle El Gironès,240000,2,66
Piso,Paseo Marítim 21,379000,2,65
Chalet,Carretera Santa Cristina d'Aro,440000,4,160
Chalet,Calle Mestre d'Aixa,690000,4,288
Chalet,Avenida Europa 128,315000,4,5
Chalet,Calle de la Tordera,895000,5,186
Chalet,Calle de la Riera Alta 14,299900,9,75
Chalet,Calle Can Semi,1190000,7,1500
Chalet,Avenida del Mas Nou 315,1150000,4,124
Piso,Ronda Ferran Puig 21,185000,3,132
Chalet,Avenida del Mas Nou,895000,4,160
Piso,Avenida ESTACIO,175000,3,21
Piso,anselm clave 3,330000,1,106
Chalet,EPSYLON I 8,230000,3,6000
Chalet,Calle Rosendo,545000,4,40
Piso,flamicell,290000,3,90
Chalet,Montgrí,499000,3,98
Chalet,Segre,1150000,4,140
Duplex,Calle Mas Massonet,275000,5,154
Ático,pescadors,233000,3,120
Piso,Avenida sa boadella,250000,2,68
Chalet,Nord,290000,3,107
Chalet,Carretera de Girona,745000,4,200
Chalet,Carretera PLATJA DEL RACO 102,1500000,3,2225
Chalet,Avenida Catalunya,200000,4,79
Chalet,Calle d'Olot,560000,6,358
Chalet,Avenida Miramar,480000,5,1073
Chalet,Topazi,590000,5,1100
Piso,Calle Grumet,280000,3,81
Piso,Calle Josep Lluís Sert,850000,3,120
Piso,Calle Punta Prima,675000,1,41
Piso,siena,298000,3,118
Piso,Calle del Doctor Santiago Ramón y Cajal,220000,3,109
Chalet,Calle Carmençó,569000,5,160
Chalet,AV PAISOS CATALANS 14,595000,4,289
Chalet,Calle de Viena,650000,4,150
Piso,ARDALES,230000,3,14
Piso,Eixample,395000,4,130
Chalet,Avenida Gavarres,795000,5,4832
Chalet,Calle Petit de Raval,190000,3,110
Piso,Calle BALMES,124000,2,68
Piso,Avenida Joan Carles I,206000,3,151
Chalet,Montgoda,1390000,5,799
Chalet,Serra Brava,450000,3,1793
Chalet,Serra Brava,1600000,4,361
