C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Andalucia,Granada,Piso,Calle Gran Via de Colon,112,3,595000
Andalucia,Granada,Piso,Avenida de la Investigacion,113,3,280000
Andalucia,Granada,Piso,Almunecar Centro,83,3,132900
Andalucia,Granada,Piso,Musico Jose Ayala Canto,84,3,210000
Andalucia,Granada,Piso,Calle Acera del Darro,156,4,450000
Andalucia,Granada,Piso,Calle Ribera del Violon,91,3,179900
Andalucia,Granada,Piso,Calle Ebro,92,3,149900
Andalucia,Granada,Duplex,Calle Veracruz,107,3,119900
Andalucia,Granada,Piso,MIRADOR DE LA SIERRA,130,4,152000
Andalucia,Granada,Piso,Carretera de la Sierra,51,1,141000
Andalucia,Granada,Piso,MAESTRO FAUS,99,3,220000
Andalucia,Granada,Piso,Periodista Luis Seco de Lucena,82,3,160000
Andalucia,Granada,Chalet,cuenca s/n,139,4,89900
Andalucia,Granada,Piso,Antonio quesada sanchez s/n,69,2,89900
Andalucia,Granada,Piso,Carretera de la Sierra 24,114,3,139900
Andalucia,Granada,Atico,Calle Conde de las Infantas,100,3,450000
Andalucia,Granada,Piso,Avenida AMERICA,86,3,149900
Andalucia,Granada,Piso,Pasaje Profesor Sainz Cantero 3,97,3,298000
Andalucia,Granada,Piso,Calle Pico del Caballo,93,3,124900
Andalucia,Granada,Piso,Calle Socrates 31,120,4,295000
Andalucia,Granada,Chalet,Calle Retama 2,1800,5,548000
Andalucia,Granada,Piso,Plaza Periodista Jose Maria Gonzalo de la Torre,110,3,205000
Andalucia,Granada,Piso,VIRGEN DE LA ESPERANZA,98,3,180000
Andalucia,Granada,Piso,Calle SOLARILLO DE GRACIA,120,4,420000
Andalucia,Granada,Piso,barrio Recogidas,171,5,250000
Andalucia,Granada,Chalet,Calle Indalecio Prieto,25,5,750000
Andalucia,Granada,Atico,Barrio de los Periodistas,115,3,279900
Andalucia,Granada,Chalet,Altos de la Zubia,92,3,334000
Andalucia,Granada,Piso,Figares,88,3,270000
Andalucia,Granada,Chalet,Otura,80,3,690000
Andalucia,Granada,Piso,Calle Solarillo de Santo Domingo 3,70,2,229000
Andalucia,Granada,Piso,Avenida PABLO PICASSO,127,4,470000
Andalucia,Granada,Piso,Calle Montalban,78,2,179500
Andalucia,Granada,Piso,Calle San Jacinto,69,2,310000
Andalucia,Granada,Chalet,Calle Lavanda 2,180,4,360000
Andalucia,Granada,Piso,Camino de Ronda 41,120,3,159900
Andalucia,Granada,Chalet,Calle Delfos 18,87,3,186000
Andalucia,Granada,Chalet,Velilla - Velilla Taramay,315,4,550000
Andalucia,Granada,Piso,Avenida de la Investigacion 8,93,3,280000
Andalucia,Granada,Piso,Calle Libreros 2,185,6,399000
Andalucia,Granada,Piso,Calle Libreros 2,185,6,399000
Andalucia,Granada,Piso,Plaza Virgen de la Luz,70,2,149000
Andalucia,Granada,Piso,Calle Angel Ganivet,170,3,498000
Andalucia,Granada,Chalet,Calle F-1,122,4,249500
Andalucia,Granada,Chalet,Calle Everest,900,8,499990
Andalucia,Granada,Atico,Camino CHURRIANA,109,3,230000
Andalucia,Granada,Chalet,Calle Lopez Mezquita,80,2,230000
Andalucia,Granada,Chalet,Camino de la Sierra,199,5,299500
Andalucia,Granada,Chalet,Calle la Iruela,278,7,560000
Andalucia,Granada,Chalet,Calle Keops,280,4,265000
Andalucia,Granada,Casa Rural,Camino de los Cuscurros s/n,61,2,180600
Andalucia,Granada,Piso,Calle la Palmita 8,113,3,279900
Andalucia,Granada,Atico,Calle Castellon 65,20,2,147000
Andalucia,Granada,Piso,Camino de Churriana,100,3,165000
Andalucia,Granada,Chalet,Cruz de San Anton 28,120,4,254600
Andalucia,Granada,Piso,Calle Mozarabe,106,3,273300
Andalucia,Granada,Piso,Camino de Ronda 98,130,4,287900
Andalucia,Granada,Piso,Camino de Ronda 88,205,5,349000
Andalucia,Granada,Piso,Carretera de la Sierra 74,112,3,169900
Andalucia,Granada,Chalet,Calle Adinamar,145,4,465120
Andalucia,Granada,Piso,Calle Alonso Terron 2,72,2,260000
Andalucia,Granada,Piso,Avenida de la Constitucion,154,4,395000
Andalucia,Granada,Piso,Blas Infante,104,3,169500
Andalucia,Granada,Chalet,Guatemala,164,3,149000
Andalucia,Granada,Piso,Calle Vaguada,74,2,109000
Andalucia,Granada,Piso,Calle Torre del Capitan 4,111,3,319000
Andalucia,Granada,Chalet,Calle Aljibe de Trillo 23,310,8,589000
Andalucia,Granada,Piso,Plaza DE LOS CAMPOS s/n,155,4,945000
Andalucia,Granada,Chalet,Doctor Jimenez Diaz 19,500,4,210000
Andalucia,Granada,Piso,Acacias 1,42,1,131500
Andalucia,Granada,Piso,Calle Socrates 18,93,3,190000
Andalucia,Granada,Atico,Calle Real de Motril,25,1,118000
Andalucia,Granada,Chalet,Azucena,80,3,294900
Andalucia,Granada,Piso,Calle Minerva 7,92,3,258000
Andalucia,Granada,Chalet,Calle Granada 42,1000,5,375000
Andalucia,Granada,Piso,Calle Plasencia 3,172,4,198500
Andalucia,Granada,Piso,Calle Algibe 1,67,2,84000
Andalucia,Granada,Piso,Plaza de San Bartolome 4,69,2,174500
Andalucia,Granada,Piso,Calle San Anton 16,114,2,197000
Andalucia,Granada,Piso,Calle Ruisenor 5,88,3,158000
Andalucia,Granada,Piso,Calle Ruisenor 5,111,3,158000
Andalucia,Granada,Piso,Calle Francisco de Orellana,73,2,109000
Andalucia,Granada,Piso,MERCEDES GAIBROIS,103,3,189000
Andalucia,Granada,Chalet,Calle LAS CAMPANAS,160,4,189000
Andalucia,Granada,Piso,Cuesta de San Gregorio 28,60,1,180000
Andalucia,Granada,Chalet,Calle Quijada,229,6,999000
Andalucia,Granada,Chalet,Calle Cerro de las Pipas,1022,10,338000
Andalucia,Granada,Chalet,Calle Molinos,194,5,1390470
Andalucia,Granada,Piso,Avenida Don Bosco,130,4,169000
Andalucia,Granada,Chalet,Calle chimborazo,23,3,330000
Andalucia,Granada,Piso,Calle Merida,75,2,114000
Andalucia,Granada,Piso,Almunecar Centro,82,4,145000
Andalucia,Granada,Chalet,barrio La Herradura,251,6,105000
Andalucia,Granada,Piso,Calle Transportes,76,2,108000
Andalucia,Granada,Piso,Calle Ciego de Arjona,136,3,410000
Andalucia,Granada,Piso,Plaza Era Baja,90,3,89500
Andalucia,Granada,Chalet,Calle Betis,300,7,249000
Andalucia,Granada,Piso,Calle Tejar,104,3,120000
Andalucia,Granada,Piso,Paseo Rector Antonio Gallego Morell s/n,96,3,195622
Andalucia,Granada,Piso,Paseo Rector Antonio Gallego Morell s/n,54,1,115213
Andalucia,Granada,Chalet,Calle Cruz 10,295,4,110000
Andalucia,Granada,Chalet,Misericordia 1,147,4,135000
Andalucia,Granada,Piso,Rigoberta Menchu,122,4,110000
Andalucia,Granada,Piso,Calle Galicia,90,3,96000
Andalucia,Granada,Chalet,Calle Valle de Riofrio 10,114,3,419000
Andalucia,Granada,Atico,Agustina de Aragon,60,3,210000
Andalucia,Granada,Piso,Avenida Juan Pablo II,120,4,175000
Andalucia,Granada,Piso,Pasaje Recogidas,162,5,395000
Andalucia,Granada,Chalet,Calle Madrid,93,3,110900
Andalucia,Granada,Chalet,Calle Gerardo Esteva de la Torre 16,130,4,218000
Andalucia,Granada,Piso,Camino de Ronda 71,159,4,350000
Andalucia,Granada,Piso,Calle Mendez Nunez 8,140,4,240000
Andalucia,Granada,Piso,barrio Carrera de la Virgen - Paseo del Salon,185,5,425000
Andalucia,Granada,Piso,Calle Laguna de la Mosca,78,2,249500
Andalucia,Granada,Piso,Calle Ernesto Mira 10,127,4,119500
Andalucia,Granada,Chalet,PLAYA DE CABRIA s/n,77,2,340000
Andalucia,Granada,Chalet,Calle Alamo 1,123,4,150000
Andalucia,Granada,Duplex,Callejuela de San Bartolome 4,75,2,205000
Andalucia,Granada,Atico,Calle Jaen 2,49,1,80000
Andalucia,Granada,Chalet,Calle Fernan Caballero 15,194,5,155000
Andalucia,Granada,Atico,Calle Jaen 2,49,1,80000
Andalucia,Granada,Chalet,Calle Carmen de Burgos 13,157,4,359000
Andalucia,Granada,Chalet,Rio Guadalfeo,143,4,420000
Andalucia,Granada,Chalet,barrio Cuesta Escoriaza - Barranco del Abogado,283,5,823000
Andalucia,Granada,Chalet,Sancho Panza s/n,20,3,229000
Andalucia,Granada,Piso,Calle Conde Cifuentes 33,160,5,299000
Andalucia,Granada,Piso,RIBERA GENIL,81,3,218000
Andalucia,Granada,Piso,Calle Nueva de San Anton,141,3,310000
Andalucia,Granada,Piso,Avenida de la Investigacion 8,99,3,360000
Andalucia,Granada,Chalet,Calle Majuelo 20,104,3,270000
Andalucia,Granada,Duplex,Calle Zoraida 4,115,3,149000
Andalucia,Granada,Piso,Calle Pintor Manuel Maldonado 38,88,3,150000
Andalucia,Granada,Chalet,Urbanizacion la Ribera 52,300,3,270000
Andalucia,Granada,Piso,Calle Avena 2,77,2,114900
Andalucia,Granada,Chalet,Calle Sorolla 17,229,4,365000
Andalucia,Granada,Piso,Calle Perez Galdos 12,63,2,84900
Andalucia,Granada,Piso,Calle Jose Luis Perez Pujadas 37,91,3,299900
Andalucia,Granada,Chalet,Ogijares,438,5,425000
Andalucia,Granada,Piso,Calle San Federico 7,75,2,129000
Andalucia,Granada,Piso,Calle Asturias 34,100,3,220000
Andalucia,Granada,Piso,Calahonda,105,3,125000
Andalucia,Granada,Piso,Calle Nueva de la Virgen 20,32,1,112000
Andalucia,Granada,Chalet,Calle Ricardo Molina 4,170,3,195000
Andalucia,Granada,Piso,Calle Cruz de Granada,69,2,135000
Andalucia,Granada,Piso,Calle Palencia 17,132,3,270000
Andalucia,Granada,Piso,barrio Gran Capitan,157,5,295000
Andalucia,Granada,Casa Rural,Calle Enmedio 21,650,2,135000
Andalucia,Granada,Piso,Calle Santa Lucia 6,79,1,179000
Andalucia,Granada,Chalet,Huetor-Vega,316,4,390000
Andalucia,Granada,Chalet,Calle San Isidro 37,413,10,780000
Andalucia,Granada,Piso,Cuesta Blanquilla 2,63,2,74400
Andalucia,Granada,Piso,Plaza de la Palmera 10,108,2,158000
Andalucia,Granada,Chalet,Calle Mirlo 17,151,3,175000
Andalucia,Granada,Chalet,Calle Larga 22,148,4,98000
Andalucia,Granada,Chalet,Calle Ramon y Cajal 36,158,4,310000
Andalucia,Granada,Piso,Calle Doctor Ramon y Cajal 42,71,2,89000
Andalucia,Granada,Piso,Calle Mejorana 3,71,2,83000
Andalucia,Granada,Piso,Calle Torre de la Cautiva,96,3,359000
Andalucia,Granada,Chalet,Cotobro,35,3,311000
Andalucia,Granada,Piso,Camino de Ronda,168,5,200000
Andalucia,Granada,Chalet,Calle Belpanorama,125,4,650000
Andalucia,Granada,Piso,Calle Doctor Ramon y Cajal 42,80,2,89000
Andalucia,Granada,Piso,Calle Monachil,111,3,185000
Andalucia,Granada,Piso,Paseo de Velilla,64,2,150000
Andalucia,Granada,Piso,Camino de Ronda,84,3,187000
Andalucia,Granada,Chalet,Urbanizacion Los Chopos,540,5,610000
Andalucia,Granada,Chalet,Calle Altos de la Zubia,224,6,399990
Andalucia,Granada,Chalet,Calle reconquista,92,3,185000
Andalucia,Granada,Atico,Calle Gran Via de Colon,75,2,229000
Andalucia,Granada,Chalet,Calle alcazaba,275,6,425000
Andalucia,Granada,Chalet,Calle los Tulipanes,204,5,325000
Andalucia,Granada,Chalet,Avenida de los Almendros,102,3,360000
Andalucia,Granada,Piso,Calle Nueva de San Anton,148,5,295000
Andalucia,Granada,Piso,Calle San Juan Baja,111,3,270000
Andalucia,Granada,Chalet,Calle de la sultana,290,5,580000
Andalucia,Granada,Piso,Calle Aixa,63,2,99500
Andalucia,Granada,Piso,Calle Manole,128,4,176000
Andalucia,Granada,Piso,Calle Alvarez Pelayo,3,2,146000
Andalucia,Granada,Piso,barrio Carrera de la Virgen - Paseo del Salon,68,2,260000
Andalucia,Granada,Atico,Fray Junipero Serra,68,2,120000
Andalucia,Granada,Piso,Carretera de Malaga,90,4,157000
Andalucia,Granada,Piso,barrio Recogidas,148,4,450000
Andalucia,Granada,Piso,Pensamiento,141,4,84900
Andalucia,Granada,Duplex,Calle Entrala y Duran,120,3,129900
Andalucia,Granada,Duplex,Cajar,84,3,175000
Andalucia,Granada,Chalet,Calle Honda del Pozo,131,4,295000
Andalucia,Granada,Chalet,Calle Tierno Galvan,170,3,230000
Andalucia,Granada,Chalet,Calle Catamaran 2,132,4,179000
Andalucia,Granada,Piso,Calle Recogidas,300,3,345000
Andalucia,Granada,Chalet,Calle Zamora,130,4,160000
Andalucia,Granada,Atico,Camino de Ronda,87,3,239900
Andalucia,Granada,Chalet,Carretera de la Sierra,2158,5,1390000
Andalucia,Granada,Chalet,Motril pueblo,190,5,126500
Andalucia,Granada,Chalet,Santa Fe,4951,3,367000
Andalucia,Granada,Chalet,San Miguel,83,3,242900
Andalucia,Granada,Piso,Zona de San Cayetano,77,2,105000
Andalucia,Granada,Chalet,Albolote,120,3,199000
Andalucia,Granada,Piso,Paseo del Altillo,100,3,353000
Andalucia,Granada,Piso,Almunecar Centro,60,3,155000
Andalucia,Granada,Piso,Zona Parque de la Ermita,96,3,125000
Andalucia,Granada,Chalet,Albaicin,500,8,1150000
Andalucia,Granada,Chalet,barrio Molinos - Santiago,158,4,380000
Andalucia,Granada,Chalet,Albaicin,176,5,498000
Andalucia,Granada,Chalet,Albaicin,83,3,375000
Andalucia,Granada,Piso,San Miguel,55,1,78000
Andalucia,Granada,Chalet,Otura,109,3,310000
Andalucia,Granada,Chalet,Calle mulhacen,120,3,136500
Andalucia,Granada,Chalet,barrio La Herradura,373,5,339900
Andalucia,Granada,Piso,Almunecar Centro,81,3,149900
Andalucia,Granada,Chalet,Velilla - Velilla Taramay,309,4,590000
Andalucia,Granada,Chalet,Camino de la Sierra,183,5,299500
Andalucia,Granada,Chalet,Calle F-1,140,4,249500
Andalucia,Granada,Chalet,Cotobro,1191,3,299900
Andalucia,Granada,Chalet,Almunecar Centro,105,4,179900
Andalucia,Granada,Chalet,Paseo de los Barrancones 100,142,4,399900
Andalucia,Granada,Piso,Motril pueblo,107,3,119900
Andalucia,Granada,Piso,Paseo MARITIMO,122,4,160000
Andalucia,Granada,Piso,Calle Maestro Lecuona,80,2,165000
Andalucia,Granada,Chalet,Zaidin,233,3,289000
Andalucia,Granada,Piso,Albolote,79,1,129900
Andalucia,Granada,Chalet,Albolote,119,3,189900
Andalucia,Granada,Piso,PICOS DE EUROPA 4,100,3,149000
Andalucia,Granada,Piso,barrio Plaza de Toros,90,4,399000
Andalucia,Granada,Piso,Maracena,111,3,109900
Andalucia,Granada,Piso,Maracena,158,4,99900
Andalucia,Granada,Chalet,Albolote,82,3,189900
Andalucia,Granada,Chalet,Maracena,114,3,179900
Andalucia,Granada,Piso,Maracena,119,3,94900
Andalucia,Granada,Chalet,Albolote,124,4,139900
Andalucia,Granada,Chalet,Calle Aurora,67,2,150000
Andalucia,Granada,Duplex,Maracena,117,3,159900
Andalucia,Granada,Casa Rural,Cadiar,256153,2,289900
Andalucia,Granada,Piso,Calle San Pedro Martir 38,110,2,265000
Andalucia,Granada,Piso,Avenida Circunvalacion 10,64,2,138000
Andalucia,Granada,Chalet,Maracena,91,3,189900
Andalucia,Granada,Chalet,Atarfe,138,2,64900
Andalucia,Granada,Piso,Joan Miro,80,2,94990
Andalucia,Granada,Piso,Calle PIZARRO,65,2,94990
Andalucia,Granada,Chalet,Vereda VEDRIL,1000,2,199000
Andalucia,Granada,Chalet,Avenida Molino Alto s/n,50,5,519000
Andalucia,Granada,Chalet,Calle Agua Marina 49,104,3,170000
Andalucia,Granada,Piso,angel ganivet 6,170,3,498000
Andalucia,Granada,Piso,Cuesta Blanquilla 2,76,2,75900
Andalucia,Granada,Piso,SAN PEDRO MARTIR 38,110,2,265000
Andalucia,Granada,Piso,BUENSUCESO 24,139,4,269000
Andalucia,Granada,Casa Rural,Santa Fe,8000,1,84900
Andalucia,Granada,Piso,Calle Doctor Azpitarte,148,4,200000
Andalucia,Granada,Piso,Calle Sol,107,3,205000
Andalucia,Granada,Chalet,Pitagoras,146,4,335000
Andalucia,Granada,Piso,ANGEL GANIVET,170,3,498000
Andalucia,Granada,Piso,Calle San Pedro Martir,110,2,265000
Andalucia,Granada,Chalet,Calle Escultor Cayetano Anibal,5000,7,1600000
Andalucia,Granada,Chalet,Manuel de Falla,106,3,299000
Andalucia,Granada,Chalet,Avenida de los Cerezos,400,3,318000
Andalucia,Granada,Duplex,Maestro Gregorio Salas,35,2,117500
Andalucia,Granada,Piso,guadalete,120,3,95000
Andalucia,Granada,Chalet,Calle el Moruno 64,115,3,255000
Andalucia,Granada,Piso,Calle Daraxa 36,68,2,99500
Andalucia,Granada,Piso,Avenida Europa 7,163,5,450000
Andalucia,Granada,Piso,Calle Horno Pan Cocer s/n,61,2,168000
Andalucia,Granada,Piso,Avenida Don Bosco,120,3,129900
Andalucia,Granada,Piso,Calle Santa Clara,122,4,129900
Andalucia,Granada,Atico,Santa Clara,101,3,120000
Andalucia,Granada,Piso,Avenida Don Bosco,119,3,121000
Andalucia,Granada,Piso,Calle Ribera del Violon,69,2,220000
Andalucia,Granada,Piso,Picos de Europa,100,3,149000
Andalucia,Granada,Chalet,Calle Doctor Lopez Font 38,175,5,690000
Andalucia,Granada,Piso,Calle Jose Recuerda 1,113,4,295000
Andalucia,Granada,Chalet,Calle Abeto 8,1500,5,950000
Andalucia,Granada,Piso,aviles s/n,72,2,66900
Andalucia,Granada,Piso,Calle Chorrillo,5,3,124500
Andalucia,Granada,Piso,Calle Pintor Zuloaga 15,65,2,325000
Andalucia,Granada,Chalet,Calle Guadalquvir 12,199,5,1800000
Andalucia,Granada,Piso,Calle Solarillo de Santo Domingo,62,2,229000
Andalucia,Granada,Piso,Huerto de la muharra 1,67,2,71900
Andalucia,Granada,Piso,Calle Doctor Fernando Escobar,129,4,148000
Andalucia,Granada,Piso,Calle Doctor Rojas Ballesteros 2,157,4,165000
Andalucia,Granada,Chalet,Calle Aristoteles 1,290,5,318000
Andalucia,Granada,Piso,Calle Almeria 4,64,2,119000
Andalucia,Granada,Piso,Camino de Ronda,81,3,163000
Andalucia,Granada,Piso,Calle Pintor Zuloaga 15,63,2,325000
Andalucia,Granada,Piso,Calle Almeria 4,72,2,119000
Andalucia,Granada,Piso,Huerto de la muharra 1,80,2,71900
Andalucia,Granada,Casa Rural,Paraje la Vega,89,3,62000
Andalucia,Granada,Piso,Calle Salamanca,81,2,99900
Andalucia,Granada,Piso,Calle Casillas de Prats 18,152,4,285000
Andalucia,Granada,Chalet,Calle Luis Rosales 3,95,3,298000
Andalucia,Granada,Chalet,Carril de la Lona,68,2,295000
Andalucia,Granada,Chalet,Diseminado Diseminados 63,175,5,260000
Andalucia,Granada,Chalet,Camino Viejo Santa Fe,100,3,195000
Andalucia,Granada,Atico,Calle Jose Luis Perez Pujadas,81,3,465000
Andalucia,Granada,Piso,Calle Agustina de Aragon,109,3,149000
Andalucia,Granada,Piso,Plaza Albert Einstein,134,4,360000
Andalucia,Granada,Piso,Calle Maestro Lecuona,61,2,165000
Andalucia,Granada,Chalet,Calle Mulhacen,172,5,379000
Andalucia,Granada,Piso,Calle Leon Felipe,117,3,130000
Andalucia,Granada,Piso,Calle Hornillo de Cartuja,48,1,118000
Andalucia,Granada,Chalet,Calle Carretera,174,5,195000
Andalucia,Granada,Chalet,Calle Hermanos Carazo,356,8,295000
Andalucia,Granada,Piso,Cervantes-Palacio de Deportes,110,3,199900
Andalucia,Granada,Piso,Segunda Circunvalacion de Granada,74,2,89900
Andalucia,Granada,Chalet,Santa Fe,9000,10,1200000
Andalucia,Granada,Chalet,Calle Gerardo Diego,214,3,149000
Andalucia,Granada,Chalet,8 del secanillo,155,6,349000
Andalucia,Granada,Chalet,Bola de Oro,850,5,970000
Andalucia,Granada,Piso,Calle Castillo,62,2,110000
Andalucia,Granada,Piso,Carretera de la Playa,137,4,115000
Andalucia,Granada,Chalet,Calle Camacha,155,4,345000
Andalucia,Granada,Chalet,Camino de Otura 2,72,4,378000
Andalucia,Granada,Piso,Calle Isla Madeira,111,3,123000
Andalucia,Granada,Piso,Avenida Julio Moreno,46,1,55000
Andalucia,Granada,Piso,Calle Capitan Luque 1,93,3,119900
