C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Castilla-La Mancha,Guadalajara,Chalet,Calle EL CLAVIN,143.0,4,366000
Castilla-La Mancha,Guadalajara,Piso,Calle Mayor 41,67.0,2,195000
Castilla-La Mancha,Guadalajara,Piso,Calle Mayor 41,54.0,1,141900
Castilla-La Mancha,Guadalajara,Piso,Constitucion-El Balconcillo,85.0,3,128000
Castilla-La Mancha,Guadalajara,Chalet,AURELIANO GONZALO,90.0,3,260000
Castilla-La Mancha,Guadalajara,Chalet,Avenida Dublin,190.0,5,249000
Castilla-La Mancha,Guadalajara,Chalet,Camino del Pozo,310.0,4,355000
Castilla-La Mancha,Guadalajara,Chalet,Calle Rio Sil,155.0,5,199000
Castilla-La Mancha,Guadalajara,Chalet,Avenida Lisboa,184.0,5,315000
Castilla-La Mancha,Guadalajara,Chalet,Avenida del Mediterraneo,28.0,4,349000
Castilla-La Mancha,Guadalajara,Chalet,Calle Pastrana,221.0,5,309000
Castilla-La Mancha,Guadalajara,Chalet,Islas Cicladas,240.0,3,366940
Castilla-La Mancha,Guadalajara,Chalet,Avenida oslo,296.0,5,427250
Castilla-La Mancha,Guadalajara,,949722684,31.0,0,0
Castilla-La Mancha,Guadalajara,Chalet,INFANTE DON JUAN MANUEL,180.0,3,249000
Castilla-La Mancha,Guadalajara,Chalet,ROJO CEREZA,241.0,4,434520
Castilla-La Mancha,Guadalajara,Chalet,BAILEN,175.0,5,365000
Castilla-La Mancha,Guadalajara,Piso,ENCINA,115.0,3,175000
Castilla-La Mancha,Guadalajara,Chalet,VICTOR GARCIA,191.0,5,290000
Castilla-La Mancha,Guadalajara,Chalet,Calle Islas madeira,102.0,3,237000
Castilla-La Mancha,Guadalajara,Chalet,Calle Rio Turia,189.0,4,199000
Castilla-La Mancha,Guadalajara,Chalet,Calle el Romero,385.0,5,300000
Castilla-La Mancha,Guadalajara,Chalet,Calle Cotanillos,680.0,9,2000000
Castilla-La Mancha,Guadalajara,Chalet,Calle Berna,327.0,6,380000
Castilla-La Mancha,Guadalajara,Chalet,Calle Goya,171.0,5,280000
Castilla-La Mancha,Guadalajara,Chalet,RIO GALLO,400.0,10,399000
Castilla-La Mancha,Guadalajara,Chalet,ISLA CONEJERA,164.0,5,329000
Castilla-La Mancha,Guadalajara,Chalet,Julio Gonzalo,150.0,4,279000
Castilla-La Mancha,Guadalajara,Chalet,Calle Rio Alberche,122.0,3,259000
Castilla-La Mancha,Guadalajara,Chalet,Avenida Rio Henares,180.0,3,195000
Castilla-La Mancha,Guadalajara,Chalet,Calle Castillo Montalban,131.0,3,215000
Castilla-La Mancha,Guadalajara,Piso,Travesia DEL ROBLE,115.0,3,177000
Castilla-La Mancha,Guadalajara,Chalet,Calle Turina,153.0,4,245000
Castilla-La Mancha,Guadalajara,Chalet,Calle Rio Henares,105.0,3,275000
Castilla-La Mancha,Guadalajara,Chalet,Torrejon del Rey,98.0,3,239000
Castilla-La Mancha,Guadalajara,Chalet,Trijueque,102.0,3,115000
Castilla-La Mancha,Guadalajara,Chalet,JOAQUIN TURINA,150.0,4,244000
Castilla-La Mancha,Guadalajara,Piso,Avenida de Castilla,116.0,4,270000
Castilla-La Mancha,Guadalajara,Chalet,Alovera,111.0,3,182000
Castilla-La Mancha,Guadalajara,Piso,Las Lomas-Salinera-La Muneca,151.0,4,209900
Castilla-La Mancha,Guadalajara,Piso,Las Lomas-Salinera-La Muneca,151.0,4,209900
Castilla-La Mancha,Guadalajara,Chalet,Villanueva de la Torre,157.0,4,283000
Castilla-La Mancha,Guadalajara,Chalet,Villanueva de la Torre,125.0,4,340000
Castilla-La Mancha,Guadalajara,Chalet,Calle Rio Tajo,128.0,3,190000
Castilla-La Mancha,Guadalajara,Chalet,Calle Jardiel Poncela,7.0,4,420000
Castilla-La Mancha,Guadalajara,Duplex,Calle del Palomar,89.0,3,149000
Castilla-La Mancha,Guadalajara,Chalet,Calle Cuenca,138.0,4,415000
Castilla-La Mancha,Guadalajara,Piso,Travesia acebo,151.0,4,139900
Castilla-La Mancha,Guadalajara,Chalet,Calle Rio Segura,124.0,4,315000
Castilla-La Mancha,Guadalajara,Piso,La Estacion,73.0,2,159500
Castilla-La Mancha,Guadalajara,Chalet,MARIA MOLINER,62.0,4,269900
Castilla-La Mancha,Guadalajara,Chalet,Paseo del Observatorio,123.0,4,149000
Castilla-La Mancha,Guadalajara,Chalet,Calle Rio Yunquera,148.0,4,183000
Castilla-La Mancha,Guadalajara,Chalet,Calle Gaviota,100.0,3,195000
Castilla-La Mancha,Guadalajara,Chalet,Calle Marchamalo,148.0,4,219000
Castilla-La Mancha,Guadalajara,Chalet,Calle Rio Tajuna,176.0,5,185000
Castilla-La Mancha,Guadalajara,Chalet,Calle Fontanar,181.0,5,223000
Castilla-La Mancha,Guadalajara,Piso,Calle romero,81.0,3,176000
Castilla-La Mancha,Guadalajara,Piso,Jose Antonio Andres Rodriguez,77.0,2,123000
Castilla-La Mancha,Guadalajara,Piso,Calle Doctor Layna Serrano,136.0,4,108600
Castilla-La Mancha,Guadalajara,Chalet,horche,715.0,5,199000
Castilla-La Mancha,Guadalajara,Chalet,Calle Monteaveruelo,1.0,4,380000
Castilla-La Mancha,Guadalajara,Piso,Calle Roble,170.0,4,255000
Castilla-La Mancha,Guadalajara,Chalet,Horche,65.0,2,59900
Castilla-La Mancha,Guadalajara,Piso,Travesia Nuevo Alamin,94.0,3,100000
Castilla-La Mancha,Guadalajara,Chalet,Urbanizacion Bosque de Henares 238,250.0,2,174000
Castilla-La Mancha,Guadalajara,Chalet,Calle Brasil,132.0,4,340000
Castilla-La Mancha,Guadalajara,Chalet,Urbanizacion Bosque de Henares 238,250.0,2,134900
Castilla-La Mancha,Guadalajara,Chalet,Urbanizacion Bosque de Henares 238,250.0,3,159500
Castilla-La Mancha,Guadalajara,Chalet,Calle Adolfo Centenera,195.0,3,238000
Castilla-La Mancha,Guadalajara,Duplex,olivos,78.0,2,114000
Castilla-La Mancha,Guadalajara,Duplex,mirador del vallejo,96.0,2,140000
Castilla-La Mancha,Guadalajara,Chalet,jupiter,177.0,4,187000
Castilla-La Mancha,Guadalajara,Chalet,Calle Ruperto Chapi,203.0,6,234999
Castilla-La Mancha,Guadalajara,Chalet,Orotava,379.0,6,225000
Castilla-La Mancha,Guadalajara,Chalet,Tenerife,305.0,4,269900
Castilla-La Mancha,Guadalajara,Duplex,San Anton,128.0,4,99000
Castilla-La Mancha,Guadalajara,Chalet,Calle del Arroyo,131.0,4,138000
Castilla-La Mancha,Guadalajara,Duplex,Calle Marcelino Orozco,96.0,3,166000
Castilla-La Mancha,Guadalajara,Piso,Aguas Vivas,120.0,3,183000
Castilla-La Mancha,Guadalajara,Piso,Aguas Vivas,86.0,3,183000
Castilla-La Mancha,Guadalajara,Chalet,Calle los Chopos,54.0,3,99000
Castilla-La Mancha,Guadalajara,Piso,Bo Alovera,82.0,2,129990
Castilla-La Mancha,Guadalajara,Chalet,Bo Alovera,30.0,4,251050
Castilla-La Mancha,Guadalajara,Chalet,Humanes,194.0,3,189000
Castilla-La Mancha,Guadalajara,Chalet,PINO,87.0,3,329000
Castilla-La Mancha,Guadalajara,Chalet,Vallehermoso,35.0,4,379990
Castilla-La Mancha,Guadalajara,Chalet,Calle Turina,161.0,3,292000
Castilla-La Mancha,Guadalajara,Chalet,Cabanillas del Campo,385.0,8,255000
Castilla-La Mancha,Guadalajara,Chalet,Cabanillas del Campo,154.0,4,279000
Castilla-La Mancha,Guadalajara,Chalet,Calle el Romero,205.0,3,230000
Castilla-La Mancha,Guadalajara,Chalet,Avenida dublin,196.0,4,298520
