Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet,Calle Amezti 46,4450000,5,40
Chalet,Antiguo,3800000,8,337
Chalet,Antiguo,3800000,8,322
Chalet,Oiartzun,3360000,13,453
Chalet,barrio Miraconcha,3300000,4,20
Piso,barrio Área Romántica,3300000,5,30
Chalet,Intxaurrondo,3150000,9,428
Chalet,Calle Ategorrieta s/n,3150000,9,92
Piso,Paseo de Miraconcha s/n,3100000,3,143
Piso,barrio Área Romántica,3100000,5,25
Chalet,Igeldo,3000000,5,7000
Piso,HERNANI,2900000,5,98
Piso,barrio Área Romántica,2900000,5,239
Piso,Calle San Martin s/n,2725000,6,285
Piso,Calle San Martin,2725000,6,225
Piso,Calle San Martín 61 -57,2725000,6,15
Piso,san martin 61,2725000,6,233
Piso,Calle San Martin 61,2725000,6,260
Piso,Calle San Martin,2725000,6,225
Piso,Calle San Martin,2725000,6,260
Piso,Calle San Martin 61,2725000,6,202
Piso,barrio Área Romántica,2725000,6,217
Piso,Calle San Martin,2725000,6,234
Piso,Calle Zubieta s/n,2650000,5,154
Duplex,Mirakontxa Pasealekua 39,2650000,5,290
Casa Rural,Oiartzun,2600000,8,397
Piso,barrio Área Romántica,2600000,4,122
Chalet,Mendiola Bidea,2550000,9,508
Chalet,makutso,2500000,6,790
Chalet,Ulia Pasealekua 394,2500000,11,536
Casa Rural,Ategorrieta-Ulia,2500000,11,460
Chalet,Oiartzun,2500000,6,790
Chalet,barrio Miracruz,2500000,10,500
Chalet,Oiartzun,2500000,6,5300
Chalet,Makutso Bidea,2500000,6,209
Chalet,barrio Miracruz,2500000,10,500
Chalet,Ategorrieta-Ulia,2495000,10,90
Chalet,Alcalde José Elosegi,2495000,10,190
Chalet,Antiguo,2475000,8,75
Chalet,Calle Amezti 31,2270000,3,90
Chalet,Alcalde J Elosegi Hiribidea,2200000,5,1000
Duplex,Calle Legazpi 6,2200000,0,43
Chalet,Miramon-Zorroaga,2150000,5,20
Chalet,Ategorrieta-Ulia,2150000,4,420
Piso,Miraconcha 3,2100000,4,7
Piso,Paseo Miraconcha 3,2100000,4,150
Piso,Mirakontxa Pasealekua,2100000,4,12
Chalet,Calle Ategorrieta s/n,2100000,15,1004
Chalet,Alcalde J Elosegi Hiribidea,2100000,15,568
Piso,De Miraconcha Ibilbidea,2100000,4,10
Piso,De Miraconcha Ibilbidea 3,2100000,4,8
Piso,Miraconcha,2100000,4,8
Piso,barrio Miraconcha,2100000,4,8
Piso,barrio Área Romántica,2100000,4,147
Piso,Paseo de miraconcha 3,2100000,4,122
Ático,Antiguo,2000000,6,236
Piso,Mirakontxa Pasealekua s/n,1995000,4,147
Chalet,Calle Amezti 31,1980000,3,86
Ático,Zurriola 30 -40,1950000,4,217
Ático,Zurriola s/n,1950000,3,47
Piso,Plaza Gipuzkoa,1950000,3,196
Piso,Gros,1950000,3,144
Ático,Kolon Pasealekua,1950000,4,70
Chalet,Olaberria,1950000,5,780
Chalet,Lasarmendi Bidea,1900000,8,24000
Casa Rural,Lasarmendi Bidea 31,1900000,8,24057
Piso,Calle Aldapeta s/n,1895000,3,126
Piso,Calle Urbieta 2,1870000,3,15
Piso,Calle Urbieta 2,1870000,3,107
Piso,Calle Urbieta,1870000,3,110
Piso,Parte Vieja,1855000,5,219
Chalet,Getaria,1850000,7,100
Piso,Calle Hondarribia 1,1825000,3,94
Piso,La Fe Pasealekua,1800000,4,120
Chalet,gornutz auzoa 21,1770000,8,5002
Chalet,Hondarribia,1770000,8,5002
Chalet,Calle flores kalea 4 -20,1762000,5,340
Piso,Calle Andia s/n,1750000,5,165
Chalet,Paseo Oriamendi 60 -110,1750000,5,561
Chalet,Oriamendi Pasealekua s/n,1750000,6,1800
Duplex,Mirakontxa s/n,1750000,5,224
Piso,Calle Andia,1750000,5,192
Chalet,Oriamendi Pasealekua,1750000,4,151
Piso,Calle Urbieta 2,1725000,3,137
Piso,Urbieta,1725000,3,137
Piso,barrio Miraconcha,1700000,2,90
Chalet,Mandabide,1700000,3,500
Chalet,Lasarte-Oria,1700000,5,6200
Duplex,Antiguo,1690000,4,146
Piso,Plaza FUNICULAR,1690000,3,10
Piso,Plaza del Funicular,1690000,3,00
Piso,Calle Aldapeta s/n,1675000,3,126
Piso,Paseo Miraconcha 14 -20,1650000,2,90
Chalet,Calle Jaitzubia Auzoa,1650000,7,277
Chalet,JAITZUBIA 176,1650000,7,3674
Piso,barrio Miraconcha,1650000,2,78
Chalet,jaitzubia auzoa,1625000,7,4150
Chalet,Miramon-Zorroaga,1600000,5,500
Piso,barrio Amara Zaharra-Arbaizenea,1590000,4,122
Piso,Paseo Miraconcha 5 -9,1590000,4,122
Piso,Mirakontxa Pasealekua,1590000,4,122
Piso,Avenida de la libertad 33,1590000,3,17
Piso,Mirakontxa Pasealekua 7,1590000,4,122
Chalet,Zarautz,1551000,4,700
Chalet,Aiete,1550000,5,550
Chalet,Igeldo Pasealekua,1550000,10,547
Chalet,Paseo BERABERA,1550000,5,162
Chalet,IGELDO,1550000,10,1753
Chalet,Aiete,1550000,5,550
Piso,Avenida de la Zurriola,1500000,8,00
Piso,zurriola,1500000,5,193
Chalet,Oriamendi Pasealekua,1500000,6,400
Piso,Zurriola Hiribidea,1500000,8,229
Piso,ZURRIOLA,1500000,8,230
Chalet,Escolta real,1500000,3,224
Piso,Gros,1500000,6,220
Chalet,Jaizubia Hiribidea,1495000,4,146
Chalet,Jaitzubia Auzoa,1495000,4,122
Chalet,Agerre Bidea,1495000,4,96
Chalet,Hondarribia,1495000,3,270
Chalet,Camino de Igara s/n,1490000,20,551
Chalet,Portuetxe 83,1490000,20,719
Chalet,Igara Bidea,1490000,20,3500
Piso,De Zumalakarregi Hiribidea 13,1475000,3,117
Chalet,Calle Bidasoa Ibilbidea,1450000,3,300
Chalet,Calle Alkainbide s/n,1450000,5,340
Chalet,barrio Área Romántica,1450000,4,342
Chalet,Bidasoa Ibilbidea,1450000,3,118
Chalet,Calle Alkainbide,1450000,5,130
Chalet,Jaitzubia Auzoa,1450000,5,195
Chalet,Hondarribia,1450000,3,115
Chalet,Jaitzubia Auzoa,1450000,6,207
Chalet,Centro,1450000,5,130
Chalet,Jaitzubia Auzoa 52,1450000,6,223
Piso,Askatasunaren Hiribidea 24,1450000,3,118
Duplex,Calle Prim s/n,1400000,4,182
Piso,Zurriola Hiribidea,1400000,4,110
Duplex,Calle Prim,1400000,4,182
Chalet,Jaizubia Auzoa,1400000,6,14000
Chalet,Ategorrieta-Ulia,1400000,7,268
Chalet,Ategorrieta-Ulia,1400000,7,253
Duplex,Prim 47,1400000,4,114
Chalet,Jaitzubia Auzoa 47 B,1400000,5,5650
Piso,ZURRIOLA,1400000,4,150
Piso,Antso Jakituna Hiribidea 2,1395000,4,249
Piso,Calle Intxaurrondo 72,1388140,4,112
Piso,Calle Prim 10,1370000,2,121
Piso,Pío Baroja Pasealekua 4,1350000,5,222
Piso,Plaza De Bilbao 2,1350000,5,157
Piso,Calle Intxaurrondo 72,1334455,4,224
Duplex,Egia,1300000,5,180
Piso,Paseo Zurriola 8 -12,1300000,2,110
Piso,Zurriola,1300000,4,4
Piso,Gros,1300000,2,108
Piso,Calle Urbieta,1300000,2,70
Piso,peña y goñi,1300000,2,66
Piso,Urbieta,1300000,2,79
Piso,Foru Pasealekua,1295000,3,10
Duplex,Paseo de Salamanca,1295000,5,299
Piso,Avenida De Zumalakarregi,1290000,3,24
Chalet,Agiti Bidea,1290000,7,5000
