Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Piso,Avenida Regimiento de Galicia 15,160000,2,62,Huesca,Aragón
Piso,Avenida Zaragoza,129000,3,98,Huesca,Aragón
Duplex,Paseo de los Ayerbes 5,119000,1,55,Huesca,Aragón
Ático,infazones 14,200000,2,69,Huesca,Aragón
Ático,Carmen 22,315000,2,88,Huesca,Aragón
Duplex,Calle Baja 1,200000,3,69,Huesca,Aragón
Piso,Urbanizacion Santiago 24,120000,2,62,Huesca,Aragón
Duplex,Carretera Graus-Viella 1,110000,2,12,Huesca,Aragón
Ático,Calle Río Gas s/n,300000,4,126,Huesca,Aragón
Chalet,Alto de Bescansa s/n,257000,4,137,Huesca,Aragón
Chalet,Calle nueva s/n,295000,7,200,Huesca,Aragón
Chalet,Calle santo grial s/n,178000,3,100,Huesca,Aragón
Chalet,Calle unica s/n,275000,4,135,Huesca,Aragón
Ático,Calle Mayor,570000,3,102,Huesca,Aragón
Piso,Calle Teruel,149000,3,112,Huesca,Aragón
Chalet,barcelona,520000,4,155,Huesca,Aragón
Chalet,Calle Tejería,329000,4,232,Huesca,Aragón
Piso,MAYOR,190000,4,95,Huesca,Aragón
Chalet,Calle ESTIRAS,790000,5,196,Huesca,Aragón
Casa Rural,Calle baja,127000,3,160,Huesca,Aragón
Chalet,Calle de Fondabós,270000,3,118,Huesca,Aragón
Ático,av pirineos,335000,3,82,Huesca,Aragón
Ático,Calle de la Tejería,259000,4,103,Huesca,Aragón
Chalet,Calle la fuente,185000,3,62,Huesca,Aragón
Piso,Calle Huesca,185000,2,63,Huesca,Aragón
Duplex,Plaza Mayor 32,250000,2,74,Huesca,Aragón
Piso,Avenida Huesca,233000,2,74,Huesca,Aragón
Casa Rural,Borau,399000,6,300,Huesca,Aragón
Ático,Calle San Sebastian Ag Formiga,350000,3,96,Huesca,Aragón
Piso,Carretera de Pamplona 14,57000,1,52,Huesca,Aragón
Chalet,Vía 76,575000,4,124,Huesca,Aragón
Piso,Calle Peña Telera,158000,3,7,Huesca,Aragón
