Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Ático,Camino Serra,2650000,3,262
Duplex,Calle de Cartago,1595000,3,203
Piso,Plaza d'Espanya,995000,3,100
Ático,Avenida Mèxic,625000,2,65
Chalet,Cas Catala,848000,4,40
Chalet,ESTANY D´EN MAS 11,420000,2,127
Chalet,Bell Puig 35,790000,3,113
Piso,Plaza d'Espanya 1,950000,3,186
Piso,Pare Guillem Vives,245000,2,75
Chalet,barrio Son Vida,3690000,4,2.880
Piso,Calle de Bover,386000,4,117
Chalet,barrio Can Furnet,3400000,5,186
Chalet,Diseminado P 21 N S Jesus,3200000,4,2.000
Piso,Calle de la Fàbrica,945000,3,118
Piso,Calle Arxiduc Lluís Salvador,499900,3,115
Chalet,barrio Cap Martinet,6950000,9,645
Chalet,barrio Can Furnet,3975000,4,311
Chalet,Cala Vedella - Cala Tarida - Cala Conta,3650000,4,2.442
Piso,Calle Uetam,469000,3,119
Chalet,Portals Nous - Bendinat,600000,3,106
Chalet,Calle del Verderol,1312500,4,53
Piso,Calle Historiador Joan Mari Cardona,530000,2,71
Chalet,barrio Son Dureta,1150000,3,186
Chalet,Cas Catala,848000,4,132
Chalet,Maioris-Puig de Ros,699000,3,271
Piso,barrio Sant Agustí,1250000,5,138
Piso,barrio Sindicat,580000,5,195
Piso,Santa Ponça,269000,2,79
Chalet,Santa Ponça,4800000,4,159
Chalet,Costa d'En Blanes,1975000,4,142
Chalet,Felanitx centro,840000,3,200
Piso,Portals Nous - Bendinat,750000,3,82
Chalet,barrio Puntiró,2100000,6,7286
Piso,Port d'Alcúdia - Platja d'Alcúdia,780000,3,84
Piso,Port d'Andratx,514350,2,73
Chalet,Portals Nous - Bendinat,5800000,4,139
Piso,Can Picafort,215000,3,95
Piso,Cas Catala,2250000,4,15
Ático,Cala Vinyes,1180000,3,60
Piso,barrio Sant Agustí,565000,3,45
Piso,Cas Catala,600000,2,77
Chalet,barrio Tanques del Carme-Fort de l'Eau,3400000,10,60
Ático,barrio Coll d'En Rabassa,675000,2,100
Chalet,barrio Centre Històric,837000,6,335
Chalet,Sa Cabana - Can Carbonell - Ses Cases Noves,655000,4,182
Piso,barrio Son Rapinya - Los Almendros,220000,3,80
Ático,Secar de la Real,465000,3,102
Chalet,Ciutadela,235000,3,99
Chalet,Diseminado Ca na Palerma,3500000,6,2.030
Piso,barrio Sant Agustí,695000,2,74
Ático,Port d'Alcúdia - Platja d'Alcúdia,770000,3,80
Chalet,Calle de Centaure 19,749000,5,180
Chalet,Calle Cap Falcó,24000000,7,3.000
Chalet,Calle d'en Caldentei,4950000,4,149
Piso,Calle de Sant Miquel 35,1150000,5,112
Chalet,Calle de Migjorn,747000,4,158
Casa Rural,Camino de de Camí,6400000,6,800
Ático,Camino Verd,395000,3,125
Piso,Bonaire,550000,3,153
Chalet,Portals Nous - Bendinat,4950000,5,1.486
Chalet,Portals Nous - Bendinat,3850000,4,301
Chalet,El Toro,7750000,4,158
Ático,barrio Tanques del Carme-Fort de l'Eau,665000,4,153
Chalet,Sant Climent-Es Canutells,1400000,3,463
Chalet,Cas Catala,11500000,6,350
Piso,ARAGON s/n,209000,2,62
Piso,Calle Torrent,1055000,2,80
Piso,Calle de Francesc Vidal i Sureda,980000,2,118
Chalet,Calle Mar Menor,950000,7,272
Chalet,Calle de sa Roca Blanca,1640000,7,273
Piso,Calle de Costa Rica,650000,3,88
Chalet,Calle Joan Massanet,440000,3,83
Piso,Calle Guipúzcoa 7,395000,2,60
Duplex,Avenida Punta Grossa,375000,2,76
Piso,Avenida de Gabriel Alomar 37,530000,4,160
Ático,barrio Foners,1200000,3,81
Piso,Can Picafort,380000,2,125
Chalet,Calle Bella Vista 14,510000,2,140
Chalet,Calle Bella Vista 14,554400,2,140
Casa Rural,Felanitx centro,400000,4,230
Chalet,Port d'Andratx,5950000,4,1000
Piso,Calle Es vedrá 10,398500,2,70
Chalet,S'Arracó,1490000,4,240
Chalet,871244177,Port d'Andratx,5900000,518
Piso,Port d'Andratx,850000,2,93
Piso,Calle de Gabriel Carbonell,388000,3,88
Piso,Plaza del Bisbe Berenguer de Palou,460000,3,100
Piso,Carretera de Valldemosa,398000,3,102
Chalet,Sa Torre,980000,3,96
Piso,Calle MARE DE DEU ESPERANÇA,210000,3,96
Piso,Calle Estels Xapats,480000,4,159
Piso,Calle del Celler,280000,2,64
Ático,Calle de Castellitx,535000,3,169
Chalet,Camino de les Cases Noves,675000,3,106
Casa Rural,Calle de Joan Alcover,1550000,3,240
Chalet,Calle de la Vénda des Coloms,2495000,7,735
Chalet,Calle de sa Madona,1990000,5,192
Chalet,PMV- 812-2,1600000,3,15.156
Piso,Calle de Josep Darder Metge,495000,3,112
Piso,Calle de Josep Tous i Ferrer,880000,8,325
Chalet,Calle del Xiprer,965000,6,218
Chalet,Calle de Cotoner,2950000,4,217
Chalet,Ma-6020,199000,2,700
Chalet,Calle de Sierramar s/n,1060000,3,2000
Chalet,Diseminado Poligono 5,5400000,4,447
Chalet,Portals Nous - Bendinat,13900000,4,136
Chalet,Calle d'Orió,680000,4,150
Piso,Avenida Blai Bonet 6,989000,3,115
Chalet,Calle d'Antoni Furió,575000,4,138
Chalet,Portals Nous - Bendinat,2700000,4,1.514
Chalet,barrio Son Xigala,1295000,4,550
Ático,Son Amonda - Reis Catòlics,219900,2,40
Chalet,Calle de l'Almirall Gravina 9,2000000,5,186
Estudio,Calle de la Salut 3,650000,0,38
Chalet,Calle de l'Oronella,649000,3,120
Ático,Calle Johann Sebastian Bach c/v C/ Catalunya 5,399000,2,72
Chalet,Calle Latzareto,355000,3,116
Chalet,Carretera des Port,2500000,4,254
Chalet,Calle Levant 100,2850000,4,123
Chalet,Calle Maria Antònia Salvà 53,380000,6,380
Chalet,barrio Son Cladera - Son Fuster,434000,3,85
Chalet,Calle Levant 100,2850000,4,123
Chalet,Calle Maria Antònia Salvà 53,380000,6,380
Piso,Calle de Benizamid,720000,2,10
Piso,Avenida de l'Argentina,625000,3,100
Piso,Calle Besora 3,798000,3,32
Chalet,Calle Sant Andreu,1975000,4,159
Piso,barrio Son Espanyolet,357000,3,85
Chalet,Calle de la Falzia,645000,4,125
Piso,Portixol-Molinar,399000,2,66
Chalet,Calle Montgrí,2650000,5,173
Chalet,Portals Nous - Bendinat,3750000,4,1138
Chalet,Calle de Sant Marçal,1600000,3,85
Chalet,Palmanova,5490000,5,600
Chalet,Costa de la Calma,8500000,5,720
Duplex,Calle d'Holanda,495000,2,80
Chalet,Costa d'En Blanes,4495000,4,250
Piso,barrio Sant Jaume,550000,3,94
Chalet,Costa d'En Blanes,4900000,5,1.812
Piso,Palmanova,1165000,4,155
Casa Rural,Via sense nom,2870000,3,118
Casa Rural,barrio S'Aranjassa - Es Pil.larí,1290000,5,8.733
Chalet,Magaluf,7900000,4,140
Chalet,Calle del Calamar,1650000,4,136
Piso,barrio Bons Aires,355000,4,152
Chalet,El Toro,1350000,4,158
Piso,Costa de Santa Creu,945000,3,107
Piso,Calle de Can Maçanet,945000,3,130
Piso,Calle de Noruega,440000,3,109
Chalet,Calle de les Filipines,2300000,4,141
Piso,Calle de son Cotoneret,265000,2,70
Piso,Calle del Puig de Pollença,1250000,3,107
Piso,Calle Bell Puig,695000,2,74
Piso,Avenida d'Antoni Maura,535000,3,90
Piso,Calle de Pérez Galdós,314900,3,114
Chalet,Diseminado Sector 1,1300000,5,198
Ático,Calle de Can Danús,1790000,4,158
Piso,Avenida de Cas Saboners,800000,4,149
Piso,Calle dels Donants de Sang,975000,4,135
Chalet,Calle del Nord,430000,5,190
Chalet,Calle de Miquel Pellisa,770000,4,147
Duplex,Avenida Punta Grossa,375000,2,73
Piso,Avenida de Jaume III,615000,2,65
Piso,Calle Pere d'Alcàntara Penya,710000,3,103
Piso,Via Roma,1790000,3,120
Chalet,Camino de Son Ametler,1300000,3,98
Piso,Avenida del Comte de Sallent,570000,2,169
Duplex,Calle del Rector Vives,1850000,3,89
Piso,Calle de Blanquerna,420000,3,89
Chalet,Calle del Nord,430000,5,186
Chalet,Via Puig de sa Sirvi,1785000,4,143
Piso,Calle Patronat Obrer,290000,3,105
Chalet,Calle de la Milana,1155000,4,160
Piso,Calle Punta Marroig,1165000,4,154
Piso,Avenida d'Antoni Maura,535000,3,115
Ático,Calle de Can Danús,1790000,4,160
Piso,Calle de la Garriga,320000,3,94
Piso,Camino de Gènova,800000,3,103
Estudio,Avenida de Joan Miró,1500000,0,25
Chalet,barrio Puntiró,1995000,8,327
Piso,Avenida de l'Argentina,583500,3,88
Piso,Passatge de les Roques,1155000,3,84
Chalet,Calle de Santa Ponça,590000,3,117
Chalet,Calle Farigola,4230000,4,137
Piso,Calle del Marquès de la Sènia,780000,3,93
Piso,Avenida de Cas Saboners,800000,4,132
Chalet,Diseminado 4419- Son Sardina,2175000,4,20.000
Piso,Calle de Francesc Martí i Móra,290000,3,92
Chalet,Calle Sedal,955000,6,573
Piso,Calle de Josep Maria Palau I Camps,440000,2,71
Chalet,Calle Badaluc,380000,1,43
Chalet,Calle Binicaubell,5950000,5,181
Piso,Calle del Puig de Pollença,1250000,3,100
Piso,Calle d'Andròmeda,605000,3,350
Piso,Calle de Pérez Galdós,314900,3,112
Piso,Calle de Noruega,440000,3,116
Chalet,Rambla,1200000,8,363
Piso,Calle d'en Rubí,980000,3,150
Piso,Calle Joan Muntaner i Bujosa,245000,4,131
Chalet,Calle Gran Via Puig Sant Salvador,2300000,5,173
