C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
La Rioja,La Rioja,Piso,Gran Via Juan Carlos I,131.0,4,380000
La Rioja,La Rioja,Piso,Avenida Solidaridad,154.0,4,625000
La Rioja,La Rioja,Piso,Calle Presidente Leopoldo Calvo Sotelo,184.0,5,330000
La Rioja,La Rioja,Piso,Calle Javier Martinez Laorden,137.0,4,230000
La Rioja,La Rioja,Piso,Portillejo - Valdegastea,87.0,3,88500
La Rioja,La Rioja,Piso,Calle Segundo Arce,105.0,3,169000
La Rioja,La Rioja,Piso,Calle JUAN XXII,108.0,3,380000
La Rioja,La Rioja,Piso,Avenida Solidaridad,139.0,3,240000
La Rioja,La Rioja,Piso,Calle Ingenieros Pino y Amorena,108.0,3,167000
La Rioja,La Rioja,Piso,Calle Nestares,79.0,2,217000
La Rioja,La Rioja,Chalet,Zona Avda. de Madrid,21.0,6,850000
La Rioja,La Rioja,Piso,Gran Via Juan Carlos I,198.0,7,480000
La Rioja,La Rioja,Piso,Avenida Perez Galdos,199.0,5,247000
La Rioja,La Rioja,Piso,Centro,90.0,3,230000
La Rioja,La Rioja,Piso,Calle Alfonso VI,101.0,3,255000
La Rioja,La Rioja,Piso,Calle Presidente Leopoldo Calvo Sotelo,104.0,3,130000
La Rioja,La Rioja,Piso,Avenida de la Sierra,84.0,3,397000
La Rioja,La Rioja,Piso,Avenida de la Paz,104.0,3,226000
La Rioja,La Rioja,Duplex,Calle Parque de Santa Juliana,75.0,2,130000
La Rioja,La Rioja,Piso,Cascajos - Piqueras,89.0,3,245000
La Rioja,La Rioja,Piso,Avenida Portugal,60.0,2,280000
La Rioja,La Rioja,Piso,Avenida de la Sierra,5.7,4,450000
La Rioja,La Rioja,Chalet,Avenida de la Sierra,111.0,3,325000
La Rioja,La Rioja,Piso,Calle Belchite,89.0,3,165000
La Rioja,La Rioja,Piso,Avenida Perez Galdos,81.0,3,295000
La Rioja,La Rioja,Piso,Calle Marques de Murrieta,108.0,3,110000
La Rioja,La Rioja,Piso,Calle General Vara de Rey,145.0,4,255000
La Rioja,La Rioja,Piso,Calle Entrena,107.0,3,250000
La Rioja,La Rioja,Piso,Avenida de Doce Ligero de Artilleria,90.0,3,220000
La Rioja,La Rioja,Piso,Avenida de Doce Ligero de Artilleria,73.0,2,90000
La Rioja,La Rioja,Piso,Calle Escuelas Pias,79.0,2,298000
La Rioja,La Rioja,Piso,Avenida Espana,129.0,4,165000
La Rioja,La Rioja,Piso,Calle Finlandia,102.0,3,225000
La Rioja,La Rioja,Piso,Calle de la Fundicion,117.0,3,150000
La Rioja,La Rioja,Piso,Calle Chile,128.0,4,199000
La Rioja,La Rioja,Piso,Avenida Solidaridad,194.0,5,230000
La Rioja,La Rioja,Piso,Calle Marques de la Ensenada,155.0,4,180000
La Rioja,La Rioja,Piso,Calle la Ciguena,94.0,3,65000
