C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Castilla y Leon,Leon,Piso,Calle Obispo Cuadrillero,18,3,89500
Castilla y Leon,Leon,Piso,Caridad,137,4,280000
Castilla y Leon,Leon,Chalet,Calle de Juan Alvarez Posadilla 24,20,3,149000
Castilla y Leon,Leon,Piso,Centro Ciudad,91,3,169000
Castilla y Leon,Leon,Piso,Avenida de Asturias,111,3,115000
Castilla y Leon,Leon,Duplex,Crucero- Pinilla,217,5,395000
Castilla y Leon,Leon,Piso,La Chantria- La Lastra,155,3,450000
Castilla y Leon,Leon,Piso,Las Ventas,65,2,95500
Castilla y Leon,Leon,Piso,San Mames- La Palomera,95,3,123000
Castilla y Leon,Leon,Piso,Av Quevedo,183,5,395000
Castilla y Leon,Leon,Piso,Avenida Ordono II 39,155,4,335000
Castilla y Leon,Leon,Piso,ALFAGEME,87,3,153000
Castilla y Leon,Leon,Piso,Avenida del Parroco Pablo Diez 60,25,3,89900
Castilla y Leon,Leon,Chalet,Calle Juan Fernandez Garcia 3,30,7,349900
Castilla y Leon,Leon,Piso,Calle de San Guillermo,113,3,85000
Castilla y Leon,Leon,Piso,Plaza Sira San Pedro,63,2,84000
Castilla y Leon,Leon,Chalet,Calle el Viso,156,4,1100000
Castilla y Leon,Leon,Piso,Calle Colon,139,4,169000
Castilla y Leon,Leon,Piso,Plaza Mayor,67,2,99000
Castilla y Leon,Leon,Chalet,Carretera de Onamio 19,80,4,54000
Castilla y Leon,Leon,Chalet,Calle Del Castro 14,30,3,114997
Castilla y Leon,Leon,Chalet,Vista Alegre 125,1500,4,180000
Castilla y Leon,Leon,Piso,Calle Obispo Osmundo,26,4,99900
Castilla y Leon,Leon,Chalet,Avenida de la constitucion 13,159,4,125000
Castilla y Leon,Leon,Piso,Calle Eladia Baylina 2,130,3,116990
Castilla y Leon,Leon,Chalet,Urbanizacion Monte Leon 63,98,3,200000
Castilla y Leon,Leon,Piso,Calle de Ramiro II 1,140,4,338850
Castilla y Leon,Leon,Chalet,Calle Eras 19,258,6,115000
Castilla y Leon,Leon,Piso,Ronda Norte 26,122,3,139500
Castilla y Leon,Leon,Chalet,Avenida FLORENCIO AGUSTIN DIEZ 5,110,3,150000
Castilla y Leon,Leon,Piso,Calle Luciana Fernandez 12,112,3,166000
Castilla y Leon,Leon,Piso,Avenida Angel Pestana 11,123,4,76000
Castilla y Leon,Leon,Atico,Calle Juan Madrazo 7,143,4,340000
Castilla y Leon,Leon,Piso,San Mames- La Palomera,116,3,153000
Castilla y Leon,Leon,Piso,San Esteban,73,2,119900
Castilla y Leon,Leon,Chalet,La Robla,174,5,99900
Castilla y Leon,Leon,Piso,Calle Medul,83,2,160000
Castilla y Leon,Leon,Piso,Via Nueva 6,105,3,129000
Castilla y Leon,Leon,Chalet,Los campos 10,148,4,158000
Castilla y Leon,Leon,Piso,Avenida reyes catolicos 46,103,3,135000
Castilla y Leon,Leon,Piso,Adriano Curiel,105,3,145000
Castilla y Leon,Leon,Piso,Avenida reyes catolicos 46,113,3,135000
Castilla y Leon,Leon,Piso,Calle Ortega y Gasset,145,4,77000
Castilla y Leon,Leon,Chalet,Calle Selmo,40,4,165000
Castilla y Leon,Leon,Chalet,Avenida el Canal,220,6,199900
Castilla y Leon,Leon,Piso,Calle Diego Antonio Gonzalez 5,72,2,127000
Castilla y Leon,Leon,Piso,Avenida Principe de Asturias,90,3,235000
Castilla y Leon,Leon,Chalet,C Rey Sancho s/n,192,3,152500
Castilla y Leon,Leon,Chalet,Calle Escipion,118,3,235000
Castilla y Leon,Leon,Piso,Plaza la Inmaculada,139,4,373500
Castilla y Leon,Leon,Piso,Avenida Republica Argentina,205,5,349500
Castilla y Leon,Leon,Chalet,887820951,676,109500,Travesia EL CEMBO 1
Castilla y Leon,Leon,Piso,Calle Cinco de Octubre,125,3,369000
Castilla y Leon,Leon,Piso,Zona Alta,90,3,89000
Castilla y Leon,Leon,Chalet,Calle Pena Ubina,1250,4,398500
Castilla y Leon,Leon,Chalet,Calle Rey Fernando I,221,4,279000
Castilla y Leon,Leon,Chalet,Buganvilla,128,4,330000
Castilla y Leon,Leon,Chalet,Calle Centauro,229,4,210000
Castilla y Leon,Leon,Piso,Calle Caridad,116,4,280000
Castilla y Leon,Leon,Piso,Avenida Padre Isla s/n,200,3,203519
Castilla y Leon,Leon,Piso,Calle Cinco de Octubre,12,3,369000
Castilla y Leon,Leon,Piso,Calle la Luna,96,3,94500
Castilla y Leon,Leon,Chalet,Villaquilambre,131,4,249000
Castilla y Leon,Leon,Piso,Zona Alta,82,3,86000
Castilla y Leon,Leon,Chalet,Urbanizacion el Montico 72,423,4,395000
Castilla y Leon,Leon,Chalet,Garrafe de Torio,158,4,205000
Castilla y Leon,Leon,Chalet,Avenida Galicia 178,263,3,189000
Castilla y Leon,Leon,Piso,Camino de Santiago,103,3,199000
Castilla y Leon,Leon,Chalet,Calle Cimadevilla 91,153,4,65000
Castilla y Leon,Leon,Chalet,Sariegos,70,4,189000
Castilla y Leon,Leon,Piso,Calle Maestros Cantores,134,4,140000
Castilla y Leon,Leon,Chalet,Valdefresno,250,3,185000
Castilla y Leon,Leon,Piso,Calle Victor de los Rios,105,3,106000
Castilla y Leon,Leon,Piso,Calle Nalon,118,3,145000
Castilla y Leon,Leon,Piso,Calle Santa Ana,67,4,133100
Castilla y Leon,Leon,Chalet,Calle La Vallina,160,4,425000
Castilla y Leon,Leon,Piso,Avenida del Parroco Pablo Diez 60,84,3,69900
Castilla y Leon,Leon,Chalet,Calle Tizona,160,4,179000
Castilla y Leon,Leon,Chalet,Calle ESTOCOLMO,37,4,315000
Castilla y Leon,Leon,Casa Rural,Carretera le-5204 200,224,6,70000
Castilla y Leon,Leon,Chalet,Paseo de Ronda,188,5,269000
Castilla y Leon,Leon,Duplex,Zona Alta,67,2,59000
Castilla y Leon,Leon,Chalet,Calle San Julian,147,4,50000
Castilla y Leon,Leon,Piso,Avenida de La Lastra 22,97,3,131000
Castilla y Leon,Leon,Piso,Calle Federico Echevarria,94,3,129000
Castilla y Leon,Leon,Piso,Laura de los Rios,114,3,130000
Castilla y Leon,Leon,Casa Rural,Calle Real-Rv,154,4,54000
Castilla y Leon,Leon,Chalet,Urbanizacion Vega de Eras,153,4,499995
Castilla y Leon,Leon,Chalet,Plaza las Eras,223,6,80000
Castilla y Leon,Leon,Piso,Calle Pena Labra,83,3,125000
Castilla y Leon,Leon,Piso,Avenida Padre Isla,199,3,203519
Castilla y Leon,Leon,Chalet,Villasabariego,95,3,129000
Castilla y Leon,Leon,Piso,Centro,500,4,89900
Castilla y Leon,Leon,Piso,Calle La Iglesia s/n,87,3,89000
Castilla y Leon,Leon,Chalet,Blas Sierra 30,132,4,68500
Castilla y Leon,Leon,Chalet,Sariegos,148,4,328000
Castilla y Leon,Leon,Piso,Calle Cofradia del Ciento,52,1,80000
Castilla y Leon,Leon,Piso,Alcon 5,66,2,107000
Castilla y Leon,Leon,Piso,Calle las Huertas 1,101,3,37000
Castilla y Leon,Leon,Duplex,Calle el Cano 5,88,3,99995
Castilla y Leon,Leon,Piso,Calle Alfonso de la Cerda,133,4,229990
Castilla y Leon,Leon,Piso,Gran Via de San Marcos,105,3,265000
Castilla y Leon,Leon,Chalet,Camino Montejos,96,3,188000
Castilla y Leon,Leon,Chalet,Calle Polideportivo 10,228,6,450000
Castilla y Leon,Leon,Piso,Calle Palomera,70,2,149500
