Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet,Ciutat Jardí,568000,6,245
Piso,La Bordeta,108800,2,70
Piso,Princep de Viana-Clot,173000,3,101
Chalet,Ciutat Jardí,381475,5,20
Ático,La Bordeta,283000,3,126
Piso,Calle de Solsona 1,84000,4,90
Piso,Passatge Sant Jeroni,100000,2,65
Piso,Instituts,167900,4,154
Piso,Avenida Fontanet 47,217000,3,112
Chalet,Cervera,275000,4,120
Piso,Canadiense 6,299000,4,130
Duplex,Avenida garrigues 85,155000,5,184
Piso,La Bordeta,124000,4,137
Chalet,pleta de baqueira 1,900000,5,185
Chalet,Calle de ponth 8,1600000,3,116
Piso,Calle Perimetrau s/n,350000,3,118
Chalet,Calle Carrèr Trillat s/n,425000,4,130
Chalet,Calle jaume I el conqueridor,525000,7,892
Duplex,Calle Rovira Roure,250000,3,120
Chalet,Calle Carrèr Sant Sebastià 5 A,750000,4,121
Duplex,Avenida Segre,270000,3,113
Duplex,Avenguda deth Pas d'Arró 23,449500,5,196
Piso,Isaac Albéniz,148000,2,8
Piso,Plaza Major 1,540000,4,149
Ático,Pasaje Pompeyo,270000,3,103
Chalet,Calle Casagualda,245000,3,190
Chalet,Calle Carrèr Arroduets,520000,5,170
Chalet,Calle Sant Esteve,900000,4,250
Piso,Avenida Garrigues,170000,4,137
Piso,La Bordeta,132300,4,100
Chalet,Alpicat,384500,5,169
Chalet,Albatárrec,260000,4,400
Piso,Centre Històric,221000,4,159
Piso,Universitat,258000,5,200
Chalet,Montferrer i Castellbó,888000,7,254
Duplex,Alguaire,164500,5,178
Duplex,La Bordeta,145500,4,126
Chalet,C-28,600000,4,260
Ático,Passatge Pompeu,270000,3,101
Piso,Cavallers,99500,2,70
Ático,Calle Indivil i Mandoni,108000,3,87
Piso,Sant Ruf,198000,4,142
Piso,Calle d'Arbeca,84500,3,90
Chalet,Calle del Raval,329900,4,125
Piso,Avenida de Balmes,287000,4,135
Piso,Calle Riu Éssera,170000,8,388
Chalet,Calle d'Agramunt,348000,6,231
Piso,Joc de Bola,440000,4,150
Piso,Centre Històric,178600,4,145
Chalet,Baqueira,1300000,5,193
Piso,Calle Bonaire,99000,3,111
Chalet,Calle Mallorca,159000,4,142
Piso,Calle del Mestre Tàpies,176999,3,163
Piso,Calle del Doctor Fleming,84800,2,73
Piso,Calle Agustins,189900,2,75
Piso,Calle del Mestre Tàpies,163999,3,107
Piso,Calle de la Doctora Castells,188000,3,95
Chalet,Arties,720000,4,6000
Piso,Princep de Viana-Clot,139500,4,130
Chalet,Garòs,995000,5,181
Ático,Universitat,158000,3,114
Casa Rural,Garòs,550000,4,132
Chalet,Vallbona de les Monges,160000,4,12
Chalet,Gausac,450000,4,240
Chalet,Vielha,560000,5,161
Piso,Calle Carrèr deth Miei 14,210000,2,65
Chalet,Benavent de Segriá,196000,4,240
Chalet,Alpicat,525000,10,590
Piso,Calle Fontanelles,114000,2,69
Piso,Calle Carrèr Perimetrau,380000,2,75
Piso,Avenida CATALUNYA,235000,4,122
Ático,Camp d'Esports,280000,5,179
Chalet,Alpicat,560000,5,241
Chalet,Balaguer,113000,4,214
Chalet,Cervera,220000,3,348
Piso,Plaza de l'Esglesia,179000,3,84
Chalet,Bossóst,178000,4,139
Duplex,Baqueira,1070000,5,191
Chalet,Avenida de Manresa,180000,6,243
Piso,Calle Vila Antònia,185000,5,165
Piso,Calle de les Corts Catalanes,139000,4,123
Piso,Avenida de Madrid,164000,6,210
Piso,Calle Picaso,259000,4,138
Piso,Avenida del Pla d'Urgell,187900,4,126
Chalet,Calle del Forn,142000,3,96
Chalet,Arties,675000,3,195
Duplex,Salardú,690000,4,120
Ático,Calle Comerç,140000,3,14
Chalet,Vielha,1600000,8,338
Chalet,Tredòs,1950000,6,237
Chalet,Prats i Sansor,1750000,6,510
Piso,Joc de Bola,190000,3,101
Chalet,Calle la Font,125000,3,105
Chalet,Mariola,265000,5,183
Duplex,Escunhau s/n,935000,7,281
Ático,Avenguda deth Pas d'Arró 54,265000,3,116
Casa Rural,Santa Maria,40000,2,79
Chalet,C-1412b 1,120000,3,108
Piso,Cappont,320000,4,142
Duplex,Calle Montsec,170000,5,179
Chalet,LV-5222,300000,9,649
Casa Rural,Calle Joaquin Morello Prolong,990000,3,86
Chalet,Calle Concòrdia,225000,5,200
Duplex,Era Tor,490000,3,4
Piso,Sudanell,94000,3,99
Ático,Calle Carrèr Montcorbison 2,176500,2,73
Chalet,Camino Beliera 4,700000,4,126
Chalet,Carretera Ag. Garos 11,590000,5,176
Piso,Calle del Comte de Vinatesa,115500,2,75
Ático,Carrer Enginyer Antoni Llobet s/n,305000,4,4.000
Piso,Carrer Enginyer Antoni Llobet s/n,256000,4,4.000
Piso,Tredòs,605000,3,103
Piso,Carrer Enginyer Antoni Llobet s/n,242000,3,4.000
Chalet,Avenida Catalunya,184900,8,392
Duplex,Calle Residencial I 11,680000,4,148
Piso,Camino de Pessola 5,475000,3,127
Chalet,Calle solsones,260000,6,260
Piso,Calle Placita Beret 30,950000,5,164
Chalet,Camin Ressèc 3,789000,5,167
Chalet,Calle Placita Beret 2 A,2450000,19,647
Piso,Calle Placita Beret 30,950000,5,198
Chalet,Calle Placita Beret 2 A,2450000,19,647
Piso,Calle Residencial I 6,660000,3,100
Ag. Baqueira 1,936176444,Edifici Bonaigua,10,619
Piso,Camino de Pessola 5,475000,3,127
Duplex,Lloc Cota 1. 700 107,650000,3,108
Chalet,Calle Segre,500000,4,167
Chalet,Calle major s/n,890000,4,134
Ag. Baqueira 1,936176444,Edifici Bonaigua,10,563
Chalet,Calle Plaus s/n,670000,3,92
Duplex,Calle Residencial I 11,680000,4,121
Chalet,Calle solsones,260000,6,260
Piso,Alcarrás,84000,1,46
Duplex,Garòs,490000,3,4
Duplex,Sant Miqueu s/n,350000,6,152
Piso,Calle Historiador Josep Lladonosa,124000,4,142
Chalet,Sant Esteban,850000,4,250
Duplex,Talarn,163000,4,243
Piso,Carretera perimetrau 13,390000,2,66
Chalet,FORN VELL,57000,3,180
Chalet,Avenida puig peric,1850000,7,260
Chalet,Calle Domènec Cardenal,130000,5,196
Piso,Avenida del Valira s/n,260000,3,98
Piso,Camino Sacorreges 4,422600,3,80
Chalet,Calle Carrèr Major 42,1350000,5,40
Piso,Avenida del Valira s/n,270000,3,107
Chalet,Calle Carrèr Sarriulèra 17,1100000,5,40
Casa Rural,Calle CL MAJOR 20,800000,2,160
Piso,Avenida del Valira s/n,300000,4,132
Chalet,Arroquets,1600000,8,600
Chalet,Rovira roure,430000,7,400
Chalet,Calle Mayor,630000,4,146
Piso,Once de Septiembre,139000,3,85
Chalet,Catran,1950000,4,440
Chalet,Tredós,900000,4,200
Ático,Avenida Segre,225000,3,111
Chalet,Calle deth Soeil,1350000,5,340
Piso,Pleta de Nheu,1050000,4,200
Ático,Calle Placita Beret s/n,275000,1,59
Chalet,Calle Placita Beret,1550000,6,400
Piso,Pleta de Nheu,1050000,4,200
Ático,Avenida Segre,225000,3,111
Piso,Rambla Aragon,220000,5,160
Chalet,Pleta de Baqueira,990000,7,220
Chalet,General Prim,590000,4,180
Chalet,Vilar,100000,1,30
Chalet,Salardu,530000,4,172
Casa Rural,Alcarras s/n,265000,3,92
Piso,Centre Històric,199500,5,180
Piso,Magraners,133000,3,100
Chalet,MIG 4,250000,7,730
Chalet,PZ DEL GIL 12,305000,5,199
Chalet,Diseminat Afores 16,750000,5,315
Piso,ESTACIO 12,58000,3,96
Duplex,DEL MONTSEC 7,191500,3,109
Piso,VERGE DE MONTSERRAT 15,97000,3,100
Piso,Mariola,83500,3,90
Casa Rural,La Bordeta,730000,6,20.000
Piso,Mariola,81000,2,78
Chalet,Rossello,147500,4,151
Piso,Cappont,164000,2,73
Chalet,Ciutat Jardí,369500,5,60
Piso,Calle del Mestre Tàpies,157999,3,107
Piso,Calle del Mestre Tàpies,142999,3,107
Piso,Calle Mestre Emili Pujol 5,73500,2,77
Piso,Calle del Mestre Tàpies,120999,3,106
Piso,Calle del Mestre Tàpies,129999,3,105
Chalet,Calle Hont 14,675000,3,45
Piso,Calle del Mestre Tàpies,170999,3,163
Ag. Bagergue,873610977,Calle Lagoarto,10,487
Piso,Calle Corts catalanes 21,165000,3,60
Piso,Calle Manuel Gaya i Tomàs,175000,4,155
Piso,Calle Corts catalanes 21,138000,3,88
Piso,ciutat de fraga 20,218500,7,268
Piso,Calle Corts catalanes 21,140000,3,107
Piso,Carrer de Manuel Carrasco i Formiguera s/n,166000,2,63
Piso,Carrer de Manuel Carrasco i Formiguera s/n,166000,2,65
Piso,Instituts,230000,4,160
Piso,Avgd. Garrigues,85000,4,108
Chalet,Calle l'Obaga,54000,4,131
Piso,Avgd. Garrigues,85000,4,108
Piso,Paseo d'urgell,85000,2,75
Piso,Sudanell,95000,3,80
Chalet,Calle Carrèr Sant Antòni 3,525000,3,102
Piso,Carretera de Bagergue s/n,685000,4,136
Chalet,Pleta de Nhèu 40,1250000,4,50
Casa Rural,Calle major 1,2800000,9,500
Piso,Paseo Beethoven 8,115000,4,128
Chalet,Carretera Ta Bagergue 15,650000,4,220
Chalet,Calle Carrèr de Calamars s/n,1600000,3,5000
Chalet,Carretera de Beret 4,2450000,19,812
Chalet,Deth solei s/n,1350000,5,340
Chalet,Carretera de Garós 2,590000,5,162
Piso,Calle Doctor Combelles,83500,5,100
Chalet,Carretera de Maldà s/n,140000,12,558
Casa Rural,Calle Santa Victoria,590000,8,300
Piso,Passatge Sant Jeroni,109800,2,80
Piso,Paseo de l'Onze de Setembre,123500,3,89
Piso,Callejón Laurens 5,157000,2,66
Chalet,Sort,230000,6,237
Piso,Vielha,350000,3,89
Piso,Avenida de Pius XII,78500,3,96
Piso,Calle Aribau,415000,4,156
Chalet,Ivars d'Urgell,250000,6,192
Piso,Plaza deth Malh Blanc s/n,210000,2,69
Piso,Calle Sant Josep,240000,4,384
Chalet,Calle Santa Victoria,590000,8,363
Piso,Saumet 13,320000,2,2
Chalet,Calle Segre,490000,4,163
Piso,Edificio Bonaigua s/n,250000,1,48
Ático,Plaza escorxador,235000,2,76
Duplex,JAUME II,285000,3,114
Chalet,Prats i Sansor,1850000,7,260
Chalet,Calle Carrèr Major,475000,3,96
Piso,La Bordeta,139000,3,97
Chalet,Calle Carrèr Anglada 7 A,530000,5,189
Piso,Calle Carrèr Sobernedo 5,430000,4,121
Chalet,Vielha,860000,3,113
Piso,Ronda Sud 11,110000,3,94
Chalet,MOSSEN CINTO 180,255000,5,164
Piso,Avenguda deth Pas d'Arró 52,230000,2,69
Chalet,URBANIZACION 'EL PLA' 31,475000,5,169
Piso,Ronda Gran Passeig de,174000,3,100
Piso,Pleta de Nheu,550000,3,110
Chalet,Via sense nom,200000,6,222
Chalet,Omellons (Els),194000,2,295
Chalet,Calle Raval Vernet,119500,5,167
Chalet,Agregado Baronia de Sant Oisme,178000,3,99
Chalet,Calle de les Oliveres,311056,4,139
Piso,Calle la Font,149900,3,89
Casa Rural,Calle Carrèr Major 24,320000,3,210
Casa Rural,Calle Riner 42,845000,5,170
Chalet,Calle de Julià Carbonell,217000,4,154
Casa Rural,Alguaire,69000,3,93
Chalet,Castello de Farfanya,264900,9,172
Chalet,Joaquim Morelló 14,990000,3,93
Chalet,Balaguer,690000,6,400
Chalet,guixers s/n,1400000,5,495
Chalet,Carretera Francia 45,400000,4,36
Chalet,joaquim morello 10,990000,4,800
Piso,Balaguer,169500,4,120
Chalet,La Bordeta,348000,6,214
Piso,Calle de la Ciutat de Mataró,155000,3,110
Piso,Calle del Mestre Güell,109900,3,130
Chalet,Avenida Urgell,179000,8,310
Duplex,Carretera de la bonaigua,945000,4,25
Chalet,Vallfogona de Balaguer,250000,4,161
Duplex,Carretera 8,750000,7,205
Casa Rural,Casa en lv-4012 s/n,1400000,5,495
Chalet,costeretes s/n,275000,3,93
Chalet,Mestral 8,485000,4,400
Chalet,Des Arroquets 33,1150000,4,128
Chalet,Arroquets 38,1600000,5,181
Duplex,Santa Creu,690000,4,150
Chalet,N-230 185,110000,4,70
Chalet,Comptes d'Urgell 45 25600 Balaguer 45,690000,6,325
Chalet,Calle de Prudenci Bertrana,225000,5,188
Chalet,Major 15,180000,4,209
Duplex,Camino de Beret,475000,3,117
Chalet,Calle san Agustin Arro 16,430000,5,230
Chalet,Des Arroquets 33,1150000,4,147
Chalet,Mestral 8,485000,4,400
Chalet,N-230 185,110000,4,70
Casa Rural,Calle Major,740000,9,656
Chalet,santa gemma 25,670000,4,135
Chalet,Calle Sant Jaume s/n,1000000,14,935
Casa Rural,Casa en lv-4012 s/n,1400000,5,495
Duplex,Carretera 8,750000,7,205
Duplex,Calle del Pallars 23,135500,4,127
Chalet,Gualda,225000,3,2500
Chalet,Major 15,180000,4,209
Chalet,Calle san Agustin Arro 16,430000,5,230
Ático,Esterri d'Aneu,160000,2,62
Duplex,Calle residencial 1,680000,4,132
Piso,Baqueira,300000,1,55
Ag.baqueira 26,873610901,Calle Placita Beret,10,505
Chalet,Les Borges Blanques,196000,15,465
Chalet,Vielha,475000,4,148
Piso,Cappont,200450,3,80
Piso,Calle Baró de Maials 85,225000,4,145
Chalet,Bagergue,789000,5,176
Duplex,Salardú,262850,3,89
Chalet,Vielha,780000,4,158
Casa Rural,Calle Riner 42,845000,5,197
Duplex,Alcarrás,132000,3,92
Piso,Almacelles,83600,3,130
Piso,Instituts,189900,4,160
Piso,Balafia,79500,3,98
Piso,Camp d'Esports,194700,3,25
Chalet,sant isidre 47,220000,3,90
Piso,Alcoletge,90000,2,62
Ag. Baqueira 47,873610272,Calle Pla Beret,10,547
Chalet,Calle Carrèr Sant Nicolau 4,550000,6,241
Duplex,Passatge Pompeu,250000,3,82
Piso,Calle Agustins,160000,3,99
Chalet,Calle Placita Beret 26,1295000,6,240
Duplex,Perimetrau S/N s/n,575000,3,85
Chalet,Urbanitzacio Pleta de Garos 9,1350000,5,178
Chalet,Calle de Piedat 16,450000,5,260
Chalet,Calle Carrèr des Arroquets 25,990000,7,258
Chalet,Urbanitzacio Pleta de Garos 9,1350000,5,169
Duplex,Perimetrau S/N s/n,575000,3,88
Chalet,Calle de San Jaime s/n,1000000,14,1.000
Chalet,Ramon Escuer,240000,2,700
Piso,Abat Oliba,129000,3,104
Piso,Calle Perimetrau s/n,500000,3,106
Chalet,Forn,70000,4,129
Chalet,Sant Joan,115000,2,119
Chalet,Calle Carrèr des Maries 20,470000,5,250
Ático,ESCORXADOR,235000,2,68
Duplex,Carretera Montgarri s/n,895000,3,98
Chalet,Avenida Sant Isidre,175000,6,103
Piso,Carretera Montgarri s/n,370000,2,69
Casa Rural,Calle Carrèr Sant Esteve 31,1050000,6,3.000
Chalet,Carretera de tahull,250000,12,457
Piso,Calle del Bruc 9,148000,4,149
Piso,XAVIER PUIG ANDREU,140000,4,123
Piso,Avenida Alcalde Rovira Roure 7,260000,3,109
Duplex,Calle Perimetrau s/n,1600000,4,160
Chalet,Major 0 Gimenells,295000,2,61
Chalet,Calle Raval de la Senyora Victória,165000,3,400
Chalet,Calle LA CREU,150000,8,321
Chalet,Calle Avasilh 4,550000,5,193
Chalet,Verge de Montserrat,345000,7,440
Piso,Calle Doctor Barraquer,37000,2,65
Chalet,Calle ANOIA,240000,4,270
Piso,Rambla de Ferran,186000,5,190
Piso,Paseo de Ronda,119000,4,109
Chalet,Calle Raval,35000,5,162
Piso,Paseo de Ronda,105000,3,93
Piso,PRINCEP DE VIANA 71,110000,5,172
Chalet,LA PLETA 1,440000,4,129
Casa Rural,Soldevila,450000,5,140
Chalet,Calle Major,1200000,8,328
Piso,Cardenal Cisneros,98000,3,103
Chalet,Aubert,280000,2,300
Chalet,Calle major 9,495000,6,340
Chalet,Rovira Roure,650000,4,139
Chalet,Magraners,44500,3,88
Chalet,Calle Unica Mencui,250000,4,134
Piso,Cardenal Cisneros,98000,3,120
Piso,Nin de Beret,1050000,4,208
Chalet,Calle del norte,480000,5,178
Chalet,Prats i Sansor,405000,3,107
Chalet,Camin Vielha,1800000,4,320
Piso,Alcoletge,81500,2,65
Chalet,Soriguera,275000,7,278
Chalet,Paseo deth portilhon,550000,10,3000
Chalet,des arroquets,1480000,8,319
Duplex,Pas d'arro 52,205000,3,81
Piso,La Bordeta,99000,3,99
Chalet,Bagergue,1090000,5,240
Chalet,Plaza Major,600000,5,182
Chalet,Calle Real,350000,7,650
Chalet,Soriguera,275000,7,259
Chalet,Calle Carrèr Sarriulèra,1100000,5,40
Chalet,MIRASOL 8,700000,5,196
Chalet,Alpicat,256000,4,120
Chalet,Carretera 230 km 171,795000,10,10.000
Piso,Centre Històric,148000,4,135
Casa Rural,Magraners,55000,1,58
Duplex,Calle Pas d'Arro,350000,3,120
Duplex,C-28,165000,3,89
Chalet,Calle mayor,330000,3,150
Casa Rural,Plaza REY 1,390000,6,317
Duplex,Duc de Dènia,400000,5,321
Piso,Ronda Gran Passeig de Ronda 17,94000,4,120
Piso,Sunyer,53500,2,55
Chalet,Calle Carrèr Major s/n,475000,3,107
Chalet,Prullans,1250000,4,125
Piso,Cappont,137500,4,120
Duplex,Alcarrás,145000,4,158
Chalet,Oliola,165000,3,89
Chalet,Les Avellanes i Santa Linya,250000,3,99
Casa Rural,Mariola,280000,4,120
Chalet,Cervera,230000,3,168
Chalet,Pleta de Baqueira,900000,4,141
Piso,Universitat,148000,4,143
Duplex,Pardinyes,124500,2,74
Chalet,Puigverd de Lleida,189500,4,200
Chalet,Torregrossa,259500,5,700
Chalet,Pleta de Baqueira,900000,4,154
Piso,Cappont,137500,4,120
Chalet,Tárrega,430000,4,138
Chalet,Les Avellanes i Santa Linya,250000,3,89
Chalet,Puigverd de Lleida,189500,4,200
Chalet,Torrefarrera,283000,3,230
Chalet,Almenar,133500,5,184
Piso,Universitat,148000,4,141
Piso,Alcarrás,83000,2,79
Casa Rural,Rossello,180000,3,117
Piso,Nin de Beret s/n,1760000,4,220
Chalet,Cervera,230000,3,168
Piso,Universitat,159500,4,126
Chalet,Alcoletge,225000,4,141
Piso,Instituts,119400,4,137
Piso,Centre Històric,79800,1,49
Casa Rural,LA GRANADELLA,59000,0,20
Chalet,Camino Bellera,590000,4,149
Piso,Cappont,144775,3,87
Piso,Calle Indústria,48000,2,76
Ag. Arties,873610901,Calle Estupe,10,553
Estudio,palla 5,110000,0,44
Chalet,Calle del pla s/n,289000,4,290
Piso,Torrefarrera,158000,4,80
Piso,Cappont,149700,4,120
Chalet,Calle Amics de Lleida,460000,3,30
Chalet,Calle Voltes,64000,4,144
Piso,Avenida de les Garrigues,148000,2,84
Piso,Calle dera Val,690000,3,83
Chalet,Rambla Sant Jordi,365000,4,327
Chalet,Santa Maria 11,75000,4,178
Piso,Riquer,325000,5,240
Casa Rural,LA IGLESIA,42000,3,8
Chalet,Calle Placita Beret,1550000,6,227
Piso,Pau Casals,119000,4,128
Piso,Avenida del Segre,159000,3,134
Ático,Avenida de Catalunya,129000,3,94
Piso,Major,475000,3,91
Chalet,Calle Hostal del Lluch,395000,5,265
Chalet,Calle Placita Beret,900000,4,150
Chalet,Santa Maria 11,75000,4,178
Piso,Avenida Prat de la Riba,285000,4,173
Chalet,Calle dels Asgous,170000,4,254
Piso,Alcalde Francisco Barra Vidal,390000,2,63
Piso,Onze de setembre,156000,2,13
Piso,Calle Cardenal Remolins,119900,3,90
Piso,Major,475000,3,115
Casa Rural,Sant Josep,75000,3,20
Duplex,Calle de Pere de Cavassèquia,249000,4,155
Duplex,Calle Ricard Viñes,175000,3,150
Piso,Calle dera Val,690000,3,111
Chalet,Avenida de Lleida,276000,5,252
Piso,Calle Joan Miró,235000,4,135
Piso,Avenida d'Hug Roger,140000,2,62
