Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Piso,Calle Nicomedes Pastor Díaz,209000,4,151,Lugo,Galicia
Piso,Calle Serra de Ancares 6,122000,3,114,Lugo,Galicia
Duplex,Avenida de Magoi 1,286000,4,141,Lugo,Galicia
Piso,Calle das Fontes,240000,4,123,Lugo,Galicia
Piso,Calle do Camiño Real,127000,2,71,Lugo,Galicia
Piso,Plaza Conde de Fontao,197000,3,30,Lugo,Galicia
Piso,Avenida de A Coruña - Paradai,129000,2,61,Lugo,Galicia
Chalet,O Corgo,250000,6,270,Lugo,Galicia
Piso,Calle Castelao,259000,4,124,Lugo,Galicia
Piso,Calle Nicomedes Pastor Díaz,209000,3,101,Lugo,Galicia
Piso,Calle Monte Pena Maior,145000,2,67,Lugo,Galicia
Piso,Calle Calzada da Ponte,139900,2,60,Lugo,Galicia
Piso,Calle Concepción Arenal,165000,4,127,Lugo,Galicia
Piso,Avenida Ramón Ferreiro,298000,3,83,Lugo,Galicia
Piso,Camino de Pipin,93000,4,20,Lugo,Galicia
Piso,Ronda das Fontiñas,155000,3,112,Lugo,Galicia
Piso,Calzada das Gándaras,120000,3,91,Lugo,Galicia
Piso,Calle San Roque,180000,2,66,Lugo,Galicia
Piso,Calle San Roque,349000,4,121,Lugo,Galicia
Piso,Avenida de la Coruña,99000,4,148,Lugo,Galicia
Piso,Calle Montero Ríos,119000,3,80,Lugo,Galicia
Piso,Plaza campo castillo,449900,3,170,Lugo,Galicia
Piso,Calle Alcalde Manuel Portela,107000,2,73,Lugo,Galicia
Piso,Calle Dona Urraca,169000,3,83,Lugo,Galicia
Duplex,Calle do Dolmen,175000,5,207,Lugo,Galicia
Piso,Avenida Fontiñas,110000,3,94,Lugo,Galicia
Chalet,Friol,599000,4,420,Lugo,Galicia
Piso,Calle Ramón González,130000,3,82,Lugo,Galicia
Piso,Calle Río Chamoso,54000,3,93,Lugo,Galicia
Piso,Calle Castelao s/n,185000,3,115,Lugo,Galicia
Piso,Plaza de Ferrol,395000,3,172,Lugo,Galicia
Chalet,Panton,525000,5,188,Lugo,Galicia
Ático,Calle Conde Pallares,515000,3,168,Lugo,Galicia
Chalet,fondon 12,1000000,8,364,Lugo,Galicia
Piso,doctor fleming,200000,5,163,Lugo,Galicia
Duplex,Ronda da Muralla,275000,4,137,Lugo,Galicia
Piso,Calle ARMANYÁ,270000,4,173,Lugo,Galicia
Piso,PINTOR CORREDOIRA,175000,4,121,Lugo,Galicia
Piso,Calle ARMANYÁ,240000,2,148,Lugo,Galicia
Piso,Calle ARMANYÁ,450000,8,320,Lugo,Galicia
Piso,Calle ARMANYÁ,270000,4,173,Lugo,Galicia
Piso,Calle Castelao,118000,3,115,Lugo,Galicia
Piso,Calle Marina Española,169000,5,197,Lugo,Galicia
Casa Rural,Plaza da Constitución,75000,4,145,Lugo,Galicia
Piso,Calle Pintor Corredoira,175000,4,127,Lugo,Galicia
Piso,Ronda das Fontiñas,125000,3,102,Lugo,Galicia
Piso,Calle San Roque,349000,4,156,Lugo,Galicia
Piso,Calle Catasol,95000,4,132,Lugo,Galicia
Piso,Calle do Prado,108000,4,109,Lugo,Galicia
Piso,Avenida de A Coruña,198000,3,95,Lugo,Galicia
Piso,Avenida Ramón Ferreiro,425000,5,200,Lugo,Galicia
Piso,Calle da Pravia,70000,4,127,Lugo,Galicia
Piso,Avenida Breogán,129000,3,100,Lugo,Galicia
Piso,Calle Nicomedes Pastor Díaz,209000,4,129,Lugo,Galicia
Chalet,Carretera Praia San Miguel,260000,5,192,Lugo,Galicia
Chalet,Camino Pampillosa,450000,4,125,Lugo,Galicia
Chalet,Calexón Pai Sarmiento,180000,4,140,Lugo,Galicia
Piso,zona ramon ferreiro s/n,175000,3,97,Lugo,Galicia
Piso,Calle San Roque,149000,2,71,Lugo,Galicia
Piso,Calle Marina Española,77000,3,99,Lugo,Galicia
Duplex,Calle Calzada da Ponte s/n,139900,2,75,Lugo,Galicia
Piso,Avenida de Garabolos s/n,98000,2,70,Lugo,Galicia
Casa Rural,LU-P-5204 9,75000,1,800,Lugo,Galicia
Piso,Avenida do Doutor García Portela,298000,4,134,Lugo,Galicia
Piso,Calle Amizade,74000,4,121,Lugo,Galicia
Piso,Illa Coelleira,185000,2,85,Lugo,Galicia
Piso,Calle Montirón,175000,3,99,Lugo,Galicia
Piso,recinto amurallado s/n,310000,5,180,Lugo,Galicia
Piso,Calle Poeta Manuel María s/n,138000,2,15,Lugo,Galicia
Piso,Avenida de A Coruña s/n,115000,3,96,Lugo,Galicia
Casa Rural,Lugar As Casas Vellas 4,150000,4,15000,Lugo,Galicia
Chalet,Calle Venancio Senra,169000,5,112,Lugo,Galicia
Piso,Calle Bispo Aguirre,120000,5,173,Lugo,Galicia
Piso,Calzada das Gándaras,120000,3,117,Lugo,Galicia
Piso,Avenida das Américas,175000,3,97,Lugo,Galicia
Piso,Calle Rei Don García,145000,4,135,Lugo,Galicia
Piso,Ronda da Muralla,290000,4,128,Lugo,Galicia
Piso,Calle Alcalde Manuel Portela,107000,2,64,Lugo,Galicia
Duplex,Teatro 17,439990,3,90,Lugo,Galicia
Piso,Calle Constanza de Castro,65000,1,40,Lugo,Galicia
Piso,Avenida Ramón Ferreiro,425000,5,173,Lugo,Galicia
Ático,Camino de Barranca 16,135000,2,8,Lugo,Galicia
Piso,Calle Cervantes 31,95000,2,75,Lugo,Galicia
Piso,AV BENITO GALCERÁN 20,110000,3,100,Lugo,Galicia
Casa Rural,Frean 2,89000,8,350,Lugo,Galicia
Piso,Ronda das Fontiñas,145000,3,103,Lugo,Galicia
Chalet,LU-P-4102,55000,4,130,Lugo,Galicia
Duplex,Calle Illa Nova,190000,4,138,Lugo,Galicia
Casa Rural,Piñeiro,60000,4,143,Lugo,Galicia
Piso,Avenida da Coruña,98000,2,61,Lugo,Galicia
Chalet,Ourol,89000,5,1700,Lugo,Galicia
Piso,Calle San Roque,150000,5,140,Lugo,Galicia
Piso,Calle San Roque 34,108000,3,99,Lugo,Galicia
Piso,Avenida Breogán,145000,3,90,Lugo,Galicia
Piso,Calle Constanza de Castro,74000,4,131,Lugo,Galicia
Piso,Calle Doutor Gasalla,95000,3,84,Lugo,Galicia
Piso,Calle Río Ser,96000,5,100,Lugo,Galicia
Chalet,Calle Celestino fernandez de la vega,110000,4,136,Lugo,Galicia
Duplex,Calle Angelo Colocci,110000,2,80,Lugo,Galicia
Piso,Calle Nicomedes Pastor Díaz s/n,255000,4,129,Lugo,Galicia
Piso,Ronda da Muralla s/n,247000,3,106,Lugo,Galicia
Casa Rural,Seteiglesias-Seteigles,250000,4,1889,Lugo,Galicia
Chalet,aceña de olga s/n,420000,5,350,Lugo,Galicia
Piso,Calle Ourense 1,155000,4,124,Lugo,Galicia
Piso,Calle Cidade de Lugo 3,55000,2,70,Lugo,Galicia
Piso,Calle Cidade de Lugo 3,70000,3,113,Lugo,Galicia
Piso,Calle San Roque 34,59000,2,74,Lugo,Galicia
Piso,Calle LU-P-0101 2,150000,6,220,Lugo,Galicia
Piso,Camino General San Cosme 105 X,110000,2,123,Lugo,Galicia
Piso,O Carme - Recatelo,159000,4,128,Lugo,Galicia
Piso,calzada de as gandaras,105000,2,61,Lugo,Galicia
Casa Rural,Lugar Casas 1,260000,6,213,Lugo,Galicia
Chalet,muxa de arriba,330000,4,32,Lugo,Galicia
Casa Rural,Vilaseca s/n,180000,7,269,Lugo,Galicia
Chalet,monterroso,180000,5,5000,Lugo,Galicia
Chalet,calde,420000,4,137,Lugo,Galicia
Piso,Calle Santo Graal,115000,2,66,Lugo,Galicia
