C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Andalucia,Malaga,Chalet,condado de huelva 54,118,3,430000
Andalucia,Malaga,Piso,Calle Cuarteles 15,105,3,369000
Andalucia,Malaga,Piso,barrio Santa Maria,66,2,204488
Andalucia,Malaga,Piso,duque de ahumada s/n,41,1,169900
Andalucia,Malaga,Duplex,barrio Las Lomas de Rio Verde,116,3,2150000
Andalucia,Malaga,Piso,Calle Alonso de Palencia,50,2,207000
Andalucia,Malaga,Piso,Arrabal la Laguna 176 D,76,2,279900
Andalucia,Malaga,Chalet,Paseo del Uruguay,169,5,2995000
Andalucia,Malaga,Atico,Calle Real,100,4,1800000
Andalucia,Malaga,Chalet,Calle Las Bouganvilleas 29018,300,4,1485000
Andalucia,Malaga,Piso,Avenida de Lola Flores,45,3,1790000
Andalucia,Malaga,Chalet,Urbanizacion Valle del Sol,212,6,8500000
Andalucia,Malaga,Piso,Calle Rio Verde Playa,93,3,1395000
Andalucia,Malaga,Piso,Calle Jalon 25,110,3,440000
Andalucia,Malaga,Piso,Calle Alemania 11,102,3,395000
Andalucia,Malaga,Chalet,barrio Nagueles,125,4,5460000
Andalucia,Malaga,Piso,barrio Huerta Nueva,67,2,665000
Andalucia,Malaga,Chalet,Calle Manuel Aleixandre,2566,5,594000
Andalucia,Malaga,Chalet,El Paraiso,100,5,2850000
Andalucia,Malaga,Chalet,barrio Paraiso-Barronal,187,5,3850000
Andalucia,Malaga,Chalet,barrio Paraiso-Barronal,116,3,1980000
Andalucia,Malaga,Chalet,barrio Villacana - Costalita - Saladillo,67,2,695000
Andalucia,Malaga,Chalet,barrio Las Brisas,150,4,1750000
Andalucia,Malaga,Chalet,barrio Real de Zaragoza,164,5,5295000
Andalucia,Malaga,Chalet,barrio Nueva Atalaya,180,5,1295000
Andalucia,Malaga,Chalet,Calle Gredos,286,7,1800000
Andalucia,Malaga,Duplex,Calle Tejon y Rodriguez 2,121,2,695000
Andalucia,Malaga,Piso,El Tomillar,114,3,249900
Andalucia,Malaga,Atico,Avenida de julio iglesias,109,3,950000
Andalucia,Malaga,Piso,Avenida de Andalucia,30,2,285000
Andalucia,Malaga,Piso,Calle Boulevard,101,2,350000
Andalucia,Malaga,Chalet,Alameda Urbanizacion Los Pinos de Aloha 17,208,3,458000
Andalucia,Malaga,Chalet,Jose Maria Peman 25,226,6,600000
Andalucia,Malaga,Chalet,Camino de la Cruz s/n,122,4,925000
Andalucia,Malaga,Chalet,Calle Portada,100,3,650000
Andalucia,Malaga,Duplex,Calle dos Aceras,72,1,289000
Andalucia,Malaga,Piso,Calle Republica Checa,89,3,795000
Andalucia,Malaga,Chalet,Camino de Cortes,246,3,375700
Andalucia,Malaga,Chalet,Calle Doctor Esteban San Mateo,750,5,920000
Andalucia,Malaga,Duplex,Urbanizacion la Reserva de los Monteros,427,4,1695000
Andalucia,Malaga,Chalet,Camino de Cortes,246,3,375700
Andalucia,Malaga,Piso,Avenida de los Andaluces,101,3,795000
Andalucia,Malaga,Chalet,Calle del Marco,196,5,1400000
Andalucia,Malaga,Atico,Urbanizacion Cortesin,65,2,495000
Andalucia,Malaga,Chalet,barrio El Palo,153,5,449000
Andalucia,Malaga,Piso,barrio Centro Historico,330,5,3200000
Andalucia,Malaga,Chalet,Calle Manuel Rivera Vera  21,131,3,403276
Andalucia,Malaga,Piso,Calle Valencia  3,82,4,601514
Andalucia,Malaga,Piso,Avenida Comares Parcela R-91 s/n,350000,2,220912
Andalucia,Malaga,Piso,Avenida de las Palmeras,106,2,204000
Andalucia,Malaga,Chalet,barrio Bahia de Marbella,374,4,1990000
Andalucia,Malaga,Piso,Avenida valdepenas s/n,80,3,279900
Andalucia,Malaga,Chalet,Calle Virgen de Begona,249,6,5450000
Andalucia,Malaga,Piso,Avenida Palma de Mallorca,68,2,219000
Andalucia,Malaga,Chalet,Calle Moreno Torroba,97,3,389000
Andalucia,Malaga,Piso,Camino de la Termica,69,2,349900
Andalucia,Malaga,Piso,Calle Aparejo,104,3,230000
Andalucia,Malaga,Chalet,Avenida Costa Galera,86,3,439000
Andalucia,Malaga,Piso,Calle Marques de Linares,85,3,315000
Andalucia,Malaga,Piso,Paseo de Antonio Machado,147,4,399900
Andalucia,Malaga,Piso,Avenida ANDALUCIA,72,2,159900
