C. Autónoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Región de Murcia,Murcia,Piso,barrio San Nicolas,183,4,475000
Región de Murcia,Murcia,Chalet,barrio San Benito-Progreso,138,4,399900
Región de Murcia,Murcia,Piso,barrio San Anton,85,2,167000
Región de Murcia,Murcia,Piso,barrio Zona Juan Carlos I,76,2,223000
Región de Murcia,Murcia,Piso,barrio San Nicolas,135,2,299000
Región de Murcia,Murcia,Chalet,Fuente del Perro,114,3,219900
Región de Murcia,Murcia,Duplex,Calle Traperia,76,2,295000
Región de Murcia,Murcia,Piso,barrio La Alberca,93,3,159900
Región de Murcia,Murcia,Piso,barrio San Benito-Patino,109,3,149000
Región de Murcia,Murcia,Piso,barrio Zona Juan Carlos I,143,3,360000
Región de Murcia,Murcia,Chalet,barrio Guadalupe,369,3,620000
Región de Murcia,Murcia,Atico,barrio Santa Eulalia,97,3,275000
Región de Murcia,Murcia,Piso,Calle Nieves Viudes Romero esquina Carretera de San Javier s/n,103,3,124500
Región de Murcia,Murcia,Piso,Calle Nieves Viudes Romero esquina Carretera de San Javier s/n,106,3,119500
Región de Murcia,Murcia,Piso,barrio San Lorenzo,179,5,560000
Región de Murcia,Murcia,Piso,barrio El Carmen,113,3,260000
Región de Murcia,Murcia,Piso,barrio Zona Juan de Borbon,143,3,289000
Región de Murcia,Murcia,Duplex,Calle Infanta Elena,26870,5,1280000
Región de Murcia,Murcia,Piso,Calle Nieves Viudes Romero esquina Carretera de San Javier s/n,83,3,108500
Región de Murcia,Murcia,Atico,Plaza Balsas,130,3,330000
Región de Murcia,Murcia,Piso,barrio San Andres-San Antolin,103,2,219000
Región de Murcia,Murcia,Atico,barrio Santa Maria de Gracia,273,5,690000
Región de Murcia,Murcia,Piso,barrio San Anton,169,4,680000
Región de Murcia,Murcia,Piso,barrio Vista Alegre,129,4,259000
Región de Murcia,Murcia,Piso,barrio San Anton,20,2,270000
Región de Murcia,Murcia,Chalet,barrio Era Alta,341,8,690000
Región de Murcia,Murcia,Piso,barrio Santa Catalina-San Bartolome,100,3,750000
Región de Murcia,Murcia,Chalet,Calle Constanza de Aviles 1,159,4,269900
Región de Murcia,Murcia,Atico,Salitre,80,3,229900
Región de Murcia,Murcia,Piso,barrio Zona Juan de Borbon,100,3,260000
Región de Murcia,Murcia,Piso,Avenida Juan Carlos I,134,3,335000
Región de Murcia,Murcia,Piso,barrio El Carmen,96,2,120000
Región de Murcia,Murcia,Piso,barrio San Miguel,130,3,360000
Región de Murcia,Murcia,Piso,Calle Historiador Juan Torres Fontes 4,59,1,119000
Región de Murcia,Murcia,Atico,Calle Huerta,46,4,179900
Región de Murcia,Murcia,Piso,Plaza Flores,83,3,189900
Región de Murcia,Murcia,Piso,Calle Navegante Macias del Poyo,156,4,335000
Región de Murcia,Murcia,Piso,barrio San Nicolas,66,2,160000
Región de Murcia,Murcia,Piso,Calle Ricardo Gil,119,3,149900
Región de Murcia,Murcia,Atico,barrio Zona Juan de Borbon,68,4,375000
Región de Murcia,Murcia,Piso,Avenida Cresta del Gallo,93,3,135000
Región de Murcia,Murcia,Piso,barrio Puente Tocinos,101,3,68000
Región de Murcia,Murcia,Chalet,Avenida Principe de Asturias 36,158,4,284900
Región de Murcia,Murcia,Duplex,barrio El Raal,120,3,129900
