Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso,Calle Pino,155000,3,110
Chalet,O Vinteun,90000,3,220
Piso,CURROS ENRIQUEZ 18,170000,5,113
Piso,Centro,345000,4,200
Piso,Centro,355000,4,130
Ático,Calle Julio Prieto Nespereira,60000,0,33
Piso,Centro,475000,3,177
Piso,concordia,220000,4,128
Chalet,Barbadas,235000,4,135
Piso,Posío,235000,5,160
Duplex,San Cibrao das Viñas,229000,4,118
Piso,Universidad,158000,2,69
Piso,Centro,285000,3,82
Chalet,Calle Rampa de Sas,350000,5,197
Chalet,Toén,145000,3,256
Piso,Calle Bedoya,123000,2,61
Piso,Calle Manuel Pereira,165000,3,106
Piso,Calle Mercado 44,40000,3,87
Piso,Calle Papa Juan XXIII,140000,2,70
Chalet,Papela -Vilariño,218000,6,588
Duplex,Calle do Progreso,450000,3,102
Chalet,Cartelle,70000,3,100
Piso,Casco Viejo,125000,4,102
Chalet,Esgos,76000,5,199
Casa Rural,Amoeiro,219000,4,700
Piso,A Carballeira,69000,3,107
Chalet,Calle de Galicia,539000,4,405
Chalet,Calle OUR-CV-401,199900,4,50
Piso,Leiro,83000,3,87
Chalet,Paderne de Allariz,190000,4,140
Chalet,Vilar de Astrés - Palmés - Arrabaldo,129000,3,160
Piso,Calle Melchor de Velasco,120000,2,73
Piso,AV Habana 35,330000,4,139
Chalet,Mariñamansa,200000,3,195
Piso,Avenida santiago,160000,3,100
Piso,Calle Alexandre Bóveda 2,134000,4,30
Duplex,Avenida de Celanova,159900,3,105
Piso,Calle Fonte Boa,122000,3,95
Piso,Avenida de Celanova,130000,3,88
Chalet,Plaza O campo,120000,3,87
Piso,A Carballeira,74000,3,81
Chalet,A Peroxa,410000,10,477
Piso,Calle Vicente Risco 54,160000,3,99
Piso,Calle Papa Juan XXIII,335000,4,124
Piso,Calle Florentino Cuevillas,230000,3,116
Piso,Avenida da Habana,350000,3,109
Piso,Calle Curros Enríquez,129000,5,121
Piso,Posío,123000,4,157
Piso,Salustiano Muñoz,170000,3,90
Piso,Universidad,153000,2,79
Chalet,Xinzo de Limia,75000,3,92
Chalet,Calle Besadas,192000,4,159
Chalet,A Carballeira,145000,3,102
Piso,Mariñamansa,105000,3,80
Chalet,Castrelo de Miño,220000,3,81
Chalet,Nogueira de Ramuin,180000,2,820
Chalet,Taboadela,270000,4,256
Piso,Centro,188000,4,114
Chalet,Paderne de Allariz,200000,4,151
Ático,Calle das Cuartas,110000,3,80
Piso,Calle San Paio,139500,2,68
Piso,Barbadas,135000,3,118
Piso,fleming,125000,3,87
Piso,Centro,570000,4,242
Piso,Avenida da Habana,315000,3,109
Piso,Calle Cruceiro Quebrado,90000,3,100
Piso,As Lagunas,175000,4,157
Piso,Calle Clara Campoamor,249000,5,188
Piso,San Francisco,97000,3,88
Chalet,Allariz,335000,3,1915
Chalet,OU-1212,50000,3,93
Piso,Centro,155000,4,126
Piso,Calle do Progreso 41,349000,5,178
Piso,Posío,185000,2,80
Piso,Centro,270000,4,186
Piso,Calle Erbedelo,95000,3,118
Piso,O Vinteun,130000,3,98
Piso,Quintela - Los Pinos,117000,3,100
Piso,Calle Nosa Señora da Saínza,135000,3,95
Chalet,Callejón America,275000,4,142
Casa Rural,vicente risco 10,79500,3,220
Piso,Calle Marcelo Macias,109000,3,114
Duplex,Centro,660000,4,160
Chalet,Calle do Polvorín s/n,160000,10,26
Duplex,López Abente,245000,3,102
Chalet,Principal,700000,5,400
Piso,Avenida de Zamora,126000,2,7
Piso,Avenida de Zamora,137000,2,78
Piso,RAMON PUGA,170000,3,102
Piso,Calle Santa Mariña 93,125000,5,170
Duplex,Calle Martín Códax,200300,4,22
Piso,Calle San Rosendo,163400,4,141
Piso,Progreso 40,245000,3,97
Piso,Serra Martiñá,177000,3,103
Casa Rural,Arnoia,159000,1,71
Duplex,Casco Viejo,79000,2,66
Chalet,Camino de Xunqueira,130000,3,104
Piso,Avenida da Habana,248000,4,187
Chalet,Camino de Paixón,30000,4,130
Chalet,Camino a Santa Cruz de Rábeda,229000,5,199
Piso,Calle do progreso,220000,3,86
Piso,Posío,95000,1,44
Ático,Calle Ervedelo 20,180000,2,74
Casa Rural,Nogueira de Ramuin,22000,3,84
Casa Rural,As Lagunas,79000,3,107
Duplex,San Cibrao das Viñas,230000,4,122
Chalet,Verin,1000000,4,400
Casa Rural,Muiños,30000,3,115
Piso,Xinzo de Limia,96000,4,9
Chalet,Leiro,195000,4,343
Duplex,seixalvo 1,230000,4,27
Casa Rural,Muiños,115000,8,384
Chalet,Amoeiro,27000,3,85
Casa Rural,Rubia,495000,10,8000
Chalet,Ribadavia,275000,3,1182
Chalet,Vilamarin,299000,5,3000
Piso,Centro,278000,3,90
Chalet,Lugar Tiollo,244000,3,159
Chalet,Calle Catasol 5,760000,5,844
Chalet,A PORRIÑEIRA s/n,330000,3,500
Chalet,A PORRIÑEIRA s/n,330000,3,500
Chalet,Lugar a Veiga,80000,3,83
Chalet,San Cibrao das Viñas,165000,4,3000
Piso,Avenida ZAMORA 149,115000,2,46
Chalet,San Francisco,165000,5,185
Casa Rural,Esgos,85000,4,530
Chalet,Camino sen nome,44000,3,86
Chalet,Calle Moar,120000,3,114
Ático,Calle Claudio Movilla,110000,3,104
Piso,Barrocanes,119000,4,157
Piso,Calle Basilio Álvarez,235000,3,000
Piso,Calle Avilés de Taramancos,179000,2,63
Piso,Centro,255000,4,137
Piso,OU-1009 16,115000,4,133
Piso,Centro,465000,5,50
Piso,Centro,450000,5,249
Chalet,Pereiro de Aguiar,130000,2,1000
Piso,Calle Nuño de Ousende s/n,210000,4,121
Piso,Calle Greco 2,199000,3,120
Piso,Casco Viejo,148000,3,89
Chalet,cabeza de vaca,145000,3,15
Piso,antonio roman,165000,3,114
Duplex,martin codax,200300,4,110
Piso,habana,360000,3,119
Chalet,Calle Xoan de Novoa,590000,5,231
Piso,Avenida de Celanova,153000,4,139
Piso,Calle Marcelo Macías,185000,3,91
Piso,progreso,260000,3,87
Chalet,rampa de sas,290000,5,185
Chalet,xoan de novoa,495000,4,100
Duplex,Calle Faustino Santalices,205000,3,122
Duplex,Calle do Ensino,150000,3,102
Chalet,MASIDE,59000,4,137
Chalet,Vilarchao,150000,4,180
Casa Rural,Aldea Verducedo,65000,4,141
Piso,Calle do Bierzo,187000,2,74
Chalet,Calle Fonte Alen,24000,3,87
Chalet,Calle Porriñeira,340000,3,500
Chalet,OU-0525,170000,6,430
Chalet,Celanova,160000,3,771
Chalet,Lugar Pedrafita,120000,5,176
