C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Galicia,Pontevedra,Chalet,Zapateira,106.0,3,600000
Galicia,Pontevedra,Duplex,Doctor Corbal,8.0,4,295000
Galicia,Pontevedra,Atico,Calle Colon 11,109.0,3,1500000
Galicia,Pontevedra,Chalet,Calle da Zapateira,92.0,3,600000
Galicia,Pontevedra,Piso,barrio As Travesas - Balaidos,30.0,3,680000
Galicia,Pontevedra,Piso,Calle de Alfonso XIII,69.0,2,265000
Galicia,Pontevedra,Piso,Calle Enrique Blein Budino,120.0,4,449000
Galicia,Pontevedra,Piso,Calle Vigo 14,80.0,2,345000
Galicia,Pontevedra,Chalet,barrio Oia,132.0,4,1100000
Galicia,Pontevedra,Piso,Sanxenxo,540.0,5,1399900
Galicia,Pontevedra,Chalet,Calle do Arquitecto Antonio Cominges,140.0,4,2500000
Galicia,Pontevedra,Piso,Calle San Salvador,167.0,4,320000
Galicia,Pontevedra,Chalet,Calle Melide,390.0,6,600000
Galicia,Pontevedra,Piso,Calle de Urzaiz 89,107.0,3,239000
Galicia,Pontevedra,Piso,Calle Enrique Blein Budino,148.0,4,449000
Galicia,Pontevedra,Chalet,Recarei 7,147.0,4,370000
Galicia,Pontevedra,Duplex,Calle ECUADOR 21 Vigo 21,96.0,3,482550
Galicia,Pontevedra,Piso,Plaza de Portugal,93.0,3,350000
Galicia,Pontevedra,Chalet,Magalans 51,137.0,4,324995
Galicia,Pontevedra,Piso,Calle Zamora,35.0,3,320000
Galicia,Pontevedra,Duplex,Via Norte,120.0,3,295000
Galicia,Pontevedra,Piso,Calle Ines Perez de Ceta,94.0,3,290000
Galicia,Pontevedra,Piso,Calle de Garcia Barbon,12.0,3,339000
Galicia,Pontevedra,Piso,Calle de Ricardo Santos,117.0,2,245000
Galicia,Pontevedra,Chalet,Calle Cabalaria 16,352.0,8,750000
Galicia,Pontevedra,Chalet,Carretera do Vao 71,1.2,6,749000
Galicia,Pontevedra,Piso,Avenida Gran Via,272.0,5,550000
Galicia,Pontevedra,Piso,Calle Progreso,94.0,2,235000
Galicia,Pontevedra,Atico,Travesia Naia,93.0,3,150000
Galicia,Pontevedra,Chalet,Lugar Arra 12 A,30.0,4,699000
Galicia,Pontevedra,Piso,Calle San Salvador,167.0,4,320000
Galicia,Pontevedra,Piso,Calle Vigo,78.0,2,295000
