Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso ,Plaza de Gabriel y Galán 7 ,319999 ,4,158
Piso ,Paseo de Carmelitas ,725000 ,8,359
Ático ,Calle Volta 11 ,210000 ,3,81
Piso ,Calle José Jáuregui 12 ,287000 ,4,130
Ático ,Calle Correhuela ,360000 ,3,24
Piso ,Calle San Mateo ,359000 ,7,290
Piso ,Plaza de Madrid ,120000 ,3,94
Piso ,Avenida de los Reyes de España 26 ,139000 ,1,48
Piso ,Calle Antonio García Boiza 13 ,115000 ,3,70
Piso ,Calle Saucelle 5 ,148000 ,3,80
Piso ,Calle Batuecas 17 ,105000 ,2,60
Piso ,JOAQUIN COSTA ,119900 ,3,111
Piso ,Calle jose manuel de villena ,229900 ,3,93
Ático ,Calle San Vicente ,220000 ,2,68
Ático ,Avenida Portugal ,405000 ,4,146
Piso ,barrio Sancti Spiritus-San Juan ,449000 ,4,122
Piso ,Paseo de Canalejas ,255000 ,4,128
Piso ,Paseo de Canalejas 11 ,293000 ,5,160
Piso ,Calle Orellana ,98000 ,2,12
Piso ,Paseo de San Vicente 36 ,215000 ,3,11
Piso ,Paseo Luis Cortés ,128500 ,2,80
Piso ,san patricio ,349900 ,3,109
Piso ,Calle Álvaro Gil 27 ,270000 ,4,110
Piso ,Paseo de Canalejas 74 ,258000 ,4,90
Piso ,Calle Santiago Diego Madrazo ,119000 ,1,52
Piso ,Calle María Auxiliadora ,365000 ,4,127
Duplex ,Calle la beira ,159500 ,3,98
Piso ,Paseo de la Estación ,190000 ,3,105
Piso ,Plaza del Santo ,395000 ,4,160
Piso ,Calle Perú ,198000 ,3,111
Piso ,Calle Batalla del Salado ,189000 ,3,80
Piso ,Calle Sánchez Llevot ,298000 ,3,96
Piso ,Calle Sol Oriente ,369999 ,6,182
Piso ,Calle Toreses ,110000 ,2,70
Piso ,Calle Pinto ,295000 ,2,75
Piso ,Calle Bermejeros ,297000 ,6,201
Piso ,Calle Bolívar ,122000 ,3,82
Ático ,barrio San Bernardo ,198000 ,2,71
Chalet ,Pizarrales ,129900 ,3,95
Piso ,barrio Labradores ,225000 ,4,84
Piso ,barrio San Esteban-San Cristobal ,240000 ,4,130
Piso ,Calle María Auxiliadora 13 ,245000 ,4,95
