C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Narciso de Vera Marrero 11,156.0,4,139000
Islas Canarias,Santa Cruz de Tenerife,Duplex,Calle de los Molinos 8,86.0,3,265000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle la Puntita 49,98.0,3,175000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Fragua 2,27.0,3,165000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle los Molinos 1,126.0,3,295000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Elias Ramos Gonzalez,295.0,6,900000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Adalberto Benitez Togores,600.0,9,1200000
Islas Canarias,Santa Cruz de Tenerife,Atico,Playa de las Americas,41.0,1,385000
Islas Canarias,Santa Cruz de Tenerife,Piso,C. Juan Pablo II 23 38004 Santa Cruz de Tenerife 23,157.0,4,345000
Islas Canarias,Santa Cruz de Tenerife,Piso,La Catedral 16,87.0,3,253000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Juan Pablo I,79.0,2,119900
Islas Canarias,Santa Cruz de Tenerife,Piso,Avenida Arquitecto Gomez Cuesta 4,44.0,1,199000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle la Lava 7,95.0,3,455000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Juan de Miranda 11,199.0,5,469999
Islas Canarias,Santa Cruz de Tenerife,Chalet,Carretera General Tejina-Tacoronte 181,124.0,4,475000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle de Perez Soto 8,184.0,5,315000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Camino el Pino 24,320.0,3,475000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Doctor Planelles 1,4.0,5,920000
Islas Canarias,Santa Cruz de Tenerife,Duplex,Calle Abinque 24,70.0,2,212000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle la Cabezada 14,253.0,6,354999
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Lacio 12,65.0,2,134950
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle el Draguito 67,17.137,2,415000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle la Chercha s/n,70.0,2,225000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Buen Viaje s/n,5.145,2,400000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Atabara s/n,134.0,4,360000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Avenida Valle San Lorenzo 30,88.0,3,337000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle de Las Higueras s/n,160.0,3,439700
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle el Madrono 7,183.0,5,359999
Islas Canarias,Santa Cruz de Tenerife,Estudio,Calle el Coronel 1,41.0,0,165000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Santa Rosalia 40,50.0,1,209900
Islas Canarias,Santa Cruz de Tenerife,Chalet,Paseo las Acacias 22 B,500.0,4,790000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Carretera a la Esperanza,180.0,5,640000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Alfredo Torres Edwars 7,112.0,3,305000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Obispo Benitez de Lugo 8,28.0,4,192500
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Sebastian Castro Diaz 12 A,380.0,5,698000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Pintor Ribera 12,268.0,3,1200000
Islas Canarias,Santa Cruz de Tenerife,Piso,Rambla Pulido,126.0,4,249900
Islas Canarias,Santa Cruz de Tenerife,Chalet,Poeta Tabares Bartlet,252.0,6,450000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle de Castro,83.0,3,291900
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Lazaro Lopez,360.0,4,430000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Lazaro Lopez,360.0,4,430000
Islas Canarias,Santa Cruz de Tenerife,Piso,Avenida Maritima,89.0,2,225000
Islas Canarias,Santa Cruz de Tenerife,Piso,San Juan Bautista,156.0,3,390000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Tirso de Molina 6,118.0,3,180000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Tirso de Molina 6,65.0,2,170000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Tirso de Molina 6,75.0,2,170000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Eladio Roca Salazar 1,92.0,3,188000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Aires de Lima,162.0,5,273500
Islas Canarias,Santa Cruz de Tenerife,Atico,Calle Meandro,80.0,2,389000
Islas Canarias,Santa Cruz de Tenerife,Atico,Marazul,62.0,2,925000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Barranco del Ingles,2.7,6,5750000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle jesus luis perez 1,119.0,3,133000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Costa del Silencio-Las Galletas,86.0,3,318000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Castro 25 Esquina General Serrano,98.0,3,315000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Galicia 38,64.0,2,475000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Carmen Martin Gaite,135.0,3,236250
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle San Francisco Javier,51.0,4,268000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Doctor Jose Naveiras,258.0,5,1150000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle el Sol,249.0,6,283000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle las Adelfas,197.0,5,580000
Islas Canarias,Santa Cruz de Tenerife,Duplex,Los Llanos Seis,350.0,4,1370000
Islas Canarias,Santa Cruz de Tenerife,Chalet,barrio Playa de Fanabe Alto,350.0,5,1450000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Mendez Nunez,300.0,4,450000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle de Francisco Guerrero Cazorla,197.0,4,485000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Regidor Anchieta y Alarcon,350.0,6,800000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Fernando de Rojas,131.0,4,265000
Islas Canarias,Santa Cruz de Tenerife,Atico,Avenida de Bruselas,47.0,1,295000
Islas Canarias,Santa Cruz de Tenerife,Piso,Avenida de Bruselas,47.0,1,225000
Islas Canarias,Santa Cruz de Tenerife,Piso,Avenida de Bruselas,57.0,1,225000
Islas Canarias,Santa Cruz de Tenerife,Chalet,barrio Torviscas Centro y Alto,833.0,5,2107000
Islas Canarias,Santa Cruz de Tenerife,Chalet,barrio Playa del Duque,218.0,6,3500000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Baleares,77.0,1,280000
Islas Canarias,Santa Cruz de Tenerife,Chalet,San Isidro,106.0,3,225000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle San Nicomedes,50.0,1,112000
Islas Canarias,Santa Cruz de Tenerife,Atico,barrio Torviscas Bajo,43.0,1,330000
Islas Canarias,Santa Cruz de Tenerife,Piso,822260564,200.0,632000,0
Islas Canarias,Santa Cruz de Tenerife,Chalet,El Salto-Los Blanquitos,72.0,2,620000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Fernando H. Guzman,87.0,3,330000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Armiche,50.0,1,217000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle del castillo 14,69.0,2,224000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Callao Salvaje,64.0,2,915000
Islas Canarias,Santa Cruz de Tenerife,Casa Rural,Granadilla,60.0,2,40000
Islas Canarias,Santa Cruz de Tenerife,Piso,Distrito Playa Jardin,74.0,2,210000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Poeta Pedro Bethencourt Padilla,247.0,6,295000
Islas Canarias,Santa Cruz de Tenerife,Piso,Distrito Playa Jardin,74.0,2,210000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Aguilena 10,436.0,6,390000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Acevino 244 a,120.0,3,368000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle el Barranquillo 14,160.0,4,239900
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle el Sol 18,425.0,11,310000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Garcilaso de la Vega 17,99.0,3,160000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Agando 12,47.0,1,429000
Islas Canarias,Santa Cruz de Tenerife,Piso,Carretera de las Canteras a Pedro Alvarez 57,524.0,4,160000
Islas Canarias,Santa Cruz de Tenerife,Piso,Rambla de Santa Cruz 104,242.0,6,416000
Islas Canarias,Santa Cruz de Tenerife,Piso,Carlos J R Hamilton 10,175.0,4,419000
Islas Canarias,Santa Cruz de Tenerife,Chalet,TF-585,1700.0,3,328000
Islas Canarias,Santa Cruz de Tenerife,Atico,Calle Saturno 20,97.0,3,179000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Tamonante,109.0,3,229000
Islas Canarias,Santa Cruz de Tenerife,Duplex,Calle pizarro s/n,161.0,3,450000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Tinerfe s/n,71.0,3,118500
Islas Canarias,Santa Cruz de Tenerife,Chalet,Pasaje Banquitos 27,31.0,2,143000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Alemania s/n,55.0,2,180000
Islas Canarias,Santa Cruz de Tenerife,Piso,Avenida reyes catolicos 4,117.0,3,390000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Luxemburgo 6,120.0,3,1900000
Islas Canarias,Santa Cruz de Tenerife,Duplex,Calle Nila,88.0,3,138000
Islas Canarias,Santa Cruz de Tenerife,Piso,Ramon baudet Grandi 1,178.0,5,490000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Urb. La primavera s/n,69.0,2,715000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Asero,83.0,4,285000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Urbanizacion los Naranjos 25,115.0,3,598000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle San Borondon 50,35.0,2,300000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Caballos Fufos 12,77.0,6,490000
Islas Canarias,Santa Cruz de Tenerife,Chalet,santos abreu s/n,319.0,5,750000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Odisea 1,54.0,1,178000
Islas Canarias,Santa Cruz de Tenerife,Chalet,San Pancracio,512.0,4,636000
Islas Canarias,Santa Cruz de Tenerife,Piso,Galicia 7,120.0,4,440000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Jose Manuel Oramas Rodriguez,105.0,3,245000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Tomas Gonzalez Rivero 13,800.0,7,300000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Suarez Guerra 61,91.0,2,275000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Alvaro Martin Diaz,197.0,5,299000
Islas Canarias,Santa Cruz de Tenerife,Chalet,tacande,154.0,4,510000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Camino paso de abajo,182.0,5,1250000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Camino paso de abajo,164.0,5,1250000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Avenida Maria Angeles Ascanio Cullen,166.0,2,293350
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Suarez Guerra 61,91.0,2,275000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Tomas Gonzalez Rivero,800.0,7,300000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Chixaraxe Santa Maria del Mar,179.0,5,221500
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Alvaro Martin Diaz,170.0,5,299000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle Nispero,300.0,4,230000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle SANTA AGUEDA,35.0,7,550000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Carretera Portezuelo las Toscas,100.0,3,585000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Barrial de Abajo,1.65,3,415000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle la Real 20,233.0,6,495000
Islas Canarias,Santa Cruz de Tenerife,Casa Rural,La Cruz,117.0,2,125694
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle del Hibisco s/n,71.0,2,245000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle del Hibisco s/n,74.0,2,282000
Islas Canarias,Santa Cruz de Tenerife,Chalet,CHARCAY,255.0,7,280000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle del Hibisco s/n,70.0,2,257000
Islas Canarias,Santa Cruz de Tenerife,Piso,Avenida San Francisco 10,67.0,1,295000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Rubens Marichal Lopez,22.0,6,625000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Camino de la canada,155.0,4,315000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Francisco Ortuno,116.0,2,232000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Aguere,267.0,3,210000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Tegueste,172.0,5,1425000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Carretera Portezuelo las Toscas,84.0,3,585000
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle Almirante Cervera s/n,300.0,2,219999
Islas Canarias,Santa Cruz de Tenerife,Piso,Calle la Montanita 6,43.0,1,188000
Islas Canarias,Santa Cruz de Tenerife,Piso,Avenida Familia de Betancourt y Molina 31,119.0,3,295000
Islas Canarias,Santa Cruz de Tenerife,Piso,la Coruja,98.0,3,129000
Islas Canarias,Santa Cruz de Tenerife,Piso,ADOLFO SUAREZ,47.0,1,300000
Islas Canarias,Santa Cruz de Tenerife,Chalet,Calle el Bernegal,132.0,4,190000
