Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet ,Zarzuela del Monte ,180000 ,3,116
Chalet ,Sanchonuño ,240000 ,3,106
Casa Rural ,Nueva 3 ,119000 ,5,172
Chalet ,Los Ángeles de San Rafael ,355000 ,4,128
Piso ,Ezequiel González - Cde. Sepulveda ,180000 ,3,99
Duplex ,Palazuelos de Eresma ,175000 ,4,123
Chalet ,Matabuena ,240000 ,4,129
Piso ,Ezequiel González - Cde. Sepulveda ,160000 ,3,97
Chalet ,C/PISA 160 ,209000 ,3,115
Piso ,Calle del Lirio ,194990 ,3,118
Duplex ,Calle San Antonio ,120000 ,3,99
Chalet ,Aldea Real ,54000 ,3,112
Chalet ,Otero de Herreros ,195000 ,2,61
Piso ,El Carmen ,150000 ,3,120
Chalet ,Brasil ,223000 ,3,85
Chalet ,Los Ángeles de San Rafael 4 ,210000 ,3,116
Chalet ,Milán s/n ,238000 ,5,178
Chalet ,Calle Paraguay 114131 ,240000 ,3,85
Chalet ,Calle Río Miño 12 ,219900 ,4,124
Chalet ,Calle Ría Baja ,330000 ,3,110
Chalet ,Paseo del Duque ,780000 ,4,143
Ático ,Paseo del Duque ,250000 ,3,119
Chalet ,C/Cuba s/n ,280000 ,4,125
Chalet ,Los Ángeles de San Rafael ,290000 ,3,104
Chalet ,Los Ángeles de San Rafael ,275000 ,4,50
Chalet ,bruselas ,350000 ,4,159
Chalet ,El Carmen ,280000 ,6,210
Chalet ,Turégano ,194000 ,3,107
Piso ,Plaza Mayor - S.Agustín ,424900 ,3,98
Chalet ,Torre Val de San Pedro ,150000 ,5,196
Ático ,MAESTROS ,155000 ,3,107
Duplex ,Travesía del Arco ,360000 ,3,103
Chalet ,Calle Felipe V ,352000 ,3,89
Piso ,Calle de Jose Zorrilla ,279000 ,5,184
Piso ,Carretera de Villacastín ,220000 ,4,123
Chalet ,Camino Trescasas ,229000 ,4,134
Chalet ,Calle el Jūncal ,699000 ,3,99
Chalet ,Calle los Portillos ,349900 ,4,146
Piso ,Plaza Mayor ,1200000 ,7,60
Chalet ,Calle Matabueyes ,549500 ,6,202
Chalet ,Calle el Jūncal ,699000 ,3,112
Chalet ,Los Ángeles de San Rafael ,225000 ,3,103
Chalet ,Valverde del Majano ,249000 ,3,80
Chalet ,La Estación ,700000 ,3,99
Chalet ,Marazoleja ,195000 ,3,120
Chalet ,Calle Mártires 5 ,380000 ,6,467
Chalet ,Los Ángeles de San Rafael ,282000 ,4,141
Piso ,Calle los Cotos ,77000 ,3,90
Ático ,Los Ángeles de San Rafael. s/n ,98000 ,2,61
Piso ,SG-V-6122 ,118000 ,2,73
Chalet ,Hospital ,45500 ,3,86
Chalet ,Enebro ,240000 ,4,135
Piso ,El Carmen ,82900 ,3,90
Casa Rural ,Boleo ,95000 ,6,226
Casa Rural ,Bernardos ,395000 ,12,840
Piso ,El Cerro - Crtra. San Rafael ,339900 ,4,132
Piso ,Centro ,140000 ,2,72
Chalet ,Palazuelos de Eresma ,232000 ,4,156
Piso ,Plaza Mayor - S.Agustín ,95000 ,2,77
Chalet ,San Rafael ,470000 ,5,186
Chalet ,Otero de Herreros ,115000 ,3,96
Chalet ,Santa Maria la Real de Nieva ,375000 ,3,109
Piso ,Carretera de Villacastín ,224000 ,3,99
Casa Rural ,Miguelañez ,395000 ,12,800
Chalet ,Avenida de 7 Fuentes 45 -327 ,175000 ,3,92
Piso ,Camino del Caserío ,77000 ,2,80
Chalet ,turin 551 ,495000 ,6,219
Chalet ,Turín s/n ,625000 ,6,211
Chalet ,paysandu ,290000 ,3,120
Piso ,Los Ángeles de San Rafael ,75000 ,2,67
Chalet ,Calle de las Amapolas 250 ,245000 ,6,226
Piso ,La Estación ,140000 ,3,104
Chalet ,Los Ángeles de San Rafael ,449900 ,5,172
Chalet ,El Espinar ,320000 ,4,134
Chalet ,El Cerro - Crtra. San Rafael ,308999 ,5,187
Piso ,Calle París ,65000 ,2,60
Ático ,Calle Maestros ,155000 ,3,107
Chalet ,Calle Calvario ,423000 ,5,2.590
Chalet ,Castillejo de Mesleon ,149900 ,2,6.275
Chalet ,Calle San Miguel ,109000 ,4,133
Chalet ,Calle San Miguel ,109000 ,4,150
Chalet ,rio manzanares ,114900 ,3,108
Chalet ,Paraguay ,215000 ,4,133
Piso ,Calle de José Zorrilla ,250300 ,8,263
Casa Rural ,Finca Las Isabelas s/n ,3500000 ,8,115
Piso ,Calle Santa Teresa de Jesús ,35000 ,3,85
Piso ,Calle Hermanos García Barbero ,32000 ,3,82
Piso ,Calle Val Alto ,56300 ,2,83
Chalet ,Calle Escuderos ,990000 ,16,1.000
Chalet ,Calle carbonero ,250000 ,3,800
Piso ,Calle Rey ,480000 ,4,122
Chalet ,SG-V-2226 7 ,144500 ,3,300
Piso ,Carretera Coruña ,65000 ,2,61
Chalet ,Calle Cervantes ,420000 ,5,165
Chalet ,Vereda de Tabanera ,199975 ,3,92
Chalet ,Calle Caldillas ,265000 ,3,0
Piso ,Calle Arroyo Merlero 3 ,82156 ,5,200
Piso ,Palazuelos de Eresma ,118000 ,2,68
Chalet ,Revenga ,250000 ,6,204
Chalet ,Avenida de Venecia s/n ,255000 ,2,79
Chalet ,Avenida de Venecia s/n ,332000 ,4,139
Chalet ,Avenida de Venecia s/n ,225000 ,3,102
Chalet ,La Lastrilla ,668000 ,8,362
Chalet ,Avenida Los Ángeles 265 ,450000 ,8,316
Chalet ,Avenida de los Ángeles ,195000 ,4,267
Chalet ,ecuador ,230000 ,4,144
Chalet ,Oporto s/n ,295000 ,5,171
Chalet ,angeles ,269000 ,3,88
Chalet ,Calle Gremios ,45000 ,2,61
Chalet ,uruguay s/n ,255000 ,4,139
