C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Andalucia,Sevilla,Piso,Calle Reposo,76,2,205000
Andalucia,Sevilla,Chalet,MENDOZA RIOS,27,7,600000
Andalucia,Sevilla,Duplex,Calle Dulce Chacon,168,4,449000
Andalucia,Sevilla,Duplex,Calle Pajaritos,103,2,370000
Andalucia,Sevilla,Piso,Alejandro Collantes,218,5,589000
Andalucia,Sevilla,Piso,Calle Fernando IV,82,2,360000
Andalucia,Sevilla,Piso,Mallen,82,3,325000
Andalucia,Sevilla,Piso,Calle San Vicente,186,4,549000
Andalucia,Sevilla,Chalet,Simon Verde,9,6,895000
Andalucia,Sevilla,Piso,Calle Benidorm,83,3,269000
Andalucia,Sevilla,Piso,Calle Herrera el Viejo,125,3,390000
Andalucia,Sevilla,Chalet,barrio Arenal - Museo - Tetuan,310,5,1679000
Andalucia,Sevilla,Piso,Calle Bustos Tavera,104,2,430000
Andalucia,Sevilla,Piso,Paseo de Cristina,155,4,700000
Andalucia,Sevilla,Piso,Calle San Juan de Dios,102,3,315000
Andalucia,Sevilla,Piso,Plaza la Aralia,92,3,145000
Andalucia,Sevilla,Piso,Calle Juan Sebastian Elcano,132,4,460000
Andalucia,Sevilla,Piso,Calle Virgilio Mattoni,61,2,120000
Andalucia,Sevilla,Chalet,Calle PABLO NERUDA 27,134,4,206000
Andalucia,Sevilla,Piso,Calle Miguel Cid 76,80,2,310040
Andalucia,Sevilla,Piso,Calle Vascongadas,150,5,335000
Andalucia,Sevilla,Piso,Avenida de Kansas City 14,96,3,348000
Andalucia,Sevilla,Piso,Calle Miguel Cid 76,66,2,329360
Andalucia,Sevilla,Chalet,Calle Mary Ward,84,3,865000
Andalucia,Sevilla,Piso,Avenida de Kansas City,102,3,299000
Andalucia,Sevilla,Chalet,Avenida Jacaranda,174,5,3500000
Andalucia,Sevilla,Piso,Calle real utrera 33,136,4,215000
Andalucia,Sevilla,Chalet,Calle Conde de Osborne,258,7,1300000
Andalucia,Sevilla,Chalet,Plaza del Pinar,152,4,250000
Andalucia,Sevilla,Chalet,Calle Lima,317,8,775000
Andalucia,Sevilla,Piso,Calle Niebla,105,3,248000
Andalucia,Sevilla,Piso,Calle Arjona,8,4,520000
Andalucia,Sevilla,Piso,Calle Rosario,159,3,650000
Andalucia,Sevilla,Piso,Calle Guzman el Bueno,188,5,800000
Andalucia,Sevilla,Chalet,Avenida colombia,87,3,237000
Andalucia,Sevilla,Chalet,Calle Rosalia de Castro,129,4,235000
Andalucia,Sevilla,Piso,Centro - Dona Mercedes,81,3,115000
Andalucia,Sevilla,Chalet,Espartinas Pueblo,147,4,234900
Andalucia,Sevilla,Chalet,barrio Plaza de la Gavidia-San Lorenzo,174,6,650000
Andalucia,Sevilla,Piso,Aljamar,64,2,229000
Andalucia,Sevilla,Chalet,Cerros de Montequinto,1694,5,700000
Andalucia,Sevilla,Piso,Aljamar,79,2,229000
Andalucia,Sevilla,Chalet,Cerros de Montequinto,1000,4,468000
Andalucia,Sevilla,Chalet,Calle Jara,156,4,234900
Andalucia,Sevilla,Chalet,Espartinas Pueblo,141,4,269000
Andalucia,Sevilla,Chalet,Zona Colegio Europa,297,7,300000
Andalucia,Sevilla,Piso,Avenida Asia,103,3,280000
Andalucia,Sevilla,Chalet,Entrenucleos,81,3,355000
Andalucia,Sevilla,Chalet,Calle Azofairon 126,191,4,140000
Andalucia,Sevilla,Piso,Calle Antonia Diaz 19,147,4,225000
Andalucia,Sevilla,Piso,Avenida de Jerez,77,2,800000
Andalucia,Sevilla,Piso,barrio Los Bermejales,91,2,205000
Andalucia,Sevilla,Piso,Calle Rafael Gonzalez Abreu,144,4,600000
Andalucia,Sevilla,Piso,Calle Patricio Saenz,106,3,299000
Andalucia,Sevilla,Piso,Calle Rafael Alberti,84,3,220000
Andalucia,Sevilla,Piso,Calle Enrique Orce Marmol,78,3,260000
Andalucia,Sevilla,Piso,Calle Virgen de Lujan,107,3,285000
Andalucia,Sevilla,Piso,Avenida de la Ciudad Jardin,90,3,310000
Andalucia,Sevilla,Piso,Avenida de la Ciudad Jardin,111,3,280000
Andalucia,Sevilla,Piso,Calle Maria Josefa Segovia,72,2,220000
Andalucia,Sevilla,Piso,Calle Tarfia,73,2,190000
Andalucia,Sevilla,Atico,Calle Adriano,150,8,1250000
Andalucia,Sevilla,Piso,Calle Almirante Espinosa,60,2,230000
Andalucia,Sevilla,Piso,Calle Jose Recuerda Rubio-VIAPOL-NERVION s/n,140,4,700000
Andalucia,Sevilla,Piso,Calle Aldaya,95,3,109000
Andalucia,Sevilla,Piso,Avenida Eduardo Dato,68,2,245000
Andalucia,Sevilla,Piso,Calle Urbion,120,3,187500
Andalucia,Sevilla,Piso,Avenida Asia,112,3,410000
Andalucia,Sevilla,Piso,Calle Nuestra Senora de Valme 12,83,3,254441
Andalucia,Sevilla,Piso,VIRGEN DE GUADALUPE,109,3,103500
Andalucia,Sevilla,Piso,Calatrava,123,5,265000
Andalucia,Sevilla,Piso,Avenida LOS PIRRALOS 30,99,3,140000
Andalucia,Sevilla,Piso,Calle Medina,108,3,290000
Andalucia,Sevilla,Piso,VIRGEN DE LA ANTIGUA s/n,166,5,465000
Andalucia,Sevilla,Piso,Callejon Juan de Oviedo,69,2,315000
Andalucia,Sevilla,Chalet,Calle Manuel Ramon Alarcon,130,5,425000
Andalucia,Sevilla,Piso,Calle Asuncion,98,2,350000
Andalucia,Sevilla,Piso,Juan Sebastian Elcano,50,4,410000
Andalucia,Sevilla,Chalet,URBANIZACION LOS ROBLES s/n,185,4,269000
Andalucia,Sevilla,Chalet,SIERRA DE LAS NIEVES 29,126,4,166000
Andalucia,Sevilla,Piso,Calle Divina Pastora,65,2,127000
Andalucia,Sevilla,Piso,URBANIZACION CANADUL s/n,81,3,137260
Andalucia,Sevilla,Piso,barrio Gran Plaza - Marques de Pickman - Ciudad Jardin,80,3,249000
Andalucia,Sevilla,Piso,barrio Ronda de Triana-Patrocinio-Turrunuelo,58,2,174000
Andalucia,Sevilla,Piso,Calle Lionel Carvallo,134,4,325000
Andalucia,Sevilla,Piso,Avenida de los Olmos 58,150,4,339500
Andalucia,Sevilla,Chalet,Calle Ordesa,114,3,215000
Andalucia,Sevilla,Piso,Calle Juan Diaz de Solis 9,157,4,425000
Andalucia,Sevilla,Piso,Calle Pacheco y Nunez de Prado,118,3,245000
Andalucia,Sevilla,Piso,Avenida Eduardo Dato 44,143,4,290000
Andalucia,Sevilla,Piso,Calle Chaves Nogales,84,3,300000
Andalucia,Sevilla,Piso,Calle Virgen de Lujan,20,5,475000
Andalucia,Sevilla,Piso,Calle Goya,93,3,240000
Andalucia,Sevilla,Piso,Plaza Pintor Amalio Garcia del Moral,20,3,370000
Andalucia,Sevilla,Chalet,Calle Dona Maria Coronel,188,5,1750000
Andalucia,Sevilla,Chalet,urbanizacion retiro II,200,3,450000
Andalucia,Sevilla,Piso,Calle Santa Angela de la Cruz,190,5,740000
Andalucia,Sevilla,Chalet,Calle Vida,184,5,1195000
Andalucia,Sevilla,Atico,Calle Maria Auxiliadora 35,15,2,320000
Andalucia,Sevilla,Piso,Calle Munoz y Pabon,66,2,350000
Andalucia,Sevilla,Chalet,Calle Firmamento,240,6,309000
Andalucia,Sevilla,Chalet,urbanizacion la teja s/n,160,5,325000
Andalucia,Sevilla,Piso,Avenida de Palmas Altas,149,4,296000
Andalucia,Sevilla,Piso,Avenida de Palmas Altas,69,2,267000
Andalucia,Sevilla,Chalet,sol,145,4,330000
Andalucia,Sevilla,Duplex,Avenida Alcaldesa Maria Regla Jimenez,48,1,138000
