Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Ático,Calle de Barcelona 98,365000,5,196
Piso,Plaza de Venus 2,165000,3,99
Piso,Calle de la Muntanya 5,147000,2,59
Piso,Calle de Cambrils 22,199000,3,117
Piso,Paseo de Miramar 10,229000,2,63
Ático,Calle de Tarragona,390000,4,123
Piso,Paseo de Jaume I 35,240000,2,67
Chalet,Foixarda s/n,1680000,4,139
Duplex,Calle Ebre,340000,3,65
Piso,Calle Major 23,160000,3,107
Piso,Calle Canigó 11,210000,2,6
Chalet,barrio Vilafortuny,1375000,5,177
Chalet,barrio Mar Cambrils,1300000,4,144
Chalet,barrio Els Ametllers,785000,4,128
Piso,Calle del Nord 12,119000,1,42
Piso,Calle de la Cala Morisca 5,220000,2,64
Piso,Calle de Lleida 16,155000,1,58
Piso,Calle de Colón 15,290000,2,60
Piso,Calle de Domènec Sugrañes i Gras 13,199000,2,64
Piso,Calle de París,176000,1,50
Chalet,Urbanitzacions de Llevant,750000,4,740
Piso,Calle del Roine 1,374000,4,108
Piso,Calle de l'Esparver,215000,3,112
Chalet,Calle Castell de Siurana,288000,4,229
Piso,Calle de l'Arquitecte Ubach,254500,3,118
Piso,Calle de Cambrils,160000,3,137
Piso,Calle de Mont-roig,195000,2,67
Piso,Calle de la Costa Daurada 5,142000,2,75
Piso,Calle la Garrotxa,175000,3,115
Duplex,Els Munts,650000,5,183
Piso,Calle de les Balears,166000,2,79
Ático,Paseo Marítim de Sant Joan de Déu 55,319000,3,102
Piso,Plaza de Celdoni Vilà i Torroja,225000,3,83
Chalet,Camino de Riudoms,280000,6,228
Piso,Calle de Jaume I,122000,3,119
Piso,Calle dels Caputxins,175000,3,92
Ático,Hermen Cortasa,166500,3,119
Piso,Tarragona,130000,2,68
Piso,Tarragona,130000,2,68
Piso,Tramuntana 6,245000,3,96
Piso,Avenida de la Cossetània,485000,3,117
Piso,Calle de Cristòfor Colom,160000,2,64
Chalet,barrio Els Ametllers,1675000,5,800
Chalet,Urbanitzacions de Llevant,845000,7,478
Chalet,barrio Vilafortuny,3995000,5,166
Chalet,Urbanitzacions de Llevant,1465000,4,130
Chalet,barrio Vilafortuny platja,1295000,3,120
Chalet,Casalot,765000,4,151
Piso,Paseo Marítim de Sant Joan de Déu,205000,2,77
Piso,Avenida de la Cossetània 25,313000,3,107
Piso,Avenida Pintor Tapiró 4,190000,4,128
Chalet,Conflent,420000,5,215
Chalet,Calle Alt del Carme,284000,12,343
Piso,C. Hort del Nap,165000,3,86
Piso,Avenida de la Llosa 8,365000,3,108
Chalet,Calle de la Marinada,269000,4,155
Piso,Calle Josep Anselm Clavé,185000,3,85
Piso,Calle de Sant Adrià,150000,3,113
Piso,Via Roma,175000,4,136
Chalet,Mas Mel - Bellamar,280000,3,91
Piso,Salou de Llevant,360000,3,17
Chalet,Calle de Cebrià de Montoliu,625000,4,126
Chalet,Calle de les Flors,320000,5,300
Duplex,Tràngol,580000,4,76
Chalet,Residencial,315000,4,40
Piso,Can Toni,149900,2,76
Chalet,Coma-Ruga,235000,3,97
Chalet,Els Masos,199900,3,103
Chalet,Mas Mel - Bellamar,499000,5,669
Casa Rural,Centre,1000000,3,38
Piso,Calle de Domènec Sugrañes i Gras 13,199000,2,71
Piso,Calle Llevant,159000,2,65
Piso,Calle de Josep Carner,210000,3,112
Ático,Calle de Madrid 19,290000,3,85
Piso,Calle dels Indians,110000,3,80
Piso,Calle del Riu Glorieta 18,290000,3,82
Piso,Calle del Bisbe Grau,150000,3,118
Piso,Platja Calafell,79900,1,41
Piso,Avenida de Prat de la Riba 7,178900,3,92
Piso,Calle dels Antiquaris,139000,4,123
Piso,Centre,97260,3,108
Piso,Avenida Sant Joan de Déu,468000,4,133
Piso,Calle de Guillem de Montcada 20,160000,2,66
Chalet,Urbanitzacions de Llevant,1450000,6,234
Piso,Calle de Guillem de Montcada 20,160000,2,80
Piso,Avenida de la Llosa,335000,3,91
Piso,Paseo de Francesc Macià 2,148000,2,71
Piso,Calle del Francolí 10,210000,3,84
Ático,Calle de Madrid 19,290000,3,110
Chalet,Calle Ramon Casas 19,350000,4,131
Ático,Avenida barcelona s/n,409000,4,150
Piso,Calle de la Falconera,349700,3,112
Chalet,barrio Nucli Urbà,330000,4,154
Piso,Calle de Sant Joan 40,185000,3,82
Duplex,Calle del Riu Glorieta 8,340000,3,117
Duplex,Calle del Camí del Racó,210000,3,117
Piso,Via Augusta 9,239000,3,90
Piso,Calle del Riu Glorieta 18,290000,3,94
Piso,Calle de Maria Castillo,199000,2,75
Ático,Calle de Frederic Mompou 10,312000,3,82
Piso,Calle d'Antoni Gaudí 13,179700,4,157
Piso,Calle Joan Fuster 15,370000,3,118
Chalet,Calle Mirador s/n,625000,4,160
Chalet,Calle del Camí Vell de Salou,230000,4,156
Piso,Calle de Guillem de Montcada,171000,3,109
Chalet,barrio Els Tallets - Mas Olivé,350000,4,269
Piso,Plaza de la Llibertat,270000,5,177
Piso,Cap Salou,220000,2,70
Piso,Sant Pere i Sant Pau,215000,2,75
Piso,Port,148000,2,66
Piso,Barenys,199000,3,107
Chalet,Calle Terra Ferma,1480000,6,217
Chalet,Calle garrofers 7,415000,3,170
Piso,Calle madrid 2,159000,2,81
Piso,Calle del Camí de Tarragona 39,138000,3,94
Piso,Calle Alt de Sant Pere 1,164500,3,96
Ático,pere ceremonios 13,168000,6,149
Piso,Calle del Doctor Robert 20,189900,4,129
Piso,Avenida França 27,130000,2,53
Chalet,Calle Altafulla 8,275000,5,256
Ático,Plaza de Joan Rebull 2,637000,5,200
Piso,Baix camp 2,208000,3,110
Piso,esglesia nova 111,173000,2,80
Piso,Santa Barbara 6,119000,2,63
Duplex,Fundadors 86,138000,2,64
Piso,Avenida Oliveres,215000,3,67
Piso,Avenida Mossèn Jaume Soler 25,149000,3,98
Piso,torrents ibern,229900,3,117
Piso,Avenida Mossèn Jaume Soler 57,149000,2,60
Chalet,Calle Terral de Dalt,1100000,6,210
Chalet,Residencial,475000,4,122
Piso,Calle del Besòs 2,262000,3,126
Ático,MONTSANT,95000,3,101
Piso,Calle d'Antoni Gaudí 40,110000,2,77
Chalet,Calle Gràcia 50 B,225000,3,174
Piso,Calle de Poboleda 22,235000,4,14
Chalet,Calle de Joaquim Sunyer 12,230000,5,418
Piso,Calle de Ramon J. Sender,155000,4,145
Piso,ANTONI ISERN,169500,3,97
Chalet,Margarides,590000,5,190
Chalet,Calle del Moncayo,160000,3,255
Piso,Calle Mas de l'Abelló,99000,4,130
Chalet,Calle Ramon Berenguer IV,350000,4,269
Piso,Calle de Tarragona,215700,4,118
Ático,Calle de Frederic Mompou,585000,4,60
Piso,LEPANTO,174900,3,118
Piso,Girona,179900,4,139
Piso,Avenida de Pere el Cerimoniós,119900,4,103
Piso,Calle de les Voltes 23,200000,2,69
Piso,Calle de Cambrils,199000,3,109
Piso,Calle de Tortosa,133000,2,82
Ático,Calle de les Voltes 12,220000,3,107
