Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Piso,Calle de la Parra 2,190000,5,174,Teruel,Aragón
Chalet,Urbanization Aguanaces,375000,4,5000,Teruel,Aragón
Casa Rural,Mirambel,375000,6,541,Teruel,Aragón
Piso,Avenida de América 7,175000,4,120,Teruel,Aragón
Chalet,poligono 12 109,69000,3,93,Teruel,Aragón
Chalet,Calle Reja s/n,148000,3,117,Teruel,Aragón
Chalet,Calle Ferrando 18,59000,5,185,Teruel,Aragón
Chalet,Calle San José 13,118000,2,68,Teruel,Aragón
Chalet,Calle Parra 14,145000,8,363,Teruel,Aragón
Piso,Calle Albalate,135000,5,185,Teruel,Aragón
Chalet,Calle San José 12,39000,4,134,Teruel,Aragón
Piso,Calle Vallado,75000,3,40,Teruel,Aragón
Chalet,Calle la Iglesia,85000,3,120,Teruel,Aragón
Piso,Carretera Andorra 1,110000,4,159,Teruel,Aragón
Piso,Calle Ramón y Cajal 17,155000,1,50,Teruel,Aragón
Casa Rural,Samper de Calanda,370000,5,200,Teruel,Aragón
Casa Rural,Calle San Ramón,35000,3,30,Teruel,Aragón
Piso,Calle Tomás Nougués 1,135000,4,265,Teruel,Aragón
Piso,Calle Tomás Nougués 1,155000,4,265,Teruel,Aragón
Piso,Avenida América,220000,4,144,Teruel,Aragón
Ático,Calle Nueva 4,139000,1,54,Teruel,Aragón
Piso,Albarracin 5,110000,3,89,Teruel,Aragón
Duplex,Calle Ramón y Cajal 17,265000,4,15,Teruel,Aragón
Chalet,Calle Arrabal,59807,3,86,Teruel,Aragón
Duplex,Calle Iglesia,99000,3,100,Teruel,Aragón
Chalet,Camino San Miguel 5,194000,4,95,Teruel,Aragón
Casa Rural,Calle Fuenhonda,130000,3,383,Teruel,Aragón
Piso,Calle Doctor Gómez Ferrer,123000,3,100,Teruel,Aragón
Casa Rural,Castellote,275000,16,695,Teruel,Aragón
Piso,Valdelinares,70000,1,10,Teruel,Aragón
Chalet,Calle Alta,55000,6,300,Teruel,Aragón
Chalet,Calle Sepulcro,110000,4,140,Teruel,Aragón
Chalet,Cucalon,45000,4,124,Teruel,Aragón
Chalet,calvo sotelo s/n,145000,5,223,Teruel,Aragón
Piso,San Agustin,85000,3,60,Teruel,Aragón
Chalet,Poligono 37 parcela 12,850000,7,100,Teruel,Aragón
Chalet,Hijar,362500,9,428,Teruel,Aragón
Casa Rural,Beceite,450000,1,346,Teruel,Aragón
Ático,Avenida VALENCIA 22,85000,1,53,Teruel,Aragón
Casa Rural,Albentosa,35000,4,25,Teruel,Aragón
Casa Rural,Monterde de Albarracín,98000,3,10,Teruel,Aragón
Piso,San León - El Carmen,89000,3,18,Teruel,Aragón
Casa Rural,San Agustin,67500,2,64,Teruel,Aragón
Piso,Centro,155000,4,132,Teruel,Aragón
Chalet,CRTA CASTRALVO s/n SN,695000,8,509,Teruel,Aragón
Casa Rural,La Puebla de Valverde,50000,6,224,Teruel,Aragón
Piso,Avenida de Sagunto,245000,3,118,Teruel,Aragón
Chalet,Nogueruelas,980000,7,800,Teruel,Aragón
Chalet,Calle Rociadero,12000,4,282,Teruel,Aragón
Piso,Calle Cañadizos,79000,2,72,Teruel,Aragón
Piso,Carrel - San Julián - Arrabal,166000,3,95,Teruel,Aragón
Piso,Calle Iglesia,53000,2,78,Teruel,Aragón
Casa Rural,Virgen del Pilar 1 nmero,142439,9,356,Teruel,Aragón
Casa Rural,Mora de Rubielos,1400000,6,130000,Teruel,Aragón
Piso,Calle Arrabal 1,83000,1,55,Teruel,Aragón
Piso,Mesón de Játiva 15,41100,2,61,Teruel,Aragón
Piso,Calle Arrabal s/n na,59000,1,41,Teruel,Aragón
Chalet,Calle Talega,36000,4,160,Teruel,Aragón
Duplex,Albalate,135000,5,123,Teruel,Aragón
Piso,Carretera Alcañiz 6,185000,5,172,Teruel,Aragón
Piso,Barrio el Molino 24 H,150000,3,110,Teruel,Aragón
Piso,Avenida Sanz Gadea,140000,5,125,Teruel,Aragón
Chalet,Valjunquera,99000,4,231,Teruel,Aragón
Chalet,La Fresneda,350000,5,517,Teruel,Aragón
Casa Rural,Fornoles,200000,5,4400,Teruel,Aragón
Chalet,Lledo,65000,1,528,Teruel,Aragón
Chalet,La Portellada,690000,6,668,Teruel,Aragón
Chalet,Peñarroya de Tastavins,135000,6,430,Teruel,Aragón
