Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso,Calle dels Tomasos,219000,1,52
Ático,barrio La Xerea,294900,1,52
Ático,Avenida Mare Nostrum,750000,4,31
Piso,Calle de Sant Vicent Màrtir,749000,6,200
Ático,Calle de Colón,1600000,4,138
Piso,Calle de Ciril Amorós,795000,4,158
Chalet,Calle Serra Mariola,1300000,5,166
Piso,Passatge Doctor Serra,650000,5,165
Piso,Avenida de l'Oest,450000,4,148
Piso,Calle de la Reina Na Germana,449000,3,120
Piso,Calle Ginesta,240000,4,143
Chalet,Travesía Montesa,845000,4,153
Piso,barrio Mont-Olivet,443000,4,163
Ático,Calle d'Alvaro de Bazan,830000,4,128
Piso,Calle de l'Uruguai,189000,3,112
Chalet,Calle Rosinyol,699000,6,458
Piso,Paseo Serra d 'Espadá,525000,3,147
Chalet,Calle Mar de Creta,660000,4,280
Ático,Paseo Serra d 'Espadá,1049000,3,260
Piso,Paseo Serra d 'Espadá,480000,3,147
Piso,Plaza de la Legió Espanyola,1040000,5,182
Piso,Calle de Salamanca,800000,5,255
Piso,Calle de la Cooperativa de Sant Ferran,184900,3,81
Piso,Avenida de Giorgeta,180000,2,62
Piso,Calle de Colón,1090000,3,110
Piso,Calle d'Isabel la Catòlica,699000,4,189
Duplex,Avenida de França,1575000,6,368
Chalet,Calle Verge dels Desamparats,1000000,5,1000
Chalet,barrio En Corts,1015000,4,153
Chalet,CV-311,420000,4,275
Chalet,El Carme-Sant Agustí-Bonavista,498000,5,174
Chalet,Torre en Conill-Cumbres de San Antonio,1100000,5,194
Chalet,Maravisa,275000,3,184
Piso,MARQUES DE DOS AGUAS,710000,5,166
Chalet,Zona El Vedat-Santa Apolonia,1350000,4,2367
Piso,Gran Vía del Marqués del Turia,900000,4,134
Ático,barrio Sant Francesc,980000,3,165
Piso,Calle de Isabel la Católica,620000,4,130
Piso,Avenida del Marqués de Sotelo,980000,6,248
Duplex,Avenida de Francia,1575000,6,360
Piso,Avenida del Marqués de Sotelo,980000,6,218
Ático,Calle Pintor Maella,950000,2,60
Chalet,sierra calderona,1375000,5,167
Ático,barrio Sant Francesc,980000,3,165
Piso,Gran Vía del Marqués del Turia,900000,4,145
Chalet,Los Monasterios-Alfinach,650000,4,267
Chalet,Calle la Farola,2950000,5,167
Piso,barrio Trinitat,530000,2,71
Piso,barrio La Carrasca,445000,5,230
Chalet,U12,624900,5,200
Chalet,Zona El Vedat-Santa Apolonia,1350000,4,2367
Duplex,barrio El Carme,795000,3,87
Chalet,El Carme-Sant Agustí-Bonavista,550000,5,163
Piso,Calle de la Pau 11,450000,3,83
Chalet,Calle Urbanización Mas Camarena Arboleda,280000,4,200
Chalet,Montesol,650000,4,1314
Ático,Porvenir,395000,2,70
Piso,Avenida de la República Argentina,128000,5,167
Piso,Calle Poeta Querol,1260000,6,355
Piso,SERRANO MORALES,400000,4,139
Piso,barrio Russafa,339000,4,110
Chalet,Montealegre,875000,5,644
Piso,barrio Sant Francesc,1770000,5,197
Chalet,El Paraiso-Los Almendros,540000,4,190
Chalet,Centro,299500,3,188
Piso,Plaza Pintor Vidal Corella 2,320000,3,120
Chalet,Santa Bárbara,260000,4,236
Chalet,Torre en Conill-Cumbres de San Antonio,1950000,5,192
Chalet,Torre en Conill-Cumbres de San Antonio,1350000,4,466
Piso,barrio Arrancapins,398000,3,124
Chalet,El Bosque,940000,5,3000
Chalet,Montepilar,650000,4,839
Chalet,La Cañada,699000,6,234
Piso,Centro,180000,3,109
Ático,barrio Torrefiel,294000,3,84
Piso,Avenida Mare Nostrum,760000,2,108
Piso,Calle de Trafalgar,475000,3,110
Piso,Calle del Doctor Romagosa,380000,2,75
Piso,Calle del Comte d'Altea,650000,5,187
Piso,Calle del Mar,510000,4,167
Piso,Calle del Mar,510000,4,167
Piso,Grau de Gandia - Venecia - Marenys,74000,3,104
Piso,Gran Via del Marqués del Túria,690000,6,190
Piso,Calle General San Martín,480000,6,242
Ático,Avenida Mare Nostrum,590000,3,60
Piso,Avenida Mare Nostrum,455000,1,55
Piso,Avenida de Francia,395000,3,110
Piso,Calle del Comte d'Altea,429000,3,111
Piso,Calle de Cavite,285000,2,88
Piso,Albereda Escultor Ramon Inglés,122000,3,111
Piso,Plaza de Cisneros,950000,2,165
Piso,Calle de Almazora,445000,3,113
Piso,Calle de Guillem de Castro,590000,3,108
Piso,Dr Raul Brugada,139000,3,88
Piso,Calle Bonaire,315000,3,155
Ático,Calle del Poeta Querol,995000,4,319
Piso,Avenida FRANCIA,500000,3,122
Ático,Mare Nostrum Sueca,195000,3,80
Piso,Avenida Paseo de la Alameda,1200000,4,185
Piso,Calle los Isidros,198000,3,115
Piso,Calle San Vicente Martir,590000,3,192
Piso,Calle Burriana,490000,4,138
Ático,Calle Padre Tomas Montañana Penya-Roja,465000,4,202
Piso,Calle Quevedo,400000,3,115
Piso,Avenida de la Gola del Puchol El Saler,265000,2,145
Piso,Martin Aloy,310000,2,89
Ático,Martin Aloy,330000,2,89
Ático,Calle Tres de Abril de 1979,850000,4,201
Piso,Avenida Mare Nostrum Sueca,210000,4,125
Ático,Bernat i Baldoví,129000,3,36
Piso,Avenida Novelista Blasco Ibañez 5,385000,2,65
Chalet,Los Pinares-La Masía,299999,5,220
Chalet,Centro,220000,6,222
Piso,Calle Godella,105000,3,92
Chalet,Calle Cucut,1950000,5,196
Piso,barrio El Botànic,175000,3,116
Piso,Calle Guillem de Castro,420000,2,78
Piso,Almazora,530000,2,70
Ático,Avenida del Doctor Peset Aleixandre,320000,3,128
Duplex,Profesor Lopez Piñero,990000,4,50
Piso,Almazora,530000,2,77
Piso,ruzafa,875000,5,193
Chalet,Oliva pueblo,699000,5,2400
Piso,Zona el Molí,160000,3,114
Piso,Ameriques,90000,3,114
Chalet,Camino del Sos,149000,3,81
Chalet,Los Monasterios-Alfinach,844000,4,154
Chalet,La Cañada,400000,4,125
Chalet,Riba-Roja de Túria,519000,4,600
Piso,Calle de Bèrnia,210000,4,160
Piso,Avenida al Vedat,190000,4,163
Piso,Plaza Honduras,490000,5,202
Piso,Calle de Sant Vicent Màrtir,485000,4,150
Chalet,Avenida Blasco Ibáñez,490000,6,560
Chalet,La Cañada,1450000,6,1769
Piso,Avenida Retor Emilio Bayarri,273000,2,60
Piso,Cirilo Amoros,590000,2,66
Chalet,SANTA APOLONIA,600000,6,600
Piso,Plaza LEGION ESPAÑOLA,800000,4,152
Piso,Calle de Sant Bru 25,165000,3,102
Piso,Pere el Gran,90000,2,68
