C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Castilla y Leon,Zamora,Duplex,Calle San Torcuato,100.0,3,120000
Castilla y Leon,Zamora,Atico,Avenida de Portugal 11,91.0,3,105000
Castilla y Leon,Zamora,Chalet,ZA-302,8500.0,3,75000
Castilla y Leon,Zamora,Casa Rural,Calle Horno Codesal,88.0,3,170000
Castilla y Leon,Zamora,Chalet,Calle Fragua,124.0,4,128000
Castilla y Leon,Zamora,Chalet,Villalpando,81.0,3,125000
Castilla y Leon,Zamora,Piso,Calle de la Era 7,123.0,3,119990
Castilla y Leon,Zamora,Piso,LOS LAGARES 16,40.0,3,87000
Castilla y Leon,Zamora,Chalet,Plaza Mayor,116.0,3,42000
Castilla y Leon,Zamora,Piso,Calle de la Casa Mohina,87.0,3,79900
Castilla y Leon,Zamora,Chalet,Granucillo,10.0,5,32000
Castilla y Leon,Zamora,Piso,Calle Federico Cantero Villamil 7,80.0,3,110000
Castilla y Leon,Zamora,Chalet,Calle Calzada Congost 48,121.0,4,149000
Castilla y Leon,Zamora,Casa Rural,Calle Real 36,268.0,5,295000
Castilla y Leon,Zamora,Piso,Calle Eduardo Julian Perez,60.0,3,45000
Castilla y Leon,Zamora,Chalet,Calle Santiago,184.0,5,69000
Castilla y Leon,Zamora,Piso,San Isidro - Espiritu Santo,46.0,1,83000
Castilla y Leon,Zamora,Chalet,Montamarta,111.0,3,89900
Castilla y Leon,Zamora,Chalet,Calle la Estrella,159.0,4,45000
Castilla y Leon,Zamora,Piso,Calle Sancho IV 24,113.0,3,189900
Castilla y Leon,Zamora,Piso,Benavente,96.0,3,45000
Castilla y Leon,Zamora,Piso,Calle Sanabria,104.0,3,112000
Castilla y Leon,Zamora,Piso,Calle Moreno,70.0,2,76266
Castilla y Leon,Zamora,Chalet,Barrio Vallina Castell,380.0,7,325000
Castilla y Leon,Zamora,Piso,Calle San Roque,134.0,3,104000
Castilla y Leon,Zamora,Piso,Monfarracinos,80.0,3,40900
Castilla y Leon,Zamora,Piso,Benavente,116.0,3,70000
Castilla y Leon,Zamora,Piso,Benavente,69.0,2,32000
Castilla y Leon,Zamora,Casa Rural,ZA-104 4,189.0,5,90000
Castilla y Leon,Zamora,Piso,Las Vegas - La Feria,83.0,3,58000
Castilla y Leon,Zamora,Piso,Avenida del Cardenal Cisneros 24,62.0,2,114000
Castilla y Leon,Zamora,Chalet,Calle Don Andres Cid,20.0,3,129000
Castilla y Leon,Zamora,Piso,Calle Traviesa 24,65.0,2,160000
Castilla y Leon,Zamora,Piso,Ronda Santa Maria Nueva 27,80.0,4,58000
Castilla y Leon,Zamora,Chalet,Calle Cantabranas 4,30.0,3,119000
Castilla y Leon,Zamora,Atico,Calle Juan de Montejo 3,64.0,2,68000
Castilla y Leon,Zamora,Chalet,Calle Rio Orbigo,123.0,4,180000
Castilla y Leon,Zamora,Piso,Calle de Cabanales 55,2.0,2,96000
Castilla y Leon,Zamora,Piso,Calle Santa Ana,82.0,5,260000
Castilla y Leon,Zamora,Piso,Calle Doctor Villalobos,20.0,3,119500
Castilla y Leon,Zamora,Piso,Calle Consejo de Europa 2,46.0,2,88000
Castilla y Leon,Zamora,Casa Rural,Calle Poal,823.0,6,99000
Castilla y Leon,Zamora,Piso,Avenida Galicia,89.0,3,105000
Castilla y Leon,Zamora,Casa Rural,Calle San Roque,32.0,3,108000
Castilla y Leon,Zamora,Chalet,Calle Corralon,263.0,3,189000
Castilla y Leon,Zamora,Piso,Calle Federico Cantero Villamil,147.0,4,130000
Castilla y Leon,Zamora,Piso,Avenida Portugal,81.0,3,90000
Castilla y Leon,Zamora,Chalet,Cerezal 7,134.0,4,40000
Castilla y Leon,Zamora,Piso,Avenida Juan II,106.0,2,125000
Castilla y Leon,Zamora,Chalet,Las Vegas - La Feria,22.135,5,650000
Castilla y Leon,Zamora,Piso,Calle del Parque 47,95.0,3,112000
Castilla y Leon,Zamora,Piso,santa clara,136.0,4,430000
Castilla y Leon,Zamora,Piso,Calle Santa Teresa 13,100.0,3,218000
Castilla y Leon,Zamora,Chalet,Calle Mayor,115.7,7,125000
Castilla y Leon,Zamora,Piso,Centro,15.0,4,229000
Castilla y Leon,Zamora,Piso,Calle Penausende,110.0,4,74000
Castilla y Leon,Zamora,Atico,ZARCERO 1,100.0,2,70000
Castilla y Leon,Zamora,Chalet,Madridanos,600.0,4,95000
Castilla y Leon,Zamora,Piso,Parque Leon Felipe,139.0,4,152000
Castilla y Leon,Zamora,Piso,Villalpando,107.0,3,120000
Castilla y Leon,Zamora,Chalet,Corrales,11000.0,4,119000
Castilla y Leon,Zamora,Piso,Avenida del Principe de Asturias 33,157.0,4,225000
Castilla y Leon,Zamora,Piso,Calle Amargura 14,99.0,3,155000
Castilla y Leon,Zamora,Piso,Centro,110.0,3,160000
Castilla y Leon,Zamora,Atico,ALMARAZ,73.0,2,170000
Castilla y Leon,Zamora,Piso,La Lana,65.0,3,120000
Castilla y Leon,Zamora,Piso,Plaza Alemania 3,140.0,4,140000
Castilla y Leon,Zamora,Piso,Calle la Rua 9,118.0,3,105000
Castilla y Leon,Zamora,Piso,La Candelaria,115.0,5,260000
Castilla y Leon,Zamora,Piso,Pantoja - Vista Alegre,60.0,3,65000
Castilla y Leon,Zamora,Piso,Avenida del Principe de Asturias 2,85.0,3,99000
Castilla y Leon,Zamora,Chalet,Casco Antiguo,143.0,4,630000
Castilla y Leon,Zamora,Chalet,Ronda del Toril 10,107.0,3,75000
Castilla y Leon,Zamora,Chalet,Calle San Pedro 4,156.0,4,50000
Castilla y Leon,Zamora,Piso,Ronda de Madrid 9 -1,140.0,4,67000
Castilla y Leon,Zamora,Chalet,Carretera Tiedra,20.0,4,136900
Castilla y Leon,Zamora,Chalet,San Isidro - Espiritu Santo,244.0,6,380000
Castilla y Leon,Zamora,Piso,Calle de Cabanales,74.0,2,105000
Castilla y Leon,Zamora,Piso,Avenida de Portugal,106.0,3,66000
Castilla y Leon,Zamora,Piso,Calle Rio Cea 18,123.0,4,30000
Castilla y Leon,Zamora,Chalet,Calle Terraplen,128.0,4,50000
Castilla y Leon,Zamora,Piso,Carretera Nueva Estacion,167.0,5,182252
Castilla y Leon,Zamora,Piso,Avenida del Cardenal Cisneros 20,165.0,3,145000
Castilla y Leon,Zamora,Piso,Calle Astorga 6,99.0,3,49000
Castilla y Leon,Zamora,Chalet,Calle de San Anton Viejo 33,60.0,3,95000
Castilla y Leon,Zamora,Chalet,Calle Fuente 12,1400.0,4,70000
Castilla y Leon,Zamora,Piso,Calle Santa Clara 79,97.0,3,120000
Castilla y Leon,Zamora,Piso,Calle Consejo de Europa 2,106.0,3,105000
Castilla y Leon,Zamora,Atico,Avenida el Ferial 15,99.0,3,90000
Castilla y Leon,Zamora,Duplex,Calle de los Herreros Benavente 2,114.0,3,110000
Castilla y Leon,Zamora,Chalet,Calle Viudas 21,466.0,5,25000
Castilla y Leon,Zamora,Piso,Calle de Francos 22,90.0,3,99000
Castilla y Leon,Zamora,Duplex,Calle de Cabanales 55,63.0,2,99000
Castilla y Leon,Zamora,Chalet,Calle Lisboa 30,156.0,4,28000
Castilla y Leon,Zamora,Duplex,DON RAMIRO 5,0.0,3,115000
Castilla y Leon,Zamora,Casa Rural,Calle de Emilio Fernandez 1,227.0,6,21000
Castilla y Leon,Zamora,Chalet,Calle Agustin Vazquez 2,129.0,4,135000
Castilla y Leon,Zamora,Chalet,Calle el Cristo 8,916.0,3,30000
Castilla y Leon,Zamora,Chalet,Carretera Barrio 43 B,90.0,3,135000
Castilla y Leon,Zamora,Piso,Ciudad de Toro 7,97.0,3,119000
Castilla y Leon,Zamora,Chalet,Calle tras la Iglesia 7,167.0,5,39000
Castilla y Leon,Zamora,Chalet,Calle Erguida 15,200.0,3,20000
Castilla y Leon,Zamora,Duplex,Avenida el Ferial 13,167.0,5,129500
Castilla y Leon,Zamora,Chalet,Calle Santa Catalina 19,35.0,2,75000
Castilla y Leon,Zamora,Chalet,Calle Jose Antonio 19,197.0,5,25000
Castilla y Leon,Zamora,Chalet,Calle Merida 43,133.0,4,149000
Castilla y Leon,Zamora,Chalet,Cuesta del Hospital 38,50.0,4,185000
Castilla y Leon,Zamora,Chalet,Calle la Rua 3,10.0,7,130000
Castilla y Leon,Zamora,Chalet,Calle de la Fortaleza 44,122.0,4,39500
Castilla y Leon,Zamora,Piso,Cuesta del Portillo de San Andres 2,97.0,3,55000
Castilla y Leon,Zamora,Chalet,Calle el Castillo 10,131.0,4,60000
Castilla y Leon,Zamora,Chalet,santa catalina 41,133.0,3,80000
Castilla y Leon,Zamora,Atico,Plaza DE TOROS 15,85.0,3,62842
Castilla y Leon,Zamora,Chalet,Camino Segadal,90.0,3,170000
Castilla y Leon,Zamora,Chalet,Calle Luna 2 -10,146.0,4,180000
Castilla y Leon,Zamora,Atico,Plaza DE TOROS 15,85.0,3,58000
Castilla y Leon,Zamora,Piso,Calle San Carlos Borromeo 2,88.0,3,90000
Castilla y Leon,Zamora,Atico,Plaza de Toros 17,84.0,3,58500
Castilla y Leon,Zamora,Atico,Avenida el Ferial 54,93.0,3,73500
Castilla y Leon,Zamora,Piso,ASTORGA 4,30.0,3,73250
Castilla y Leon,Zamora,Chalet,Cuesta de Santo Domingo 3,22.0,4,89000
Castilla y Leon,Zamora,Chalet,Calle Taller,75.0,2,20500
Castilla y Leon,Zamora,Piso,Avenida Luis Moran 48,79.0,2,76000
Castilla y Leon,Zamora,Piso,Plaza SAN MARTIN 23,120.0,4,69000
Castilla y Leon,Zamora,Atico,Plaza DE TOROS 15,85.0,3,62842
Castilla y Leon,Zamora,Atico,Plaza DE TOROS 15,85.0,3,58000
Castilla y Leon,Zamora,Atico,Plaza Santa Clara 3,110.0,3,69000
Castilla y Leon,Zamora,Atico,LA VINA 2,34.0,3,165000
Castilla y Leon,Zamora,Chalet,Plaza Generalisino 10,755.0,3,129000
Castilla y Leon,Zamora,Atico,Avenida el Ferial 54,115.0,3,73500
Castilla y Leon,Zamora,Atico,Plaza de Toros 17,84.0,3,58500
Castilla y Leon,Zamora,Chalet,Camino Segadal,111.0,3,170000
Castilla y Leon,Zamora,Chalet,APEADERO 7,359.0,4,400000
Castilla y Leon,Zamora,Piso,Avenida LEON 15,149.0,4,82000
Castilla y Leon,Zamora,Piso,Calle Pena Trevinca 20,143.0,4,90000
Castilla y Leon,Zamora,Piso,Avenida de las Tres Cruces 5,140.0,4,199900
Castilla y Leon,Zamora,Piso,Calle de Fermoselle 126,71.0,2,74000
Castilla y Leon,Zamora,Piso,Avenida MARAGATOS 19 -21,136.0,5,108000
Castilla y Leon,Zamora,Piso,Calle de San Anton Viejo 23,102.0,3,87500
Castilla y Leon,Zamora,Chalet,Calle Real 32,72.0,2,40000
Castilla y Leon,Zamora,Piso,Avenida EL FERIAL 24,45.0,3,105000
Castilla y Leon,Zamora,Casa Rural,Morales s/n,140.0,4,109000
Castilla y Leon,Zamora,Piso,Villalpando 34,22.0,3,160000
Castilla y Leon,Zamora,Chalet,Oriente,88.0,3,39000
Castilla y Leon,Zamora,Chalet,carrizos 5,40.0,8,140000
Castilla y Leon,Zamora,Casa Rural,Diseminado Diseminados,3.946,3,200000
Castilla y Leon,Zamora,Piso,Calle Amargura,171.0,4,325000
Castilla y Leon,Zamora,Casa Rural,Calle zamora 42,334.0,10,350000
Castilla y Leon,Zamora,Chalet,Diseminado Ribadelago fran 1,7.177,15,480000
Castilla y Leon,Zamora,Chalet,Leon Felipe,500.0,5,360000
Castilla y Leon,Zamora,Piso,Doctor Fleming,119.0,3,80000
Castilla y Leon,Zamora,Duplex,Calle de la hiniesta,115.0,3,110000
Castilla y Leon,Zamora,Piso,Calle Parada del Molino,42.0,1,75000
Castilla y Leon,Zamora,Chalet,Toro s/n,7712.0,2,183900
Castilla y Leon,Zamora,Chalet,Mayalde,90.0,3,75000
Castilla y Leon,Zamora,Casa Rural,Travesia santiago,437.0,8,127000
Castilla y Leon,Zamora,Piso,Cuesta de la morana,156.0,4,75000
Castilla y Leon,Zamora,Chalet,Calle Lotero,602.0,9,180000
Castilla y Leon,Zamora,Piso,Avenida de Portugal 30,24.0,3,170000
Castilla y Leon,Zamora,Piso,Calle Argentina,95.0,3,63000
Castilla y Leon,Zamora,Chalet,Calle Lotero,565.0,9,180000
Castilla y Leon,Zamora,Piso,Los Bloques,91.0,3,65000
Castilla y Leon,Zamora,Casa Rural,Calle Panera,99.0,3,145000
Castilla y Leon,Zamora,Piso,Calle Valderrey,97.0,1,100000
Castilla y Leon,Zamora,Casa Rural,Calle Plantio,92.0,3,85000
Castilla y Leon,Zamora,Chalet,Real,690.0,3,32500
Castilla y Leon,Zamora,Atico,Calle de Churruca 50,300.0,3,187500
Castilla y Leon,Zamora,Piso,Avenida del Cardenal Cisneros 20,165.0,3,145000
Castilla y Leon,Zamora,Atico,Calle Churruca 50,300.0,3,187500
Castilla y Leon,Zamora,Piso,Travesia Iglesia 8,141.0,4,51000
Castilla y Leon,Zamora,Piso,Churruca 50,55.0,2,126500
Castilla y Leon,Zamora,Piso,Calle Bolas 6,110.0,3,91000
Castilla y Leon,Zamora,Piso,Calle Amargura 8,171.0,4,325000
Castilla y Leon,Zamora,Chalet,Calle Iglesia 2,63.0,2,53000
Castilla y Leon,Zamora,Piso,Avenida del Cardenal Cisneros 20,165.0,3,145000
Castilla y Leon,Zamora,Piso,Churruca 50,13.0,2,125500
Castilla y Leon,Zamora,Atico,Calle de Cabanales 55,61.0,2,99000
Castilla y Leon,Zamora,Piso,Regimiento de Toledo 25,138.0,4,167900
Castilla y Leon,Zamora,Piso,Calle Pena Trevinca 12,153.0,4,87000
Castilla y Leon,Zamora,Piso,Barrio Pinilla,86.0,3,130000
Castilla y Leon,Zamora,Piso,Plaza de la Marina,146.0,5,340000
Castilla y Leon,Zamora,Piso,Calle Consejo de Europa 2,81.0,3,105000
Castilla y Leon,Zamora,Piso,Ronda de Madrid 19,103.0,3,65500
Castilla y Leon,Zamora,Piso,Canaveral s/n,81.0,3,105000
Castilla y Leon,Zamora,Chalet,Manganeses de la Polvorosa,176.0,5,45000
Castilla y Leon,Zamora,Casa Rural,Calle Teso 65,75.0,3,100000
Castilla y Leon,Zamora,Casa Rural,Calle Moral,99.0,3,190000
Castilla y Leon,Zamora,Piso,Calle Rio Ebro 12,86.0,3,28000
Castilla y Leon,Zamora,Chalet,Calle Santa Catalina 21,139.0,4,65000
Castilla y Leon,Zamora,Casa Rural,Madridanos,120.0,4,55000
Castilla y Leon,Zamora,Chalet,Calle General Franco 19,175.0,5,17500
Castilla y Leon,Zamora,Piso,Calle Cortinas San Miguel,107.0,3,260000
Castilla y Leon,Zamora,Piso,Avenida de Victor Gallego 13,107.0,3,81000
Castilla y Leon,Zamora,Piso,Benavente,287.0,7,260000
Castilla y Leon,Zamora,Piso,Canada de la Vizana 20,149.0,4,70000
Castilla y Leon,Zamora,Piso,La Candelaria,17.0,3,164900
Castilla y Leon,Zamora,Piso,Calle de la Libertad 36,118.0,3,55000
Castilla y Leon,Zamora,Piso,Calle Amargura 17,156.0,4,95000
Castilla y Leon,Zamora,Piso,Calle de los Lagares 3,96.0,3,145000
Castilla y Leon,Zamora,Chalet,Camino Vereda 5,126.0,4,59000
Castilla y Leon,Zamora,Chalet,Avenida Constitucion 5,158.0,4,95000
Castilla y Leon,Zamora,Atico,Avenida Donantes de Sangre 36,116.0,3,84000
Castilla y Leon,Zamora,Chalet,Calle de Olleros 66,2500.0,7,68000
Castilla y Leon,Zamora,Chalet,Calle Montamarta,133.0,3,135000
Castilla y Leon,Zamora,Chalet,Calle Villaferruena 11,163.0,6,95000
Castilla y Leon,Zamora,Piso,Avenida Libertad 2 -16,116.0,3,58000
Castilla y Leon,Zamora,Piso,Calle de Blas de Otero,88.0,3,79000
Castilla y Leon,Zamora,Casa Rural,PEDRO TORO 118,863.0,3,80000
Castilla y Leon,Zamora,Chalet,Calle el Cano 4,176.0,3,55000
Castilla y Leon,Zamora,Piso,Ronda DE MADRID 34,84.0,3,60000
Castilla y Leon,Zamora,Chalet,Calle Subida de Cantabranas,30.0,3,119000
Castilla y Leon,Zamora,Chalet,Calle Segovia 14,199.0,5,183000
