Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet,Paseo de los Ruiseñores,650000,4,13
Piso,Paseo Pamplona,229000,5,133
Piso,Calle de Hernán Cortés,135000,3,69
Piso,Calle de San Vicente Mártir,210000,4,84
Piso,Urbanización Parque Roma,249000,4,93
Piso,Paseo de Fernando el Católico,375000,3,111
Piso,Miguel de Cervantes,144000,3,65
Chalet,Calle de Pedro López de Luna,249500,4,188
Chalet,Calle de Jorge Cocci,409900,4,262
Piso,Calle Héroes del Silencio,140000,2,72
Piso,Via Hispanidad,508000,4,153
Piso,Calle Pontón,110000,2,64
Piso,Calle de Luis Braille,175000,3,108
Piso,Avenida de Pablo Gargallo,255000,3,81
Piso,Camino de las Torres,174900,4,83
Piso,Calle de San Antonio María Claret,138000,3,72
Piso,MENENDEZ PIDAL,235000,4,115
Piso,Calle de José García Sánchez,129000,2,61
Piso,Calle de Juan Pablo Bonet,158000,3,70
Piso,Calle de Santa Teresa de Jesús,139000,2,45
Piso,Calle de Roger de Flor,98000,3,60
Piso,Urbanización Parque Roma,238000,5,95
Piso,Via Hispanidad,198000,4,90
Piso,Calle del Monasterio de Solesmes,89000,2,50
Piso,Calle Autonomía de Aragón,163000,3,101
Piso,Avenida Tenor Fleta,273000,4,129
Piso,Calle de los Hermanos Hurus,124000,2,77
Piso,Calle de Melilla,168000,3,137
Piso,Calle Madres de la Plaza de Mayo,215000,3,107
Piso,Calle del Alcalde Burriel,126500,3,85
Chalet,Calle Ángel Hernández,299000,4,220
Chalet,Calle Doctor Palomar,219000,4,167
Piso,Paseo de los Rosales,249000,3,110
Piso,Calle de la Paz,130000,3,107
Piso,Paseo de Cuéllar,205000,5,199
Chalet,Colonia San Lamberto,425000,4,1011
Piso,Diaz de Mendoza,175000,3,67
Piso,Calle del Doctor D. Joaquín Aznar Molina 19,229000,4,115
Piso,Calle de José María Lacarra de Miguel,218000,4,159
Piso,Calle de San Juan de la Cruz s/n,280000,3,22
Piso,Calle de San Juan de la Cruz s/n,280000,3,22
Piso,Calle de José María Lacarra de Miguel,218000,4,135
Ático,Calle del Padre Landa 22,275000,2,75
Piso,Calle de Alcalá,310000,8,380
Piso,Calle de la Paz,175000,1,65
Piso,Plaza de Aragón,740000,3,144
Piso,Calle de Miguel de Cervantes,250000,3,20
Piso,Calle del Monasterio de Poblet,130000,4,123
Ático,Calle de Alvira Lasierra,269900,2,60
Piso,Calle de San Juan de la Cruz,180000,2,68
Chalet,Avenida de la Ilustración,627000,7,256
Piso,Calle de Santa Isabel,180000,2,67
Piso,Calle de Homero,90000,2,60
Piso,Calle de Bélgica,95000,2,65
Piso,Via Hispanidad,508000,4,150
Piso,Calle de Elvira de Hidalgo,310000,5,160
Piso,Calle de Verónica,280000,4,142
Piso,Residencial Paraíso,458000,4,145
Piso,Avenida de Salvador Allende,180000,3,103
Piso,Avenida de César Augusto,310000,4,150
Chalet,Casetas - Garrapinillos - Monzalbarba,625000,6,69
Piso,Calle del Monasterio de Siresa,134900,2,67
Piso,Calle de San Juan de la Cruz,159000,2,63
Piso,Calle Zoel García de Galdeano,129000,3,69
Chalet,Paseo de la sagrada,195000,4,167
Piso,Via Univérsitas,129000,3,90
Piso,Calle de Arias,139900,3,75
Chalet,Calle de Teodora Lamadrid,280000,6,173
Piso,Calle del Doctor D. Joaquín Aznar Molina,239900,4,131
Chalet,Avenida de la Ilustración 31,470000,6,237
Piso,Calle de los Comuneros de Castilla,133000,3,106
Piso,Calle de Italia,132000,2,66
Chalet,Calle Francisco Moreno,119900,3,90
Chalet,Avenida de San Juan de la Peña 30,395000,4,287
Chalet,Urbanización Fuente de la Junquera s/n,560000,5,175
Piso,Calle de Asturias,170000,2,60
Piso,Calle Comercio,109000,3,79
Piso,Calle José Sancho Arroyo,109000,2,54
Piso,Donantes de sangre,139000,3,107
Piso,Paseo de Cuéllar,220000,5,197
Piso,Calle de Luis Vives,395000,3,108
Ático,Calle de Alvira Lasierra,269900,2,73
Piso,Paseo de Cuéllar,169999,3,114
Piso,Camino del Puente del Virrey,118000,3,94
Piso,Avenida de Valencia,160000,4,128
Piso,Via Univérsitas,260000,4,152
Piso,Calle J. Sebastián Bach,202000,3,119
Piso,Calle de San Lorenzo,216300,3,102
Piso,Calle Honorio García Condoy,140000,2,3
Piso,Calle de Maurice Ravel,210000,4,142
Piso,Calle de Pascuala Perié,105000,3,95
Piso,Via Hispanidad,595000,4,130
Piso,Calle de Fray Luis Urbano,83000,2,66
Piso,Calle de la Milagrosa,225000,3,107
Piso,Calle de la Fabla Aragonesa,134900,2,72
Piso,Calle Joaquín Costa,449900,4,207
Piso,Avenida del Tenor Fleta,265000,3,87
Chalet,Avenida de San Juan de la Peña,460000,4,288
Chalet,Avenida de Montañana,155000,3,106
Piso,Calle de los Lagos de Millares,269000,4,109
Piso,Calle de Félix Latassa,172900,2,30
Piso,Calle de Félix Latassa,159500,3,83
Piso,Calle de Alvira Lasierra,269900,2,100
