Tipo de inmueble,Dirección,Precio,Habitaciones
Chalet,Profesor Pimentel 822,6900000,8
Chalet,Cangas del Narcea s/n,6000000,29
Casa Rural,diseminado s/n,4000000,7
Chalet,Salas,3450000,9
Chalet,Calle Pérez de la Sala 19,3300000,10
Chalet,Calle Ricardo Cangas,2900000,7
Chalet,puertas de vidiago s/n,2890000,15
Chalet,Lugar Toranda s/n,2850000,6
Chalet,Carretera de la Providencia,2800000,7
Chalet,Villaviciosa,2700000,5
Chalet,Camino de los Laureles 11,2300000,8
Chalet,Camino de San Lorenzo,2300000,9
Chalet,Calle Ramón y Cajal 10,2300000,11
Chalet,Barrio Sau R5 y R6,2200000,8
Chalet,984260752,barrio Cabueñes,2100000
Chalet,barrio Cabueñes,2100000,3
Chalet,Camín del Río 9,2100000,3
Chalet,barrio Cabueñes,2100000,3
Chalet,Plaza de Europa 27,2000000,6
Chalet,Calle San Roque,2000000,6
Chalet,Carretera de la Providencia,2000000,4
Chalet,Mirador de Lastres s/n,2000000,6
Chalet,barrio Montecerrao,1995000,7
Chalet,Camino de los Tejos,1980000,5
Casa Rural,Caserio Corredoria 4 A,1950000,9
Chalet,Carretera de la Isla,1950000,8
Casa Rural,Grado,1800000,8
Chalet,Barrio Redondo,1800000,8
Chalet,infiesto,1800000,16
Chalet,Aldea Caleya,1800000,8
Chalet,Castropol,1800000,6
Chalet,Infiesto,1800000,18
Chalet,Camino de Bérbora 23 -275,1750000,6
Chalet,Camino de Bérbora,1750000,6
Chalet,Carretera de Loroñe 77,1700000,6
Chalet,Cuerres s/n,1600000,7
Chalet,Calle Asturcón 8,1600000,6
Chalet,Aldea Bricia,1600000,8
Chalet,Avenida de las Gaviotas,1600000,5
Casa Rural,diseminado s/n,1600000,7
Chalet,Camino del Praón,1600000,11
Chalet,Ribadesella,1600000,7
Chalet,Lugar Latores 32,1595000,8
Chalet,Calle Langreo 37,1520000,5
Chalet,Posada-Barro,1500000,10
Chalet,Grado,1500000,3
Chalet,Sofelguera 601,1500000,6
Chalet,San Cucao s/n,1500000,5
Chalet,Avenida la cuesta s/n,1500000,6
Casa Rural,Parroquias Norte,1500000,6
Chalet,Centro,1500000,10
Chalet,CAMIN DEL TRAVESERU,1500000,7
Casa Rural,Lugar Buelna 49,1440000,5
Chalet,Lugar Soto,1390000,9
Chalet,Taramundi,1350000,2
Chalet,Cangas de Onís,1350000,10
Chalet,barrio Buenavista,1349000,4
Chalet,AS-352,1300000,4
Chalet,Camino Hayas,1300000,10
Chalet,Camino de la Pipa 209,1300000,0
Chalet,Camino de Bérbora,1300000,8
Chalet,Camino Robles,1290000,8
Chalet,Vía,1275000,9
Chalet,Camino Begonias 288,1250000,9
Chalet,Camino Real,1250000,12
Chalet,Celorio-Poó-Parres,1250000,6
Chalet,Avenida de Prahua,1240000,10
Chalet,Pravia,1240000,9
Chalet,Lena,1224000,8
Piso,Calle de General Yagüe,1200000,7
Chalet,Llanes,1200000,10
Chalet,Carretera Castiello,1200000,4
Chalet,Llanes,1200000,8
Casa Rural,Alles s/n,1200000,8
Chalet,Ribadesella,1200000,8
Chalet,Calle Llames,1200000,15
Chalet,Calle Egidio Gavito,1200000,8
Chalet,Camino de Granda,1200000,8
Chalet,Les Vegues,1200000,4
Chalet,PI-1,1200000,6
Chalet,Lugar Latores s/n,1200000,6
Chalet,el palomar 13,1200000,6
Casa Rural,Caravia Alta 34,1195000,6
Chalet,Calle la Tazana,1195000,5
Piso,Plaza Seis de Agosto Gijón,1195000,16
Chalet,Calle la Cuesta,1195000,5
Chalet,Camino Higueras,1190000,3
Piso,Uría,1180000,10
Piso,Calle Uria 10,1180000,4
Chalet,Calle Bernardo Álvarez Galán,1175000,8
Chalet,Calle Bernardo Álvarez Galán,1175000,5
Chalet,Salinas,1175000,6
Chalet,Camino de las Quintas,1150000,5
Chalet,Camino Quintas,1150000,6
Chalet,Camino de las Quintas 384,1150000,6
Chalet,Camino de las Quintas,1150000,6
Chalet,barrio Cabueñes,1150000,6
Chalet,Camino de las Quintas 384,1150000,5
Chalet,Cuesta La 109,1150000,7
Chalet,San Martín del Mar,1150000,3
Chalet,Camino de las quintas,1150000,5
Chalet,Aldea Cefontes,1150000,6
Chalet,Camino de las Mimosas,1150000,3
Piso,Calle Corrida 20,1150000,5
Casa Rural,barrio Cabueñes,1150000,5
Chalet,barrio Cabueñes,1150000,5
Chalet,Camino de las Quintas s/n,1150000,5
Chalet,barrio Somió,1150000,5
Chalet,barrio Cabueñes,1150000,5
Chalet,Calle Elías Pando,1125000,6
Chalet,Elías Pando,1125000,6
