Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Avenida periodista beatriz cienfuegos,335000,3
Ático,Paseo Marítimo,995000,6
Chalet,Mar Caspio,1375000,6
Chalet,Plaza de san miguel,330000,6
Chalet,Calle José Castrillón 5,625000,4
Piso,La Caleta - La Viña,430000,3
Piso,virgen de los milagros,185000,2
Chalet,Centro del Puerto,350000,2
Chalet,Valdelagrana,575000,4
Piso,Avenida los Cortijos,710000,3
Chalet,Avenida de los Cortijos,1275000,5
Chalet,Calle Carmona,1775000,6
Duplex,barrio El Águila,415000,3
Chalet,Calle Foro,995000,4
Chalet,Carretera de Guadiaro,3500000,14
Chalet,barrio Vistahermosa,905000,5
Chalet,Vejer de la Frontera,625000,4
Piso,Playa Stª Mª del Mar,395000,2
Chalet,Núcleo Urbano,450000,4
Chalet,Los Gallos - La Coquina,299000,3
Piso,barrio Vistahermosa,490000,3
Chalet,barrio Vistahermosa,1350000,5
Chalet,barrio Vistahermosa,1500000,4
Chalet,barrio El Águila,600000,4
Chalet,barrio Vistahermosa,770000,5
Chalet,barrio Parque Avenida,780000,4
Chalet,Parque Europa,165000,2
Chalet,Cuatro Pinos-El Carmen,350000,4
Chalet,Soto de Vistahermosa,450000,4
Chalet,Vejer de la Frontera,659000,4
Chalet,CORRAL DE LA CUBA,300000,5
Piso,La Paz - Segunda Aguada - Loreto,135000,2
Piso,barrio El Manantial,310000,3
Piso,jesus de los milagros,118998,2
Chalet,barrio Pinar Alto,530000,4
Chalet,barrio Casco Histórico - Zona Alta,650000,4
Piso,Playa Victoria - Paseo Marítimo,450000,3
Piso,Vejer de la Frontera,160000,1
Piso,Zona Laguna,315000,3
Chalet,barrio Crevillet,299000,3
Chalet,barrio Crevillet,299000,3
Chalet,Calle Océano Pacífico,410000,3
Piso,Ayuntamiento - Catedral,200000,2
Chalet,barrio Soto de Vistahermosa,390000,3
Chalet,barrio Vistahermosa,950000,4
Chalet,barrio El Rocío - La Milagrosa,173000,4
Chalet,barrio El Manantial,520000,4
Piso,Calle Sor Cristina López García,145000,2
Chalet,Calle Arrecife 1,575000,3
Piso,La Paz - Segunda Aguada - Loreto,159000,2
Piso,alboaire golf,350000,2
Chalet,Vistahermosa,950000,4
Chalet,Calle Cabo Tres Forcas s/n,174950,2
Chalet,Calle Cabo Tres Forcas s/n,163495,3
Chalet,Calle Cabo Tres Forcas s/n,149950,2
Piso,Centro Histórico - Plaza España,425000,3
Chalet,Avenida LOS CORTIJOS 114,980000,4
Chalet,teresa aragon 10,4750000,10
Piso,Playa Victoria - Paseo Marítimo,590000,4
Chalet,formentera,3300000,6
Chalet,Vistahermosa,1200000,6
Chalet,Urbanización Indespania 12,655000,3
Chalet,Centro,360000,3
Chalet,barrio Vistahermosa,1790000,5
Piso,Centro Histórico - Plaza España,250000,3
Piso,Centro Histórico - Plaza España,215000,2
Chalet,San García - La Juliana,960000,4
Chalet,Los Pinos,430000,3
Piso,La Caleta - La Viña,170000,3
Chalet,La Granja - La Colina - Los Pastores,335000,4
Chalet,San García - La Juliana,215000,3
Chalet,barrio Zona F,1225000,5
Piso,Centro Histórico - Plaza España,425000,3
Ático,Puerto de Sotogrande-La Marina,1995000,4
Piso,Centro Histórico - Plaza España,400000,2
Chalet,Vejer de la Frontera,220000,3
Piso,La Caleta - La Viña,135000,1
Piso,La Barrosa,255000,2
Piso,Calle geronimo jimenez,118000,3
Chalet,Calle Merced,170000,2
Estudio,Puerto de Sotogrande-La Marina,96000,0
Piso,La Caleta - La Viña,175000,3
Piso,Avenida de la Hermandad de la Oración en el Huerto esquina con Avenida de la Hermandad de la Misericordia s/n,210000,3
Piso,La Paz - Segunda Aguada - Loreto,238000,2
Estudio,Vejer de la Frontera,99500,0
Piso,La Paz - Segunda Aguada - Loreto,145000,3
Chalet,barrio Vistahermosa,750000,5
Piso,Zona San José - Varela,439000,4
Piso,barrio El Juncal - Vallealto,95000,3
Chalet,barrio El Rocío - La Milagrosa,150000,3
Chalet,barrio Vistahermosa,700000,4
Piso,Ayuntamiento - Catedral,210000,2
Piso,barrio El Juncal - Vallealto,201900,4
Chalet,Calle Arcturus,1375000,5
Chalet,Calle Bergantín,1990000,6
Chalet,Calle Buenavista,1050000,3
Chalet,Las Lagunas - Campano,199990,3
Chalet,barrio La Reserva,3400000,6
Piso,Zona Laguna,399900,3
Piso,Playa Victoria - Paseo Marítimo,340000,3
Piso,Puerto de Sotogrande-La Marina,450000,3
Chalet,Calle Formentera,2750000,8
Piso,La Reconquista - El Ensanche,94000,3
Piso,Avenida Torrebreva 20,265000,2
Chalet,Calle Grazalema s/n,2475000,5
Chalet,Calle Alvorado s/n,2100000,7
Piso,Centro Histórico - Plaza España,227500,2
Chalet,barrio Valdelagrana,720000,5
Chalet,barrio Carretera de Sanlúcar-Sudamérica,230000,5
Piso,Núcleo Urbano,125000,5
Chalet,Núcleo Urbano,220000,2
Piso,Zona Laguna,206000,2
Piso,Vejer de la Frontera,125000,1
Ático,Zona Bahía Blanca,600000,4
Chalet,barrio Divina Pastora - La Yeguada,299000,5
Duplex,barrio El Juncal - Vallealto,165000,3
Ático,Sotogrande Costa,1275000,5
Piso,barrio Jerez Oeste,79000,4
Piso,barrio Pago San José - Princi - Jerez,137900,3
Chalet,La Barrosa,224000,2
Piso,Playa Stª Mª del Mar,395000,2
Chalet,MAYORAZGO,348000,4
Chalet,barrio Crevillet,169000,5
Piso,Ayuntamiento - Catedral,155000,4
Piso,La Barrosa,550000,3
Piso,barrio Divina Pastora - La Yeguada,145000,3
Chalet,barrio El Águila,700000,4
Chalet,Pelagatos - Pago del Humo,230000,3
Piso,barrio Jerez Oeste,69900,3
Chalet,barrio Centro,200000,2
Chalet,barrio Crevillet,295000,4
Casa Rural,Vejer de la Frontera,250000,4
Chalet,barrio Casco Histórico - Zona Alta,166000,3
Chalet,barrio Vistahermosa,1350000,5
Chalet,barrio Pozoalbero,275000,4
