Tipo de inmueble,Dirección,Precio,Habitaciones
Chalet,Avenida de Chinchapapa 2,545000,4
Piso,arciseri,235000,3
Piso,Calle de la Ronda 52,448000,6
Piso,Calle Leonardo Rucabado 5,185000,2
Piso,Calle Joaquín Costa 17,970000,3
Chalet,Calle Aureliano Linares Rivas,497900,4
Piso,leonardo rucabado,170000,2
Chalet,AURELIANO RIVAS,497900,4
Chalet,ANDRES DE LA LLOSA,384900,3
Duplex,concha espina,258000,4
Piso,Calle María Aburto,550000,4
Piso,MARIA ABURTO,450000,3
Piso,Zona Playa,350000,3
Chalet,Barrio Sámano 86,325000,4
Piso,Paseo Menéndez Pelayo 58,300000,3
Chalet,Calle Nicolás Torre 33,649000,5
Piso,Calle Leonardo Rucabado 58,395000,3
Chalet,Barrio Prado 18,375000,4
Piso,Paseo Menéndez Pelayo 42,219000,3
Piso,Clara Campoamor 13,350000,3
Piso,Avenida de Pontejos 29,890000,4
Chalet,Barrio Prado,425000,4
Chalet,NICOLAS TORRE,649000,5
Chalet,LA LOMA EL CANTABRICO,315000,3
Piso,SILVESTRE OCHOA,399000,3
Piso,eleazar ortiz,362400,2
Duplex,menendez pelayo,186000,2
Chalet,BRAZOMAR LA LOMA,335000,3
Chalet,Avenida DE ESPAÑA,324900,3
Chalet,barrio el prado,420000,4
Chalet,Barrio Prado,410000,4
Piso,Calle la Costa,239900,2
Piso,Calle Escultor José Grajera,229000,3
Chalet,Avenida de Francia,310000,4
Ático,Centro,125000,1
Piso,Centro,150000,3
Piso,Calle Hernán Cortés 45,650000,4
Piso,Zona Playa,195000,2
Piso,Palacio,315000,3
Piso,Avenida Derechos Humanos,149900,2
Piso,Avenida de la Libertad,195000,3
Piso,Calle Leonardo Rucabado 24,235000,4
Piso,Castelar 15,2500000,3
Piso,Calle 1 de Mayo 4,345000,3
Duplex,ANDRES DE LA LLOSA,342000,4
Piso,Calle Ataúlfo Argenta 4,196000,2
Piso,Calle República Argentina 2,175000,3
Ático,Subida Campijo 4,249000,2
Piso,Calle Los Caserios 15,225000,3
Piso,Calle Venancio Bosco 12,205000,3
Piso,Avenida de la Libertad 19,225000,2
Piso,Calle Bajada del Chorrillo 4,299000,3
Piso,Paseo Menéndez Pelayo 6,285000,2
Chalet,Barrio el Campillo 20,235000,3
Piso,Paseo Menéndez Pelayo 31,180000,2
Duplex,Calle Leonardo Rucabado 13,300000,3
Piso,Calle Doctor Manuel Díaz Munío 18,258000,2
Piso,Calle Arturo Dúo Vital,240000,3
Piso,Calle del Voluntariado,228000,2
Piso,Calle 1 de Mayo,229000,3
Chalet,BARRIO SAMANO,380000,3
Piso,1 DE MAYO,249000,2
Chalet,Barrio Baltezana,299000,3
Piso,RESAMANO,259000,3
Chalet,BRAZOMAR LA LOMA,360000,3
Piso,SUBIDA CAMPIJO,260000,2
Ático,santa ana,275000,3
Chalet,BARRIO SAMANO,325000,4
Chalet,BARRIO SAMANO,399000,4
Duplex,NICOLAS TORRE,299000,3
Chalet,PACO LABIANO,383000,4
Piso,Plaza Porticada San Cristóbal,206000,3
Chalet,Montealegre,280000,3
Chalet,LA LOMA MONTECUETO,335000,4
Piso,El Puntal,320000,3
Piso,Centro,185000,2
Piso,Calle Nuestra Señora 27,125000,2
Piso,Zona Playa,129000,2
Piso,El Puntal,390000,3
Chalet,Carlos V,750000,6
Piso,El Puntal,390000,3
Piso,Avenida Derechos Humanos,117000,2
Piso,Zona Playa,68000,1
Piso,Centro,495000,4
Piso,El Puntal,169000,1
Piso,Chinchapapa,157000,1
Piso,Centro,245000,2
Piso,Subida Campijo 1,249000,3
Piso,Avenida Francia 61,295000,4
Piso,Avenida de la Constitución 10,250000,2
Piso,Calle Río Cubas 11,164000,3
Piso,Avenida de la Libertad,360000,3
Piso,Zona Playa,132000,2
Piso,Ris,110000,1
Piso,Zona Playa,195000,3
Piso,Calle Joaquín Salas,145000,3
Piso,Cuesta de la Atalaya,315000,4
Piso,Calle Tantín,190000,5
Piso,Avenida de Cantabria,480000,3
Piso,Centro,179000,3
Piso,Centro,225000,3
Piso,PRIMERO DE MAYO,249000,2
Chalet,El Puntal,440000,4
Piso,Calle Amos de Escalante,625000,4
Chalet,Lugar Barrio Brazomar,410000,4
Chalet,Carretera SAMANO 520,310000,3
Chalet,Barrio Baltezana s/n,590000,4
Duplex,Cuatro Caminos,405000,4
Piso,Tregadín,165000,2
Chalet,OTAÑES,410000,4
Chalet,Barrio Sámano 22,310000,3
Piso,Avenida Derechos Humanos,129900,2
Piso,Las Brisas,1450000,4
Duplex,CASTILLA,795000,6
Chalet,Valdenoja,525000,5
Piso,Calle San Fernando,259000,2
Piso,Calle del Monte,249000,3
Piso,PRIMERO DE MAYO,243000,2
Piso,Calle Leonardo Rucabado 5,170000,2
Chalet,Avenida de Francia,395000,5
Piso,subida campijo,165000,1
Piso,Peñacastillo - Nuevamontaña,140000,2
Piso,Calle Santander 8,293000,5
Chalet,los naranjos,235000,3
Piso,Calle Doctor Manuel Díaz Munío 14,222800,2
Ático,Calle Santa Ana 4,275000,3
Piso,Calle Leonardo Rucabado 20,174000,2
Piso,RESAMANO 10,184900,2
Piso,Calle Joaquín Costa 13,295000,1
Chalet,Avenida los Infantes,1750000,4
Piso,CANALEJAS,370000,2
Piso,Centro,225000,3
Piso,Alisal - Cazoña - San Román,140000,3
Duplex,Calle Eleazar Ortiz,385000,4
Ático,Calle Miguel de Cervantes,398000,3
Piso,TERESA DE CALCUTA,178000,2
Duplex,Paseo Menéndez Pelayo,330000,3
Piso,LEONARDO RUCABADO,174000,2
Duplex,LEONARDO RUCABADO,300000,3
Ático,HERMANOS TONETI,265000,3
Piso,RESAMANO,220000,2
Piso,Calle Girasol 7,174900,2
Piso,Avenida de la Libertad,195000,3
Piso,Calle Francisco Tomás y Valiente,167000,2
Ático,Paseo Ocharan Mazas 7,750000,4
Piso,Avenida de Chinchapapa 11,157000,1
Piso,Calle de Silvestre Ochoa 15,245000,3
Piso,Centro,360000,2
Piso,Calle Nuestra Señora 19,185000,4
Piso,TRANSARROLLO,168000,2
Duplex,Calle Ataúlfo Argenta 6,370000,3
Chalet,Barrio Mioño 120,220000,3
Chalet,Barrio Mioño 2075,410000,4
