Tipo de inmueble,Dirección,Precio,Habitaciones
Chalet,barrio Brillante,450000,4
Piso,Avenida de Carlos III 79,128900,3
Chalet,barrio El Higuerón,245000,4
Piso,Calle Libertador Simón Bolívar,116000,3
Piso,Calle Escultor Freila Guevara,165000,2
Piso,barrio Sector sur - Santa Cruz,86000,2
Chalet,Avenida de San José de Calasanz 37,794000,6
Piso,barrio Levante,95000,3
Piso,barrio La Viñuela,120000,4
Piso,barrio Levante,118500,3
Piso,barrio Valdeolleros - Zumbacón - Camping,97000,2
Piso,Calle Doctor José Altolaguirre 7,139000,3
Piso,barrio Noreña - Turruñuelos,235000,3
Piso,barrio Fuensanta - Arcángel - Santuario,160000,3
Chalet,Calle Lustre 1,225000,3
Piso,Calle Marfileros,115500,3
Piso,barrio Valdeolleros - Zumbacón - Camping,169000,3
Piso,Cuesta de la Pólvora 6,89000,3
Duplex,Escriba Lubna 6,374900,5
Piso,Calle Alcalá Zamora,189900,3
Duplex,Papa Juan Pablo II,126000,3
Piso,Calle Bailarina Anna Pavlova 6,280000,2
Piso,Calle Vázquez Aroca 2,183000,4
Piso,Calle Queso 4,125000,2
Piso,Pasaje Isla Sálvora 8,179900,3
Piso,Plaza de Colón 4,259348,3
Chalet,Calle las Águilas,244900,4
Piso,Calle Gutiérrez de los Ríos,129000,4
Piso,Calle Doctor Barraquer,148300,2
Piso,Calle Doctor Barraquer,148300,2
Piso,Calle Escritora Concha Espina,195000,3
Piso,Calle de la Virgen del Perpetuo Socorro 12,164900,3
Ático,Calle María la Judía,465000,4
Chalet,Avenida del Brezo 1 H,225000,5
Piso,Calle Baldomero Moreno Espina s/n,209600,3
Piso,Calle Baldomero Moreno Espina s/n,212300,3
Piso,Calle Baldomero Moreno Espina s/n,184950,2
Duplex,Calle Antonio Gaudí,299900,3
Piso,barrio Vistalegre - Parque Cruz - Universidades,139000,3
Piso,barrio Valdeolleros - Zumbacón - Camping,189900,3
Piso,barrio Valdeolleros - Zumbacón - Camping,189900,3
Chalet,barrio Paraíso Arenal - La Colina,329900,4
Piso,barrio Fátima - Campiñuela,128900,3
Piso,barrio Fátima - Campiñuela,128900,3
Piso,barrio Tablero,244000,3
Piso,barrio Ciudad Jardín,75000,2
Piso,Calle Goya 19,119900,2
Chalet,Calle Diego Méndez 6,185000,3
Piso,Calle de la Virgen del Perpetuo Socorro s/n,164900,3
Piso,Avenida de América,190000,3
Duplex,Calle Periodista Antonio Rodríguez Mesa,149900,3
Chalet,barrio Casco Histórico - Ollerías - Marrubial,178000,4
Piso,barrio Zoco - Poniente,179000,3
Piso,barrio Fuensanta - Arcángel - Santuario,79900,3
Piso,barrio Santa Rosa - San José,266000,4
Chalet,barrio Tablero,460000,3
Chalet,barrio Brillante,395000,5
Piso,barrio Cercadilla - Medina Azahara,199500,3
Piso,barrio Brillante,165000,2
Chalet,barrio Casco Histórico - Ollerías - Marrubial,574900,7
Piso,barrio Santa Rosa - San José,179500,3
Chalet,barrio Casco Histórico - Corredera - Ribera,240000,5
Piso,barrio Ciudad Jardín,165000,3
Piso,barrio Miralbaida - Parque Azahara,119900,3
Piso,barrio La Viñuela,129990,3
Chalet,barrio Casco Histórico - Corredera - Ribera,192000,4
Chalet,barrio El Higuerón,250000,5
Chalet,Avenida del Calasancio,625000,7
Chalet,barrio Trassierra - Las Jaras,360000,8
Piso,barrio Noreña - Turruñuelos,235000,3
Piso,barrio Ciudad Jardín,148000,3
Piso,barrio Valdeolleros - Zumbacón - Camping,82000,1
Chalet,barrio El Higuerón,143000,3
Piso,barrio Ciudad Jardín,166500,3
Piso,barrio Sector sur - Santa Cruz,86000,2
Piso,barrio Ciudad Jardín,86000,2
Chalet,barrio Huerta de la Reina,154000,4
Piso,barrio Ciudad Jardín,123000,3
Piso,barrio Vistalegre - Parque Cruz - Universidades,220000,5
Piso,barrio Levante,116000,3
Ático,barrio La Viñuela,139000,2
Piso,barrio Santa Rosa - San José,95000,3
Piso,barrio El Vial - Ronda de Tejares,188000,3
Piso,barrio Campo de la Verdad,79990,3
Piso,barrio Valdeolleros - Zumbacón - Camping,90000,3
Chalet,barrio Valdeolleros - Zumbacón - Camping,160000,3
Piso,Calle San Marcos,77900,3
Chalet,barrio Fátima - Campiñuela,255000,3
Piso,Avenida Vallellano,222750,3
Piso,barrio Casco Histórico - Ollerías - Marrubial,140000,1
Piso,barrio Valdeolleros - Zumbacón - Camping,144900,4
Chalet,Villarrubia,315000,6
Piso,barrio Valdeolleros - Zumbacón - Camping,143900,3
Piso,barrio Vistalegre - Parque Cruz - Universidades,129900,3
Chalet,barrio Centro,350000,7
Piso,barrio Santa Rosa - San José,99000,3
Piso,barrio Naranjo - Mirabueno,119000,3
Piso,barrio Fátima - Campiñuela,139000,2
Piso,barrio Noreña - Turruñuelos,170000,2
Piso,A-4,210000,2
Piso,Avenida del Arcángel s/n,127900,3
Piso,barrio San Cayetano,395000,4
Piso,Calle Salvador Allende,165000,4
Piso,Av Andalucia 19,82000,3
Piso,ingeniero juan vigueras,159900,3
Piso,Avenida del Aeropuerto 3,199900,4
Piso,Calle de los Reyes Católicos,299000,5
Chalet,Calle Fresno,75000,5
Chalet,Calle Mayor,83000,4
Chalet,Vía,75000,2
Piso,Calle el Castaño 2,123000,2
Piso,Calle mirto s/n,198100,3
Piso,Calle mirto s/n,182200,2
Casa Rural,Urbanizacion Amigos 1,945000,4
Piso,Calle María Malibrán,196000,3
Piso,barrio Casco Histórico - Corredera - Ribera,53000,1
Piso,Calle el Castaño,123000,2
Piso,Pasaje de las Almunias s/n,194500,3
Piso,Calle jose aguilar de dios s/n,330000,3
Piso,Calle jose aguilar de dios s/n,330000,3
Piso,Calle jose aguilar de dios s/n,330000,3
Piso,Calle jose aguilar de dios s/n,330000,3
Piso,Pasaje de las Almunias s/n,352000,4
Duplex,Calle Nueva s/n,175000,3
Duplex,Calle Nueva s/n,180000,3
Chalet,Avenida de Turruñuelos s/n,496500,3
Chalet,Avenida de Turruñuelos s/n,517000,3
Chalet,Avenida de Turruñuelos s/n,520000,4
Chalet,Carcabuey,89000,3
Chalet,Carcabuey,200000,5
Casa Rural,La Carlota,325000,3
Piso,Calle Escritora Carmen Laforet,225000,2
Ático,Calle Escritora Carmen Laforet,350000,4
Piso,Plaza del Doctor Emilio Luque,399000,5
Chalet,A-3132,95000,4
Piso,Calle Veterinaria María Cerrato,134900,3
Piso,Avenida del Brillante 1,185000,2
Piso,Avenida del Brillante 1,340000,4
Piso,Calle Escritor Conde de Zamora s/n,209100,3
Piso,Calle Escritor Conde de Zamora s/n,196500,2
Piso,Calle Escritor Conde de Zamora s/n,150600,1
Piso,Avenida del Brillante 1,196000,2
Piso,Avenida Gran Via Parque,89900,3
Piso,Plaza de Colón,269999,3
Chalet,Avenida del Brillante 158,1400000,6
Piso,Calle Abogado Enríquez Barrios,133999,4
Piso,Avenida de las Ollerías,144999,3
Duplex,Calle Dalmacia,99990,2
Piso,Avenida Vía Augusta 2,257000,3
Chalet,Calle las Antas 15,590000,9
Chalet,Avenida Bellavista,320000,6
Piso,Calle Juan Molina 3,184500,2
Piso,Plaza de Pineda 1,265905,4
Piso,Avenida Virgen de las Angustias 9,244000,3
Piso,Avenida del Gran Capitán s/n s/n,276010,4
