Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Calle Gran Vía de Colón,595000,3
Piso,Avenida de la Investigación,280000,3
Piso,Almuñecar Centro,132900,3
Piso,Músico José Ayala Canto,210000,3
Piso,Calle Acera del Darro,450000,4
Piso,Calle Ribera del Violón,179900,3
Piso,Calle Ebro,149900,3
Duplex,Calle Veracruz,119900,3
Piso,MIRADOR DE LA SIERRA,152000,4
Piso,Carretera de la Sierra,141000,1
Piso,MAESTRO FAUS,220000,3
Piso,Periodista Luis Seco de Lucena,160000,3
Chalet,cuenca s/n,89900,4
Piso,Antonio quesada sanchez s/n,89900,2
Piso,Carretera de la Sierra 24,139900,3
Ático,Calle Conde de las Infantas,450000,3
Piso,Avenida AMERICA,149900,3
Piso,Pasaje Profesor Sainz Cantero 3,298000,3
Piso,Calle Pico del Caballo,124900,3
Piso,Calle Sócrates 31,295000,4
Chalet,Calle Retama 2,548000,5
Piso,Plaza Periodista José María Gonzalo de la Torre,205000,3
Piso,VIRGEN DE LA ESPERANZA,180000,3
Piso,Calle SOLARILLO DE GRACIA,420000,4
Piso,barrio Recogidas,250000,5
Chalet,Calle Indalecio Prieto,750000,5
Ático,Barrio de los Periodistas,279900,3
Chalet,Altos de la Zubia,334000,3
Piso,Figares,270000,3
Chalet,Otura,690000,3
Piso,Calle Solarillo de Santo Domingo 3,229000,2
Piso,Avenida PABLO PICASSO,470000,4
Piso,Calle Montalbán,179500,2
Piso,Calle San Jacinto,310000,2
Chalet,Calle Lavanda 2,360000,4
Piso,Camino de Ronda 41,159900,3
Chalet,Calle Delfos 18,186000,3
Chalet,Velilla - Velilla Taramay,550000,4
Piso,Avenida de la Investigación 8,280000,3
Piso,Calle Libreros 2,399000,6
Piso,Calle Libreros 2,399000,6
Piso,Plaza Virgen de la Luz,149000,2
Piso,Calle Ángel Ganivet,498000,3
Chalet,Calle F-1,249500,4
Chalet,Calle Everest,499990,8
Ático,Camino CHURRIANA,230000,3
Chalet,Calle Lopez Mezquita,230000,2
Chalet,Camino de la Sierra,299500,5
Chalet,Calle la Iruela,560000,7
Chalet,Calle Keops,265000,4
Casa Rural,Camino de los Cuscurros s/n,180600,2
Piso,Calle la Palmita 8,279900,3
Ático,Calle Castellón 65,147000,2
Piso,Camino de Churriana,165000,3
Chalet,Cruz de San Antón 28,254600,4
Piso,Calle Mozárabe,273300,3
Piso,Camino de Ronda 98,287900,4
Piso,Camino de Ronda 88,349000,5
Piso,Carretera de la Sierra 74,169900,3
Chalet,Calle Adinamar,465120,4
Piso,Calle Alonso Terrón 2,260000,2
Piso,Avenida de la Constitución,395000,4
Piso,Blas Infante,169500,3
Chalet,Guatemala,149000,3
Piso,Calle Vaguada,109000,2
Piso,Calle Torre del Capitán 4,319000,3
Chalet,Calle Aljibe de Trillo 23,589000,8
Piso,Plaza DE LOS CAMPOS s/n,945000,4
Chalet,Doctor Jiménez Díaz 19,210000,4
Piso,Acacias 1,131500,1
Piso,Calle Sócrates 18,190000,3
Ático,Calle Real de Motril,118000,1
Chalet,Azucena,294900,3
Piso,Calle Minerva 7,258000,3
Chalet,Calle Granada 42,375000,5
Piso,Calle Plasencia 3,198500,4
Piso,Calle Algibe 1,84000,2
Piso,Plaza de San Bartolomé 4,174500,2
Piso,Calle San Antón 16,197000,2
Piso,Calle Ruiseñor 5,158000,3
Piso,Calle Ruiseñor 5,158000,3
Piso,Calle Francisco de Orellana,109000,2
Piso,MERCEDES GAIBROIS,189000,3
Chalet,Calle LAS CAMPANAS,189000,4
Piso,Cuesta de San Gregorio 28,180000,1
Chalet,Calle Quijada,999000,6
Chalet,Calle Cerro de las Pipas,338000,10
Chalet,Calle Molinos,1390470,5
Piso,Avenida Don Bosco,169000,4
Chalet,Calle chimborazo,330000,3
Piso,Calle Mérida,114000,2
Piso,Almuñecar Centro,145000,4
Chalet,barrio La Herradura,105000,6
Piso,Calle Transportes,108000,2
Piso,Calle Ciego de Arjona,410000,3
