Tipo de inmueble,Dirección,Precio,Habitaciones
Chalet,León y Castillo 293,1900000,5
Chalet,barrio Tafira,1100000,6
Piso,Calle León y Castillo 236,425000,5
Piso,Senador Castillo Olivares 57,530000,4
Piso,Calle Churruca 39,495000,3
Piso,Calle Virgen del Pilar 43,214000,4
Piso,Calle Manuel González Martín s/n,350000,4
Duplex,Camilo José Cela 2,239000,3
Duplex,Calle José Gómez Bosch Doctor 1,295000,3
Chalet,Calle Datana,1090000,5
Arquitecto 3,828640287,Calle Jose Luis Jimenez,Arquitecto 3
Piso,Calle León y Castillo 59,170000,3
Chalet,Calle Océano Pacífico,995000,5
Chalet,Caserio Ayaguares,1400000,3
Piso,Joaquín Costa s/n,357700,3
Piso,Calle los pinos,285000,1
Piso,Matias Padron,285900,4
Piso,Avenida Jose Mesa y Lopez 46,417000,3
Chalet,barrio Montaña Roja,395000,3
Piso,Calle Pimentero Nardo Cocotero y Gardenia,252000,4
Casa Rural,Calle Tamarán 3,145000,4
Estudio,Calle de las Guayanas s/n s/n,150000,0
Piso,Calle Poeta Marcos Martin Artiles 10,149900,2
Duplex,Avenida de la Cornisa 6,239000,2
Piso,Avenida escaleritas,166000,3
Ático,Eduardo Benot,396000,1
Chalet,Jinamar,159900,4
Piso,Pascua 41,132000,3
Chalet,Calle Secundino Delgado,298500,3
Piso,Calle Sir Rabindranath Tagore 10,112000,3
Chalet,Paseo Chil,798000,3
Chalet,Lajares,175000,2
Piso,Ruiz de Alda 4,316050,3
Piso,Presidente Alvear 10,595000,5
Casa Rural,Callejón del Castillo - El Calero - Las Huesas,210000,8
Piso,Playa del Inglés,395000,2
Casa Rural,Valle de los Nueve - El Ejido - Medianías,695000,4
Chalet,Puerto Calero,1680000,4
Chalet,barrio Alcaravaneras,595000,7
Chalet,Calle Chorlitejo,450000,3
Chalet,Urbanización Montaña Roja,1290000,5
Casa Rural,KM 33 33,390000,2
Chalet,Calle Chorlitejo,450000,3
Chalet,Avenida Los Laureles,336000,2
Chalet,San Fernando,485000,4
Chalet,Tamaragua Calle Tajora,262500,3
Chalet,Carretera a Los Hoyos,412700,6
Chalet,Calle La Goleta,6000000,8
Piso,Corralejo,275000,2
Piso,Calle León y Castillo 284,180000,1
Chalet,Costa Teguise,678000,5
Chalet,El Cotillo,534000,3
Chalet,Corralejo,210000,2
Piso,El Cotillo,280000,2
Chalet,La Oliva,750000,4
Chalet,Maspalomas-Meloneras,4500000,4
Piso,Calle roque del este 22,135000,1
Piso,Av. de Gran Canaria,135000,1
Chalet,Macher - La Asomada,318000,4
Chalet,Corralejo,255000,2
