Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,barrio San Nicolás,475000,4
Chalet,barrio San Benito-Progreso,399900,4
Piso,barrio San Antón,167000,2
Piso,barrio Zona Juan Carlos I,223000,2
Piso,barrio San Nicolás,299000,2
Chalet,Fuente del Perro,219900,3
Duplex,Calle Trapería,295000,2
Piso,barrio La Alberca,159900,3
Piso,barrio San Benito-Patiño,149000,3
Piso,barrio Zona Juan Carlos I,360000,3
Chalet,barrio Guadalupe,620000,3
Ático,barrio Santa Eulalia,275000,3
Piso,Calle Nieves Viudes Romero esquina Carretera de San Javier s/n,124500,3
Piso,Calle Nieves Viudes Romero esquina Carretera de San Javier s/n,119500,3
Piso,barrio San Lorenzo,560000,5
Piso,barrio El Carmen,260000,3
Piso,barrio Zona Juan de Borbón,289000,3
Duplex,Calle Infanta Elena,1280000,5
Piso,Calle Nieves Viudes Romero esquina Carretera de San Javier s/n,108500,3
Ático,Plaza Balsas,330000,3
Piso,barrio San Andrés-San Antolín,219000,2
Ático,barrio Santa María de Gracia,690000,5
Piso,barrio San Antón,680000,4
Piso,barrio Vista Alegre,259000,4
Piso,barrio San Antón,270000,2
Chalet,barrio Era Alta,690000,8
Piso,barrio Santa Catalina-San Bartolomé,750000,3
Chalet,Calle Constanza de Avilés 1,269900,4
Ático,Salitre,229900,3
Piso,barrio Zona Juan de Borbón,260000,3
Piso,Avenida Juan Carlos I,335000,3
Piso,barrio El Carmen,120000,2
Piso,barrio San Miguel,360000,3
Piso,Calle Historiador Juan Torres Fontes 4,119000,1
Ático,Calle Huerta,179900,4
Piso,Plaza Flores,189900,3
Piso,Calle Navegante Macías del Poyo,335000,4
Piso,barrio San Nicolás,160000,2
Piso,Calle Ricardo Gil,149900,3
Ático,barrio Zona Juan de Borbón,375000,4
Piso,Avenida Cresta del Gallo,135000,3
Piso,barrio Puente Tocinos,68000,3
Chalet,Avenida Príncipe de Asturias 36,284900,4
Duplex,barrio El Raal,129900,3
Piso,barrio El Palmar,78000,2
Piso,barrio Catedral,235000,3
Piso,barrio San Miguel,289000,4
Piso,barrio La Alberca,144900,3
Piso,barrio Santa Eulalia,220000,4
Piso,barrio El Carmen,215000,3
Piso,barrio San Antón,245000,3
Piso,barrio Santa Eulalia,249000,5
Piso,barrio Santa María de Gracia,545000,5
Piso,Calle Rosales,139000,3
Piso,barrio Garres y Lages,79900,4
Piso,barrio El Palmar,125000,3
Chalet,barrio Llano de Brujas,249900,3
