Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Calle Reposo,205000,2
Chalet,MENDOZA RÍOS,600000,7
Duplex,Calle Dulce Chacón,449000,4
Duplex,Calle Pajaritos,370000,2
Piso,Alejandro Collantes,589000,5
Piso,Calle Fernando IV,360000,2
Piso,Mallén,325000,3
Piso,Calle San Vicente,549000,4
Chalet,Simon Verde,895000,6
Piso,Calle Benidorm,269000,3
Piso,Calle Herrera el Viejo,390000,3
Chalet,barrio Arenal - Museo - Tetuán,1679000,5
Piso,Calle Bustos Tavera,430000,2
Piso,Paseo de Cristina,700000,4
Piso,Calle San Juan de Dios,315000,3
Piso,Plaza la Aralia,145000,3
Piso,Calle Juan Sebastián Elcano,460000,4
Piso,Calle Virgilio Mattoni,120000,2
Chalet,Calle PABLO NERUDA 27,206000,4
Piso,Calle Miguel Cid 76,310040,2
Piso,Calle Vascongadas,335000,5
Piso,Avenida de Kansas City 14,348000,3
Piso,Calle Miguel Cid 76,329360,2
Chalet,Calle Mary Ward,865000,3
Piso,Avenida de Kansas City,299000,3
Chalet,Avenida Jacaranda,3500000,5
Piso,Calle real utrera 33,215000,4
Chalet,Calle Conde de Osborne,1300000,7
Chalet,Plaza del Pinar,250000,4
Chalet,Calle Lima,775000,8
Piso,Calle Niebla,248000,3
Piso,Calle Arjona,520000,4
Piso,Calle Rosario,650000,3
Piso,Calle Guzmán el Bueno,800000,5
Chalet,Avenida colombia,237000,3
Chalet,Calle Rosalía de Castro,235000,4
Piso,Centro - Doña Mercedes,115000,3
Chalet,Espartinas Pueblo,234900,4
Chalet,barrio Plaza de la Gavidia-San Lorenzo,650000,6
Piso,Aljamar,229000,2
Chalet,Cerros de Montequinto,700000,5
Piso,Aljamar,229000,2
Chalet,Cerros de Montequinto,468000,4
Chalet,Calle Jara,234900,4
Chalet,Espartinas Pueblo,269000,4
Chalet,Zona Colegio Europa,300000,7
Piso,Avenida Asia,280000,3
Chalet,Entrenúcleos,355000,3
Chalet,Calle Azofairon 126,140000,4
Piso,Calle Antonia Díaz 19,225000,4
Piso,Avenida de Jerez,800000,2
Piso,barrio Los Bermejales,205000,2
Piso,Calle Rafael González Abreu,600000,4
Piso,Calle Patricio Sáenz,299000,3
Piso,Calle Rafael Alberti,220000,3
Piso,Calle Enrique Orce Mármol,260000,3
Piso,Calle Virgen de Luján,285000,3
Piso,Avenida de la Ciudad Jardín,310000,3
Piso,Avenida de la Ciudad Jardín,280000,3
Piso,Calle María Josefa Segovia,220000,2
Piso,Calle Tarfia,190000,2
Ático,Calle Adriano,1250000,8
Piso,Calle Almirante Espinosa,230000,2
Piso,Calle José Recuerda Rubio-VIAPOL-NERVION s/n,700000,4
Piso,Calle Aldaya,109000,3
Piso,Avenida Eduardo Dato,245000,2
Piso,Calle Urbión,187500,3
Piso,Avenida Asia,410000,3
Piso,Calle Nuestra Señora de Valme 12,254441,3
Piso,VIRGEN DE GUADALUPE,103500,3
Piso,Calatrava,265000,5
Piso,Avenida LOS PIRRALOS 30,140000,3
Piso,Calle Medina,290000,3
Piso,VIRGEN DE LA ANTIGUA s/n,465000,5
Piso,Callejón Juan de Oviedo,315000,2
Chalet,Calle Manuel Ramón Alarcón,425000,5
Piso,Calle Asunción,350000,2
Piso,Juan Sebastián Elcano,410000,4
Chalet,URBANIZACION LOS ROBLES s/n,269000,4
Chalet,SIERRA DE LAS NIEVES 29,166000,4
Piso,Calle Divina Pastora,127000,2
Piso,URBANIZACION CAÑADUL s/n,137260,3
Piso,barrio Gran Plaza - Marqués de Pickman - Ciudad Jardín,249000,3
Piso,barrio Ronda de Triana-Patrocinio-Turruñuelo,174000,2
Piso,Calle Lionel Carvallo,325000,4
Piso,Avenida de los Olmos 58,339500,4
