Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Zona Polideportivos Asperon - Mariano Vicen,189000,3
Piso,La Florida - San Pedro,120000,3
Piso,Centro,400000,4
Casa Rural,Castilfrio de la Sierra,298000,4
Piso,Centro,156000,3
Piso,Avenida de Zaragoza 9,19000,1
Chalet,Calle Collado,170000,5
Chalet,Calle Bienestar,395000,5
Piso,Centro,187000,3
Chalet,Avenida Enr León 32,40000,4
Chalet,Fuentelmonge,280000,4
Piso,La Florida - San Pedro,170000,4
Casa Rural,Barrio Arroyo,350000,9
Piso,Avda de Valladolid,220000,3
Piso,Molinos de Duero,105000,2
Piso,La Florida - San Pedro,126000,3
Piso,Calaverón - Pajaritos,180000,3
Chalet,Golmayo,330000,5
Piso,Zona Polideportivos Asperon - Mariano Vicen,165000,3
Piso,Zona Polideportivos Asperon - Mariano Vicen,210000,4
Ático,La Florida - San Pedro,349000,4
Piso,Avda de Valladolid,264000,4
Piso,Zona Polideportivos Asperon - Mariano Vicen,126000,4
Chalet,Garray,224000,4
Piso,Centro,69000,2
Chalet,919386974,Monteagudo de las Vicarias,49000
Piso,Avda de Valladolid,75000,3
Chalet,Golmayo,359000,4
Piso,Calle SAN PEDRO 6,30000,3
Piso,Calle LA FUENTE 14,50000,2
Piso,Calle DE LOS DANZANTES 13,75000,3
Piso,Centro,73000,3
Chalet,Camino DE LA HORCAJADA 67,153000,4
Chalet,Calle Real,93500,4
Piso,Calle de Los Danzates 32,85000,3
Piso,Calle PICOS DE URBION 9,49500,3
Casa Rural,Calle Real,37000,5
Casa Rural,Calle Horno 12,690000,5
Chalet,Travesía Callejuelas,55000,2
Piso,Calle Alberca 9,75000,2
Piso,Calle V Centenario,50000,3
Ático,Aduana Vieja 8,185000,2
Piso,Avenida Duques de Soria 2,129000,3
Piso,Calle Hermanos Pinzón 2,100000,3
Piso,Plaza Mariano Granados s/n,480000,4
Piso,Plaza Mariano Granados s/n,510000,4
Piso,Plaza Mariano Granados s/n,520000,4
Piso,Plaza Mariano Granados s/n,510000,4
Piso,Plaza Mariano Granados s/n,390000,3
Piso,Plaza Mariano Granados s/n,520000,4
Piso,Plaza Mariano Granados s/n,520000,4
Piso,Plaza Mariano Granados s/n,400000,3
Piso,Plaza Mariano Granados s/n,380000,3
Piso,Plaza Mariano Granados s/n,480000,4
Piso,Plaza Mariano Granados s/n,390000,3
Piso,Plaza Mariano Granados s/n,400000,3
Piso,Plaza Mariano Granados s/n,400000,3
Piso,Calle FUEROS DE SORIA,182000,3
Piso,santa barbara,159000,4
Piso,Calle Fueros de Soria 4,154000,4
Piso,Plaza Mariano Granados 7  8,510000,4
Piso,Plaza Mariano Granados 7  8,390000,3
Piso,Plaza Mariano Granados 7  8,520000,4
Piso,Plaza Mariano Granados 7  8,380000,3
Piso,Plaza Mariano Granados 7  8,480000,4
Piso,Plaza Mariano Granados 7  8,400000,3
Piso,Plaza Mariano Granados 7  8,520000,4
Piso,Plaza Mariano Granados 7  8,390000,3
Piso,Plaza Mariano Granados 7  8,510000,4
Piso,DUQUES DE SORIA 22,240000,3
Piso,Calle Tirso de Molina 10,55000,4
Piso,Calle Galicia 1,151000,3
Piso,Calle Marcelino Camacho 2,198000,3
Piso,854780166,Senda de las Estaciones,80000
Casa Rural,Eras grandes Atauta 3,23000,3
Chalet,Calle Torresuso 42,83750,4
Piso,Calle Pedro de Rua,280000,4
Casa Rural,Calle De la Fuente 29,15000,4
Piso,Calle Medinaceli 5,280000,4
Piso,Calle MAYOR,80000,7
Piso,Las Pedrizas 18,230000,3
Piso,Calle Mosquera de Barnuevo 10,485000,4
Chalet,Urbanización la Toba 53,425000,5
Piso,Calle Diego Acebes 16,198000,4
Piso,Ronda Eloy Sanz Villa 8,125000,2
Piso,Plaza Antonio Machado 1,175000,3
Ático,Plaza Ramón Benito Aceña 3,159000,2
Piso,Avenida de Salazar y Torres 33,62000,3
Piso,Avenida Cid Campeador 2,129000,4
Chalet,Calle San Juan,390000,4
Piso,Avenida Cid Campeador 2,113000,3
Piso,Avenida Cid Campeador 2,112000,3
Piso,Avenida Cid Campeador 2,126000,4
Piso,Calle Justicia con calle Manuel Fraga Iribarne s/n,230000,3
Piso,Calle Justicia con calle Manuel Fraga Iribarne s/n,236000,3
Piso,Avenida Cid Campeador 2,125000,3
Piso,Calle Justicia con calle Manuel Fraga Iribarne s/n,229000,3
Piso,Calle América,75000,3
Casa Rural,iglesia s/n,180000,3
Chalet,Camino de la Horcajada,830000,9
Piso,Carretera Vozmediano,77100,2
Piso,Avenida Valladolid,136900,3
Chalet,Calle Antonio Oncala,400000,4
Ático,Calle Justicia con calle Manuel Fraga Iribarne s/n,285000,3
Piso,Calle Justicia con calle Manuel Fraga Iribarne s/n,224000,3
Piso,Calle Aduana Vieja 10,60000,5
Piso,Avda de Valladolid,135000,2
Piso,Calle Justicia con calle Manuel Fraga Iribarne s/n,142000,2
Piso,Calle la Luna 1,23500,2
Piso,Avenida de Valladolid 34,396000,4
Casa Rural,diseminado s/n,390000,4
Piso,Calle Abel Antón,169000,3
Casa Rural,N.122 s/n,390000,9
Piso,Calle Medinaceli,235000,5
Casa Rural,castilfrio de la sierra s/n,298000,4
Piso,Calle Secadero del Bacalao,96000,3
Piso,san pedro 8,36000,3
Piso,Calle de Francisco de Barrionuevo,209000,2
Piso,Calle MARQUES DE VADILLO 6,132000,3
Chalet,Calle Alharides,80000,8
Ático,Calle Zaragoza 8,465000,4
Piso,Calle MARQUES DE VADILLO 6,132000,3
Ático,Avda de Valladolid,264000,4
Casa Rural,RIO s/n,90000,5
Chalet,Calle Real,48000,5
Casa Rural,Calle Iglesia s/n,140000,3
Piso,Calle las Lagunas,115000,2
Piso,Calle CONCEPCIÓN 2,26000,3
Chalet,Calle Pedro Soto,63000,5
Chalet,Arcos de Jalon,690000,5
Piso,Avenida de la Constitución 30,80000,3
Casa Rural,Calle Iglesia 51,149000,4
Chalet,Plaza San Esteban,175000,8
Piso,Calle Seminario,75000,4
Casa Rural,Plaza Mayor 3,140000,3
Duplex,Plaza santa maria,139000,3
Chalet,Calle Carretera,75000,4
Chalet,REAL,99500,6
Ático,Calle Héroes de la Independencia,95000,2
Casa Rural,Calle Hospital 11,390000,6
Chalet,Plaza Barrio 1,120000,4
Chalet,Calle Comercio 3,115000,3
Chalet,Calle Carretera 5 C,325000,4
Casa Rural,Carretera de El Burgo de Osma a San Leonardo de Yagüe,80000,0
Piso,Calle de Juan López de Velasco 4,123000,3
Chalet,Luxemburgo 8,595000,4
Piso,Calle Concepción 2,43000,3
Piso,Calle Nueva,75000,5
Chalet,Calle los Villares 13,440000,4
Piso,Calle Santa Monica 1,76000,3
Casa Rural,Calle Plateria 21,250000,7
Chalet,Calle Granado 2,239000,3
Piso,Calle Acosta,90000,4
Casa Rural,Calle Platería 14,135000,4
Piso,Calle Doña Jimena 1,135000,2
Piso,CL. DULCINEA DEL TOBOSO,47000,3
Chalet,Calle IGLESIA,115000,5
Chalet,Calle Real 6,48500,3
Piso,Avenida Valladolid 104,124000,3
Chalet,Calle Escuela 3,48998,1
Piso,Avenida Valladolid 104,124000,3
Casa Rural,Calle Centro 53,145000,4
Piso,Calle San Juan de Rabanera 5,115000,3
Casa Rural,Calle Real 189,43000,2
Piso,Calle las Casas,170000,4
Piso,Calle Aduana Vieja 23,295000,3
Piso,Calle López Yanguas,90000,3
Piso,Centro,165000,2
Chalet,Calle Leonor de Castilla,340000,5
Piso,Avenida de Valladolid 34,390000,4
Chalet,Calle B,359000,4
Casa Rural,PLAZUELA 12,38000,4
Ático,Centro,359000,3
Casa Rural,Barranco 22,150000,6
Piso,Arco del Cuerno 2,140000,4
Ático,Calaverón - Pajaritos,360000,2
Chalet,Plaza Plazuela 2,110000,3
Piso,Avenida Valladolid,122000,3
Piso,Calle Galicia,126000,3
Piso,Avenida Valladolid,127000,3
Piso,Avenida Valladolid,154000,3
Piso,Calle Galicia,123000,3
Piso,Avenida Valladolid,133000,3
Chalet,Calle del arco,329000,5
