Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Calle Marqués de Mirasol,89900,3
Duplex,Calle San Andrés 5,110000,3
Chalet,Calle D. Julio Fernández Sanguino,290000,4
Piso,Plaza Padre Juan de Mariana,159900,5
Ático,Avenida de los Artesanos,114900,1
Piso,Calle Carlos Barral,115000,4
Piso,PIO XII,54900,4
Casa Rural,Los Cigarrales-La Bastida,1375000,7
Piso,El Pilar - La Estación,59900,3
Piso,ARTESANOS,230000,4
Piso,SANTA AGUEDA 2,105000,3
Piso,Alferez Rojas,44900,3
Piso,Santa Bárbara,139900,4
Piso,RECODO DEL PINAR,204990,4
Piso,Calle Virgen de la Bienvenida,106990,3
Piso,Avenida DE EUROPA,429000,4
Casa Rural,Urbanización la Pozuela 523,650000,8
Chalet,Calle Francisco Ortiz,220000,3
Piso,Calle de Sixto Ramón Parro,184900,2
Duplex,Avenida de Castilla la Mancha,159990,2
Chalet,Los Cigarrales-La Bastida,700000,5
Piso,Sta Mª de Benquerencia,93000,3
Chalet,Calle Luis Buñuel,284500,5
Chalet,Carretera Yeles,219500,5
Chalet,Calle Portiña de San Miguel,149900,4
Chalet,Calle de Enrique Granados,695000,4
Chalet,Calle Ankara,230000,4
Chalet,Cubas,185000,3
Chalet,Pepino,399900,7
Piso,Plaza tinajones,69900,3
Chalet,picasso,266100,4
Chalet,Camino del rio,256000,5
Ático,Calle Comuneros de Castilla,135578,2
Chalet,Calle la Estrella,159900,4
Piso,Calle Matadero 32,110000,3
Chalet,Calle Colón,199900,7
Piso,don quijote,74000,1
Piso,Calle Ciudad de Bron,112000,2
Chalet,CLAVEL s/n,57000,2
Piso,AÑO DE LA CIENCIA 98,110000,2
Piso,FUENSALIDA s/n,90000,3
Piso,Jose Luis Gallo,74900,4
Piso,CENTRO s/n,52000,1
Chalet,halcon,185000,5
Piso,Comuneros de Castilla,59900,3
Piso,CABEZA DEL MORO,64900,3
Chalet,Calle Camelias,295000,4
Chalet,Calle pilon,210000,4
Chalet,sierra de Gredos,175000,4
Chalet,Calle Borox,270000,3
Chalet,Alameda de la Sagra,245000,3
Chalet,URBANIZACION 123,206000,4
Piso,Calle Tejar,89900,3
Piso,ARROYO ABAJO 99,42123,2
Piso,Calle del Tejar,74900,2
Piso,Plaza Poeta Miguel Hernández s/n,73000,3
Piso,Avenida de pio xii,130000,4
Piso,Calle Francisco Herrera s/n,137900,2
Ático,Calle Francisco Herrera s/n,149500,1
Piso,Calle Francisco Herrera s/n,110500,1
Duplex,Camino de Palacio,135000,3
Chalet,Calle Faisan 51,125000,4
Duplex,EMPEDRADA,108000,2
Piso,Comuneros de Castilla,39900,2
Piso,Calle Arroyo Abajo,51000,3
Piso,Calle del Tejar,74900,2
Piso,El Pilar - La Estación,74900,2
Chalet,Camino de Huecas,179900,3
Piso,Calle Banderas de Castilla,109900,5
Chalet,Santa Cruz del Retamar,125000,4
Chalet,Cedillo del Condado,195000,4
Chalet,Calle Pepino 8,225000,6
Duplex,Olias del Rey,99600,2
Duplex,Calle CASTILLA LA MANCHA,98500,2
Chalet,Calle Halcon 18,185000,5
Chalet,Bargas,196000,4
Piso,CERERIA 25,103600,3
Chalet,Calle syrah 2,99900,4
Piso,SANTO DOMINGO 13,148900,2
Chalet,calvel s/n,59000,2
Piso,Santa Teresa-Vista Hermosa,207000,4
Piso,Avenida Río Ventalomar s/n,82500,3
Chalet,Puerta de Cuartos - Avda. de Portugal,200000,4
Chalet,Cuesta PASCUALES,279900,13
Piso,ARROYO BAJO s/n,37500,1
Piso,Calle Doctor José Portero,125000,3
Chalet,Calle Guadamur,210000,6
Chalet,Los Cigarrales-La Bastida,690000,5
Piso,Calle Jabonerias,115000,3
