Tipo de inmueble,Dirección,Precio,Habitaciones
Duplex,Calle San Torcuato,120000,3.0
Ático,Avenida de Portugal 11,105000,3.0
Chalet,ZA-302,75000,3.0
Casa Rural,Calle Horno Codesal,170000,3.0
Chalet,Calle Fragua,128000,4.0
Chalet,Villalpando,125000,3.0
Piso,Calle de la Era 7,119990,3.0
Piso,LOS LAGARES 16,87000,3.0
Chalet,Plaza Mayor,42000,3.0
Piso,Calle de la Casa Mohina,79900,3.0
Chalet,Granucillo,32000,5.0
Piso,Calle Federico Cantero Villamil 7,110000,3.0
Chalet,Calle Calzada Congost 48,149000,4.0
Casa Rural,Calle Real 36,295000,5.0
Piso,Calle Eduardo Julián Pérez,45000,3.0
Chalet,Calle Santiago,69000,5.0
Piso,San Isidro - Espíritu Santo,83000,1.0
Chalet,Montamarta,89900,3.0
Chalet,Calle la Estrella,45000,4.0
Piso,Calle Sancho IV 24,189900,3.0
Piso,Benavente,45000,3.0
Piso,Calle Sanabria,112000,3.0
Piso,Calle Moreno,76266,2.0
Chalet,Barrio Vallina Castell,325000,7.0
Piso,Calle San Roque,104000,3.0
Piso,Monfarracinos,40900,3.0
Piso,Benavente,70000,3.0
Piso,Benavente,32000,2.0
Casa Rural,ZA-104 4,90000,5.0
Piso,Las Vegas - La Feria,58000,3.0
Piso,Avenida del Cardenal Cisneros 24,114000,2.0
Chalet,Calle Don Andres Cid,129000,3.0
Piso,Calle Traviesa 24,160000,2.0
Piso,Ronda Santa María Nueva 27,58000,4.0
Chalet,Calle Cantabranas 4,119000,3.0
Ático,Calle Juan de Montejo 3,68000,2.0
Chalet,Calle Rio Orbigo,180000,4.0
Piso,Calle de Cabañales 55,96000,2.0
Piso,Calle Santa Ana,260000,5.0
Piso,Calle Doctor Villalobos,119500,3.0
Piso,Calle Consejo de Europa 2,88000,2.0
Casa Rural,Calle Poal,99000,6.0
Piso,Avenida Galicia,105000,3.0
Casa Rural,Calle San Roque,108000,3.0
Chalet,Calle Corralon,189000,3.0
Piso,Calle Federico Cantero Villamil,130000,4.0
Piso,Avenida Portugal,90000,3.0
Chalet,Cerezal 7,40000,4.0
Piso,Avenida Juan II,125000,2.0
Chalet,Las Vegas - La Feria,650000,5.0
Piso,Calle del Parque 47,112000,3.0
Piso,santa clara,430000,4.0
Piso,Calle Santa Teresa 13,218000,3.0
Chalet,Calle Mayor,125000,7.0
Piso,Centro,229000,4.0
Piso,Calle Peñausende,74000,4.0
Ático,ZARCERO 1,70000,2.0
Chalet,Madridanos,95000,4.0
Piso,Parque Leon Felipe,152000,4.0
Piso,Villalpando,120000,3.0
Chalet,Corrales,119000,4.0
Piso,Avenida del Príncipe de Asturias 33,225000,4.0
Piso,Calle Amargura 14,155000,3.0
Piso,Centro,160000,3.0
Ático,ALMARAZ,170000,2.0
Piso,La Lana,120000,3.0
Piso,Plaza Alemania 3,140000,4.0
Piso,Calle la Rúa 9,105000,3.0
Piso,La Candelaria,260000,5.0
Piso,Pantoja - Vista Alegre,65000,3.0
Piso,Avenida del Príncipe de Asturias 2,99000,3.0
Chalet,Casco Antiguo,630000,4.0
Chalet,Ronda del Toril 10,75000,3.0
Chalet,Calle San Pedro 4,50000,4.0
Piso,Ronda de Madrid 9 -1,67000,4.0
Chalet,Carretera Tiedra,136900,4.0
Chalet,San Isidro - Espíritu Santo,380000,6.0
Piso,Calle de Cabañales,105000,2.0
Piso,Avenida de Portugal,66000,3.0
Piso,Calle Río Cea 18,30000,4.0
Chalet,Calle Terraplén,50000,4.0
Piso,Carretera Nueva Estación,182252,5.0
Piso,Avenida del Cardenal Cisneros 20,145000,3.0
Piso,Calle Astorga 6,49000,3.0
Chalet,Calle de San Antón Viejo 33,95000,3.0
Chalet,Calle Fuente 12,70000,4.0
Piso,Calle Santa Clara 79,120000,3.0
Piso,Calle Consejo de Europa 2,105000,3.0
Ático,Avenida el Ferial 15,90000,3.0
Duplex,Calle de los Herreros Benavente 2,110000,3.0
Chalet,Calle Viudas 21,25000,5.0
Piso,Calle de Francos 22,99000,3.0
Duplex,Calle de Cabañales 55,99000,2.0
Chalet,Calle Lisboa 30,28000,4.0
Duplex,DON RAMIRO 5,115000,3.0
Casa Rural,Calle de Emilio Fernandez 1,21000,6.0
Chalet,Calle Agustín Vázquez 2,135000,4.0
Chalet,Calle el Cristo 8,30000,3.0
Chalet,Carretera Barrio 43 B,135000,3.0
Piso,Ciudad de Toro 7,119000,3.0
Chalet,Calle tras la Iglesia 7,39000,5.0
Chalet,Calle Erguida 15,20000,3.0
Duplex,Avenida el Ferial 13,129500,5.0
Chalet,Calle Santa Catalina 19,75000,2.0
Chalet,Calle José Antonio 19,25000,5.0
Chalet,Calle Mérida 43,149000,4.0
Chalet,Cuesta del Hospital 38,185000,4.0
Chalet,Calle la Rúa 3,130000,7.0
Chalet,Calle de la Fortaleza 44,39500,4.0
Piso,Cuesta del Portillo de San Andrés 2,55000,3.0
Chalet,Calle el Castillo 10,60000,4.0
Chalet,santa catalina 41,80000,3.0
Ático,Plaza DE TOROS 15,62842,3.0
Chalet,Camino Segadal,170000,3.0
Chalet,Calle Luna 2 -10,180000,4.0
Ático,Plaza DE TOROS 15,58000,3.0
Piso,Calle San Carlos Borromeo 2,90000,3.0
Ático,Plaza de Toros 17,58500,3.0
Ático,Avenida el Ferial 54,73500,3.0
Piso,ASTORGA 4,73250,3.0
Chalet,Cuesta de Santo Domingo 3,89000,4.0
Chalet,Calle Taller,20500,2.0
