Tipo de inmueble,Dirección,Precio,Habitaciones
Chalet,Paseo de los Ruiseñores,650000,4
Piso,Paseo Pamplona,229000,5
Piso,Calle de Hernán Cortés,135000,3
Piso,Calle de San Vicente Mártir,210000,4
Piso,Urbanización Parque Roma,249000,4
Piso,Paseo de Fernando el Católico,375000,3
Piso,Miguel de Cervantes,144000,3
Chalet,Calle de Pedro López de Luna,249500,4
Chalet,Calle de Jorge Cocci,409900,4
Piso,Calle Héroes del Silencio,140000,2
Piso,Via Hispanidad,508000,4
Piso,Calle Pontón,110000,2
Piso,Calle de Luis Braille,175000,3
Piso,Avenida de Pablo Gargallo,255000,3
Piso,Camino de las Torres,174900,4
Piso,Calle de San Antonio María Claret,138000,3
Piso,MENENDEZ PIDAL,235000,4
Piso,Calle de José García Sánchez,129000,2
Piso,Calle de Juan Pablo Bonet,158000,3
Piso,Calle de Santa Teresa de Jesús,139000,2
Piso,Calle de Roger de Flor,98000,3
Piso,Urbanización Parque Roma,238000,5
Piso,Via Hispanidad,198000,4
Piso,Calle del Monasterio de Solesmes,89000,2
Piso,Calle Autonomía de Aragón,163000,3
Piso,Avenida Tenor Fleta,273000,4
Piso,Calle de los Hermanos Hurus,124000,2
Piso,Calle de Melilla,168000,3
Piso,Calle Madres de la Plaza de Mayo,215000,3
Piso,Calle del Alcalde Burriel,126500,3
Chalet,Calle Ángel Hernández,299000,4
Chalet,Calle Doctor Palomar,219000,4
Piso,Paseo de los Rosales,249000,3
Piso,Calle de la Paz,130000,3
Piso,Paseo de Cuéllar,205000,5
Chalet,Colonia San Lamberto,425000,4
Piso,Diaz de Mendoza,175000,3
Piso,Calle del Doctor D. Joaquín Aznar Molina 19,229000,4
Piso,Calle de José María Lacarra de Miguel,218000,4
Piso,Calle de San Juan de la Cruz s/n,280000,3
Piso,Calle de San Juan de la Cruz s/n,280000,3
Piso,Calle de José María Lacarra de Miguel,218000,4
Ático,Calle del Padre Landa 22,275000,2
Piso,Calle de Alcalá,310000,8
Piso,Calle de la Paz,175000,1
Piso,Plaza de Aragón,740000,3
Piso,Calle de Miguel de Cervantes,250000,3
Piso,Calle del Monasterio de Poblet,130000,4
Ático,Calle de Alvira Lasierra,269900,2
Piso,Calle de San Juan de la Cruz,180000,2
Chalet,Avenida de la Ilustración,627000,7
Piso,Calle de Santa Isabel,180000,2
Piso,Calle de Homero,90000,2
Piso,Calle de Bélgica,95000,2
Piso,Via Hispanidad,508000,4
Piso,Calle de Elvira de Hidalgo,310000,5
Piso,Calle de Verónica,280000,4
Piso,Residencial Paraíso,458000,4
Piso,Avenida de Salvador Allende,180000,3
