"provincia","tipo/lugar","link","precio","caracteristicas","info","otros"
"Cantabria","Piso en Menendez Pelayo, Brazomar, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/101537408/","266,900 €","2 hab. 80 m² Planta 2ª exterior con ascensor","***INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende amplia e impecable vivienda AMUEBLADA de 2 habitaciones con TERRAZA AMPLIA, GARAJE y TRASTERO, en Urbanización privada co","Vistas al mar"
"Cantabria","Piso en calle María Aburto, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/100114336/","550,000 €","4 hab. 172 m² Planta 7ª exterior con ascensor","Inmobiliaria ERA vende piso con vistas al mar y al Palacio-Castillo Ocharan en Castro. Castro-Urdiales, también llamado en ocasiones Castro, es una ciudad y municipio costero situado en el norte, en l","Vistas al mar"
"Cantabria","Piso en calle Leonardo Rucabado, 5, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/100217119/","185,000 €","2 hab. 70 m² Planta 4ª exterior con ascensor","Inmobiliaria ERA vende piso en el centro de Castro Urdiales. Ubicado en un situación privilegiada rodeado de todos los servicios tales como colegios, farmacias, zona de ocio e infantiles, paradas de a","Vistas al mar"
"Cantabria","Piso en calle Joaquín Costa, 17, El Sardinero, Santander","https://www.idealista.com/venta-viviendas/cantabria//inmueble/102131935/","970,000 €","3 hab. 195 m² Planta 1ª exterior con ascensor","Este imponente inmueble nos recibe con un hall distribuidor, cálido y espacioso, que nos conduce hacia el magnífico salón comedor, bañado en luz natural gracias a sus amplios ventanales. Un oasis de c","Primera línea de playa Vistas al mar"
"Cantabria","Piso en Barrio Mioño, 111, Mioño-Santullán, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/97600785/","195,000 €","3 hab. 95 m² Planta 2ª exterior sin ascensor","Inmobiliaria ERA vende en exclusiva piso en primera línea de playa en Mioño, a 5 minutos de Castro. Mioño es una pedanía de Castro Urdiales. Es un histórico núcleo pesquero del litoral cántabro con to","Vistas al mar"
"Cantabria","Chalet adosado en calle Aureliano Linares Rivas, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/100707265/","497,900 €","4 hab. 230 m²","Inmobiliaria ERA vende impresionante chalet en el centro de Castro Urdiales. Ubicado en zona residencial del centro de Castro, muy cerca de todos los servicios, tales como: farmacias, supermercados, t","Vistas al mar"
"Cantabria","Piso en Maria Aburto, Brazomar, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/95252569/","450,000 €","3 hab. 120 m² Planta 1ª exterior con ascensor","***INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende amplia vivienda de 3 habitaciones en PRIMERA LINEA DE PLAYA, con VISTAS AL MAR y a la iglesia de Santa María desde sus TR","Vistas al mar"
"Cantabria","Dúplex en concha espina, Brazomar, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/100322719/","258,000 €","4 hab. 180 m² Planta 3ª exterior con ascensor","***EXCLUSIVA INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende amplio y luminoso ático tríplex en Brazomar, a 5 MINUTOS de la PLAYA y centro. La vivienda consta de 180 m2 con","Vistas al mar"
"Cantabria","Piso en leonardo rucabado, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/102033951/","170,000 €","2 hab. 69 m² Planta 2ª exterior con ascensor","***INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende luminosa vivienda de 2 habitaciones en el CENTRO de Castro Urdiales, a 5 minutos de la playa. Se distribuye en. - -Recibi","Vistas al mar"
"Cantabria","Chalet adosado en Aureliano Rivas, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/100990023/","497,900 €","4 hab. 230 m²","***INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende precioso y amplio chalet con VISTAS AL MAR y GRAN TERRAZA, en zona CÉNTRICA EXCELENTE a 5 MINUTOS de la PLAYA, en Castro",""
"Cantabria","Chalet adosado en Barrio Prado, 18, Samano, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/100300464/","375,000 €","4 hab. 246 m²","Inmobiliaria ERA vende chalet pareado muy soleado y luminoso en Sámano. Zona privilegiada por su situación, muy próximo a Castro Urdiales y a la autovía Bilbao-Santander. Se encuentra en una de las me",""
"Cantabria","Piso en paseo Menéndez Pelayo, 42, Brazomar, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/101837626/","219,000 €","3 hab. 100 m² Planta 2ª exterior con ascensor","Inmobiliaria ERA vende piso en Urbanización privada con piscina comunitaria y pista de tenis en Brazomar. Su ubicación es perfecta a 2 minutos andando a la playa y a 7 minutos del pueblo. La urbanizac",""
"Cantabria","Piso en calle de la Ronda, 52, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/102126717/","448,000 €","6 hab. 206 m² Planta 4ª exterior con ascensor","Inmobiliaria ERA vende EXCLUSIVA VIVIENDA con vistas al mar y al parque de la Barrera en Castro Urdiales. Ubicado a escasos metros del puerto y del paseo marítimo. Esta vivienda, por su ubicación priv",""
"Cantabria","Chalet adosado en Barrio Sámano, 86, Samano, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/100262465/","325,000 €","4 hab. 180 m²","Inmobiliaria ERA vende fantástico chalet adosado en el centro de Sámano. Sámano es una pedanía de Castro Urdiales, la más grande del municipio, localizada a tan solo 5 minutos en coche. Es un valle lo",""
"Cantabria","Chalet adosado en avenida de Chinchapapa, 2, Cotolino, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/101929267/","589,900 €","4 hab. 233 m²","Castro Inmobiliaria Era vende impecable chalet adosado en esquina con jardín privado. Ubicado en la mejor zona de Cotolino y una de las más demandadas de Castro, sin cuestas y la playa de Brazomar a e",""
"Cantabria","Chalet adosado en calle Nicolás Torre, 33, Cotolino, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/100812425/","649,000 €","5 hab. 298 m²","Inmobiliaria ERA vende chalet exclusivo en primera línea de Castro Urdiales. Localizado en una de las zonas más nuevas de Castro Urdiales, en un residencial tranquilo y a la vez cerca de todos los ser",""
"Cantabria","Piso en paseo Menéndez Pelayo, Brazomar, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/102185815/","300,000 €","3 hab. 108 m² Planta 6ª exterior con ascensor","Castro Inmobiliaria Era vende en exclusiva piso en la mejor zona de Brazomar en urbanización privada con instalaciones deportivas (piscina, tenis, zonas verdes) en Castro. La zona de Brazomar es una d",""
"Cantabria","Piso en Clara Campoamor, 13, Monte, Santander","https://www.idealista.com/venta-viviendas/cantabria//inmueble/101466912/","350,000 €","3 hab. 120 m² Planta 3ª interior con ascensor","Un espacioso piso, situado en una urbanización en la que se encuentra este espléndido piso es una de las más demandadas de la zona, y cuenta con una piscina, parque infantil y amplias zonas ajardinada",""
"Cantabria","Piso en avenida de Pontejos, 29, El Sardinero, Santander","https://www.idealista.com/venta-viviendas/cantabria//inmueble/102130309/","890,000 €","4 hab. 175 m² Planta 6ª exterior con ascensor","En el Sardinero, Avenida de Pontejos y concretamente en el edificio de viviendas conocido como ""Noray"", proyectado por el arquitecto español Ricardo Lorenzo García en el año 1978 a la vez que el coleg",""
"Cantabria","Chalet adosado en Nicolas Torre, Cotolino, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/98433777/","649,000 €","5 hab. 298 m²","***INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES en la zona de Cotolino, CHALET de LUJO en PRIMERA LINEA DE MAR, con unas ESPECTACULARES VISTAS tanto del casco antiguo de Castr",""
"Cantabria","Chalet adosado en avenida De España, Cotolino, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/98376748/","324,900 €","3 hab. 210 m²","***INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende chalet moderno y luminoso de 3 habitaciones con TERRAZA, JARDÍN, GARAJE CERRADO y TRASTERO en la zona de Cotolino, se enc",""
"Cantabria","Casa o chalet independiente en La Loma El Cantabrico, Cotolino, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/102091516/","315,000 €","3 hab. 200 m²","***EXCLUSIVA INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende amplio y luminoso chalet independiente COMPLETAMENTE AMUEBLADO para entrar a vivir, 3 habitaciones con GRAN JAR",""
