provincia,descripción,precio,caracteristicas
Almería,"Chalet pareado en calle Ajedrea, La Cañada - Costacabana - Loma Cabrera, Almería","179,900 €",3 hab. 114 m²
Almería,"Piso en calle troya, s/n, Aguadulce sur, Roquetas de Mar","210,600 €",3 hab. 141 m² Planta 2ª exterior con ascensor
Almería,"Piso en Centro-Rambla, Almería","210,000 €",4 hab. 153 m² Planta 1ª exterior con ascensor
Almería,"Piso en calle San José Obrero, 156, El Puerto - La Romanilla, Roquetas de Mar","83,000 €",2 hab. 64 m² Bajo exterior con ascensor
Almería,"Chalet adosado en constantino el grande, 1, Roquetas pueblo, Roquetas de Mar","229,000 €",5 hab. 150 m²
Almería,"Piso en calle Santa Isabel, Altamira - Oliveros - Barrio Alto, Almería","95,000 €",4 hab. 97 m² Planta 3ª exterior con ascensor
Almería,"Chalet adosado en calle Cerro Largo, s/n, El Sabinar - Urbanizaciones - Las Marinas, Roquetas de Mar","170,000 €",2 hab. 84 m²
Almería,"Piso en paseo del Moro Manco, 22, Zona Urb. Marina de la Torre, Mojácar","104,900 €",2 hab. 58 m² Planta 1ª exterior sin ascensor
Almería,"Piso en calle Doctor Gregorio Marañón, 32, Altamira - Oliveros - Barrio Alto, Almería","340,000 €",3 hab. 139 m² Planta 6ª exterior con ascensor
Almería,"Ático en calle Navarro Rodrigo, 5, Centro, Almería","599,900 €",3 hab. 173 m² Planta 3ª exterior con ascensor
Almería,"Ático en Arrayan, Puerto Vera, Vera","225,000 €",3 hab. 107 m² Planta 2ª exterior con ascensor
Almería,"Piso en avenida María Guerrero r, Roquetas pueblo, Roquetas de Mar","70,000 €",2 hab. 74 m² Planta 3ª exterior con ascensor
Almería,"Piso en Aguadulce norte, Roquetas de Mar","120,000 €",2 hab. 82 m² Planta 2ª exterior con ascensor
Almería,"Piso en Ejido centro, El Ejido","88,950 €",3 hab. 119 m² Planta 2ª exterior sin ascensor
Almería,"Piso en Altamira - Oliveros - Barrio Alto, Almería","298,700 €",4 hab. 149 m² Planta 2ª exterior con ascensor
Almería,"Piso en Barrio San Luis - Los Molinos, Almería","130,000 €",3 hab. 88 m² Planta 2ª exterior con ascensor
Almería,"Piso en avenida Curro Romero, Roquetas pueblo, Roquetas de Mar","115,000 €",2 hab. 78 m² Planta 5ª exterior con ascensor
Almería,"Chalet adosado en calle Miguel Servet, Roquetas pueblo, Roquetas de Mar","209,000 €",4 hab. 220 m²
Almería,"Piso en avenida Mariano Hernandez, El Sabinar - Urbanizaciones - Las Marinas, Roquetas de Mar","120,000 €",2 hab. 60 m² Planta 1ª exterior sin ascensor
Almería,"Piso en paseo Moro Manco, s/n, Zona Urb. Marina de la Torre, Mojácar","110,000 €",2 hab. 58 m² Planta 1ª exterior sin ascensor
Almería,"Piso en calle de la Alegría, 5, Pueblo Indalo-Ventanicas-El Cantal, Mojácar","199,000 €",3 hab. 100 m² Bajo exterior sin ascensor
Almería,"Chalet adosado en calle de las Artesas, 29, Zona el Palmeral, Mojácar","275,000 €",3 hab. 87 m²
Almería,"Casa o chalet independiente en calle del Palomar, 2, Zona Urb. Marina de la Torre, Mojácar","650,000 €",3 hab. 328 m²
Almería,"Chalet pareado en calle Regimiento la Corona, Centro, Almería","79,000 €",1 hab. 54 m²
Almería,"Piso en avenida Costa Levante, 4, Zona Urb. Marina de la Torre, Mojácar","139,000 €",2 hab. 68 m² Planta 1ª exterior sin ascensor
Almería,"Ático en avenida del Mar, 11, Zona Urb. Marina de la Torre, Mojácar","149,000 €",2 hab. 57 m² Planta 2ª exterior sin ascensor
Almería,"Chalet adosado en calle de las Artesas, 17, Zona el Palmeral, Mojácar","368,000 €",5 hab. 200 m²
Almería,"Casa o chalet independiente en calle Altos del Golf, 19, Zona Urb. Marina de la Torre, Mojácar","720,000 €",6 hab. 526 m²
Almería,"Chalet adosado en calle Laurel, 24, Zona el Palmeral, Mojácar","295,000 €",3 hab. 180 m²
Almería,"Piso en avenida Costa Levante, 4, Zona Urb. Marina de la Torre, Mojácar","200,000 €",3 hab. 95 m² Planta 1ª exterior sin ascensor
Almería,"Chalet adosado en Retamar, Almería","225,000 €",3 hab. 165 m²
Almería,"Casa o chalet independiente en Mezquita, 5, Pueblo Indalo-Ventanicas-El Cantal, Mojácar","454,000 €",3 hab. 152 m²
Almería,"Piso en calle Mónaco r, Las Salinas, Roquetas de Mar","159,500 €",2 hab. 97 m² Bajo exterior con ascensor
Almería,"Piso en avenida del Mediterráneo, s/n, Barrio San Luis - Los Molinos, Almería","145,000 €",2 hab. 84 m² Planta 4ª exterior con ascensor
Almería,"Piso en avenida del Mediterráneo, s/n, Barrio San Luis - Los Molinos, Almería","160,000 €",2 hab. 84 m² Planta 6ª exterior con ascensor
Almería,"Chalet en Calle Zeus, s/n, Villablanca - Torrecárdenas, Almería","259,900 €",4 hab. 132 m²
Almería,"Piso en calle Juegos de Atenas y Languedor Rosellon, s/n, El Toyo, Almería","156,250 €",3 hab. 103 m² Planta 1ª exterior con ascensor
Almería,"Piso en calle Juegos de Atenas y Languedor Rosellon, s/n, El Toyo, Almería","151,250 €",2 hab. 76 m² Bajo exterior con ascensor
Almería,"Piso en avenida del Mediterráneo, s/n, Barrio San Luis - Los Molinos, Almería","150,000 €",2 hab. 84 m² Planta 5ª exterior con ascensor
Almería,"Piso en calle Juegos de Atenas y Languedor Rosellon, s/n, El Toyo, Almería","150,250 €",3 hab. 103 m² Planta 1ª exterior con ascensor
Almería,"Piso en calle Mariana Pineda, Barrio San Luis - Los Molinos, Almería","149,000 €",3 hab. 93 m² Planta 4ª exterior con ascensor
Almería,"Piso en calle Antonio Muñoz Zamora esq. Calle Ravel, s/n, Vega de Acá - Nueva Almería - Cortijo Grande, Almería","210,000 €",3 hab. 124 m² Planta 3ª exterior con ascensor
Almería,"Piso en avenida Mariano Hernandez, s/n, El Sabinar - Urbanizaciones - Las Marinas, Roquetas de Mar","190,000 €",3 hab. 102 m² exterior con ascensor
Almería,"Piso en calle Antonio Muñoz Zamora esq. Calle Ravel, s/n, Vega de Acá - Nueva Almería - Cortijo Grande, Almería","220,000 €",3 hab. 124 m² Planta 4ª exterior con ascensor
Almería,"Piso en carretera Ronda, Altamira - Oliveros - Barrio Alto, Almería","189,700 €",3 hab. 105 m² Planta 8ª exterior con ascensor
Almería,"Piso en avenida del Mar, 101, Almerimar, El Ejido","301,336 €",3 hab. 118 m² Bajo con ascensor
Almería,"Piso en calle Estonia con Polonia, s/n, Vega de Acá - Nueva Almería - Cortijo Grande, Almería","150,000 €",2 hab. 70 m² Bajo exterior con ascensor
Almería,"Piso en avenida Mariano Hernandez, s/n, El Sabinar - Urbanizaciones - Las Marinas, Roquetas de Mar","160,000 €",2 hab. 86 m² exterior con ascensor
Almería,"Piso en avenida Mariano Hernandez, s/n, El Sabinar - Urbanizaciones - Las Marinas, Roquetas de Mar","130,000 €",1 hab. 75 m² exterior con ascensor
Almería,"Piso en avenida Nueva Musa, s/n, Vega de Acá - Nueva Almería - Cortijo Grande, Almería","200,000 €",2 hab. 94 m² Planta 1ª exterior con ascensor
Almería,"Piso en avenida Nueva Musa, s/n, Vega de Acá - Nueva Almería - Cortijo Grande, Almería","210,000 €",2 hab. 94 m² Planta 6ª exterior con ascensor
Almería,"Piso en avenida Nueva Musa, s/n, Vega de Acá - Nueva Almería - Cortijo Grande, Almería","160,000 €",2 hab. 61 m² Bajo exterior con ascensor
Almería,"Piso en calle Nísperos, Villablanca - Torrecárdenas, Almería","239,000 €",2 hab. 160 m² Planta 5ª exterior con ascensor
Almería,"Piso en calle Estonia con Polonia, s/n, Vega de Acá - Nueva Almería - Cortijo Grande, Almería","165,000 €",2 hab. 70 m² Planta 4ª exterior con ascensor
Almería,"Ático en Carrera del Mami, Barrio San Luis - Los Molinos, Almería","163,000 €",4 hab. 112 m² Planta 3ª exterior con ascensor
Almería,"Piso en calle Estonia con Polonia, s/n, Vega de Acá - Nueva Almería - Cortijo Grande, Almería","160,000 €",2 hab. 77 m² Bajo exterior con ascensor
Almería,"Piso en calle Galán de Noche, 13, Vega de Acá - Nueva Almería - Cortijo Grande, Almería","215,000 €",3 hab. 113 m² Planta 2ª exterior con ascensor
Almería,"Piso en calle Garcia de Villarroel, Villablanca - Torrecárdenas, Almería","237,000 €",3 hab. 125 m² Planta 3ª exterior con ascensor
Almería,"Chalet adosado en avenida Torrecardenas, 86, Villablanca - Torrecárdenas, Almería","275,000 €",3 hab. 240 m²
Almería,"Dúplex en Almerimar, El Ejido","353,000 €",3 hab. 188 m² Bajo exterior sin ascensor
Almería,"Dúplex en Almerimar, El Ejido","353,000 €",3 hab. 188 m² Bajo exterior sin ascensor
Almería,"Dúplex en Almerimar, El Ejido","188,000 €",2 hab. 124 m² Planta 2ª exterior sin ascensor
Almería,"Piso en plaza Gaudí, Barrio San Luis - Los Molinos, Almería","202,000 €",4 hab. 122 m² Planta 1ª exterior con ascensor
Almería,"Piso en calle cara, 2, La Chanca - Pescadería, Almería","79,000 €",4 hab. 120 m² Planta 2ª exterior con ascensor
Almería,"Piso en calle joaquin rodrigo, 41, Aguadulce norte, Roquetas de Mar","119,900 €",3 hab. 85 m² Planta 1ª exterior con ascensor
Almería,"Dúplex en calle Montserrat Caballé, Piedras Redondas, Almería","171,500 €",3 hab. 204 m² Bajo exterior sin ascensor
Almería,"Piso en calle Quesada, Zapillo, Almería","135,000 €",2 hab. 80 m² Planta 1ª exterior con ascensor
Almería,"Piso en calle Real del Barrio Alto, 109, Altamira - Oliveros - Barrio Alto, Almería","120,000 €",3 hab. 104 m² Planta 1ª exterior sin ascensor
Almería,"Chalet adosado en calle Almedina, Ejido sur, El Ejido","149,900 €",4 hab. 135 m²
Almería,"Piso en Av. Reino De España, 174, Las Salinas, Roquetas de Mar","129,900 €",2 hab. 86 m² Planta 3ª exterior con ascensor
Almería,"Piso en calle Chercos, Villablanca - Torrecárdenas, Almería","95,000 €",4 hab. 104 m² Planta 3ª exterior con ascensor
Almería,"Casa o chalet independiente en Del Rosal, Aguadulce sur, Roquetas de Mar","1,290,000 €",6 hab. 505 m²
Almería,"Piso en Alcotan, Barrio San Luis - Los Molinos, Almería","225,000 €",3 hab. 104 m² Planta 3ª exterior con ascensor
Almería,"Casa o chalet independiente en calle Eduardo Fajardo, Zona Vista de los Ángeles, Mojácar","299,000 €",3 hab. 100 m²
Almería,"Piso en calle Orquídea, Altamira - Oliveros - Barrio Alto, Almería","110,000 €",3 hab. 108 m² Planta 4ª exterior con ascensor
Almería,"Piso en calle perú, Ejido centro, El Ejido","66,000 €",3 hab. 114 m² Planta 2ª exterior con ascensor
Almería,"Piso en calle troya, s/n, Aguadulce sur, Roquetas de Mar","268,700 €",4 hab. 217 m² Planta 1ª exterior con ascensor
Almería,"Piso en calle troya, s/n, Aguadulce sur, Roquetas de Mar","132,800 €",2 hab. 88 m² Planta 3ª exterior con ascensor
Almería,"Piso en avenida Tortuga Boba, El Playazo, Vera","185,000 €",2 hab. 56 m² Planta 1ª exterior sin ascensor
Almería,"Chalet adosado en Villablanca - Torrecárdenas, Almería","435,000 €",5 hab. 266 m²
Almería,"Piso en paseo de las Olas, s/n, Guardias Viejas, El Ejido","140,000 €",2 hab. 74 m² Planta 3ª exterior con ascensor
Almería,"Piso en paseo de las Olas, s/n, Guardias Viejas, El Ejido","105,000 €",1 hab. 46 m² Bajo exterior con ascensor
Almería,"Piso en calle Mar y Sierra, Puerto de Aguadulce, Roquetas de Mar","139,900 €",3 hab. 101 m² Bajo exterior con ascensor
Almería,"Piso en paseo de las Olas, s/n, Guardias Viejas, El Ejido","135,000 €",2 hab. 74 m² Bajo exterior con ascensor
Almería,"Piso en avenida avd. de la Cruz esquina calle Juna cuadrado Ruiz, s/n, Los Ángeles - Cruz de Caravaca, Almería","153,250 €",2 hab. 80 m² Planta 7ª exterior con ascensor
Almería,"Piso en avenida avd. de la Cruz esquina calle Juna cuadrado Ruiz, s/n, Los Ángeles - Cruz de Caravaca, Almería","162,250 €",2 hab. 80 m² Planta 9ª exterior con ascensor
Almería,"Piso en calle Lance Nuevo, 2, Pueblo Indalo-Ventanicas-El Cantal, Mojácar","124,900 €",1 hab. 66 m² Planta 1ª exterior con ascensor
Almería,"Piso en avenida avd. de la Cruz esquina calle Juna cuadrado Ruiz, s/n, Los Ángeles - Cruz de Caravaca, Almería","174,250 €",2 hab. 94 m² Planta 10ª exterior con ascensor
Almería,"Piso en Pueblo Indalo-Ventanicas-El Cantal, Mojácar","269,900 €",3 hab. 150 m² Planta 1ª exterior
Almería,"Piso en Las Salinas, Vera","98,000 €",1 hab. 69 m² Bajo exterior sin ascensor
Almería,"Piso en Almerimar, El Ejido","192,920 €",2 hab. 105 m² Planta 1ª exterior con ascensor
Almería,"Piso en Zona el Palmeral, Mojácar","225,000 €",2 hab. 85 m²
Almería,"Piso en Almerimar, El Ejido","190,000 €",2 hab. 94 m² Bajo exterior con ascensor
Almería,"Piso en Cala Marqués, Vera","121,000 €",2 hab. 85 m² Planta 1ª con ascensor
Almería,"Piso en carrera del duende, Altamira - Oliveros - Barrio Alto, Almería","134,000 €",3 hab. 72 m² Planta 2ª exterior con ascensor
Almería,"Piso en avenida de Carlos III, 248, Aguadulce norte, Roquetas de Mar","79,000 €",3 hab. 101 m² Planta 1ª exterior sin ascensor
Almería,"Piso en calle Arquímedes, 27, Roquetas pueblo, Roquetas de Mar","87,500 €",3 hab. 85 m² Planta 3ª exterior con ascensor
Almería,"Chalet adosado en calle Federico Garcia Lorca, Rioja","139,900 €",4 hab. 220 m²
Almería,"Chalet adosado en calle Molino, Viator","149,900 €",4 hab. 273 m²
Almería,"Piso en Nueva Andalucía - Regiones, Almería","144,900 €",3 hab. 105 m² Planta 6ª exterior con ascensor
Almería,"Casa o chalet independiente en La Cañada - Costacabana - Loma Cabrera, Almería","325,000 €",3 hab. 168 m²
Almería,Casa o chalet independiente en Berja,"297,200 €",4 hab. 237 m²
Almería,Piso en Balanegra,"192,000 €",4 hab. 188 m² Bajo exterior sin ascensor
Almería,"Chalet pareado en calle María Auxiliadora, Altamira - Oliveros - Barrio Alto, Almería","160,000 €",4 hab. 297 m²
Almería,"Dúplex en Balerma, El Ejido","160,000 €",4 hab. 152 m² Bajo exterior sin ascensor
Almería,"Chalet en Al-p-813, Lubrín","130,000 €",7 hab. 130 m²
Almería,"Ático en olivos, Viator","115,000 €",4 hab. 141 m² Planta 3ª exterior con ascensor
Almería,"Piso en avenida De La Sal, 251, Almerimar, El Ejido","210,000 €",3 hab. 400 m² Bajo exterior con ascensor
Almería,"Piso en manuel azaña, Barrio San Luis - Los Molinos, Almería","198,000 €",3 hab. 117 m² Planta 4ª exterior con ascensor
Almería,Chalet adosado en Huércal de Almería,"225,000 €",4 hab. 185 m²
Almería,"Piso en calle Mérida, 4, Las Salinas, Roquetas de Mar","170,000 €",3 hab. 93 m² Planta 4ª exterior con ascensor
Almería,"Piso en calle Miguel Ángel, 3, Roquetas pueblo, Roquetas de Mar","65,000 €",2 hab. 83 m² Planta 2ª exterior con ascensor
Almería,"Piso en calle Alvarez de Sotomayor, Viator","70,000 €",2 hab. 60 m² Planta 2ª exterior con ascensor
Almería,"Ático en plaza de la Constitución, Roquetas pueblo, Roquetas de Mar","89,900 €",3 hab. 109 m² Planta 4ª exterior con ascensor
Almería,"Finca rústica en avenida Huechar, Alhama de Almería","139,900 €",2 hab. 110 m²
Almería,"Chalet en calle Adelfa, Macael","220,000 €",4 hab. 155 m²
Almería,"Piso en camino Roquetas, Santa María del Águila, El Ejido","79,900 €",3 hab. 85 m² Bajo exterior con ascensor
Almería,"Chalet adosado en calle Eucalipto, Gador","92,900 €",4 hab. 181 m²
Almería,"Piso en calle Rafael Alonso, 4, Roquetas pueblo, Roquetas de Mar","67,000 €",3 hab. 111 m² Bajo exterior con ascensor
Almería,"Piso en calle Quesada, s/n, Zapillo, Almería","119,900 €",2 hab. 77 m² Planta 4ª exterior con ascensor
Almería,"Piso en camino Roquetas, Santa María del Águila, El Ejido","79,900 €",3 hab. 85 m² Bajo exterior con ascensor
Almería,"Piso en calle Joaquín Escobar, s/n, Puerto de Garrucha, Garrucha","179,000 €",4 hab. 96 m² Planta 5ª exterior con ascensor
Almería,"Piso en Galan de noche, Vega de Acá - Nueva Almería - Cortijo Grande, Almería","205,000 €",3 hab. 113 m² Planta 2ª exterior con ascensor
Almería,"Chalet pareado en calle Cataluña, Berja","119,900 €",4 hab. 127 m²
Almería,"Chalet adosado en Sierra Nevada, 76, El Sabinar - Urbanizaciones - Las Marinas, Roquetas de Mar","284,500 €",3 hab. 118 m²
Almería,"Ático en calle Sotavento, 2, Puerto Rey, Vera","88,900 €",2 hab. 60 m² Planta 3ª exterior con ascensor
Almería,"Piso en avenida Alcazaba, 115, Las Salinas, Vera","159,900 €",2 hab. 88 m² Bajo interior sin ascensor
Almería,"Chalet pareado en calle Dr Castroviejo, Roquetas pueblo, Roquetas de Mar","89,900 €",3 hab. 138 m²
Almería,"Piso en pasaje Príncipe de Asturias, Roquetas pueblo, Roquetas de Mar","89,900 €",3 hab. 80 m² Planta 1ª exterior con ascensor
Almería,"Piso en calle Infanta Cristina, 15, Roquetas pueblo, Roquetas de Mar","63,000 €",2 hab. 82 m² Planta 1ª exterior con ascensor
Almería,Chalet adosado en Huércal de Almería,"224,000 €",4 hab. 132 m²
Almería,"Chalet adosado en calle pericles, Santo Domingo, El Ejido","204,900 €",3 hab. 225 m²
Almería,"Piso en calle Mayor, 268, Las Escobetas, Garrucha","180,000 €",4 hab. 112 m² Bajo exterior con ascensor
Almería,"Piso en paseo Pedro Ponce, 109, Pabellón-Estación-Corte Inglés, El Ejido","116,000 €",3 hab. 142 m² Planta 1ª exterior con ascensor
Almería,"Piso en plaza de san pedro, 3, Centro, Almería","292,000 €",3 hab. 135 m² Planta 2ª exterior con ascensor
Almería,"Piso en calle Monaco, 1, Las Salinas, Roquetas de Mar","159,500 €",2 hab. 97 m² Bajo exterior con ascensor
Almería,"Ático en Arapiles, 2, Centro, Almería","450,000 €",5 hab. 275 m² Planta 6ª exterior con ascensor
Almería,"Piso en calle Tenis, 3, Puerto de Garrucha, Garrucha","119,000 €",3 hab. 110 m² Planta 4ª exterior con ascensor
Almería,"Ático en calle Pedro Duque, Berja","130,000 €",2 hab. 112 m² Planta 3ª exterior con ascensor
Almería,"Chalet pareado en calle Cerrillo Pago, Berja","74,900 €",3 hab. 147 m²
Almería,"Ático en calle Murillo, Las Escobetas, Garrucha","185,000 €",2 hab. 62 m² Planta 8ª exterior con ascensor
Almería,"Piso en camino de los Depósitos, Roquetas pueblo, Roquetas de Mar","99,900 €",3 hab. 93 m² Planta 1ª exterior con ascensor
Almería,"Chalet adosado en calle Chipre, Santo Domingo, El Ejido","230,000 €",4 hab. 240 m²
Almería,"Piso en Altamira - Oliveros - Barrio Alto, Almería","145,000 €",4 hab. 112 m² Planta 4ª exterior con ascensor
Almería,"Piso en avenida de la Aduana, Roquetas pueblo, Roquetas de Mar","119,900 €",3 hab. 101 m² Bajo exterior con ascensor
Almería,"Piso en Nueva Andalucía - Regiones, Almería","159,000 €",3 hab. 115 m² Planta 3ª exterior con ascensor
