"provincia","tipo/lugar","link","precio","caracteristicas","info","otros"
"Navarra","Piso en calle Navarro Villoslada, 23, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/95974260/","338,000 €","3 hab. 130 m² Planta 2ª exterior con ascensor","Os presentamos este pisazo en pleno 2º Ensanche de Pamplona, con vistas, haciendo chaflán y siete huecos totalmente exteriores en una ubicación privilegiada, a un minuto de la Plaza de los Fueros y a","Negociable"
"Navarra","Piso en calle de Iñigo Arista, 1, Iturrama, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/99163009/","630,000 €","4 hab. 165 m² Planta 14ª exterior con ascensor","¿Alguna vez habías pensado tener la posibilidad de vivir en uno de los mejores edificios de Iturrama, en una última altura y completamente exterior? Sigue leyendo y descubrirás una vivienda excepciona","Lujo"
"Navarra","Chalet en calle Valle de Egüés, 12, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/98433131/","950,000 €","4 hab. 200 m²","Te ofrezco una de las propiedades más exclusivas que vas a encontrar. Se trata de una villa pareada, haciendo esquina y situada en lo mejor del segundo ensanche, la Colonia Argaray. Una zona residenci","Luminoso"
"Navarra","Piso en Miguel Servet, San Jorge, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/101027474/","210,000 €","3 hab. 124 m² Planta 3ª exterior con ascensor","VENTA PISO CALLE MIGUEL SERVET ZONA NUEVA DE SAN JORGE. Consta de: Holl de entrada, Cocina acceso a Galeria cerrada, Salon Amplio gran ventanal. Habitacion Principal con vestidor, Habitacion a zona Ja",""
"Navarra","Piso en calle Paulino Caballero, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/99128323/","560,000 €","6 hab. 248 m² Planta 5ª exterior con ascensor","VENTA DE PISO EN EL 2º ENSANCHE MUY LUMINOSO Y ALTO POSIBILIDAD DE GARAJE. Consta de: Holl recibidor con ropero, Cocina amplia y reformada con despensa. Salon con ventanal a Plaza Liberta y Comedor co",""
"Navarra","Piso en calle de Bartolomé de Carranza, Mendebaldea, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/101889824/","308,000 €","3 hab. 103 m² Planta 5ª exterior con ascensor","PISO EN VENTA EN SAN JUAN CERCA DE PARQUE YAMAYUCHI Y CINES GOLEN PAMPLONA. Consta de: Holl distribuidor, Amplia Cocina con ventana a la Plaza del Reloj. Salon grande con salida al balcon de la plaza",""
"Navarra","Piso en plaza Monasterios de Navarra, 3, San Juan, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/101812736/","165,000 €","3 hab. 74 m² Planta 5ª exterior con ascensor","Oportunidad muy interesante en San Juan. Vendemos piso en muy buen estado de conservación ubicado en Plaza Monasterios de Navarra, compuesto por 3 habitaciones (2 de ellas con armarios empotrados) con",""
"Navarra","Piso en calle Alfonso el Batallador, 7, Iturrama, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/101145854/","280,000 €","4 hab. 113 m² Planta 6ª exterior con ascensor","INMOBILIARIA SARASATE Extraordinaria y amplia vivienda en el barrio de Iturrama, con 4 dormitorios, 2 baños, salón, cocina y 2 terrazas, una interior y otra exterior. Situada en la sexta planta de la",""
"Navarra","Piso en calle Fermín Daoiz, Chantrea, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/99611340/","169,000 €","3 hab. 82 m² Planta 5ª exterior con ascensor","LA MILAGROSA INMOBILIARIA presenta a la Venta este Luminoso Piso en la mejor Zona de la Chantrea Ubicado en Orvina lll, este Luminoso Piso de orientación Suroeste muy luminoso, luz directa desde las 1",""
"Navarra","Piso en avenida de Sancho el Fuerte, 71, Iturrama, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/101548440/","366,000 €","3 hab. 144 m² Planta 5ª exterior con ascensor","Vendemos Fantástico piso en Torre Basoko en la avenida de Sancho el Fuerte 71 5ª altura con 113 metros distribuidos en 3 habtaciones, 2 baños, salón con balcón amplio y cocina con tendedero. La orient",""
"Navarra","Piso en plaza Juan XXIII, 1, San Juan, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/99946046/","698,000 €","5 hab. 196 m² exterior con ascensor","Bienvenido a este increíble piso de 196 m2 en Plaza Juan XXIII de San Juan. Uno de los mejores barrios junto al centro. Este impresionante inmueble se encuentra en la planta octava con bonitas vistas",""
