Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones
100021241;Piso en Calle Jerte;Piso;"Se vende piso exterior, muy luminoso y cómodo, primero sin ascensor, de 60 m2 construidos, muy bien distribuido en 3 habitaciones ( una de ellas con salida a terraza), salón comedor con salida a terraza, cocina amueblada, 1 baño completo, bomba de calor y frio, ventanas climalit, suelos de porcelanicos. Ubicado en una zona privilegiada "Miralvalle", muy cerca de la Universidad, Parque La Coronación, Centro de Salud, colegios, parques infantiles, farmacias, zonas deportivas, supermercados, grandes superficies como el Carrefour.. .  Si buscas un piso acogedor, luminoso, en muy buena zona y bien comunicada, es tu oportunidad. PARA MAS INFORMACION SI LO DESEAN PUEDEN PASARSE POR NUESTRA OFICINA EN AVENIDA DE SALAMANCA, Nº 6, 10600 PLASENCIA (CACERES).";960371977;Calle Jerte;55000;3
101740820;Piso en Avenida Donantes de Sangre;Piso;"Se vende extraordinario piso de 113 m2 construidos, exterior, muy luminoso y cómodo, materiales de primeras calidades, primera planta con ascensor, muy bien distribuido en 4 amplias habitaciones (una de ellas adaptada como vestidor en habitación principal), 2 baños completos (uno con plato de ducha y otro con bañera), amplio salón comedor muy acogedor, cocina con algunos electrodomésticos y salida a terraza-tendedero, plaza de garaje y trastero. Dispone de calefacción gas natural, maquina de aire frio y calor, ventanas climalit, suelos de parquet y multitud de detalles. Ubicado en una zona privilegiada, cerca del Hospital Virgen del Puerto, Colegios, Tiendas, Farmacia, Pabellón Deportivo, Cines, Parada de Bus. Si buscas un piso acogedor, luminoso, en muy buena zona y bien comunicada, es tu oportunidad. PARA MAS INFORMACION SI LO DESEAN PUEDEN PASARSE POR NUESTRA OFICINA EN AVENIDA DE SALAMANCA, Nº 6, 10600 PLASENCIA (CACERES).";960371977;Avenida Donantes de Sangre;119000;4
98578867;Piso en Avenida del Salobrar;Piso;"Se vende piso de 115 m2 construidos, exterior, muy luminoso y cómodo, segundo sin ascensor, distribuido en amplio salón- comedor con salida a terraza, cocina, alacena, 4 dormitorios, 2 baños completos (uno de ellos en habitación principal), suelos porcelánicos, puertas de madera. Destacar su ubicación en Avenida Constitución, Avenida principal de la población de Jaraíz de la Vera, municipio de unos 6.500 habitantes, situado en el noreste de la provincia de Cáceres, comunidad autónoma de Extremadura en el centro-oeste de la Comarca de la Vera, de la cual es la cabecera y la población más importante, contando con todo tipo de servicios. Si buscas un piso acogedor y luminoso, es tu oportunidad. PARA MAS INFORMACION SI LO DESEAN PUEDEN PASARSE POR NUESTRA OFICINA EN AVENIDA DE SALAMANCA, Nº 6, 10600 PLASENCIA (CACERES).";960371977;Avenida del Salobrar;64000;4
100320917;Piso en Avenida Plasencia;Piso;"Se vende extraordinario piso de 87 m2 construidos, exterior, muy luminoso y cómodo, materiales de primeras calidades, primero con ascensor, muy bien distribuido en 3 amplias habitaciones, 2 servicios completos (uno en habitación principal), amplio salón comedor con dos balcones, cocina equipada con todos los electrodomésticos y plaza de garaje. Dispone de calefacción de bajo consumo, ventana climalit, suelos porcelánicos, puertas de madera e innumerables detalles de calidad.  Se vende totalmente amueblado, con todos los muebles que aparecen en las fotos. Ubicado en una zona privilegia, en el corazón del Valle del Jerte, con un entorno único, en la población de Cabezuela del Valle, municipio más poblado de la comarca, con aproximadamente unos 2.000 habitantes, disponiendo de todos los servicios. Si buscas un piso acogedor, luminoso, en muy buena zona y bien comunicada, es tu oportunidad. PARA MAS INFORMACION PUEDEN ESCRIBRIRNOS POR WHATSAPP AL O PASARSE POR NUESTRA OFICINA EN AVENIDA DE SALAMANCA, Nº 6, 10600 PLASENCIA (CACERES).";960371977;Avenida Plasencia;98000;3
100700422;Piso en Calle Joaquín Alcalde;Piso;"Se vende extraordinario piso de 128 m2 construidos, exterior, muy luminoso y cómodo, materiales de calidades, cuarto y ultimo con ascensor, muy bien distribuido en 4 amplias habitaciones, 2 servicios completos, amplio salón comedor con salida a terraza, cocina equipada con todos los electrodomésticos y terraza cerrada. Dispone de calefacción centralizada, aparatos de aire caliente y frío, ventana climalit, suelos porcelánicos, puertas de madera e innumerables detalles de calidad. Ubicado en una zona privilegiada, a pocos metros del centro, rodeado de establecimientos de todo tipo, colegios, farmacias. Si buscas un piso acogedor, luminoso, en muy buena zona y bien comunicada, es tu oportunidad. PARA MAS INFORMACION PUEDEN ESCRIBRIRNOS POR WHATSAPP AL 622 320 015 O PASARSE POR NUESTRA OFICINA EN AVENIDA DE SALAMANCA, Nº 6, 10600 PLASENCIA (CACERES).";960371977;Calle Joaquín Alcalde;132900;4
100492036;Casa rural en Paraje Piurruyo s/n;Casa Rural;"La lontananza se salpica de lomas y serranías, que se van sucediendo entre valles, se tiñen de azules y violetas que va perfilando la caída del sol. Bonita parcela rústica con chalecito de campo, situada entre las localidades de Madrigal y Villanueva, en la comarca de La Vera, sobre la vertiente sur de la Sierra de Gredos. Con amenas vistas del entorno, mirando al sur, el valle de la garganta de Minchones, y las colinas y serranías que al sur bordean los valles de los ríos Tiétar y Tajo. Cercanía a la garganta, a caminos y rutas que suben a la montaña, a 2km de distancia de Madrigal de la Vera, junto a una zona de chalets y casitas de campo. La propiedad cuenta con una parcela de 2.318m2 perimetralmente vallada. Acceso con gran portera y camino pavimentado hasta el garaje, a la izquierda se sitúa una nave de 112m2 de una altura, diáfana y multifuncional. Cuenta con zonas ajardinadas con adelfas, romeros… y otras de dedicadas a frutales como olivos, naranjos, limonero, peral, olivos, higueras, laurel, etc…También con arbolado autóctono, robles y madroños. La vivienda se localiza en la parte más alta de la parcela, sobre una gran terraza ajardinada, y un gran porche, mirando al sur. Cuenta con un garaje exterior, y otro interior, bajo la gran terraza superior, con una superficie cercana a los 100m2. Este garaje interior-almacén, cuenta con una sala de máquinas, con bomba y depósito agua del pozo. Desde el garaje, unas escaleras con balaustrada nos llevan a la terraza superior, con parterres de plantas y un parral con estructura metálica, y al porche delantero de la casa con bonitas viguerías y basas de piedra. La vivienda, con una superficie catastral de 118m2 se distribuye de la siguiente forma: Amplio porche delantero de más de 20m2, orientado al sur, con techos y pilares de madera. Pasillo distribuidor con zócalos cerámicos. Espacioso salón comedor, con ventana al porche y una gran chimenea de frentes cerámicos. Cocina, amueblada y equipada, con salida directa al jardín trasero, almacén y barbacoa. Tres dormitorios, espaciosos, con grandes ventanas. Amplio cuarto de baño con ducha, y aseo. Splits frío/calor en salón y dormitorio principal. Doble ventanas de aluminio con mosquiteras. Suelos de gres. A la parte trasera la vivienda cuenta con una amplia zona solada, donde se sitúa la barbacoa y una caseta de herramientas de unos 20m2. Dos pozos, depósito y diferentes puntos de agua por la propiedad. Fosa séptica. Luz eléctrica de red.  Acceso fácil y cómodo por tramo de camino pavimentado de 40m desde la carretera comarcal.";927896665;Paraje Piurruyo s/n;185000;3
97606597;Dúplex en Avenida Constitución;Duplex;"Espectacular Dúplex-Ático en venta, prácticamente nuevo de 199 m/2 construidos, con características difíciles de encontrar, destacando entre ellas sus calidades, ubicación, vistas, ascensor, garaje y trastero. Distribuido en dos plantas: La primera planta consta de espacioso salón-comedor con balcón, cocina con terraza -tendedero, 2 habitaciones y un servicio completo con plato de ducha. La segunda planta abuhardillada consta de 2 amplias habitaciones, vestidor, servicio completo con plato de ducha y bañera de hidromasaje, y terraza. Destacar su ubicación en Avenida Constitución, Avenida principal de la población de Jaraíz de la Vera, así como las grandes calidades que dispone en su interior, suelos de parquet, calefacción gas natural, equipos de refrigeración con bomba de calor y frío distribuidos en las dos plantas, armarios empotrados en habitaciones, cristales climalit, puertas de madera de cerezo e infinidad de detalles donde se observa lo cuidado y el gran estado de conservación en el que se encuentra. Muy luminoso y acogedor, ubicado en un entorno privilegiado y único, en Jaraíz de la Vera, municipio de unos 6.500 habitantes, situado en el noreste de la provincia de Cáceres, comunidad autónoma de Extremadura en el centro-oeste de la Comarca de la Vera, de la cual es la cabecera y la población más importante, contando con todo tipo de servicios. Una de las oportunidad que se presentan muy pocas veces!";960371977;Avenida Constitución;210000;4
97242892;Dúplex;Duplex;"Dúplex de 105 m² en Cáceres. Por el espacio que te ofrece, este dúplex es ideal para una familia con hijos.  Se distribuyen en amplio y luminoso salón, cocina amueblada, absolutamente independiente del resto de estancias y equipada con electrodomésticos, dos dormitorios, uno en cada planta y dos cuartos de baño completos. Además, el dúplex cuenta con terraza para que disfrutes del buen tiempo. El inmueble es todo exterior y se encuentra situado en una vía de fácil acceso, tiene garaje para que puedas aparcar con comodidad y trastero, lo que aumenta la capacidad de almacenaje de tu vivienda. Con orientación este, en esta casa disfrutarás del sol por las mañanas. La vivienda se vende sin amueblar y en buen estado, lista para entrar a vivir. En cuanto a las calidades, este dúplex dispone de aire acondicionado con bomba de calor, carpintería exterior de aluminio y suelos de cerámica, muy resistentes y fácil de limpiar.  Esta casa está situada en el centro de Cáceres, una zona bien comunicada, muy cerca de la parada de autobús. Para mayor comodidad, la vivienda se encuentra muy cerca de un colegio y todos los servicios necesarios.  De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. h1o2u6s3e5l6l.";919389411;Casco Antiguo;128000;2
95960830;Casa rural;Casa Rural;"Espectacular casa rural de 380 m², en Pasarón de la Vera, provincia de Cáceres. Esta vivienda, por su amplitud y distribución es ideal para invertir.  Esta casa rural se distribuye en 3 plantas, cada una de ellas independiente del resto con cocina y baño en todas las plantas. La primera planta dispone además de solarium y dos habitaciones. La segunda planta dispone salón, vestidor y dos habitaciones. La tercera planta dispone de vestidor y 4 habitaciones. También tiene en las zonas comunes de la planta baja una gran bodega con un salón social, jardín y cocina de verano con un horno árabe para que puedas desayunar al aire libre. El inmueble es todo exterior y muy luminoso. También dispone de trastero para que guardes todo aquello que necesites. Esta casa está situada en una vía de fácil acceso, Además, por su orientación este, en esta casa disfrutarás del sol por las mañanas.  La vivienda se vende sin amueblar, aunque los muebles se pueden negociar, en completamente reformada y lista para entrar a vivir. En cuanto a las calidades, esta casa rural cuenta con calefacción de gasoil, carpintería de aluminio y de madera. y suelo de tarima, cerámica y de terrazo resistente y fácil de limpiar.  Para mayor comodidad, la vivienda se encuentra muy cerca de un colegio y con todos los servicios a tu alcance como ayuntamiento, banco, etc.  De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. h1o2u1s8e7l9l.";919389411;Pasaron de la Vera;299000;8
102376681;Piso en Calle Cañada Real;Piso;"Se vende extraordinario piso de 126 m2 construidos, exterior, muy luminoso y cómodo, materiales de primeras calidades, segundo con ascensor, muy bien distribuido en 4 amplias habitaciones (una de ellas con salida a terraza), 2 servicios completos (uno con plato de ducha y otro con bañera), amplio salón comedor con salida a espectacular terraza comunicada con un dormitorio, cocina equipada con despensa y salida a terraza-tendedero y plaza de garaje.  Dispone de calefacción gas natural, aire frio por conducto en toda la vivienda, doble ventana, suelos porcelánicos, puertas de madera e innumerable detalles de calidad. Zona de entrada comunitaria al bloque con rampa, adaptado para sillas de ruedas. Ubicado en una zona privilegiada "Cañada Real", cerca del Centro de Salud, Carrefour, Instituto Gabriel y Galán, cines Alcázar, rodeado de establecimientos de todo tipo, parada de bus.. .  Si buscas un piso acogedor, luminoso, en muy buena zona y bien comunicada, es tu oportunidad.";960371977;Calle Cañada Real;159000;4
