Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones
102171873;Piso en Avenida Solidaridad;Piso;"Exclusiva vivienda de calidad y con el máximo confort en el centro de la ciudad de Logroño, Zona Av. Solidaridad - Monumento al Labrador  Esta distribuida en Hall con armario - gabanero, Gran Salón - comedor con salida a 2 terrazas y vistas panorámicas de la ciudad, Cocina independiente y equipada con acceso a terraza, con mobiliario alto y bajo de la marca italiana Cesar, electrodomésticos de alta gama, con Armario para lavadora y secadora, 4 dormitorios con armarios empotrados y terraza en uno de ellos, 2 baños completos (uno en suite) con materiales naturales, platos de ducha y lavabos en Piedra Natural, y mármol travertino Acabados de 1ª calidad con aislamiento térmico y acústico en toda la vivienda, fontanería renovada, calefacción y aire acondicionado, en todas las estancias, electricidad renovada, acceso a router por cable en todas las habitaciones, tema eléctrico de calidad de tizino Solados de Tarima natural de Roble maciza con aislamiento térmico y acústico, zonas húmedas porcelánicos y mármol, techos aislados con fibra de vidrio,  Carpintera exterior de aluminio con rotura de puente térmico, compacto de pvc, persianas de aluminio, carpintería interior, madera natural de Roble, Cristales con cámara para mayor aislamiento En el precio esta incluido una plaza de garaje en el mismo edificio,  Tiene portero físico en el edificio Cerca de todo tipo de servicios, tiendas de moda de las mejores marcas, supermercados, restaurantes, cafeterías, transporte publico, colegios, parques infantiles, etc. Aprovecha esta Oportunidad Única de vivir en el Centro de Logroño! Posiblemente la vivienda que estabas esperando! No lo dudes ven a visitar!  Te apasionara! Berzal Inmobiliaria Av. Solidaridad 9, Logroño.";941775533;Avenida Solidaridad;625000;4
101103516;Piso en Gran Vía Juan Carlos i;Piso;"Piso de cuatro dormitorios en séptima planta, con impresionantes visitas.  Vistas a Gran Vía, dos de las habitaciones y el salón, en origen con balcón, en la reforma, se le dio al salón.  Grandes ventanales, por lo que es muy luminoso. Dispone de un gran hall, en el que se accede a dos de las habitaciones y al salón. El resto de la vivienda, se puede dar privacidad, con puerta. Cocina muy amplia y muy bien pensada y equipada. Dos baños amplios, uno de ellos con plato de ducha, muy cómodo y el segundo con bañera, actuales y modernos, a la vez que funcionales. Las otras dos habitaciones, orientadas a Sur, junto con la cocina, a patio de manzana grande. La vivienda dispone de un gran hall, y apenas tiene pasillo. Trastero de unos cuatro metros aproximadamente, con luz directa a al vivienda. Edificio, sin barreras arquitectónicas, ascensor nuevo. Calefacción y agua caliente de Gas ciudad individual. Solados de parquet y gres porcelánico actual, en zonas húmedas. Carpintería interior de sapeli, y exterior renovada, excepto en dos de las habitaciones, que tienen contraventana. Vista increíbles, en el mismo centro de la ciudad. Si es lo que buscas, no lo dudes, ven a verlo!";941775533;Gran Vía Juan Carlos I;380000;4
100327036;Piso;Piso;"Es una vivienda de reciente construcción a pocos metros de Gran Vía. Tiene 90 metros útiles, muy bien distribuidos.  Salón con cocina americana totalmente amueblada y equipada con electrodomésticos, en esquina y con grandes ventanales que dan a Calle Murrieta y a Navarrete el Mudo.  Un espacio abierto lleno de luz que comunica con las habitaciones gracias a un gran pasillo.  Tiene 3 dormitorios, todos con armarios y exteriores. El dormitorio principal cuenta con baño en suite.  Puertas lacadas en blanco, suelos de tarima, puerta de entrada blindada y materiales de primera calidad.  Calificación energética B.  Garaje en el mismo edifico.  ¡Llámanos y vamos a verlo!";941771639;Centro;239000;3
101964374;Piso en Calle Presidente Leopoldo Calvo Sotelo;Piso;"Exclusivo Piso exterior y muy luminoso de 218 metros construidos para entrar a vivir en Logroño, Zona Calvo Sotelo Situado en Edificio emblemático y señorial - Los Espejos  en la primera planta, con ascensor a cota cero y grandes ventanales Cuenta con una distribución repartida en zona de día, salón comedor y cocina y zona de noche dormitorios y baños reformados recientemente  Ubicado en la esquina del edificio con orientación Sureste Consta de amplio hall con gabanero, gran salón comedor, cocina independiente y equipada con zona comedor y acceso a patio de unos 30 metros, cuarto de servicio con lavandería y despensa, 5 amplios dormitorios y 2 baños completos con bañera, plato de ducha y ventana y un cuarto trastero de unos 5 metros  Tiene Portero físico Portal remodelado recientemente,  Tiene Techos altos, grandes espacios y multitud de posibilidades Cuenta con calefacción y agua caliente central, suelos de parquet y cerámico en zonas húmedas, carpintería exterior pvc/climalit - oscilobatiente, carpintería interior macizas Cerca de todos los servicios, supermercados, colegios, transporte publico, parques infantiles, centros comerciales, universidades, cafeterías, restaurantes, etc. , La vivienda que estabas esperando, Ideal primera vivienda! , Ven a visitar! Berzal Inmobiliaria Av. Solidaridad 9, Logroño.";941775533;Calle Presidente Leopoldo Calvo Sotelo;330000;5
101448080;Piso;Piso;"   Tenemos el placer de presentarles un nuevo inmueble EN EXCLUSIVA  que ha llegado a nuestra cartera en la zona de Avenida de Burgos, Yague, El Arco, en la ciudad de Logroño.    Al ingresar a la propiedad, nos encontramos con una excelente distribución que cuenta con 71 metros útiles y 92.94 metros construidos, en la planta 02 de un  edificio construido en el año 1972, que cuenta con ascensor. Sus tres habitaciones ofrecen el espacio necesario para que cada uno de los integrantes de la familia pueda disfrutar de un ambiente acogedor y confortable.  Este inmueble es perfecto para aquellos que valoran la calidad del mobiliario, ya que está amueblado con electrodomésticos y muebles, diseñados con la armonía en mente. Cada detalle ha sido pensado para garantizar el máximo confort de sus residentes.  Si desea un estilo de vida tranquilo y práctico, la ubicación de este inmueble lo tiene todo.    No pierda la oportunidad de visitar este magnífico piso que, sin duda, superará todas sus expectativas. Si tiene alguna duda o pregunta, no dude en ponerse en contacto con nosotros.  En resumen, este inmueble es una excelente oportunidad de inversión en una ubicación privilegiada, con todas las comodidades que pueda necesitar y un estilo de vida tranquilo y práctico. No deje pasar esta oportunidad única. ¡Esperamos su visita!   .";941771639;Portillejo - Valdegastea;88500;3
101455833;Piso en Calle Antonio de Nebrija;Piso;"Tranquilo piso de dos dormitorios, cocina americana y baño para entrar a vivir.  Dormitorio principal con armario empotrado y balcón con zona de relax. Cocina americana equipada y terraza con tendero y despensa. Vistas a parque y zona peatonal Muy luminoso y ventilado, con ventanas climalit oscilobatientes, suelo laminado y extractor en baño. Con garaje y trastero. Zona de muy fácil aparcamiento. Ascensor y portal sin barreras arquitectónicas. Muy buen acceso de entrada y salida de Logroño. ¡Tienes que verlo!";941771448;Calle Antonio de Nebrija;185000;2
102093574;Piso en Calle Segundo Arce;Piso;"Inmobiliaria Cabrerizo presenta en EXCLUSIVA Impecable piso con muy poco uso en la zona de El Campillo. En una de las zonas mas tranquilas de Logroño, junto al Parque del Ebro. Vivienda de 103 m construidos, distribuida en 3 amplios dormitorios, salón, cocina y 2 baños. Ascensor a piso llano, calefacción individual, exterior, cocina totalmente montada y equipada con isla. Garaje y trastero incluidos en el mismo edificio. Llámanos y visítalo, veras como te encanta!";941775622;Calle Segundo Arce;169000;3
101852236;Piso en Calle Juan Xxii;Piso;"AQUÍ ESTA EL PISO DE SUS SUEÑOS, CON UN GRAN POTENCIAL EN PLENO CENTRO! PASEO DE LAS CIEN TIENDAS JUAN XXIII, TODO EXTERIOR con 3 terrazas,  una cocina office que da gusto verla espaciosa, cómoda, en muy buen estado y con acceso a un balcón estupendo,  el salón de revista todo en esquina con una luz preciosa y una terraza muy amplia,  3 dormitorios super amplios,  2 baños muy amplios,  incluye trastero y una plaza de garaje,  edificio en perfecto estado con dos ascensores,  una vivienda super interesante si están buscando UN BUEN PISO AQUÍ LO TIENEN EN EXCLUSIVA EN  Inmobiliaria Muñoz vamos a verla.";941774951;Calle JUAN XXII;380000;3
100716664;Piso en Calle Ingenieros Pino y Amorena;Piso;"OPORTUNIDAD en el centro de Logroño. Piso en venta junto a Vara de Rey y la nueva estación de tren y autobuses. Piso en buen estado para entrar a vivir.  - 3 amplios dormitorios con armarios empotrados - Salón - Cocina con balcón y tendedero - 2 baños.  2 ascensores sin barreras arquitectónicas. Exterior. Zona dotada con todos los servicios - Supermercados, centro de salud, cafeterías, parques, bancos, estación de autobuses y tren, colegios e incluso paradas de autobuses urbanos. Buena Comunidad y Vecindario.  Opción de comprar piso con garaje por 18.000€/plaza.";941771448;Calle Ingenieros Pino y Amorena;167000;3
101889657;Piso en Avenida Solidaridad;Piso;"PISO FANTASTICO Y MUY ESPECIAL A DOS ALTURAS EN PLENO CENTTRO DE LOGROÑO 3 HABITACIONES + 2 BAÑOS + SALON COMEDOR + TERRAZA + COCINA + TRASTERO. Estupendísimo piso en el centro de la ciudad a dos alturas. Consta de 139m2. La distribución es la siguiente: Nada mas entra está el salón comedor espacioso y muy luminoso ya que tiene unos grandes ventanales. En el salón se encuentra la chimenea de leña u otro combustible aparente, que funciona perfectamente. Del mismo se accede a la hermosa terraza, de la que tiene un armario cerrado donde se encuentra el modulo del aire acondicionado. Dispone de cocina semiabierta al salón, con una esplendida isla con mucho espacio de almacenaje, y con electrodomésticos. Muy distinta a cualquier otra, con un diseño muy particular y acogedora. Contiene hasta un horno también de leña, en las fotos se puede apreciar. El piso cuenta con 3 habitaciones con armarios. El dormitorio principal tiene vestidor a ambos lados.  2 baños completos. Uno en souit con ducha y bañera de hidromasaje. Materiales de primera calidad. Los radiadores son verticales para aprovechar mas el calor.  Incluye trastero bajo cubierta.  El portal ha sido reformado recientemente, al igual que el ascensor se ha bajado cota cero. No te pierdas esta gran oportunidad en pleno centro de la ciudad.";941776265;Avenida Solidaridad;240000;3
