com. autonoma,provincia,descripción,precio,habitaciones,m²
Castilla-La Mancha,Albacete,Piso,220000,4,112
Castilla-La Mancha,Albacete,Casa,70000,5,331
Castilla-La Mancha,Albacete,Piso,230000,3,109
Castilla-La Mancha,Albacete,Piso,188000,3,158
Castilla-La Mancha,Albacete,Piso,89000,4,90
Castilla-La Mancha,Albacete,Piso,285000,4,160
Castilla-La Mancha,Albacete,Piso,190000,3,98
Castilla-La Mancha,Albacete,Ático,155000,2,63
Castilla-La Mancha,Albacete,Piso,120000,4,106
Castilla-La Mancha,Albacete,Piso,140000,3,80
Castilla-La Mancha,Albacete,Piso,120000,4,125
Castilla-La Mancha,Albacete,Chalet,225000,5,321
Castilla-La Mancha,Albacete,Chalet,85000,3,142
Castilla-La Mancha,Albacete,Piso,94000,3,110
Castilla-La Mancha,Albacete,Piso,79900,4,108
Castilla-La Mancha,Albacete,Piso,198000,2,110
Castilla-La Mancha,Albacete,Piso,49000,4,100
Castilla-La Mancha,Albacete,Chalet,1555000,8,934
Castilla-La Mancha,Albacete,Piso,249000,2,120
Castilla-La Mancha,Albacete,Ático,220000,3,74
Castilla-La Mancha,Albacete,Piso,77000,3,95
Castilla-La Mancha,Albacete,Piso,230000,3,140
Castilla-La Mancha,Albacete,Piso,170000,2,74
Castilla-La Mancha,Albacete,Piso,145000,3,96
Castilla-La Mancha,Albacete,Piso,151000,3,83
Castilla-La Mancha,Albacete,Piso,139000,1,90
Castilla-La Mancha,Albacete,Ático,399000,3,126
Castilla-La Mancha,Albacete,Piso,155000,4,96
Castilla-La Mancha,Albacete,Piso,115000,3,120
Castilla-La Mancha,Albacete,Piso,212000,4,130
Castilla-La Mancha,Albacete,Chalet,39900,4,259
Castilla-La Mancha,Albacete,Piso,169500,3,111
Castilla-La Mancha,Albacete,Piso,200000,3,110
Castilla-La Mancha,Albacete,Piso,159000,2,74
Castilla-La Mancha,Albacete,Piso,170000,4,120
Castilla-La Mancha,Albacete,Piso,105000,1,56
Castilla-La Mancha,Albacete,Piso,98000,3,90
Castilla-La Mancha,Albacete,Piso,199000,3,110
Castilla-La Mancha,Albacete,Piso,185000,3,105
Castilla-La Mancha,Albacete,Piso,179000,4,120
Castilla-La Mancha,Albacete,Piso,70000,2,65
